word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,PRON,VERB
wake,0,0,0,0,0,0,0,1
morning,0,0,0,0,3,0,0,0
probably,0,0,1,0,0,0,0,0
flick,0,0,0,0,0,0,0,1
light,5,0,0,0,74,0,0,0
maybe,0,0,1,0,0,0,0,0
pop,0,0,0,0,0,0,0,1
toast,0,0,0,0,1,0,0,0
toaster,0,0,0,0,1,0,0,0
check,0,0,0,0,0,0,0,2
mail,0,0,0,0,1,0,0,0
computer,0,0,0,0,3,0,0,0
late,8,0,0,0,0,0,0,0
news,0,0,0,0,1,0,0,0
smartphone,0,0,0,0,1,0,0,0
discover,0,0,0,0,0,0,0,19
volume,0,0,0,0,1,0,0,0
science,0,0,0,0,14,0,0,0
physics,0,0,0,0,56,0,0,0
make,0,0,0,0,0,0,0,6
part,0,0,0,0,2,0,0,0
ritual,0,0,0,0,1,0,0,0
possible,6,0,0,0,0,0,0,0
natural,8,0,0,0,0,0,0,0
overlap,0,0,0,0,0,0,0,3
fundamental,9,0,0,0,1,0,0,0
knowledge,0,0,0,0,13,0,0,0
base,0,0,0,0,0,0,0,5
challenge,0,0,0,0,1,0,0,0
precisely,0,0,1,0,0,0,0,0
distinguish,0,0,0,0,0,0,0,1
field,0,0,0,0,8,0,0,0
essentially,0,0,3,0,0,0,0,0
concern,0,0,0,0,0,0,0,6
nature,0,0,0,0,9,0,0,0
matter,0,0,1,0,39,0,0,0
basic,7,0,0,0,0,0,0,0
component,0,0,0,0,2,0,0,0
energy,0,0,0,0,40,0,0,0
universe,0,0,0,0,13,0,0,0
interact,0,0,0,0,0,0,0,5
relate,0,0,0,0,0,0,0,4
scientific,7,0,0,0,0,0,0,0
major,3,0,0,0,0,0,0,0
subdivision,0,0,0,0,4,0,0,0
mechanic,0,0,0,0,42,0,0,0
motion,0,0,0,0,37,0,0,0
object,0,0,0,0,38,0,0,0
act,0,0,0,0,0,0,0,9
force,0,0,0,0,34,0,0,2
static,0,0,0,0,5,0,0,0
study,0,0,0,0,13,0,0,9
rest,0,0,0,0,5,0,0,0
division,0,0,0,0,2,0,0,0
include,0,0,0,0,0,0,0,6
optic,0,0,0,0,5,0,0,0
acoustic,0,0,0,0,4,0,0,0
thermodynamic,0,0,0,0,1,0,0,0
electricity,0,0,0,0,16,0,0,0
try,0,0,0,0,0,0,0,7
understand,0,0,0,0,0,0,0,4
physical,11,0,0,0,0,0,0,0
world,0,0,0,0,10,0,0,0
physicist,0,0,0,0,43,0,0,0
attempt,0,0,0,0,1,0,0,3
determine,0,0,0,0,0,0,0,7
invariable,2,0,0,0,0,0,0,0
law,0,0,0,0,46,0,0,0
excellent,2,0,0,0,0,0,0,0
example,0,0,0,0,15,0,0,0
gravitation,0,0,0,0,7,0,0,0
state,0,0,0,0,2,0,0,7
particle,0,0,0,0,34,0,0,0
attract,0,0,0,0,0,0,0,6
masse,0,0,0,0,6,0,0,0
distance,0,0,0,0,8,0,0,0
essential,3,0,0,0,0,0,0,0
topic,0,0,0,0,2,0,0,0
unify,0,0,0,0,0,0,0,3
branch,0,0,0,0,12,0,0,0
establish,0,0,0,0,0,0,0,7
unit,0,0,0,0,6,0,0,0
measure,0,0,0,0,2,0,0,12
apply,0,0,0,0,0,0,0,7
interaction,0,0,0,0,6,0,0,0
significant,2,0,0,0,0,0,0,0
work,0,0,0,0,13,0,0,5
come,0,0,0,0,0,0,0,8
scientist,0,0,0,0,25,0,0,0
experiment,0,0,0,0,27,0,0,1
fall,0,0,0,0,0,0,0,9
pioneer,0,0,0,0,1,0,0,1
variety,0,0,0,0,1,0,0,0
area,0,0,0,0,2,0,0,0
result,0,0,0,0,10,0,0,3
