word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,X
topic,0,0,0,0,0,0,3,0,0,0,0,0
european,87,0,0,0,0,0,0,0,0,0,0,0
history,0,0,0,0,0,0,76,0,0,0,0,0
focus,0,0,0,0,0,0,6,0,0,0,4,0
great,97,0,0,0,0,0,0,0,0,0,0,0
kingdom,0,0,0,0,0,0,58,0,0,0,0,0
republic,0,0,0,0,0,0,11,0,0,0,0,0
modern,35,0,0,0,0,0,0,0,0,0,0,0
war,0,0,0,0,0,0,21,0,0,0,0,0
consume,0,0,0,0,0,0,0,0,0,0,4,0
theme,0,0,0,0,0,0,7,0,0,0,0,0
important,60,0,0,0,0,0,0,0,0,0,0,0
prominent,9,0,0,0,0,0,0,0,0,0,0,0
year,0,0,0,0,0,0,44,0,0,0,0,0
long,25,0,21,0,0,0,0,0,0,0,0,0
period,0,0,0,0,0,0,118,0,0,0,0,0
prehistoric,12,0,0,0,0,0,0,0,0,0,0,0
ancient,45,0,0,0,0,0,5,0,0,0,0,0
medieval,32,0,0,0,0,0,0,0,0,0,0,0
development,0,0,0,0,0,0,81,0,0,0,0,0
neatly,0,0,1,0,0,0,0,0,0,0,0,0
divide,0,0,0,0,0,0,0,0,0,0,29,0
country,0,0,0,0,0,0,12,0,0,0,0,0
individual,33,0,0,0,0,0,17,0,0,0,0,0
culture,0,0,0,0,0,0,107,0,0,0,0,0
fact,0,0,0,0,0,0,12,0,0,0,0,0
relative,7,0,0,0,0,0,2,0,0,0,0,0
cultural,41,0,0,0,0,0,0,0,0,0,0,0
homogeneity,0,0,0,0,0,0,2,0,0,0,0,0
time,0,0,0,0,0,0,108,0,0,0,0,0
evolve,0,0,0,0,0,0,0,0,0,0,4,0
diversity,0,0,0,0,0,0,6,0,0,0,0,0
thousand,0,0,0,0,0,0,7,2,0,0,0,0
book,0,0,0,0,0,0,19,0,0,0,0,0
examine,0,0,0,0,0,0,0,0,0,0,3,0
early,103,0,14,0,0,0,0,0,0,0,0,0
lead,0,0,0,0,0,0,1,0,0,0,34,0
emergence,0,0,0,0,0,0,14,0,0,0,0,0
continent,0,0,0,0,0,0,9,0,0,0,0,0
powerful,19,0,0,0,0,0,0,0,0,0,0,0
nation,0,0,0,0,0,0,11,0,0,0,0,0
state,0,0,0,0,0,0,55,0,0,0,3,0
exert,0,0,0,0,0,0,0,0,0,0,2,0
influence,0,0,0,0,0,0,35,0,0,0,21,0
