word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
day,0,0,0,0,0,0,63,0,0,0,0,0
king,0,0,0,0,0,0,135,0,0,0,0,0
hard,12,0,2,0,0,0,0,0,0,0,0,0
rig,0,0,0,0,0,0,0,0,0,0,1,0
stage,0,0,0,0,0,0,5,0,0,0,0,0
curtain,0,0,0,0,0,0,8,0,0,0,0,0
row,0,0,0,0,0,0,8,0,0,0,0,0
candle,0,0,0,0,0,0,21,0,0,0,0,0
footlight,0,0,0,0,0,0,1,0,0,0,0,0
night,0,0,0,0,0,0,69,0,0,0,0,0
house,0,0,0,0,0,0,57,0,0,0,0,0
jam,0,0,0,0,0,0,1,0,0,0,0,0
man,0,0,0,0,0,0,88,0,0,0,3,0
time,0,0,0,0,0,0,174,0,0,0,1,0
place,0,0,0,0,0,0,49,0,0,0,0,0
hold,0,0,0,0,0,0,0,0,0,0,21,0
duke,0,0,0,0,0,0,94,0,0,0,0,1
quit,0,0,0,0,0,0,0,0,0,0,6,0
tend,0,0,0,0,0,0,0,0,0,0,2,0
door,0,0,0,0,0,0,50,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,283,0
way,0,0,1,0,0,0,159,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,254,0
stand,0,0,0,0,0,0,0,0,0,0,47,0
little,84,0,3,0,0,0,0,0,0,0,0,0
speech,0,0,0,0,0,0,4,0,0,0,0,0
praise,0,0,0,0,0,0,0,0,0,0,1,0
tragedy,0,0,0,0,0,0,4,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,636,0
thrilling,1,0,0,0,0,0,0,0,0,0,0,0
brag,0,0,0,0,0,0,0,0,0,0,1,0
play,0,0,0,0,0,0,1,0,0,0,22,0
main,6,0,0,0,0,0,0,0,0,0,0,0
principal,3,0,0,0,0,0,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,0,308,0
everybody,0,0,0,0,0,0,0,0,51,0,0,0
expectation,0,0,0,0,0,0,1,0,0,0,0,0
high,3,0,3,0,0,0,0,0,0,0,0,0
roll,0,0,0,0,0,0,0,0,0,0,4,0
minute,0,0,0,0,0,0,61,0,0,0,0,0
prance,0,0,0,0,0,0,1,0,0,0,2,0
four,0,0,0,0,0,0,1,0,0,0,0,0
naked,1,0,0,0,0,0,0,0,0,0,0,0
paint,0,0,0,0,0,0,1,0,0,0,3,0
ring,0,0,0,0,0,0,1,0,0,0,1,0
streak,0,0,0,0,0,0,2,0,0,0,2,0
stripe,0,0,0,0,0,0,1,0,0,0,2,0
sort,0,0,1,0,0,0,9,0,0,0,1,0
color,0,0,0,0,0,0,2,0,0,0,0,0
splendid,6,0,0,0,0,0,0,0,0,0,0,0
rainbow,0,0,0,0,0,0,1,0,0,0,0,0
mind,0,0,0,0,0,0,22,0,0,0,25,0
rest,0,0,0,0,0,0,28,0,0,0,6,0
outfit,0,0,0,0,0,0,4,0,0,0,0,0
wild,5,0,0,0,0,0,0,0,0,0,0,0
awful,7,0,10,0,0,0,0,0,0,0,0,0
funny,1,0,0,0,0,0,0,0,0,0,0,0
people,0,0,0,0,0,0,47,0,0,0,0,0
kill,0,0,0,0,0,0,0,0,0,0,11,0
laugh,0,0,0,0,0,0,0,0,0,0,14,0
caper,0,0,0,0,0,0,0,0,0,0,2,0
scene,0,0,0,0,0,0,1,0,0,0,0,0
roar,0,0,0,0,0,0,0,0,0,0,1,0
clap,0,0,0,0,0,0,0,0,0,0,4,0
storm,0,0,0,0,0,0,3,0,0,0,2,0
haw,0,0,0,0,0,0,1,0,0,0,1,0
till,0,0,0,0,0,0,0,0,0,66,0,0
cow,0,0,0,0,0,0,1,0,0,0,0,0
shine,0,0,0,0,0,0,1,0,0,0,1,0
old,114,0,0,0,0,0,0,0,0,0,0,0
idiot,0,0,0,0,0,0,5,0,0,0,0,0
cut,0,0,0,0,0,0,0,0,0,0,8,0
let,0,0,0,0,0,0,0,0,0,0,115,0
bow,0,0,0,0,0,0,3,0,0,0,1,0
great,4,0,0,0,0,0,0,0,0,0,0,0
perform,0,0,0,0,0,0,0,0,0,0,1,0
account,0,0,0,0,0,0,10,0,0,0,0,0
pressing,1,0,0,0,0,0,0,0,0,0,0,0
engagement,0,0,0,0,0,0,1,0,0,0,0,0
seat,0,0,0,0,0,0,3,0,0,0,0,0
sell,0,0,0,0,0,0,1,0,0,0,24,0
make,0,0,0,0,0,0,0,0,0,0,29,0
succeed,0,0,0,0,0,0,0,0,0,0,1,0
please,0,0,0,0,0,0,0,0,0,0,3,0
instruct,0,0,0,0,0,0,0,0,0,0,1,0
deeply,0,0,2,0,0,0,0,0,0,0,0,0
obleege,0,0,0,0,0,0,0,0,0,0,4,0
mention,0,0,0,0,0,0,0,0,0,0,5,0
friend,0,0,0,0,0,0,26,0,0,0,0,0
sing,0,0,0,0,0,0,0,0,0,0,23,0
yes,0,0,0,0,0,54,0,0,0,0,0,0
fine,2,0,0,0,0,0,0,0,0,0,3,0
rise,0,0,0,0,0,0,0,0,0,0,4,0
mad,7,0,0,0,0,0,0,0,0,0,0,0
tragedian,0,0,0,0,0,0,1,0,0,0,0,0
big,39,0,0,0,0,0,0,0,0,0,0,0
looking,7,0,0,0,0,0,0,0,0,0,0,0
jump,0,0,0,0,0,0,3,0,0,0,22,0
bench,0,0,0,0,0,0,2,0,0,0,0,0
shout,0,0,0,0,0,0,1,0,0,0,3,0
word,0,0,0,0,0,0,35,0,0,0,0,0
gentleman,0,0,0,0,0,0,32,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,35,0
listen,0,0,0,0,0,0,0,0,0,0,19,0
mighty,3,0,27,0,0,0,0,0,0,0,0,0
badly,0,0,1,0,0,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,139,0
laughing,0,0,0,0,0,0,1,0,0,0,0,0
stock,0,0,0,0,0,0,3,0,0,0,0,0
town,0,0,0,0,0,0,50,0,0,0,0,0
reckon,0,0,0,0,0,0,0,0,0,0,95,0
hear,0,0,0,0,0,0,0,0,0,0,72,0
thing,0,0,0,0,0,0,143,0,0,0,0,0
long,27,0,36,0,0,0,0,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,20,0
quiet,6,0,1,0,0,0,0,0,0,0,1,0
talk,0,0,0,0,0,0,7,0,0,0,44,0
boat,0,0,0,0,0,0,17,0,0,0,0,0
sensible,1,0,0,0,0,0,0,0,0,0,0,0
bet,0,0,0,0,0,0,0,0,0,0,19,0
jedge,0,0,0,0,0,0,1,0,0,0,0,0
right,59,0,114,0,0,0,6,0,0,0,1,0
home,0,0,25,0,0,0,11,0,0,0,0,0
advise,0,0,0,0,0,0,0,0,0,0,2,0
jammed,1,0,0,0,0,0,0,0,0,0,0,0
crowd,0,0,0,0,0,0,10,0,0,0,2,0
raft,0,0,0,0,0,0,34,0,0,0,0,0
supper,0,0,0,0,0,0,16,0,0,0,0,0
midnight,0,0,0,0,0,0,7,0,0,0,0,0
float,0,0,0,0,0,0,0,0,0,0,3,0
middle,0,0,0,0,0,0,17,0,0,0,1,0
river,0,0,0,0,0,0,41,0,0,0,0,0
fetch,0,0,0,0,0,0,0,0,0,0,45,0
hide,0,0,0,0,0,0,1,0,0,0,38,0
mile,0,0,0,0,0,0,22,0,0,0,0,0
crammed,1,0,0,0,0,0,0,0,0,0,0,0
new,19,0,0,0,0,0,0,0,0,0,0,0
comer,0,0,0,0,0,0,2,0,0,0,0,0
pocket,0,0,0,0,0,0,14,0,0,0,0,0
bulge,0,0,0,0,0,0,1,0,0,0,2,0
muffle,0,0,0,0,0,0,0,0,0,0,2,0
coat,0,0,0,0,0,0,12,0,0,0,0,0
perfumery,0,0,0,0,0,0,1,0,0,0,0,0
sight,0,0,0,0,0,0,12,0,0,0,0,0
smell,0,0,0,0,0,0,0,0,0,0,4,0
sickly,2,0,0,0,0,0,0,0,0,0,0,0
egg,0,0,0,0,0,0,2,0,0,0,0,0
barrel,0,0,0,0,0,0,4,0,0,0,0,0
rotten,4,0,1,0,0,0,0,0,0,0,0,0
cabbage,0,0,0,0,0,0,1,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,199,0
sign,0,0,0,0,0,0,14,0,0,0,1,0
dead,23,0,2,0,0,0,1,0,0,0,0,0
cat,0,0,0,0,0,0,8,0,0,0,0,0
shove,0,0,0,0,0,0,0,0,0,0,27,0
fellow,0,0,0,0,0,0,9,0,0,0,0,0
quarter,0,0,0,0,0,0,5,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,179,0
start,0,0,0,0,0,0,5,0,0,0,42,0
turn,0,0,0,0,0,0,8,0,0,0,54,0
corner,0,0,0,0,0,0,8,0,0,0,0,0
dark,16,0,0,0,0,0,13,0,0,0,0,0
walk,0,0,0,0,0,0,2,0,0,0,14,0
fast,0,0,6,0,0,0,0,0,0,0,0,0
away,0,16,50,0,0,0,0,0,0,0,0,0
shin,0,0,0,0,0,0,0,0,0,0,4,0
like,4,119,0,0,0,1,2,0,0,0,22,0
dicken,0,0,0,0,0,0,1,0,0,0,0,0
strike,0,0,0,0,0,0,0,0,0,0,27,0
second,2,0,0,0,0,0,9,0,0,0,0,0
glide,0,0,0,0,0,0,0,0,0,0,10,0
stream,0,0,0,0,0,0,1,0,0,0,0,0
edge,0,0,0,0,0,0,0,0,0,0,1,0
poor,27,0,0,0,0,0,0,0,0,0,0,0
gaudy,4,0,0,0,0,0,0,0,0,0,0,0
audience,0,0,0,0,0,0,3,0,0,0,0,0
pretty,4,0,59,0,0,0,0,0,0,0,0,0
soon,0,0,39,0,0,0,0,0,0,0,0,0
crawl,0,0,0,0,0,0,0,0,0,0,5,0
wigwam,0,0,0,0,0,0,9,0,0,0,0,0
pan,0,0,0,0,0,0,12,0,0,0,1,0
show,0,0,0,0,0,0,1,0,0,0,16,0
light,2,0,0,0,0,0,9,0,0,0,22,0
village,0,0,0,0,0,0,17,0,0,0,0,0
fairly,0,0,7,0,0,0,0,0,0,0,0,0
bone,0,0,0,0,0,0,3,0,0,0,0,0
loose,16,0,2,0,0,0,0,0,0,0,0,0
