word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB,X
hard,3,0,0,0,0,0,0,0
imagine,0,0,0,0,0,0,2,0
life,0,0,0,7,0,0,0,0
antibiotic,2,0,0,3,0,0,0,0
yearly,1,0,0,0,0,0,0,0
visit,0,0,0,3,0,0,0,0
doctor,0,0,0,14,0,0,0,0
time,0,0,0,18,0,0,0,0
rare,1,0,0,0,0,0,0,0
event,0,0,0,1,0,0,0,0
undertake,0,0,0,0,0,0,2,0
dire,1,0,0,0,0,0,0,0
emergency,0,0,0,1,0,0,0,0
evolve,0,0,0,0,0,0,4,0
effort,0,0,0,4,0,0,0,0
thinker,0,0,0,2,0,0,0,0
physician,0,0,0,32,0,0,0,0
scientist,0,0,0,15,0,0,0,0
course,0,0,0,3,0,0,0,0
human,29,0,0,3,0,0,0,0
history,0,0,0,7,0,0,0,0
medical,47,0,0,0,0,0,0,0
industry,0,0,0,4,0,0,0,0
rely,0,0,0,0,0,0,6,0
today,0,0,0,14,0,0,0,0
modern,10,0,0,0,0,0,0,0
knowledge,0,0,0,16,0,0,0,0
deep,1,0,0,0,0,0,0,0
root,0,0,0,1,0,0,0,0
originate,0,0,0,0,0,0,1,0
early,22,0,0,0,0,0,0,0
civilization,0,0,0,2,0,0,0,0
medicine,0,0,0,41,0,0,0,0
advance,0,0,0,8,0,0,2,0
understanding,0,0,0,4,0,0,0,0
science,0,0,0,14,0,0,0,0
grow,0,0,0,0,0,0,5,0
ancient,17,0,0,0,0,0,0,0
use,0,0,0,12,0,0,8,0
herb,0,0,0,3,0,0,0,0
plant,0,0,0,7,0,0,0,0
base,0,0,0,1,0,0,8,0
substance,0,0,0,3,0,0,0,0
treat,0,0,0,0,0,0,11,0
illness,0,0,0,9,0,0,0,0
medieval,13,0,0,0,0,0,0,0
christian,3,0,0,0,0,0,0,0
monk,0,0,0,5,0,0,0,0
study,0,0,0,15,0,0,8,0
medicinal,3,0,0,1,0,0,0,0
tend,0,0,0,0,0,0,3,0
monastery,0,0,0,4,0,0,0,0
garden,0,0,0,2,0,0,0,0
invention,0,0,0,3,0,0,0,0
compound,0,0,0,2,0,0,0,0
microscope,0,0,0,12,0,0,0,0
sixteenth,3,0,0,0,0,0,0,0
century,0,0,0,31,0,0,0,0
allow,0,0,0,0,0,0,10,0
actually,0,0,1,0,0,0,0,0
small,6,0,0,0,0,0,0,0
part,0,0,0,5,0,0,0,0
body,0,0,0,32,0,0,0,0
bring,0,0,0,0,0,0,8,0
new,9,0,0,0,0,0,0,0
working,0,0,0,2,0,0,0,0
microorganism,0,0,0,3,0,0,0,0
cause,0,0,0,2,0,0,18,0
unseen,1,0,0,0,0,0,0,0
world,0,0,0,16,0,0,0,0
benefit,0,0,0,2,0,0,0,0
develop,0,0,0,0,0,0,9,0
increasingly,0,0,2,0,0,0,0,0
sophisticated,1,0,0,0,0,0,0,0
heal,0,0,0,0,0,0,3,0
eradicate,0,0,0,0,0,0,1,0
certain,4,0,0,0,0,0,0,0
disease,0,0,0,46,0,0,0,0
similar,1,0,0,0,0,0,0,0
story,0,0,0,2,0,0,0,0
apply,0,0,0,0,0,0,4,0
field,0,0,0,4,0,0,0,0
surgery,0,0,0,7,0,0,0,0
general,1,0,0,0,0,0,0,0
practice,0,0,0,22,0,0,3,0
pathology,0,0,0,1,0,0,0,0
rest,0,0,0,2,0,0,1,0
foundation,0,0,0,4,0,0,0,0
stretch,0,0,0,0,0,0,3,0
art,0,0,0,5,0,0,0,0
prevent,0,0,0,0,0,0,4,0
alleviate,0,0,0,0,0,0,1,0
cure,0,0,0,1,0,0,4,0
old,2,0,0,0,0,0,0,0
professional,3,0,0,1,0,0,0,0
calling,0,0,0,1,0,0,0,0
healer,0,0,0,5,0,0,0,0
vary,0,0,0,0,0,0,2,0
degree,0,0,0,1,0,0,0,0
skill,0,0,0,3,0,0,0,0
seek,0,0,0,0,0,0,3,0
restore,0,0,0,0,0,0,1,0
health,0,0,0,9,0,0,0,0
relieve,0,0,0,0,0,0,3,0
distress,0,0,0,1,0,0,0,0
sick,6,0,0,0,0,0,0,0
injure,0,0,0,0,0,0,3,0
mean,0,0,0,1,0,0,1,0
little,2,0,0,0,0,0,0,0
offer,0,0,0,0,0,0,1,0
sympathy,0,0,0,1,0,0,0,0
patient,0,0,0,24,0,0,0,0
nature,0,0,0,1,0,0,0,0
take,0,0,0,0,0,0,7,0
practitioner,0,0,0,4,0,0,0,0
millennium,0,0,0,4,0,0,0,0
care,0,0,0,4,0,0,2,0
tribal,1,0,0,0,0,0,0,0
shaman,0,0,0,2,0,0,0,0
philosopher,0,0,0,5,0,0,0,0
