word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
stop,0,0,0,0,0,0,0,0,0,0,31,0
short,17,0,2,0,0,0,0,0,0,0,0,0
threshold,0,0,0,0,0,0,5,0,0,0,0,0
sitting,0,0,0,0,0,0,10,0,0,0,0,0
room,0,0,0,0,0,0,133,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,120,0
secretary,0,0,0,0,0,0,22,0,0,0,0,0
arm,0,0,0,0,0,0,40,0,0,0,1,0
anxious,7,0,0,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,33,0,0,0,0,0
whisper,0,0,0,0,0,0,0,0,0,0,13,0
surely,0,0,2,0,0,0,0,0,0,0,0,0
sir,0,0,0,0,0,0,34,0,0,0,0,0
protest,0,0,0,0,0,0,1,0,0,0,6,0
open,20,3,1,0,0,0,0,0,0,0,54,0
hall,0,0,0,0,0,0,22,0,0,0,0,0
door,0,0,0,0,0,0,146,0,0,0,0,0
key,0,0,0,0,0,0,16,0,0,0,0,0
leave,0,0,0,0,0,0,6,0,0,0,65,0
pocket,0,0,0,0,0,0,27,0,0,0,1,0
lunch,0,0,0,0,0,0,10,0,0,0,5,0
restaurant,0,0,0,0,0,0,4,0,0,0,0,0
repeat,0,0,0,0,0,0,0,0,0,0,18,0
point,0,0,0,0,0,0,25,0,0,0,18,0
travel,0,0,0,0,0,0,1,0,0,0,5,0
bag,0,0,0,0,0,0,10,0,0,0,1,0
mantelpiece,0,0,0,0,0,0,2,0,0,0,0,0
look,0,0,0,0,0,0,6,0,0,0,96,0
prove,0,0,0,0,0,0,0,0,0,0,11,0
shut,0,0,0,0,0,0,0,0,0,0,18,0
sure,32,0,1,0,0,0,0,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,0,0,17,0
odd,2,0,0,0,0,0,2,0,0,0,0,0
end,0,0,0,0,0,0,18,0,0,0,10,0
value,0,0,0,0,0,0,3,0,0,0,2,0
article,0,0,0,0,0,0,1,0,0,0,0,0
