word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,VERB,X
late,4,0,3,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,4,0,0,0,41,0
cafe,0,0,0,0,0,0,15,0,0,0,0,0
old,47,0,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,88,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,61,0
shadow,0,0,0,0,0,0,6,0,0,0,0,0
tree,0,0,0,0,0,0,32,0,0,0,0,0
electric,2,0,0,0,0,0,0,0,0,0,0,0
light,3,0,0,0,0,0,17,0,0,0,4,0
day,0,0,0,0,0,0,22,0,0,0,0,0
time,0,0,0,0,0,0,48,0,0,0,1,0
street,0,0,0,0,0,0,16,0,0,0,0,0
dusty,2,0,0,0,0,0,0,0,0,0,0,0
night,0,0,0,0,0,0,30,0,0,0,0,0
dew,0,0,0,0,0,0,3,0,0,0,0,0
settle,0,0,0,0,0,0,0,0,0,0,2,0
dust,0,0,0,0,0,0,3,0,0,0,0,0
like,1,65,0,0,0,0,0,0,0,0,37,0
deaf,2,0,0,0,0,0,0,0,0,0,0,0
quiet,2,0,0,0,0,0,0,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,58,0
difference,0,0,0,0,0,0,9,0,0,0,0,0
waiter,0,0,0,0,0,0,50,0,0,0,0,0
inside,0,9,2,0,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,116,0
little,36,0,3,0,0,0,0,0,0,0,0,0
drunk,17,0,0,0,0,0,0,0,0,0,0,0
good,65,0,0,0,0,0,4,0,0,0,0,0
client,0,0,0,0,0,0,3,0,0,0,0,0
pay,0,0,0,0,0,0,1,0,0,0,8,0
keep,0,0,0,0,0,0,0,0,0,0,7,0
watch,0,0,0,0,0,0,2,0,0,0,20,0
week,0,0,0,0,0,0,6,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,24,0
commit,0,0,0,0,0,0,0,0,0,0,1,0
suicide,0,0,0,0,0,0,1,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,589,0
despair,0,0,0,0,0,0,1,0,0,0,0,0
plenty,0,0,0,0,0,0,6,0,0,0,0,0
money,0,0,0,0,0,0,7,0,0,0,0,0
table,0,0,0,0,0,0,46,0,0,0,0,0
close,5,0,8,0,0,0,0,0,0,0,4,0
wall,0,0,0,0,0,0,10,0,0,0,0,0
near,0,2,0,0,0,0,0,0,0,0,0,0
door,0,0,0,0,0,0,26,0,0,0,0,0
look,0,0,0,0,0,0,14,0,0,0,150,0
terrace,0,0,0,0,0,0,2,0,0,0,0,0
move,0,0,0,0,0,0,0,0,0,0,20,0
slightly,0,0,2,0,0,0,0,0,0,0,0,0
wind,0,0,0,0,0,0,13,0,0,0,2,0
girl,0,0,0,0,0,0,30,0,0,0,0,0
soldier,0,0,0,0,0,0,1,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,147,0
shine,0,0,0,0,0,0,0,0,0,0,4,0
brass,0,0,0,0,0,0,1,0,0,0,0,0
number,0,0,0,0,0,0,3,0,0,0,0,0
collar,0,0,0,0,0,0,1,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,0,0,12,0
head,0,0,0,0,0,0,42,0,0,0,0,0
