word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB
year,0,0,0,0,0,0,39,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,26
south,0,0,0,0,0,0,1,0,0,0,0
family,0,0,0,0,0,0,41,0,0,0,0
own,0,0,0,0,0,0,0,0,0,0,2
large,16,0,0,0,0,0,0,0,0,0,0
area,0,0,0,0,0,0,1,0,0,0,0
land,0,0,0,0,0,0,5,0,0,0,0
country,0,0,0,0,0,0,8,0,0,0,0
house,0,0,0,0,0,0,66,0,0,0,0
recently,0,0,5,0,0,0,0,0,0,0,0
head,0,0,0,0,0,0,4,0,0,0,0
unmarried,1,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,54,0,0,0,0
great,45,0,0,0,0,0,0,0,0,0,0
age,0,0,0,0,0,0,5,0,0,0,0
invite,0,0,0,0,0,0,0,0,0,0,11
home,0,0,5,0,0,0,26,0,0,0,0
nephew,0,0,0,0,0,0,2,0,0,0,0
expect,0,0,0,0,0,0,0,0,0,0,26
inherit,0,0,0,0,0,0,0,0,0,0,4
wife,0,0,0,0,0,0,24,0,0,0,0
child,0,0,0,0,0,0,31,0,0,0,0
behave,0,0,0,0,0,0,0,0,0,0,8
kindly,0,0,4,0,0,0,0,0,0,0,0
thoughtfully,0,0,1,0,0,0,0,0,0,0,0
old,22,0,0,0,0,0,0,0,0,0,0
gentleman,0,0,0,0,0,0,14,0,0,0,0
interest,0,0,0,0,0,0,18,0,0,0,0
fortune,0,0,0,0,0,0,19,0,0,0,0
goodness,0,0,0,0,0,0,1,0,0,0,0
heart,0,0,0,0,0,0,30,0,0,0,0
able,17,0,0,0,0,0,0,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,0,20
comfortably,0,0,5,0,0,0,0,0,0,0,0
pleasant,19,0,0,0,0,0,0,0,0,0,0
cheerful,13,0,0,0,0,0,0,0,0,0,0
companion,0,0,0,0,0,0,5,0,0,0,0
son,0,0,0,0,0,0,8,0,0,0,0
present,11,0,0,0,0,0,5,0,0,0,0
daughter,0,0,0,0,0,0,31,0,0,0,0
respectable,5,0,0,0,0,0,0,0,0,0,0
young,64,0,1,0,0,0,0,0,0,0,0
receive,0,0,0,0,0,0,0,0,0,0,20
inheritance,0,0,0,0,0,0,4,0,0,0,0
mother,0,0,0,0,0,0,87,0,0,0,0
add,0,0,0,0,0,0,0,0,0,0,11
wealth,0,0,0,0,0,0,7,0,0,0,0
marriage,0,0,0,0,0,0,29,0,0,0,0
important,6,0,0,0,0,0,0,0,0,0,0
sister,0,0,0,0,0,0,97,0,0,0,0
little,29,0,3,0,0,0,0,0,0,0,0
money,0,0,0,0,0,0,22,0,0,0,0
die,0,0,0,0,0,0,0,0,0,0,5
discover,0,0,0,0,0,0,0,0,0,0,9
leave,0,0,0,0,0,0,3,0,0,0,59
like,1,17,0,0,0,0,0,0,0,0,15
use,0,0,0,0,0,0,5,0,0,0,4
lifetime,0,0,0,0,0,0,2,0,0,0,0
death,0,0,0,0,0,0,7,0,0,0,0
pass,0,0,0,0,0,0,0,0,0,0,9
fond,7,0,0,0,0,0,0,0,0,0,0
small,13,0,0,0,0,0,0,0,0,0,0
boy,0,0,0,0,0,0,5,0,0,0,0
occasional,2,0,0,0,0,0,0,0,0,0,0
visit,0,0,0,0,0,0,16,0,0,0,27
spoilt,2,0,0,0,0,0,0,0,0,0,0
prefer,0,0,0,0,0,0,0,0,0,0,5
gentle,4,0,0,0,0,0,0,0,0,0,0
spite,0,0,0,0,0,0,13,0,0,0,0
love,0,0,0,0,0,0,23,0,0,0,26
care,0,0,0,0,0,0,10,0,0,0,4
unkindness,0,0,0,0,0,0,2,0,0,0,0
intend,0,0,0,0,0,0,0,0,0,0,5
sign,0,0,0,0,0,0,4,0,0,0,0
affection,0,0,0,0,0,0,22,0,0,0,0
girl,0,0,0,0,0,0,19,0,0,0,0
thousand,0,0,0,0,0,0,0,16,0,0,0
pound,0,0,0,0,0,0,20,0,0,0,0
bitterly,0,0,3,0,0,0,0,0,0,0,0
disappoint,0,0,0,0,0,0,0,0,0,0,3
want,0,0,0,0,0,0,0,0,0,0,19
soon,0,0,59,0,0,0,0,0,0,0,0
realize,0,0,0,0,0,0,0,0,0,0,17
careful,2,0,0,0,0,0,0,0,0,0,0
save,0,0,0,0,0,0,0,0,0,0,3
provide,0,0,0,0,0,0,0,0,0,0,2
generously,0,0,3,0,0,0,0,0,0,0,0
unfortunately,0,0,9,0,0,0,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,7
plan,0,0,0,0,0,0,8,0,0,0,11
survive,0,0,0,0,0,0,0,0,0,0,1
uncle,0,0,0,0,0,0,5,0,0,0,0
remain,0,0,0,0,0,0,0,0,0,0,10
widow,0,0,0,0,0,0,4,0,0,0,0
send,0,0,0,0,0,0,0,0,0,0,17
beg,0,0,0,0,0,0,0,0,0,0,14
stepmother,0,0,0,0,0,0,5,0,0,0,0
strong,10,0,0,0,0,0,0,0,0,0,0
feeling,0,0,0,0,0,0,39,0,0,0,0
rest,0,0,0,0,0,0,8,0,0,0,1
request,0,0,0,0,0,0,2,0,0,0,1
time,0,0,0,0,0,0,54,0,0,0,0
naturally,0,0,3,0,0,0,0,0,0,0,0
effect,0,0,0,0,0,0,3,0,0,0,0
promise,0,0,0,0,0,0,13,0,0,0,13
father,0,0,0,0,0,0,14,0,0,0,0
comfortable,13,0,0,0,0,0,0,0,0,0,0
bad,8,0,0,0,0,0,0,0,0,0,0
cold,7,0,0,0,0,0,1,0,0,0,0
hearted,3,0,0,0,0,0,0,0,0,0,0
selfish,7,0,0,0,0,0,0,0,0,0,0
general,3,0,0,0,0,0,0,0,0,0,0
respected,2,0,0,0,0,0,0,0,0,0,0
marry,0,0,0,0,0,0,0,0,0,0,41
woman,0,0,0,0,0,0,26,0,0,0,0
probably,0,0,4,0,0,0,0,0,0,0,0
dead,4,0,0,0,0,0,0,0,0,0,0
bury,0,0,0,0,0,0,0,0,0,0,1
arrive,0,0,0,0,0,0,0,0,0,0,17
unexpectedly,0,0,2,0,0,0,0,0,0,0,0
servant,0,0,0,0,0,0,11,0,0,0,0
wish,0,0,0,0,0,0,9,0,0,0,25
clear,9,0,0,0,0,0,0,0,0,0,0
belong,0,0,0,0,0,0,0,0,0,0,2
husband,0,0,0,0,0,0,17,0,0,0,0
moment,0,0,0,0,0,0,28,0,0,0,0
need,0,0,0,0,0,0,9,0,0,0,11
invitation,0,0,0,0,0,0,8,0,0,0,0
law,0,0,0,0,0,0,27,0,0,0,0
situation,0,0,0,0,0,0,10,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,0,17
unforgivable,1,0,0,0,0,0,0,0,0,0,0
fact,0,0,0,0,0,0,9,0,0,0,0
sensitive,2,0,0,0,0,0,0,0,0,0,0
generous,9,0,0,0,0,0,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,64
strongly,0,0,5,0,0,0,0,0,0,0,0
unpleasant,3,0,0,0,0,0,0,0,0,0,0
behaviour,0,0,0,0,0,0,26,0,0,0,0
immediately,0,0,13,0,0,0,0,0,0,0,0
eld,15,0,0,0,0,0,0,0,0,0,0
reconsider,0,0,0,0,0,0,0,0,0,0,1
advice,0,0,0,0,0,0,3,0,0,0,0
useful,3,0,0,0,0,0,0,0,0,0,0
deal,0,0,0,0,0,0,3,0,0,0,0
intelligence,0,0,0,0,0,0,5,0,0,0,0
common,2,0,0,0,0,0,0,0,0,0,0
sense,0,0,0,0,0,0,4,0,0,0,0
nineteen,0,0,0,0,0,0,0,2,0,0,0
frequently,0,0,2,0,0,0,0,0,0,0,0
act,0,0,0,0,0,0,0,0,0,0,1
adviser,0,0,0,0,0,0,1,0,0,0,0
advantage,0,0,0,0,0,0,4,0,0,0,0
persuade,0,0,0,0,0,0,0,0,0,0,15
hold,0,0,0,0,0,0,1,0,0,0,9
violent,4,0,0,0,0,0,0,0,0,0,0
enthusiasm,0,0,0,0,0,0,1,0,0,0,0
likely,2,0,1,0,0,0,0,0,0,0,0
lead,0,0,0,0,0,0,0,0,0,0,3
difficulty,0,0,0,0,0,0,7,0,0,0,0
excellent,7,0,0,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,97
control,0,0,0,0,0,0,7,0,0,0,5
learn,0,0,0,0,0,0,0,0,0,0,5
decide,0,0,0,0,0,0,0,0,0,0,13
clever,4,0,0,0,0,0,0,0,0,0,0
unlike,1,4,0,0,0,0,0,0,0,0,0
eager,9,0,0,0,0,0,0,0,0,0,0
express,0,0,0,0,0,0,0,0,0,0,16
similar,1,0,0,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,41
concern,0,0,0,0,0,0,8,0,0,0,1
