word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
meet,0,0,0,0,0,0,0,0,0,0,23,0
astray,0,0,1,0,0,0,0,0,0,0,0,0
fold,0,0,0,0,0,0,11,0,0,0,0,0
resolve,0,0,0,0,0,0,2,0,0,0,10,0
lay,0,0,0,0,0,0,0,0,0,0,16,0
violent,6,0,0,0,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,39,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,92,0
plea,0,0,0,0,0,0,1,0,0,0,0,0
justify,0,0,0,0,0,0,0,0,0,0,1,0
right,4,0,5,0,0,0,6,0,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,0,51,0
address,0,0,0,0,0,0,0,0,0,0,19,0
year,0,0,0,0,0,0,13,0,0,0,0,0
grossly,0,0,1,0,0,0,0,0,0,0,0,0
insult,0,0,0,0,0,0,4,0,0,0,1,0
bleat,0,0,0,0,0,0,0,0,0,0,1,0
mournful,1,0,0,0,0,0,0,0,0,0,0,0
tone,0,0,0,0,0,0,4,0,0,0,0,0
voice,0,0,0,0,0,0,16,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,0,20,0
say,0,0,0,0,0,0,0,0,0,0,312,0
feed,0,0,0,0,0,0,1,0,0,0,27,0
pasture,0,0,0,0,0,0,6,0,0,0,2,0
good,60,0,0,0,0,0,7,0,0,0,0,0
sir,0,0,0,0,0,0,9,0,0,0,0,0
reply,0,0,0,0,0,0,3,0,0,0,109,0
taste,0,0,0,0,0,0,0,0,0,0,3,0
grass,0,0,0,0,0,0,2,0,0,0,0,0
drink,0,0,0,0,0,0,2,0,0,0,20,0
exclaim,0,0,0,0,0,0,0,0,0,0,26,0
water,0,0,0,0,0,0,42,0,0,0,1,0
mother,0,0,0,0,0,0,23,0,0,0,0,0
milk,0,0,0,0,0,0,9,0,0,0,0,0
food,0,0,0,0,0,0,49,0,0,0,0,0
seize,0,0,0,0,0,0,0,0,0,0,32,0
remain,0,0,0,0,0,0,0,0,0,0,14,0
supperless,4,0,0,0,0,0,0,0,0,0,0,0
refute,0,0,0,0,0,0,0,0,0,0,2,0
imputation,0,0,0,0,0,0,1,0,0,0,0,0
tyrant,0,0,0,0,0,0,1,0,0,0,0,0
pretext,0,0,0,0,0,0,1,0,0,0,0,0
