word,level
prehistoric,BEYOND
time,B2
people,A1
create,A1
tool,A2
order,A1
save,A2
energy,A2
perform,A2
work,A1
fast,A1
computer,A1
sophisticated,B2
machine,A1
user,A2
instantly,B2
communicate,A2
globe,B2
learn,A1
new,A1
skill,A1
diverse,B2
community,A2
process,B2
astronomical,BEYOND
datum,BEYOND
news,A1
weather,A1
buy,A1
sell,A1
good,A2
recent,A2
addition,B1
history,A1
reason,A1
evolution,B2
want,A1
effectively,B1
common,A1
way,B2
get,A1
add,A1
job,A1
replace,A2
need,B1
additional,B2
worker,A1
certain,A2
thing,A1
well,C1
human,A2
brain,A2
capable,B2
high,B2
thought,A2
like,B1
empathy,BEYOND
creativity,B2
lateral,BEYOND
thinking,A2
difficult,A1
replicate,BEYOND
push,B1
digital,A2
computing,BEYOND
happen,A1
thousand,A1
year,A1
mathematical,C1
advance,B2
math,BEYOND
ancient,A2
field,A2
attempt,B2
easy,A1
invent,A2
prior,B2
advent,BEYOND
require,B1
great,A1
deal,B1
manual,BEYOND
labor,BEYOND
limited,B2
output,B2
electronics,B2
factory,A2
historical,B1
circumstance,B2
outside,A2
commercial,B1
development,B1
essential,B1
raise,A2
question,A2
use,A2
collect,A2
information,A1
gain,B2
advantage,A2
opponent,B2
conflict,B2
lead,B1
spy,C1
effort,B1
involve,A2
translate,B1
code,A2
german,BEYOND
message,A1
intelligible,BEYOND
language,A1
afterward,BEYOND
space,A1
race,B1
ability,A2
compete,A2
flight,A1
come,A1
forefront,BEYOND
world,A1
attention,A2
follow,A1
immensely,BEYOND
small,A1
efficient,B2
future,A2
concern,B2
artificial,B2
intelligence,B1
outdo,BEYOND
task,A2
security,B1
centered,BEYOND
life,A1
lesson,A1
past,A2
help,A1
determine,B1
compute,C1
humble,C1
beginning,A1
precursor,BEYOND
monumentally,BEYOND
important,A1
device,A2
store,B1
large,A1
amount,B2
aid,B2
scientific,B1
calculation,C1
accessible,C1
elite,C1
began,BEYOND
calculator,BEYOND
early,A1
abacus,BEYOND
system,A2
string,B1
move,B1
bead,BEYOND
allow,A2
big,A1
finger,A2
set,B1
formation,B2
subsequent,B2
different,A1
closely,B2
mimic,BEYOND
today,A1
see,A1
century,A1
commonly,B2
day,A1
lab,A2
office,A1
kindergarten,BEYOND
grade,B1
school,A1
classroom,A1
demonstrate,B2
low,B2
level,B1
concept,B2
form,A1
slide,B2
rule,B1
regard,B2
successful,A2
analog,BEYOND
develop,A2
english,BEYOND
mathematician,BEYOND
originally,B1
multiply,B2
divide,B1
number,A2
age,B1
damage,B1
piece,A1
french,BEYOND
scientist,A1
call,A1
connect,A2
gear,C1
multiple,B2
wheel,A2
cog,BEYOND
represent,B1
scale,B2
one,A1
place,B1
ten,A1
hundred,A1
positioning,BEYOND
position,B2
scope,C1
possible,A1
sense,B2
mechanical,B2
popular,A1
soon,A1
modify,B2
differential,BEYOND
integral,C1
calculus,BEYOND
engine,A2
outline,B2
steam,B2
drive,A2
contain,A2
input,B2
storage,C1
hard,A1
mill,C1
unit,A2
control,A2
size,A2
train,A2
part,A1
consider,A2
programmer,BEYOND
propose,B2
punch,C1
hole,A2
paper,A1
card,A1
configuration,C1
inspire,B2
loom,C1
similar,A1
technique,B1
weave,C1
silk,B2
complete,A1
despite,B1
nearly,A2
serve,A2
blueprint,BEYOND
modern,A1
initially,B2
gigantic,BEYOND
inflexible,BEYOND
completely,A2
immobile,BEYOND
prohibitively,BEYOND
costly,C1
name,A1
multi,BEYOND
count,B1
sort,B1
consolidate,C1
pre,BEYOND
determined,B1
perforation,BEYOND
perforated,BEYOND
board,B1
pin,B1
find,A1
electrical,A2
circuit,B2
transfer,B2
tabulate,BEYOND
resemble,C1
bulky,BEYOND
complicated,B2
typewriter,BEYOND
segment,C1
local,B1
city,A1
record,A2
award,B1
contract,B2
handle,B2
tabulator,BEYOND
compose,B2
staff,B1
operator,B2
able,A2
census,BEYOND
contrast,B1
previous,B1
take,A1
seven,A1
hand,B1
found,B2
begin,A1
mass,B2
production,B1
eventually,B1
official,B1
standard,B1
perforate,BEYOND
decade,B1
basis,B1
search,A2
knowledge,A2
build,A1
belgian,BEYOND
man,A1
government,A2
ambitious,B1
project,B2
previously,B1
devise,C1
category,B1
example,A1
literature,B1
mathematic,BEYOND
natural,A1
science,A1
subdivision,BEYOND
actual,B2
physical,A2
version,B1
internet,A1
include,A1
million,A1
catalog,BEYOND
drawer,BEYOND
house,B2
medium,B1
microfilm,BEYOND
photo,A1
communication,B1
company,A1
establish,B2
network,A2
telephone,A1
telegraph,BEYOND
telautograph,BEYOND
connection,B1
late,A1
electronic,A2
distant,B2
ancestor,B2
bizarre,C1
aboard,BEYOND
ship,B2
sink,B1
coast,A2
bce,BEYOND
dial,BEYOND
surface,B1
look,A2
historian,B2
unsure,BEYOND
true,A1
purpose,A2
believe,A1
anomaly,BEYOND
trace,C1
clear,B1
line,B2
predecessor,C1
successor,C1
technology,A2
remotely,BEYOND
story,A1
start,A2
shift,B1
technological,B2
advancement,BEYOND
team,A1
researcher,BEYOND
fund,B2
simply,B1
single,A2
person,A1
agree,A1
underlie,BEYOND
logic,C1
model,B2
available,A2
root,B2
candidate,B1
specific,A2
instruction,A2
function,B1
figure,B2
workable,BEYOND
switch,B1
sufficient,B2
foundation,B2
relay,BEYOND
light,A2
bulb,BEYOND
home,A2
kitchen,A1
table,A1
weekend,A1
design,A1
binary,BEYOND
foundational,BEYOND
technician,BEYOND
option,A2
branch,B1
algebra,BEYOND
calculate,B2
convert,B2
letter,A1
essentially,B2
solve,A2
arm,C1
innovation,B2
transform,B2
character,A2
war,A2
weaponry,BEYOND
espionage,BEYOND
reliable,B1
coordinated,BEYOND
provide,A2
breakthrough,C1
decode,BEYOND
secret,A2
military,B2
write,A1
relatively,B2
portable,BEYOND
constantly,B2
rotate,C1
inside,A2
encode,BEYOND
cipher,BEYOND
type,B1
mean,A1
repeat,B1
bbbbb,BEYOND
result,B1
jumbled,BEYOND
text,A2
additionally,B2
command,B2
