word,level
thousand,A1
year,A1
ago,A1
begin,A1
develop,A2
remarkable,B2
civilization,B2
ancient,A2
world,A1
time,B2
spread,B1
influence,B1
far,B1
wide,A2
expand,B1
border,B1
know,A1
today,A1
found,B2
city,A1
coast,A2
carry,A1
culture,A1
region,A2
impact,B1
end,A1
achievement,B1
politics,B1
philosophy,B2
science,A1
art,A1
form,A1
legacy,C1
unmatched,BEYOND
western,B1
day,A1
live,B1
self,B2
govern,B2
community,A2
call,A1
state,B1
famous,A1
create,A1
democracy,B2
word,A1
come,A1
greek,BEYOND
mean,A1
rule,B1
people,A1
widely,B2
political,B1
system,A2
show,A1
map,B2
boundary,C1
extent,B2
go,B1
modern,A1
country,A1
separate,B1
barrier,B2
sea,A1
mountain,A1
unite,B2
common,A1
language,A1
religion,B1
custom,B1
share,B1
body,A1
story,A1
god,A2
hero,A2
nature,A2
universe,B2
myth,B2
literature,B1
continue,A2
study,A1
interesting,A1
ready,A1
explore,B1
let,A1
discovery,A2
chapter,B1
life,A1
like,B1
class,A1
group,A1
distinct,B2
social,A2
ranking,C1
hierarchy,C1
privilege,C1
authority,B1
place,B1
naturally,B1
bear,B2
particularly,B1
man,A1
beneath,C1
resident,B2
relocate,BEYOND
metic,BEYOND
obligation,B2
native,B1
deny,B2
certain,A2
benefit,B1
citizenship,C1
include,A1
free,B2
slave,B2
low,B2
possess,B2
right,A1
freedman,BEYOND
consider,A2
citizen,B2
true,A1
adult,A2
male,A2
upper,B2
dominate,B2
public,A2
democratic,B2
government,A2
politic,BEYOND
represent,B1
small,A1
portion,B2
population,A2
well,C1
birthplace,BEYOND
percent,BEYOND
athenian,BEYOND
spend,A1
talk,A2
agora,BEYOND
marketplace,C1
exercise,A1
athletic,BEYOND
field,A2
perform,A2
military,B2
duty,B1
take,A1
festival,A1
law,A2
policy,B1
despite,B1
high,B2
standing,C1
allow,A2
publicly,BEYOND
criticize,B2
illustration,B2
layout,C1
open,A1
space,A1
serve,A2
meeting,A1
ground,A2
activity,A1
train,A2
think,A1
act,B1
tactically,BEYOND
powerful,B1
navy,BEYOND
strong,A1
power,B2
superior,C1
army,A2
spartan,BEYOND
age,B1
ceramic,BEYOND
plate,A2
depict,C1
battle,B1
king,A2
trojan,BEYOND
legendary,C1
conflict,B2
early,A1
defeat,B2
home,A2
child,A1
woman,A1
spin,C1
wove,BEYOND
household,B2
chore,BEYOND
house,B2
sun,A1
dry,A2
brick,B2
stand,B2
narrow,B2
wind,B2
street,A1
usually,A1
room,A1
surround,B2
private,B1
courtyard,BEYOND
apartment,A1
tiny,B1
bedroom,A1
design,A1
provide,A2
enjoy,A1
fresh,A2
air,A1
play,A1
quarter,A1
outdoor,B1
leave,B2
kind,B1
toy,A2
rattle,BEYOND
clay,BEYOND
animal,A1
horse,A1
pull,B1
string,B1
yo,BEYOND
doll,A1
servitude,BEYOND
labor,BEYOND
produce,B2
wealth,B2
give,A1
money,A1
pursue,B2
learning,A2
foreigner,C1
capture,B2
war,A2
kidnap,C1
barbarian,BEYOND
non,BEYOND
land,A2
guide,A2
chariot,BEYOND
fresco,BEYOND
vaulted,BEYOND
ceiling,B1
tomb,BEYOND
permit,B2
marry,A2
approval,B2
owner,A2
female,A2
nanny,BEYOND
general,A2
housework,BEYOND
cooking,A1
cleaning,BEYOND
require,B1
job,A1
work,A1
care,A2
handyman,BEYOND
garden,A1
accompany,B2
school,A1
chance,A2
obtain,B2
freedom,B2
frequently,B1
pay,A2
save,A2
buy,A1
set,B1
grateful,B1
master,B2
join,A1
alien,C1
miserable,B2
send,A1
gang,B2
silver,A2
mine,B1
underground,A2
corridor,B2
dim,BEYOND
light,A2
little,A2
lamp,A2
education,A2
different,A1
boy,A1
typically,B1
seven,A1
math,BEYOND
reading,A1
writing,A1
music,A1
debate,B2
girl,A1
attend,A2
instead,A2
mother,A1
teach,A1
sew,BEYOND
cook,A2
run,A2
soldier,A2
learn,A1
drill,BEYOND
gymnastic,BEYOND
endure,C1
pain,A2
hardship,BEYOND
complaint,B1
obey,B2
order,A1
absolutely,B1
question,A2
warrior,C1
wrestle,BEYOND
fistfight,BEYOND
handle,B2
weapon,B1
case,A2
need,B1
protect,A2
away,A1
explain,A1
involve,A2
tell,A1
great,A1
help,A1
thing,A1
happen,A1
treat,B1
wrong,B1
believe,A1
lesson,A1
follow,A1
angry,A1
punish,B1
major,A2
goddess,BEYOND
embody,C1
control,A2
specific,A2
natural,A1
force,B1
area,A1
chief,B2
sky,A2
thunder,BEYOND
lightning,BEYOND
rain,A1
brother,A1
underworld,BEYOND
olympian,BEYOND
son,A1
preside,C1
religious,B1
civil,B2
poetry,B1
healing,BEYOND
prophecy,BEYOND
messenger,BEYOND
road,A1
traveler,BEYOND
dream,A2
thief,A2
fire,B1
metalworking,BEYOND
peak,C1
mythology,BEYOND
sister,A1
wife,A1
marriage,B1
family,A1
favorite,BEYOND
daughter,A1
wisdom,B2
twin,A2
hunt,B1
wild,A2
love,A1
painting,A1
cup,A1
visible,B2
left,A1
addition,B1
numerous,B2
less,A2
one,A1
instance,B2
grain,B1
wine,A1
fruitfulness,BEYOND
rural,B2
fertility,BEYOND
medicine,A2
human,A2
being,B2
amazing,A1
feat,C1
element,B1
tradition,A2
folktale,BEYOND
fiction,A2
long,A1
journey,A1
fight,A2
monster,B2
kill,A2
winged,BEYOND
snake,A1
hair,A1
look,A2
turn,A1
stone,A2
shield,BEYOND
mirror,A2
cut,B1
head,B1
blood,A2
mosaic,BEYOND
floor,A1
person,A1
bull,BEYOND
offspring,C1
sacrifice,C1
keep,A1
alive,A2
punishment,B1
fall,A2
lock,A2
labyrinth,BEYOND
maze,BEYOND
periodically,BEYOND
eat,A1
flesh,C1
volunteer,B1
tribute,C1
advice,A1
gift,A2
strength,B1
trick,B1
task,A2
earn,A2
forgiveness,BEYOND
slay,BEYOND
serpent,BEYOND
grow,A1
prevent,A2
nephew,BEYOND
hold,B2
torch,BEYOND
neck,A2
burn,B2
root,B2
statue,B1
headed,BEYOND
placate,BEYOND
lasting,BEYOND
remain,B1
unrivaled,BEYOND
source,A2
imaginative,BEYOND
idea,A1
painter,A2
sculptor,BEYOND
poet,B1
writer,A1
present,A2
inspire,B2
discover,A2
theme,B1
significant,B2
relevant,B2
artist,A1
borrow,A2
retell,BEYOND
way,B2
eld,BEYOND
rest,A2
heaven,B2
hate,B1
imprison,C1
inside,A2
lead,B1
rebel,C1
eventually,B1
lose,A1
accord,BEYOND
banish,BEYOND
deep,B1
roman,BEYOND
adopt,B2
counterpart,C1
correspond,C1
sense,B2
collection,B1
independent,A2
countryside,B1
unit,A2
polis,BEYOND
english,BEYOND
capable,B2
maintain,B2
independence,B2
enlist,BEYOND
diversity,B2
size,A2
prosperity,C1
tyrant,BEYOND
fact,A1
type,B1
pass,B1
stage,B2
eighth,BEYOND
seventh,BEYOND
century,A1
bce,BEYOND
disappear,A2
monarchy,BEYOND
oligarchy,BEYOND
oligarchic,BEYOND
successor,C1
wealthy,B2
landowne,BEYOND
noble,C1
eupatridae,BEYOND
wellborn,BEYOND
rivalry,BEYOND
discontent,BEYOND
oppress,BEYOND
masse,BEYOND
soon,A1
appear,A2
die,A1
second,A2
firm,B2
effective,B1
ruler,A1
exploit,B2
commercial,B1
cultural,B1
potential,B2
unlike,B1
use,A2
negative,B2
tyranny,BEYOND
eupatrid,BEYOND
seize,C1
absolute,B2
promise,A2
inflict,C1
landholding,BEYOND
term,B2
merely,C1
kingly,BEYOND
qualification,B1
royal,B1
descent,C1
stepping,BEYOND
beginning,A1
fifth,A1
emerge,B2
history,A1
president,A2
prime,B2
minister,B2
period,A1
official,B1
archon,BEYOND
choose,A1
lot,A1
heart,A2
meet,A1
weekly,B2
decide,A1
participate,B1
thirty,A1
eligible,C1
discussion,A2
member,A1
vote,B1
hand,B1
simple,A2
majority,B2
prevail,C1
twentieth,BEYOND
engraving,BEYOND
loosely,BEYOND
organize,A2
tumultuous,BEYOND
matter,A2
agenda,B2
compose,B2
representative,B2
ordinary,A2
district,B2
allot,BEYOND
number,A2
rough,B1
proportion,B2
election,B1
foreshadow,BEYOND
later,A2
put,A1
jointly,BEYOND
council,B2
elder,BEYOND
consist,B1
forth,C1
assembly,C1
generally,B1
expect,A2
approve,B2
proposal,B2
greatly,B2
outnumber,BEYOND
persian,BEYOND
invasion,B2
ultimately,B2
ephor,BEYOND
overseer,BEYOND
balance,B1
responsible,B1
execution,C1
judge,B1
crime,A2
arrest,B1
elect,B2
annually,B2
direct,B1
discuss,A1
possible,A1
relatively,B2
gather,B1
practice,A1
large,A1
legislature,C1
behalf,C1
important,A1
especially,A2
thinker,BEYOND
immeasurable,BEYOND
society,A2
philosopher,C1
name,A1
tower,A2
rank,B2
moral,B2
teacher,A1
challenge,B1
virtue,C1
attain,C1
truth,B1
dedicate,BEYOND
uncover,BEYOND
find,A1
interested,A1
fame,B2
wander,B2
listen,A1
ask,A1
answer,A1
poke,BEYOND
hole,A2
faulty,BEYOND
argument,A2
write,A1
preserve,B2
admirer,BEYOND
notably,C1
center,BEYOND
symbolic,C1
suggest,A2
philosophical,C1
dominance,C1
appreciate,B1
mob,C1
leader,A2
genius,B2
expose,B2
pompous,BEYOND
fraud,B2
enemy,B1
foe,BEYOND
charge,B1
neglect,C1
corruption,C1
young,B1
false,A1
politically,BEYOND
convenient,B1
sentence,B2
death,A2
poisoning,BEYOND
jury,B2
fellow,B2
oil,A2
illustrate,B2
scene,A2
foremost,BEYOND
pupil,B2
recorder,BEYOND
conversation,A1
dialogue,A1
conversational,BEYOND
style,A1
friend,A1
sided,BEYOND
theory,B1
knowledge,A2
conduct,B2
masterpiece,BEYOND
justice,B2
describe,A1
ideal,B2
bust,BEYOND
display,B2
forerunner,BEYOND
college,A1
university,A1
devote,B2
scientific,B1
research,A2
primarily,B2
