word,level
young,B1
vulnerable,C1
year,A1
father,A1
give,A1
advice,A1
turn,A1
mind,A2
feel,B2
like,B1
criticize,B2
tell,A1
remember,A1
people,A1
world,A1
advantage,A2
unusually,BEYOND
communicative,BEYOND
reserved,BEYOND
way,B2
understand,A1
mean,A1
great,A1
deal,B1
consequence,B1
incline,BEYOND
reserve,B2
judgment,BEYOND
habit,A2
open,A1
curious,B2
nature,A2
victim,B1
veteran,C1
bore,BEYOND
abnormal,BEYOND
quick,A1
detect,B2
attach,B1
quality,A2
appear,A2
normal,B1
person,A1
come,A1
college,A1
unjustly,BEYOND
accuse,B2
politician,B1
privy,BEYOND
secret,A2
grief,C1
wild,A2
unknown,B2
man,A1
confidence,B2
unsought,BEYOND
frequently,B1
feign,BEYOND
sleep,A2
preoccupation,BEYOND
hostile,C1
levity,BEYOND
realize,A2
unmistakable,BEYOND
sign,A2
intimate,C1
revelation,C1
quiver,BEYOND
horizon,C1
term,B2
express,A2
usually,A1
plagiaristic,BEYOND
marred,BEYOND
obvious,B1
suppression,BEYOND
matter,A2
infinite,BEYOND
hope,A2
little,A2
afraid,A1
miss,BEYOND
forget,A1
snobbishly,BEYOND
suggest,A2
repeat,B1
sense,B2
fundamental,B2
decency,BEYOND
parcel,BEYOND
unequally,BEYOND
birth,A2
boast,C1
tolerance,C1
admission,C1
limit,B1
conduct,B2
found,B2
hard,A1
rock,C1
wet,A2
marsh,BEYOND
certain,A2
point,B1
care,A2
autumn,A1
want,A1
uniform,A2
sort,B1
moral,B2
attention,A2
forever,B1
riotous,BEYOND
excursion,BEYOND
privileged,BEYOND
glimpse,C1
human,A2
heart,A2
book,A2
exempt,BEYOND
reaction,B1
represent,B1
unaffected,BEYOND
scorn,BEYOND
personality,A2
unbroken,BEYOND
series,A2
successful,A2
gesture,B2
gorgeous,B2
heightened,BEYOND
sensitivity,C1
promise,A2
life,A1
relate,B1
intricate,BEYOND
machine,A1
register,B2
earthquake,B1
thousand,A1
mile,A1
away,A1
responsiveness,BEYOND
flabby,BEYOND
impressionability,BEYOND
dignify,BEYOND
creative,A2
temperament,BEYOND
extraordinary,B2
gift,A2
romantic,B1
readiness,BEYOND
find,A1
likely,A2
shall,A2
right,A1
end,A1
prey,C1
foul,BEYOND
dust,B1
float,B2
wake,A1
dream,A2
temporarily,B2
close,B1
interest,A1
abortive,BEYOND
sorrow,BEYOND
short,A1
winded,BEYOND
elation,BEYOND
family,A1
prominent,C1
middle,A2
western,B1
city,A1
generation,B1
clan,BEYOND
tradition,A2
descend,C1
actual,B2
founder,B2
line,B2
grandfather,A1
brother,A1
send,A1
substitute,C1
start,A2
wholesale,BEYOND
hardware,C1
business,A1
carry,A1
today,A1
see,A1
uncle,A1
suppose,A2
look,A2
special,A1
reference,B1
boiled,BEYOND
painting,A1
hang,B1
office,A1
graduate,B1
quarter,A1
century,A1
later,A2
participate,B1
delay,B2
teutonic,BEYOND
migration,C1
know,A1
enjoy,A1
counter,C1
raid,C1
thoroughly,B2
restless,BEYOND
instead,A2
warm,B1
center,BEYOND
west,A1
ragged,BEYOND
edge,B1
universe,B2
decide,A1
east,A1
learn,A1
bond,B2
everybody,A1
support,A2
single,A2
aunt,A1
talk,A2
choose,A1
prep,BEYOND
school,A1
finally,A2
say,C1
grave,BEYOND
hesitant,BEYOND
face,B1
agree,A1
finance,B2
permanently,B2
think,A1
spring,B1
practical,B1
thing,A1
room,A1
season,A2
leave,B2
country,A1
wide,A2
lawn,C1
friendly,A1
tree,A1
house,B2
commute,BEYOND
town,A1
sound,C1
idea,A1
weather,A1
beat,B2
cardboard,BEYOND
bungalow,BEYOND
eighty,A1
month,A1
minute,C1
firm,B2
order,A1
go,B1
dog,A1
day,A1
run,A2
old,A1
finnish,BEYOND
woman,A1
bed,A1
cook,A2
breakfast,A1
mutter,BEYOND
wisdom,B2
electric,A2
stove,BEYOND
lonely,B1
morning,A1
recently,A2
arrive,A1
stop,A1
road,A1
village,A1
ask,A1
helplessly,BEYOND
walk,A1
long,A1
guide,A2
pathfinder,BEYOND
original,B1
settler,B2
casually,BEYOND
confer,C1
freedom,B2
neighborhood,BEYOND
sunshine,BEYOND
burst,C1
grow,A1
fast,A1
movie,A1
familiar,B1
conviction,C1
begin,A1
summer,A1
read,A1
fine,C1
health,A1
pull,B1
breath,B1
air,A1
buy,A1
dozen,B2
volume,B2
banking,BEYOND
credit,B2
investment,B2
security,B1
stand,B2
shelf,B1
red,A1
gold,A2
new,A1
money,A1
mint,BEYOND
unfold,B2
shining,BEYOND
high,B2
intention,B1
literary,B2
write,A1
solemn,BEYOND
editorial,B2
bring,A1
limited,B2
specialist,B2
round,B2
epigram,BEYOND
successfully,B1
window,A1
chance,A2
rent,B1
strange,A2
community,A2
slender,BEYOND
island,A1
extend,B2
natural,A1
