word,level
small,A1
child,A1
manage,A2
everybody,A1
call,A1
live,B1
village,A1
sister,A1
year,A1
old,A1
married,A1
blacksmith,BEYOND
parent,A1
die,A1
baby,A1
remember,A1
visit,A1
churchyard,BEYOND
mile,A1
look,A2
name,A1
gravestone,BEYOND
memory,A2
sit,A1
cold,A1
grey,A1
afternoon,A1
dark,A2
flat,A2
wild,A2
marsh,BEYOND
divide,B1
black,A1
line,B2
listen,A1
rush,B2
sound,C1
sea,A1
distance,A2
word,A1
cry,B2
terrible,A1
voice,A2
man,A1
jump,A2
grave,BEYOND
catch,B2
hold,B2
shout,A2
cut,B1
throat,B1
big,A1
dress,A1
iron,B1
chain,B1
leg,A1
clothe,BEYOND
wet,A2
torn,BEYOND
exhausted,BEYOND
hungry,A1
fierce,C1
frightened,B1
life,A1
sir,A2
beg,B2
terror,B2
tell,A1
boy,A1
quick,A1
say,C1
pick,B2
turn,A1
upside,BEYOND
fall,A2
pocket,A2
piece,A1
bread,A1
eat,A1
bite,B1
like,B1
dog,A1
father,A1
mother,A1
ask,A1
answer,A1
point,B1
run,A2
see,A1
dead,A2
let,A1
decide,A1
wife,A1
arm,C1
stare,B2
fiercely,BEYOND
eye,A1
bring,A1
file,B1
know,A1
food,A1
heart,A2
promise,A2
badly,A2
body,A1
tremble,BEYOND
continue,A2
smile,A2
unpleasantly,BEYOND
travel,A1
young,B1
friend,A1
roast,BEYOND
find,A1
wooden,A2
shelter,B2
early,A1
tomorrow,A1
morning,A1
want,A1
watch,A1
walk,A1
difficulty,B1
hang,B1
clumsily,BEYOND
home,A2
fast,A1
proud,B1
fact,A1
hand,B1
explain,A1
mean,A1
hard,A1
heavy,A2
freely,B2
husband,A1
suppose,A2
beautiful,A1
woman,A1
tall,A1
thin,A2
hair,A1
red,A1
face,B1
clearly,A2
feel,B2
cause,A2
lot,A1
trouble,B2
frequently,B1
complain,A2
gentle,B1
kind,B1
fair,A2
weak,A2
blue,A1
quietly,A2
