word,level
find,A1
squint,BEYOND
orange,A1
sun,A1
eye,A1
raise,A2
hand,B1
push,B1
hat,A1
forward,B2
lower,B2
control,A2
alter,B2
pulse,C1
rate,B2
contragravity,BEYOND
field,A2
generator,BEYOND
lift,A2
manipulator,BEYOND
foot,A1
moment,A1
sit,A1
puff,BEYOND
short,A1
pipe,B1
yellow,A1
corner,A2
white,A1
mustache,BEYOND
look,A2
red,A1
rag,BEYOND
tie,A2
bush,B2
rock,C1
face,B1
gorge,BEYOND
yard,B1
away,A1
smile,A2
anticipation,BEYOND
good,A2
tell,A1
aloud,BEYOND
manner,A2
man,A1
long,A1
company,A1
want,A1
remember,A1
thousand,A1
blast,C1
shot,B2
fire,B1
year,A1
planet,A2
include,A1
thermonuclear,BEYOND
different,A1
watch,A1
little,A2
like,B1
flip,BEYOND
switch,B1
thumb,B2
discharger,BEYOND
button,A2
send,A1
radio,A1
impulse,BEYOND
vanish,C1
upsurge,BEYOND
smoke,A2
dust,B1
mount,B2
turn,A1
copper,C1
sunlight,BEYOND
touch,B1
big,A1
weightless,BEYOND
gently,BEYOND
fall,A2
debris,C1
pelt,BEYOND
tree,A1
splash,BEYOND
stream,B2
wait,A2
till,B1
machine,A1
stabilize,C1
glide,BEYOND
rip,C1
gash,BEYOND
cliff,B2
charge,B1
cataclysmite,BEYOND
bring,A1
lot,A1
sandstone,BEYOND
crack,B2
vein,C1
flint,BEYOND
throw,A2
slab,BEYOND
loose,B2
extend,B2
claw,BEYOND
arm,C1
pull,B1
tug,BEYOND
underside,BEYOND
grapple,BEYOND
pick,B2
chunk,C1
drop,B1
flat,A2
ground,A2
break,A1
work,A1
rest,A2
day,A1
set,B1
get,A1
toolbox,BEYOND
handled,BEYOND
lifter,BEYOND
climb,B1
open,A1
box,A1
glove,B1
eyescreen,BEYOND
microray,BEYOND
scanner,BEYOND
vibrohammer,BEYOND
give,A1
uninterrupted,BEYOND
pattern,A2
homogenous,BEYOND
structure,B2
swing,C1
fifteenth,BEYOND
interruption,BEYOND
sunstone,BEYOND
probably,A1
inside,A2
million,A1
ago,A1
call,A1
young,B1
exist,A2
marine,C1
life,A1
form,A1
jellyfish,A1
die,A1
sink,B1
sea,A1
ooze,BEYOND
sand,B1
cover,B1
press,B1
tighter,BEYOND
glassy,BEYOND
entomb,BEYOND
bean,A2
dense,C1
stone,A2
ancient,A2
biochemical,BEYOND
quirk,BEYOND
intensely,BEYOND
thermofluorescent,BEYOND
wear,A1
gem,BEYOND
glow,BEYOND
wearer,BEYOND
body,A1
heat,A2
single,A2
cut,B1
polished,BEYOND
worth,B1
small,A1
fortune,B2
respectable,BEYOND
price,B2
buyer,BEYOND
keep,A1
point,B1
expectation,B2
safely,BEYOND
low,B2
begin,A1
chip,A2
cautiously,BEYOND
foreign,A2
object,B2
split,B2
reveal,B2
smooth,B1
ellipsoid,BEYOND
half,A2
inch,B2
sol,BEYOND
comment,B1
deft,BEYOND
tap,B2
come,A1
rub,B2
gloved,BEYOND
palm,B2
think,A1
hard,A1
hold,B2
hot,A1
bowl,A2
respond,A2
live,B1
right,A1
move,B1
brush,A2
dry,A2
rustling,BEYOND
reach,B2
hip,B2
see,A1
noise,A2
shelled,BEYOND
thing,A1
length,B1
leg,A1
antennae,BEYOND
pair,A1
clawed,BEYOND
mandible,BEYOND
stop,A1
shard,BEYOND
oath,BEYOND
damned,BEYOND
infernal,BEYOND
land,A2
prawn,BEYOND
detest,BEYOND
horrible,B1
course,A1
fault,B2
destructive,C1
camp,A2
try,B2
eat,A1
crawl,C1
machinery,C1
possibly,B1
lubrication,BEYOND
tasty,BEYOND
cause,A2
jam,A2
electric,A2
insulation,BEYOND
bedding,BEYOND
bite,B1
pinch,BEYOND
painfully,BEYOND
love,A1
dodge,BEYOND
scuttle,BEYOND
wave,B1
derision,BEYOND
check,A2
motion,B2
pistol,BEYOND
cartridge,BEYOND
cost,A1
crazy,A2
waste,B1
fit,C1
childish,BEYOND
