word,level
work,A1
hard,A1
morning,A1
clean,A1
little,A2
home,A2
brush,A2
wash,A2
floor,A1
wall,A1
stand,B2
chair,B2
top,C1
cupboard,A2
get,A1
bed,A1
take,A1
carpet,A2
arm,C1
ache,BEYOND
tiredness,BEYOND
springtime,BEYOND
smell,A2
sound,C1
spring,B1
dark,A2
house,B2
ground,A2
come,A1
promise,A2
change,A1
sunshine,BEYOND
new,A1
green,A1
leave,B2
surprising,A2
suddenly,A2
say,C1
bother,B1
tired,A1
call,A1
run,A2
begin,A1
dig,B2
way,B2
upwards,B2
sun,A1
push,B1
nose,A1
sunlight,BEYOND
find,A1
warm,B1
grass,A2
field,A2
fine,C1
well,C1
air,A1
fill,A1
song,A1
bird,A1
give,A1
jump,A2
happiness,B1
shake,B1
cross,A2
tree,A1
go,B1
wood,A2
look,A2
listen,A1
animal,A1
busy,A1
talk,A2
laugh,A1
food,A1
make,B2
enjoy,A1
river,A1
see,A1
life,A1
wonderful,A1
bright,A2
shine,B1
thing,A1
dance,A1
shadow,B2
minute,C1
hurry,B1
love,A1
walk,A1
bank,B1
watch,A1
time,B2
sit,A1
opposite,A1
hole,A2
dreamily,BEYOND
think,A1
pleasant,B1
soon,A1
eye,A1
face,B1
appear,A2
brown,A1
whisker,BEYOND
small,A1
ear,A1
thick,A2
shiny,B1
hair,A1
hello,A1
like,B1
ask,A1
easy,A1
crossly,BEYOND
know,A1
disappear,A2
blue,A1
white,A1
boat,A1
quickly,A1
stop,A1
moment,A1
later,A2
great,A1
surprise,A2
excitement,B1
actually,A2
real,A1
row,B1
away,A1
cry,B2
dear,A2
fellow,B2
live,B1
believe,A1
seriously,B1
nice,A1
mess,B1
stay,A2
matter,A2
want,A1
today,A1
spend,A1
day,A1
interest,A1
comfortable,A2
seat,B2
let,A1
start,A2
rat,B2
carry,A1
large,A1
heavy,A2
lunch,A1
basket,B2
foot,A1
friend,A1
turn,A1
big,A1
join,A1
soft,A2
tall,A1
willow,BEYOND
quiet,A1
peaceful,B1
beautiful,A1
place,B1
happily,A2
open,A1
happy,A1
obey,B2
hungry,A1
cleaning,BEYOND
early,A1
cold,A1
meat,A1
egg,A1
sandwich,A1
cook,A2
chicken,A1
tomato,A1
apple,A1
banana,A1
cake,A1
eat,A1
lie,B1
lazily,BEYOND
long,A1
line,B2
bubble,B1
water,B1
wonder,B1
oho,BEYOND
friendly,A1
kind,B1
wet,A2
whiskery,BEYOND
edge,B1
otter,BEYOND
pull,B1
coat,A1
party,A1
straight,A2
invite,A2
plan,A1
explain,A1
decide,A1
meet,A1
world,A1
try,B2
peace,A2
have,A2
noise,A2
bush,B2
black,A1
head,B1
old,A1
shout,A2
forward,B2
step,B2
hmm,BEYOND
crowd,A2
pity,B2
good,A2
hate,B1
tell,A1
reply,A2
boating,BEYOND
clothe,BEYOND
bored,A1
year,A1
rest,A2
rowing,BEYOND
course,A1
learn,A1
mistake,B2
bit,A2
past,A2
short,A1
fat,A2
badly,A2
story,A1
sudden,B1
movement,A2
near,A1
silvery,BEYOND
second,A2
voice,A2
sing,A1
remember,A1
polite,A2
reason,A1
suppose,A2
pack,B1
gently,BEYOND
homewards,BEYOND
afternoon,A1
dream,A2
quietly,A2
smile,A2
young,B1
wait,A2
lesson,A1
sure,A2
oar,BEYOND
surprised,A2
hand,B1
fall,A2
backwards,B1
silly,B1
touch,B1
leg,A1
fly,A2
frightened,B1
hold,B2
splash,BEYOND
right,A1
ready,A1
unhappy,A2
miserable,B2
low,B2
ungrateful,BEYOND
sorry,A1
kindly,BEYOND
worry,B1
teach,A1
swim,B1
boatman,BEYOND
speak,A1
word,A1
thank,A1
hot,A1
supper,BEYOND
fire,B1
exciting,A1
upstairs,A2
bedroom,A1
window,A1
slowly,A2
golden,B2
summer,A1
wind,B2
whisper,B2
secret,A2
plant,A2
write,A1
singe,BEYOND
different,A1
mmm,BEYOND
sky,A2
high,B2
die,A1
visit,A1
hear,A1
clever,A2
boastful,BEYOND
red,A1
garden,A1
reach,B2
lovely,A2
rich,A1
boathouse,BEYOND
end,A1
expensive,A1
unused,BEYOND
finish,A2
amuse,BEYOND
carefully,A2
study,A1
map,B2
introduce,A1
need,B1
help,A1
important,A1
keep,A1
patient,B2
pass,B1
discover,A2
round,B2
gipsy,BEYOND
caravan,BEYOND
yellow,A1
side,A2
wheel,A2
road,A1
hill,A2
village,A1
town,A1
city,A1
tomorrow,A1
travel,A1
interested,A1
excited,A1
follow,A1
inside,A2
outside,A2
excitedly,BEYOND
boring,A1
care,A2
calmly,BEYOND
final,A2
bravely,BEYOND
sad,A1
poor,A1
adventure,A2
feel,B2
worried,A2
pleasantly,BEYOND
excellent,A2
interesting,A1
agree,A1
evening,A1
lonely,B1
hillside,BEYOND
mile,A1
journey,A1
far,B1
grey,A1
horse,A1
pleased,A2
sleep,A2
deeply,B2
wake,A1
light,A2
night,A1
washing,A2
milk,A1
bread,A1
forget,A1
bring,A1
narrow,B2
country,A1
cloud,A2
dust,B1
poop,BEYOND
fast,A1
destroy,A2
storm,A2
ring,B1
enormous,A2
motorcar,BEYOND
roar,BEYOND
wild,A2
fear,B1
ditch,BEYOND
terrible,A1
