word,level
tale,B2
grow,A1
telling,BEYOND
history,A1
include,A1
glimpse,C1
ancient,A2
precede,B2
begin,A1
soon,A1
write,A1
publication,B2
sequel,BEYOND
wish,A2
complete,A1
set,B1
order,A1
mythology,BEYOND
legend,B2
take,A1
shape,B2
year,A1
desire,B2
satisfaction,B2
little,A2
hope,A2
people,A1
interested,A1
work,A1
especially,A2
primarily,B2
linguistic,BEYOND
inspiration,C1
provide,A2
necessary,A2
background,A2
elvish,BEYOND
tongue,B1
advice,A1
opinion,A1
seek,B2
correct,A1
go,B1
encourage,B1
request,B1
reader,A1
information,A1
concern,B2
hobbit,BEYOND
adventure,A2
story,A1
draw,A1
irresistibly,BEYOND
old,A1
world,A1
account,B1
end,A1
pass,B1
away,A1
beginning,A1
middle,A2
tell,A1
process,B2
writing,A1
reference,B1
matter,A2
elf,BEYOND
orc,BEYOND
arise,B2
unbidden,BEYOND
thing,A1
high,B2
deep,B1
dark,A2
surface,B1
discovery,A2
significance,B2
relation,B1
reveal,B2
culmination,BEYOND
ask,A1
eventually,B1
get,A1
wait,A2
long,A1
time,B2
composition,C1
interval,B2
period,A1
duty,B1
neglect,C1
interest,A1
learner,BEYOND
teacher,A1
absorb,B2
delay,B2
course,A1
increase,A2
outbreak,C1
war,A2
reach,B2
book,A2
spite,B2
darkness,B2
find,A1
wholly,C1
abandon,B2
plod,BEYOND
night,A1
till,B1
stand,B2
tomb,BEYOND
halt,C1
later,A2
come,A1
late,A1
draft,B2
chapter,B1
iii,BEYOND
beacon,BEYOND
flare,BEYOND
stop,A1
foresight,BEYOND
fail,A2
thought,A2
leave,B2
loose,B2
perplexity,BEYOND
task,A2
conduct,B2
report,A2
force,B1
tackle,C1
journey,A1
send,A1
serial,C1
son,A1
nonetheless,C1
bring,A1
present,A2
change,A1
house,B2
chair,B2
college,A1
day,A1
laborious,BEYOND
revise,B1
largely,B2
backwards,B1
type,B1
cost,A1
professional,B2
typing,BEYOND
fingered,BEYOND
mean,A1
read,A1
finally,A2
appear,A2
print,B2
like,B1
guess,A1
receive,A2
motive,C1
meaning,A1
prime,B2
teller,BEYOND
try,B2
hand,B1
hold,B2
attention,A2
amuse,BEYOND
delight,B2
maybe,A1
excite,BEYOND
deeply,B2
guide,A2
feeling,A1
appealing,C1
moving,B2
inevitably,B2
fault,B2
rate,B2
review,A2
boring,A1
absurd,C1
contemptible,BEYOND
cause,A2
complain,A2
similar,A1
kind,B1
evidently,BEYOND
prefer,A1
point,B1
view,B1
enjoy,A1
possible,A1
everybody,A1
displease,BEYOND
letter,A1
passage,B2
blemish,BEYOND
specially,BEYOND
approve,B2
critical,B2
defect,C1
minor,B2
major,A2
fortunately,A2
obligation,B2
silence,B2
note,B1
short,A1
inner,B2
message,A1
intention,B1
author,A2
allegorical,BEYOND
topical,BEYOND
root,B2
past,A2
throw,A2
unexpected,B2
branch,B1
main,A1
theme,B1
settle,B2
outset,BEYOND
inevitable,B2
choice,A2
link,A2
crucial,B2
shadow,B2
part,A1
foreshadow,BEYOND
threat,B2
disaster,A2
develop,A2
essentially,B2
line,B2
avert,BEYOND
source,A2
mind,A2
case,A2
modify,B2
real,A1
resemble,C1
legendary,C1
conclusion,B1
inspire,B2
direct,B1
development,B1
certainly,A2
seize,C1
annihilate,BEYOND
enslave,BEYOND
destroy,A2
occupy,B2
possession,A2
confusion,B2
treachery,BEYOND
miss,BEYOND
research,A2
ring,B1
lore,BEYOND
challenge,B1
self,B2
style,A1
conflict,B2
side,A2
hatred,C1
contempt,C1
survive,B1
slave,B2
arrangement,A2
devise,C1
accord,BEYOND
taste,A2
allegory,BEYOND
cordially,BEYOND
dislike,B1
manifestation,BEYOND
wary,BEYOND
detect,B2
presence,B2
true,A1
feigned,BEYOND
varied,C1
applicability,BEYOND
experience,B1
think,A1
confuse,B1
reside,C1
freedom,B2
purpose,A2
domination,BEYOND
remain,B1
unaffected,BEYOND
way,B2
germ,BEYOND
use,A2
soil,B1
extremely,A2
complex,B1
attempt,B2
define,B1
good,A2
evidence,A2
inadequate,C1
ambiguous,BEYOND
false,A1
naturally,B1
attractive,A2
life,A1
critic,B2
overlap,BEYOND
suppose,A2
movement,A2
event,A1
common,A1
necessarily,B1
powerful,B1
influence,B1
personally,B1
feel,B2
fully,B2
oppression,BEYOND
forget,A1
catch,B2
youth,B1
hideous,BEYOND
involve,A2
follow,A1
close,B1
friend,A1
dead,A2
grievous,BEYOND
scouring,BEYOND
reflect,B1
situation,A1
finish,A2
essential,B1
plot,B1
foresee,BEYOND
character,A2
need,B1
contemporary,B2
political,B1
whatsoever,C1
basis,B1
slender,BEYOND
economic,B1
entirely,B2
different,A1
country,A1
live,B1
childhood,B1
shabbily,BEYOND
motor,B2
car,A1
rare,B1
object,B2
see,A1
man,A1
build,A1
suburban,C1
railway,A2
recently,A2
paper,A1
picture,B2
decrepitude,BEYOND
thriving,BEYOND
corn,BEYOND
mill,C1
pool,A1
ago,A1
important,A1
look,A2
miller,BEYOND
father,A1
black,A1
beard,BEYOND
name,A1
issue,B1
new,A1
edition,B2
opportunity,A2
number,A2
error,A2
inconsistency,BEYOND
text,A2
attentive,BEYOND
raise,A2
consider,A2
comment,B1
enquiry,B2
answer,A1
additional,B2
appendix,BEYOND
production,B1
accessory,BEYOND
volume,B2
contain,A2
material,B2
original,B1
particular,A2
detailed,B2
meantime,C1
offer,A2
addition,B1
index,B2
person,A1
place,B1
item,A2
reduce,A2
bulk,C1
make,B2
prepare,A1
belong,A2
page,A1
discover,A2
selection,B2
publish,A2
title,B2
derive,B2
early,A1
compose,B2
famous,A1
large,A1
call,A1
return,A1
great,A1
age,B1
related,B1
know,A1
remarkable,B2
possess,B2
collect,A2
briefly,B2
recall,B2
unobtrusive,BEYOND
numerous,B2
today,A1
love,A1
peace,A2
quiet,A1
earth,A2
farm,A2
countryside,B1
favourite,A1
haunt,C1
understand,A1
machine,A1
complicated,B2
forge,C1
bellow,BEYOND
water,B1
loom,C1
skilful,BEYOND
tool,A2
rule,B1
shy,B1
avoid,A2
dismay,BEYOND
hard,A1
quick,A1
hearing,B2
sharp,B1
eyed,BEYOND
incline,BEYOND
fat,A2
hurry,B1
unnecessarily,BEYOND
nimble,BEYOND
deft,BEYOND
art,A1
disappear,A2
swiftly,BEYOND
silently,BEYOND
folk,B1
meet,A1
blunder,BEYOND
magical,C1
fact,A1
study,A1
magic,B1
elusiveness,BEYOND
solely,C1
skill,A1
heredity,BEYOND
practice,A1
friendship,B1
render,C1
inimitable,BEYOND
big,A1
clumsy,BEYOND
race,B1
small,A1
stout,BEYOND
stocky,BEYOND
actually,A2
height,A2
variable,C1
range,B1
foot,A1
measure,B1
seldom,C1
dwindle,BEYOND
tall,A1
able,A2
ride,A2
horse,A1
surpass,BEYOND
record,A2
curious,B2
deal,B1
prosperity,C1
merry,BEYOND
dress,A1
bright,A2
colour,A1
notably,C1
fond,B2
yellow,A1
green,A1
wear,A1
shoe,A1
tough,B2
leathery,BEYOND
sol,BEYOND
clothe,BEYOND
thick,A2
curl,BEYOND
hair,A1
head,B1
commonly,B2
brown,A1
craft,C1
practise,A1
making,B2
finger,A2
useful,A1
comely,BEYOND
face,B1
natured,BEYOND
beautiful,A1
broad,B2
red,A1
cheeked,BEYOND
mouth,A1
apt,BEYOND
laughter,A2
eat,A1
drink,A1
laugh,A1
heartily,BEYOND
simple,A2
jest,BEYOND
meal,A1
