word,level
spring,B1
arrive,A1
prison,A2
stay,A2
cold,A1
woman,A1
dirty,A1
hungry,A1
bed,A1
chair,B2
sleep,A2
floor,A1
window,A1
dark,A2
want,A1
home,A2
guard,B1
open,A1
big,A1
old,A1
door,A1
bread,A1
water,B1
close,B1
day,A1
sit,A1
wait,A2
feel,B2
warm,B1
sky,A2
beautiful,A1
hill,A2
near,A1
happen,A1
call,A1
come,A1
witch,BEYOND
somebody,A1
slowly,A2
walk,A1
room,A1
go,B1
quick,A1
stand,B2
say,C1
quietly,A2
tall,A1
man,A1
brown,A1
hair,A1
tired,A1
blue,A1
eye,A1
church,A2
leg,A1
stop,A1
move,B1
suddenly,A2
angrily,BEYOND
begin,A1
minute,C1
eat,A1
little,A2
table,A1
give,A1
meat,A1
hungrily,BEYOND
thank,A1
ask,A1
smile,A2
yesterday,A1
true,A1
know,A1
week,A1
bring,A1
father,A1
boy,A1
story,A1
people,A1
believe,A1
tomorrow,A1
judge,B1
question,A2
time,B2
forget,A1
happy,A1
yes,A1
run,A2
cry,B2
quickly,A1
shirt,A1
lose,A1
well,C1
year,A1
tell,A1
lie,B1
see,A1
meeting,A1
house,B2
truth,B1
rich,A1
angry,A1
villager,C1
child,A1
bear,B2
family,A1
poor,A1
die,A1
winter,A1
ill,A2
summer,A1
live,B1
mile,A1
village,A1
rain,A1
west,A1
love,A1
watch,A1
eighteenth,BEYOND
life,A1
change,A1
mother,A1
grandmother,A1
dog,A1
fire,B1
sister,A1
look,A2
brother,A1
mouth,A1
thing,A1
follow,A1
east,A1
past,A2
tree,A1
fast,A1
eighteen,A1
long,A1
white,A1
face,B1
wear,A1
coat,A1
shoe,A1
good,A2
hand,B1
head,B1
like,B1
tooth,A1
river,A1
meet,A1
fat,A2
money,A1
answer,A1
carry,A1
bag,A1
lot,A1
pedlar,BEYOND
visit,A1
take,A1
hat,A1
bad,A1
talk,A2
dead,A2
red,A1
laugh,A1
afraid,A1
girl,A1
shout,A2
fall,A2
body,A1
hit,A2
road,A1
help,A1
young,B1
carefully,A2
let,A1
son,A1
alive,A2
foot,A1
curse,BEYOND
sorry,A1
away,A1
important,A1
seven,A1
thirtieth,BEYOND
difficult,A1
garden,A1
servant,B1
black,A1
expensive,A1
wonderful,A1
hot,A1
dress,A1
ago,A1
voice,A2
slow,B1
careful,A2
friend,A1
find,A1
month,A1
course,A1
thirteen,A1
nearly,A2
food,A1
later,A2
loudly,A2
quiet,A1
coldly,BEYOND
need,B1
care,A2
kind,B1
second,A2
far,B1
easily,A2
eighty,A1
cat,A1
listen,A1
kill,A2
clay,BEYOND
picture,B2
break,A1
granddaughter,BEYOND
arm,C1
horse,A1
pull,B1
hour,A1
morning,A1
sheep,A1
happily,A2
get,A1
tenth,BEYOND
drink,A1
cook,A2
visitor,A1
drank,BEYOND
bottle,A1
hate,B1
leave,B2
afternoon,A1
noise,A2
ear,A1
hear,A1
lift,A2
soon,A1
milk,A1
finish,A2
book,A2
kindly,BEYOND
night,A1
ground,A2
end,A1
daughter,A1
matter,A2
right,A1
different,A1
husband,A1
learn,A1
ugly,B1
seventh,BEYOND
flower,A1
small,A1
thirty,A1
noisy,A2
town,A1
trial,B2
thin,A2
clean,A1
twentieth,BEYOND
hang,B1
wrong,B1
work,A1
think,A1
free,B2
