word,level
introduction,A2
modern,A1
period,A1
history,A1
consider,A2
begin,A1
rare,B1
genius,B2
world,A1
immediately,A2
follow,A1
know,A1
late,A1
early,A1
century,A1
reach,B2
height,A2
spread,B1
rest,A2
caption,BEYOND
fresco,BEYOND
painter,A2
depict,C1
imaginary,B1
meeting,A1
frame,B1
small,A1
arch,BEYOND
centre,B1
philosopher,C1
word,A1
renaissance,BEYOND
mean,A1
rebirth,BEYOND
refer,A2
rediscovery,BEYOND
scholar,B2
primarily,B2
group,A1
heading,BEYOND
humanist,BEYOND
cultural,B1
heritage,C1
ancient,A2
fact,A1
discovery,A2
field,A2
new,A1
scientific,B1
law,A2
form,A1
art,A1
literature,B1
religious,B1
political,B1
idea,A1
land,A2
include,A1
term,B2
coin,B1
designate,C1
interval,B2
downfall,BEYOND
classical,A2
beginning,A1
revival,C1
feel,B2
participate,B1
notion,B2
long,A1
darkness,B2
express,A2
event,A1
end,A1
particularly,B1
set,B1
motion,B2
series,A2
social,A2
intellectual,C1
transformation,C1
culminate,BEYOND
increase,A2
failure,B2
provide,A2
stable,B2
unifying,BEYOND
framework,B2
organization,A2
spiritual,B2
material,B2
life,A1
rise,B1
importance,B1
city,A1
state,B1
national,B2
monarchy,BEYOND
development,B1
language,A1
breakup,BEYOND
old,A1
feudal,BEYOND
structure,B2
spirit,B1
ultimately,B2
take,A1
movement,A2
call,A1
humanism,BEYOND
initiate,C1
secular,C1
man,A1
letter,A1
cleric,BEYOND
dominate,B2
medieval,C1
develop,A2
scholastic,BEYOND
philosophy,B2
achieve,A2
fruition,BEYOND
predecessor,C1
like,B1
chief,B2
protagonist,BEYOND
fall,A2
major,A2
boost,B2
eastern,B1
flee,C1
bring,A1
important,A1
book,A2
manuscript,C1
tradition,A2
greek,BEYOND
scholarship,B2
historian,B2
comfortable,A2
triumphalist,BEYOND
western,B1
euro,A1
centred,BEYOND
image,A2
irresistible,BEYOND
march,C1
modernity,BEYOND
progress,B2
view,B1
exclusively,C1
remain,B1
widely,B2
recognize,A2
label,B1
multifaceted,BEYOND
heyday,BEYOND
universalism,BEYOND
embody,C1
papacy,BEYOND
convulsion,BEYOND
sweeping,BEYOND
innovation,B2
come,A1
urban,B2
commercial,B1
enterprise,C1
base,B1
private,B1
capital,A1
banking,BEYOND
formation,B2
systematic,C1
investigation,B2
physical,A2
vernacular,BEYOND
time,B2
broaden,BEYOND
institutionalizing,BEYOND
initiative,B2
lay,B1
piety,BEYOND
sponsor,B2
clerical,BEYOND
reform,C1
abandonment,BEYOND
traditional,A2
belief,B1
government,A2
regional,B2
principality,BEYOND
supplant,BEYOND
fade,C1
hegemony,BEYOND
empire,B2
obliterate,BEYOND
local,B1
jurisdiction,C1
cover,B1
power,B2
continue,A2
monopolize,BEYOND
elite,C1
draw,A1
strength,B1
landed,BEYOND
mercantile,BEYOND
wealth,B2
growth,B1
expansion,B2
general,A2
feature,B1
associate,B2
upsurge,BEYOND
population,A2
