word,level
rapid,B2
pace,B2
technological,B2
change,A1
century,A1
make,B2
difficult,A1
recent,A2
development,B1
historical,B1
perspective,B2
new,A1
material,B2
range,B1
synthetic,BEYOND
rubber,B2
plastic,A2
artificial,B2
fabric,B2
affect,A2
way,B2
life,A1
fashion,A2
introduction,A2
electric,A2
streetcar,BEYOND
city,A1
extend,B2
distance,A2
easily,A2
cover,B1
horse,A1
follow,A1
establishment,C1
assembly,C1
line,B2
automobile,BEYOND
inexpensive,BEYOND
afford,B1
landscape,B2
industrialize,BEYOND
nation,B1
aircraft,B2
industry,A2
grow,A1
decade,B1
powered,BEYOND
flight,A1
brother,A1
age,B1
electronic,A2
usher,BEYOND
send,A1
transatlantic,BEYOND
radio,A1
message,A1
later,A2
television,A1
communication,B1
entertainment,B1
habit,A2
early,A1
compute,C1
machine,A1
exist,A2
take,A1
invention,A2
transistor,BEYOND
modern,A1
computer,A1
office,A1
reality,B1
nuclear,B1
power,B2
introduce,A1
space,A1
begin,A1
soviet,BEYOND
spacecraft,BEYOND
depend,A2
advance,B2
science,A1
require,B1
adaptation,C1
engineer,A2
caption,BEYOND
technology,A2
allow,A2
exploration,B2
rover,BEYOND
explore,B1
selfie,BEYOND
start,A2
well,C1
sanitary,BEYOND
practice,A1
expand,B1
use,A2
medicine,A2
equipment,A2
nearly,A2
double,B1
span,C1
person,A1
live,B1
industrialized,BEYOND
country,A1
compare,A1
year,A1
biology,A2
lead,B1
genetic,B2
engineering,B1
cell,B2
alter,B2
weaponry,BEYOND
tank,B2
perfection,BEYOND
airplane,BEYOND
finally,A2
atomic,BEYOND
bomb,B1
warfare,C1
primarily,B2
encounter,B2
military,B2
personnel,C1
put,A1
people,A1
world,A1
risk,B1
keep,A1
rate,B2
guess,A1
information,A1
revolution,B2
late,A1
major,A2
step,B2
forward,B2
internet,A1
powerful,B1
microchip,BEYOND
small,A1
affordable,B2
large,A1
represent,B1
shift,B1
exchange,B1
quarter,A1
continue,A2
evolve,B2
fast,A1
processor,C1
portable,BEYOND
device,A2
smartphone,A2
wearable,BEYOND
wireless,BEYOND
network,A2
possible,A1
rise,B1
fossil,B2
fuel,B1
price,B2
concern,B2
global,B1
warming,B2
increase,A2
interest,A1
develop,A2
renewable,BEYOND
source,A2
modernize,BEYOND
grid,C1
efficiency,C1
solar,B2
wind,B2
energy,A2
significant,B2
contributor,C1
supply,B1
company,A1
invest,B1
improve,A1
car,A1
hybrid,BEYOND
vehicle,A2
human,A2
ingenuity,BEYOND
drive,A2
innovation,B2
advanced,B1
strive,C1
find,A1
solve,A2
problem,A1
easy,A1
sure,A2
thing,A1
want,A1
need,B1
ahead,B1
great,A1
inventor,BEYOND
advise,B1
offer,A2
brief,B2
insightful,BEYOND
glance,C1
remarkable,B2
chapter,B1
history,A1
notoriously,BEYOND
write,A1
mass,B2
distinguish,B2
insignificant,BEYOND
event,A1
virtually,BEYOND
contemporary,B2
experience,B1
respect,B1
fact,A1
stand,B2
clearly,A2
despite,B1
immense,C1
achievement,B1
witness,B2
wide,A2
activity,A1
previously,B1
record,A2
rocket,B2
interplanetary,BEYOND
probe,C1
antibiotic,BEYOND
insecticide,BEYOND
host,B1
invent,A2
create,A1
unparalleled,BEYOND
social,A2
situation,A1
possibility,A2
danger,A2
unimaginable,BEYOND
venture,C1
interpret,B2
previous,B1
convenient,B1
separate,B1
dominate,B2
war,A2
preoccupy,BEYOND
avoid,A2
divide,B1
point,B1
outstanding,B2
significance,B2
detonation,BEYOND
profound,C1
political,B1
relate,B1
capacity,B2
leadership,B2
exaggeration,BEYOND
regard,B2
american,BEYOND
superstate,BEYOND
sufficiently,B2
dramatic,B2
excuse,B2
hyperbole,BEYOND
base,B1
tremendous,C1
natural,A1
resource,B1
exploit,B2
secure,B2
productivity,C1
widespread,B2
industrialization,BEYOND
success,A1
achieve,A2
objective,B2
test,A1
demonstrate,B2
pass,B1
european,BEYOND
course,A1
spring,B1
go,B1
dry,A2
important,A1
originate,C1
assimilate,BEYOND
advantage,A2
time,B2
deficient,BEYOND
vital,B2
