word,level
bear,B2
son,A1
father,A1
rich,A1
man,A1
able,A2
send,A1
study,A1
year,A1
leave,B2
college,A1
continue,A2
doctor,A1
want,A1
travel,A1
voyage,BEYOND
ship,B2
marry,A2
wife,A1
plan,A1
stay,A2
home,A2
discover,A2
earn,A2
money,A1
patient,B2
decide,A1
sea,A1
time,B2
join,A1
sail,B1
island,A1
start,A2
journey,A1
go,B1
round,B2
coast,A2
reach,B2
violent,B1
storm,A2
hit,A2
drive,A2
north,A1
west,A1
wind,B2
rock,C1
break,A1
half,A2
sailor,B1
manage,A2
boat,A1
water,B1
row,B1
away,A1
look,A2
land,A2
tired,A1
great,A1
wave,B1
small,A1
fall,A2
know,A1
happen,A1
companion,C1
suppose,A2
drown,C1
push,B1
struggle,B2
head,B1
soon,A1
feel,B2
swim,B1
luckily,BEYOND
foot,A1
touch,B1
ground,A2
walk,A1
beach,A1
sign,A2
people,A1
house,B2
exhausted,BEYOND
lie,B1
sleep,A2
wake,A1
morning,A1
try,B2
body,A1
arm,C1
leg,A1
strongly,B1
fasten,B1
hair,A1
long,A1
thick,A2
tie,A2
sun,A1
begin,A1
grow,A1
hot,A1
uncomfortable,B1
alive,A2
move,B1
face,B1
see,A1
human,A2
centimetre,BEYOND
tall,A1
bow,C1
arrow,B2
hand,B1
little,A2
follow,A1
surprised,A2
give,A1
shout,A2
jump,A2
frightened,B1
hurt,B2
unfasten,BEYOND
pull,B1
left,A1
free,B2
rope,B1
painful,B1
cry,B2
aloud,BEYOND
quietly,A2
quickly,A1
build,A1
platform,A2
official,B1
climb,B1
speak,A1
understand,A1
language,A1
friendly,A1
harm,B2
extremely,A2
hungry,A1
beg,B2
food,A1
immediately,A2
ladder,B2
side,A2
basket,B2
drink,A1
eat,A1
mouthful,BEYOND
meat,A1
dish,A1
loaf,BEYOND
bread,A1
barrel,C1
wine,A1
thirsty,A1
litre,B2
bring,A1
wonder,B1
pick,B2
handful,C1
throw,A2
death,A2
afraid,A1
shoot,C1
grateful,B1
kindness,BEYOND
country,A1
call,A1
order,A1
carry,A1
capital,A1
city,A1
kilometre,A1
ask,A1
untie,BEYOND
politely,BEYOND
refuse,A2
prepare,A1
intelligent,A2
clever,A2
special,A1
wooden,A2
wheel,A2
strong,A1
work,A1
hour,A1
lift,A2
thousand,A1
large,A1
horse,A1
high,B2
powder,B1
deep,B1
available,A2
building,A1
outside,A2
gate,A2
door,A1
metre,A1
wide,A2
inside,A2
knee,A2
guard,B1
ninety,A1
chain,B1
escape,B1
cut,B1
stand,B2
hear,A1
astonishment,BEYOND
miserable,B2
circle,A2
certainly,A2
interesting,A1
sight,B1
come,A1
crowd,A2
good,A2
view,B1
countryside,B1
field,A2
like,B1
flowerbed,BEYOND
garden,A1
tree,A1
visit,A1
handsome,BEYOND
popular,A1
arrive,A1
child,A1
lord,B2
lady,A2
dress,A1
beautiful,A1
gold,A2
silver,A2
clothe,BEYOND
conversation,A1
easy,A1
close,B1
bed,A1
lilliputian,BEYOND
comfortable,A2
well,C1
stone,A2
floor,A1
sightseer,BEYOND
annoy,B1
discuss,A1
private,B1
tell,A1
later,A2
friend,A1
clearly,A2
person,A1
danger,A2
behave,A2
keep,A1
day,A1
village,A1
servant,B1
new,A1
suit,B1
teacher,A1
teach,A1
week,A1
king,A2
explain,A1
promise,A2
fight,A2
search,A2
weapon,B1
agree,A1
thing,A1
carefully,A2
officer,A2
pocket,A2
secret,A2
write,A1
notebook,B2
detail,B2
find,A1
read,A1
report,A2
second,A2
coat,A1
piece,A1
wood,A2
metal,A2
sharp,B1
wonderful,A1
engine,A2
end,A1
huge,A2
container,B1
strange,A2
mysterious,B2
writing,A1
picture,B2
continuous,B1
loud,A2
noise,A2
guess,A1
course,A1
knife,A2
watch,A1
comb,BEYOND
purse,BEYOND
coin,B1
gun,A2
bullet,B2
take,A1
warn,B1
fire,B1
air,A1
hundred,A1
think,A1
dead,A2
careful,A2
allow,A2
hope,A2
possible,A1
persuade,B1
freedom,B2
lose,A1
fear,B1
let,A1
dance,A1
play,A1
game,A1
invite,A2
regular,A2
entertainment,B1
greatly,B2
enjoy,A1
family,A1
interested,A1
dancing,A1
thin,A2
fix,B2
thirty,A1
important,A1
highest,BEYOND
get,A1
job,A1
sport,A1
dangerous,A1
occasional,C1
result,B1
way,B2
choose,A1
hold,B2
stick,B1
crawl,C1
winner,A2
receive,A2
blue,A1
ribbon,BEYOND
wear,A1
waist,BEYOND
red,A1
green,A1
proudly,BEYOND
black,A1
realize,A2
belong,A2
dirty,A1
delighted,B2
fact,A1
hat,A1
need,B1
prisoner,B1
certain,A2
help,A1
war,A2
peace,A2
warning,B1
indoors,B1
step,B2
animal,A1
message,A1
necessary,A2
workman,BEYOND
heavy,A2
wall,A1
slowly,A2
main,A1
street,A1
usually,A1
busy,A1
shop,A1
market,B1
today,A1
window,A1
middle,A2
palace,A2
enter,A2
surround,B2
unfortunately,A2
damage,B1
park,A1
box,A1
return,A1
right,A1
room,A1
imagine,A1
place,B1
live,B1
furniture,A2
perfect,A1
kindly,BEYOND
kiss,B1
general,A2
information,A1
bird,A1
crime,A2
punish,B1
accuse,B2
prove,B1
accuser,BEYOND
kill,A2
believe,A1
law,A2
criminal,B1
