word,level
long,A1
boat,A1
float,B2
broad,B2
ebb,BEYOND
tide,C1
current,B1
crew,B2
lazily,BEYOND
enjoy,A1
respite,BEYOND
arduous,BEYOND
labor,BEYOND
row,B1
stream,B2
mile,A1
lie,B1
ready,A1
sail,B1
soon,A1
clamber,BEYOND
aboard,BEYOND
swing,C1
davit,BEYOND
presently,C1
attention,A2
man,A1
draw,A1
dreaming,BEYOND
gossiping,BEYOND
northern,B1
bank,B1
river,A1
scream,B2
cracked,BEYOND
falsetto,BEYOND
skinny,BEYOND
arm,C1
outstretche,BEYOND
stand,B2
strange,A2
apparition,BEYOND
wot,BEYOND
ell,BEYOND
ejaculate,BEYOND
white,A1
mutter,BEYOND
mate,B2
oar,BEYOND
boy,A1
pull,B1
want,A1
come,A1
close,B1
shore,B2
see,A1
emaciated,BEYOND
creature,B2
scant,BEYOND
lock,A2
tangle,BEYOND
mat,A1
thin,A2
bent,B2
body,A1
naked,B2
loin,BEYOND
cloth,B1
tear,B2
roll,B1
sunken,BEYOND
pock,BEYOND
marked,BEYOND
cheek,B2
jabber,BEYOND
tongue,B1
hazard,C1
savvy,BEYOND
call,A1
brokenly,BEYOND
haltingly,BEYOND
year,A1
beg,B2
away,A1
awful,A2
country,A1
board,B1
stranger,B1
tell,A1
rescuer,BEYOND
pitiful,BEYOND
tale,B2
privation,BEYOND
hardship,BEYOND
torture,C1
extend,B2
period,A1
happen,A1
leave,B2
assume,B2
forget,A1
incident,B2
life,A1
prior,B2
frightful,BEYOND
ordeal,BEYOND
wreck,BEYOND
mentally,BEYOND
physically,BEYOND
true,A1
know,A1
resemblance,BEYOND
sorry,A1
virile,BEYOND
unprincipled,BEYOND
old,A1
escape,B1
fate,C1
friend,A1
arch,BEYOND
fiend,BEYOND
time,B2
curse,BEYOND
give,A1
death,A2
immunity,BEYOND
suffering,B2
mete,BEYOND
hideous,BEYOND
terror,B2
existence,B2
infinitely,BEYOND
bad,A1
persistently,BEYOND
refuse,A2
claim,B1
take,A1
jungle,BEYOND
beast,C1
savage,BEYOND
lord,B2
swarm,BEYOND
deck,B2
lest,BEYOND
pursue,B2
capture,B2
stumble,C1
deep,B1
fall,A2
hand,B1
cannibal,BEYOND
tribe,B2
feel,B2
weight,A2
evil,B2
temper,BEYOND
cruel,B1
brutality,BEYOND
whim,BEYOND
chief,B2
save,A2
plunge,C1
misery,C1
butt,BEYOND
village,A1
beat,B2
stone,A2
woman,A1
child,A1
cut,B1
slash,C1
disfigure,BEYOND
warrior,C1
victim,B1
recur,BEYOND
fever,B2
malignant,BEYOND
variety,A2
die,A1
smallpox,BEYOND
lay,B1
clutch,BEYOND
unspeakably,BEYOND
brand,B1
repulsive,BEYOND
mark,A2
countenance,BEYOND
altered,BEYOND
mother,A1
recognize,A2
mask,C1
face,B1
single,A2
familiar,B1
feature,B1
scraggly,BEYOND
yellow,A1
supplant,BEYOND
thick,A2
dark,A2
hair,A1
cover,B1
head,B1
limb,C1
bend,B1
twist,C1
walk,A1
shuffle,BEYOND
unsteady,BEYOND
gait,BEYOND
double,B1
forward,B2
tooth,A1
go,B1
knock,B1
master,B2
mentality,BEYOND
mockery,BEYOND
feed,B2
nurse,A1
gain,B2
little,A2
strength,B1
appearance,A2
alter,B2
well,C1
human,A2
derelict,BEYOND
batter,BEYOND
find,A1
wrecked,BEYOND
remain,B1
thirty,A1
easily,A2
pass,B1
eighty,A1
inscrutable,BEYOND
demand,B2
accomplice,BEYOND
great,A1
penalty,B2
principal,C1
pay,A2
mind,A2
linger,C1
thought,A2
revenge,C1
dull,B2
hatred,C1
try,B2
break,A1
fail,A2
memory,A2
lead,B1
horror,B1
undergo,B2
police,A1
score,A2
city,A1
flee,C1
law,A2
order,A1
moment,A1
wake,A1
fill,A1
morbid,BEYOND
outward,BEYOND
personification,BEYOND
blight,BEYOND
emotion,B1
hate,B1
rescue,B2
weak,A2
work,A1
morose,BEYOND
company,A1
quickly,A1
device,A2
charter,C1
syndicate,BEYOND
wealthy,B2
manufacturer,BEYOND
equip,B2
laboratory,B1
staff,B1
scientist,A1
send,A1
search,A2
natural,A1
product,A1
foot,A1
bill,B2
import,B1
enormous,A2
cost,A1
ship,B2
certain,A2
island,A1
coast,A2
anchor,C1
week,A1
monotony,BEYOND
trying,BEYOND
ashore,BEYOND
finally,A2
ask,A1
accompany,B2
tire,BEYOND
sameness,BEYOND
heavily,B1
timbered,BEYOND
dense,C1
run,A2
beach,A1
far,B1
inland,BEYOND
prosecute,C1
valuable,B1
commodity,C1
native,B1
rumor,BEYOND
mainland,C1
believe,A1
marketable,BEYOND
quantity,A2
fish,A2
hunt,B1
explore,B1
shade,B2
tree,A1
skirt,A1
day,A1
gather,B1
distance,A2
inspect,C1
panther,BEYOND
gun,A2
sleep,A2
beneath,C1
awaken,BEYOND
touch,B1
shoulder,A2
start,A2
sit,A1
huge,A2
anthropoid,BEYOND
ape,BEYOND
squat,BEYOND
intently,BEYOND
thoroughly,B2
frighten,B1
glance,C1
sailor,B1
couple,A2
yard,B1
pluck,BEYOND
plaintively,BEYOND
menace,BEYOND
inquire,BEYOND
gaze,C1
attitude,B1
get,A1
slowly,A2
rise,B1
half,A2
cautiously,BEYOND
move,B1
knot,BEYOND
assured,BEYOND
mean,A1
harm,B2
animal,A1
evidently,BEYOND
accustomed,BEYOND
association,B2
being,B2
occur,B1
represent,B1
considerable,B2
money,A1
value,B1
reach,B2
decide,A1
profit,B1
look,A2
oddly,BEYOND
pair,A1
amazement,BEYOND
show,A1
sign,A2
fear,B1
instead,A2
grasp,C1
peer,B2
earnestly,BEYOND
have,A2
return,A1
disappointment,B2
write,A1
strongly,B1
carriage,C1
delight,B2
question,A2
examine,B1
companion,C1
offer,A2
keep,A1
harp,BEYOND
continually,C1
theme,B1
essay,A2
pleasantry,BEYOND
circle,A2
prod,BEYOND
pin,B1
like,B1
flash,B2
wheel,A2
tormentor,BEYOND
brief,B2
instant,B2
turn,A1
placid,BEYOND
friendly,A1
metamorphose,BEYOND
frenzied,BEYOND
demon,C1
rage,C1
grin,C1
perpetrate,BEYOND
joke,A2
freeze,B1
expression,A2
attempt,B2
dodge,BEYOND
knife,A2
hang,B1
belt,A2
wrench,BEYOND
weapon,B1
fling,BEYOND
fang,BEYOND
bury,B1
stick,B1
dance,A1
snarl,BEYOND
pack,B1
mumble,BEYOND
plea,C1
threat,B2
vision,B2
wealth,B2
rapidly,B2
dissipate,BEYOND
prove,B1
easy,A1
superior,C1
number,A2
overwhelm,C1
precipitate,BEYOND
battle,B1
shake,B1
giant,B1
free,B2
cling,C1
mighty,BEYOND
blow,B2
open,A1
palm,B2
fell,BEYOND
attacker,BEYOND
leap,C1
hither,BEYOND
thither,BEYOND
agility,BEYOND
small,A1
monkey,A2
fight,A2
witness,B2
captain,B1
land,A2
revolver,BEYOND
bring,A1
trail,C1
heel,B2
havoc,BEYOND
await,C1
renewal,BEYOND
attack,A2
deliberate,B2
foe,BEYOND
exterminate,BEYOND
paulvitch,BEYOND
guess,A1
officer,A2
firing,BEYOND
end,A1
short,A1
prevent,A2
sure,A2
interfere,C1
aroused,BEYOND
bestial,BEYOND
smell,A2
new,A1
spill,B2
blood,A2
fresh,A2
nostril,BEYOND
hesitate,B2
dream,A2
affluence,BEYOND
doubtless,BEYOND
reality,B1
safely,BEYOND
metropolis,BEYOND
shout,A2
aside,B2
shot,B2
quiver,BEYOND
root,B2
hold,B2
command,B2
tug,BEYOND
wide,A2
eyed,BEYOND
fright,BEYOND
crawl,C1
conqueror,BEYOND
knee,A2
permit,B2
slight,B2
indication,B2
desire,B2
halt,C1
pace,B2
odd,B1
brute,BEYOND
chew,BEYOND
able,A2
seamen,BEYOND
fault,B2
plead,C1
shoot,C1
perfectly,B1
gentle,B1
let,A1
kill,A2
conclude,B1
picture,B2
anew,BEYOND
pleasure,B1
buy,A1
hope,A2
possess,B2
windfall,BEYOND
lower,B2
repeat,B1
pick,B2
ground,A2
worse,B1
experience,B1
fellow,B2
cause,A2
sore,BEYOND
say,C1
monk,C1
serve,A2
bloomin,BEYOND
right,A1
rest,A2
blame,B2
jump,A2
sheepishly,BEYOND
admit,B1
truth,B1
allegation,C1
step,B2
discover,A2
sort,B1
noticeable,BEYOND
cock,BEYOND
level,B1
speak,A1
soothingly,BEYOND
approach,B2
waddle,BEYOND
meet,A1
scrutiny,C1
encounter,B2
paw,BEYOND
study,A1
sigh,C1
curious,B2
fashion,A2
arrive,A1
instance,B2
length,B1
evince,BEYOND
interest,A1
apparently,B2
forgetful,BEYOND
recent,A2
party,A1
anxious,B2
follow,A1
interpose,BEYOND
obstacle,B2
arrangement,A2
tacitly,BEYOND
membership,B2
minutely,BEYOND
discuss,A1
unable,B1
account,B1
satisfactorily,BEYOND
ceremony,B1
greet,A2
place,B1
unknown,B2
home,A2
pet,A2
theory,B1
tenable,BEYOND
isolation,C1
uninhabited,BEYOND
voyage,BEYOND
nose,A1
part,A1
corner,A2
vessel,C1
lapse,BEYOND
utter,BEYOND
indifference,BEYOND
elicit,BEYOND
casual,B2
food,A1
appear,A2
merely,C1
tolerate,C1
affection,C1
resentment,BEYOND
spend,A1
eye,A1
scan,B1
horizon,C1
ahead,B1
endow,BEYOND
sufficient,B2
reason,A1
bind,C1
port,B1
dub,C1
consider,A2
remarkable,B2
intelligent,A2
intelligence,B1
attribute,C1
own,A2
stature,BEYOND
physique,BEYOND
awe,BEYOND
inspiring,BEYOND
evident,B2
age,B1
impair,BEYOND
physical,A2
mental,B1
power,B2
apparent,B2
compassion,C1
furnish,BEYOND
fund,B2
bid,B2
dock,BEYOND
journey,A1
thousand,A1
ken,BEYOND
carefully,A2
scrutinize,BEYOND
seek,B2
relapse,BEYOND
occasionally,B2
directly,B1
prize,A2
famous,A1
trainer,A2
impressed,B2
result,B1
agree,A1
train,A2
lion,A1
share,B1
exhibit,B2
meantime,C1
provide,A2
owner,A2
forge,C1
link,A2
chain,B1
circumstance,B2
affect,A2
people,A1
bilious,BEYOND
countenanced,BEYOND
studious,BEYOND
young,B1
seriously,B1
tutoring,BEYOND
son,A1
british,BEYOND
nobleman,BEYOND
charge,B1
make,B2
progress,B2
parent,A1
expect,A2
conscientiously,BEYOND
explain,A1
fact,A1
bright,A2
succeed,A2
bear,B2
energy,A2
overcome,B2
obtuseness,BEYOND
trouble,B2
exceptionally,BEYOND
learn,A1
matter,A2
preparation,B2
lesson,A1
concern,B2
subject,B2
accomplish,B2
task,A2
rid,B2
possible,A1
enter,A2
hour,A1
recitation,BEYOND
sole,C1
feat,C1
prowess,BEYOND
reading,A1
relative,B1
custom,B1
uncivilized,BEYOND
particularly,B1
story,A1
appeal,B2
pore,BEYOND
african,BEYOND
explorer,BEYOND
occasion,B1
set,B1
bed,A1
night,A1
read,A1
book,A2
tap,B2
nervously,BEYOND
hearth,BEYOND
rug,A1
discourage,B2
course,A1
venture,C1
embarrassedly,BEYOND
reply,A2
flush,BEYOND
mount,B2
sallow,BEYOND
muscular,BEYOND
confess,B2
tutor,BEYOND
good,A2
natured,BEYOND
insist,B2
pretend,B1
gorilla,BEYOND
chimpanzee,BEYOND
steal,A2
growl,BEYOND
hear,A1
lift,A2
completely,A2
hurl,BEYOND
pantomime,BEYOND
indicative,BEYOND
choke,BEYOND
prostrate,BEYOND
form,A1
voice,A2
fearsome,BEYOND
shriek,BEYOND
victory,B2
cry,B2
bull,BEYOND
carry,A1
door,A1
shove,BEYOND
hall,A2
room,A1
minute,C1
silence,B2
necessary,A2
tendency,B2
loud,A2
whoop,BEYOND
direction,A2
window,A1
second,A2
floor,A1
house,B2
opposite,A1
attract,B1
large,A1
branch,B1
spread,B1
sill,BEYOND
conversation,A1
tall,A1
build,A1
balance,B1
ease,C1
glee,BEYOND
note,B1
terrified,BEYOND
audience,A2
rush,B2
cross,A2
nimbly,BEYOND
apartment,A1
wild,A2
town,A1
sing,A1
species,B2
war,A2
terrify,B2
scandalize,BEYOND
throw,A2
neck,A2
kiss,B1
wonderful,A1
educated,B1
music,A1
talk,A2
ride,A2
bicycle,A1
eat,A1
fork,A2
count,B1
thing,A1
pat,BEYOND
affectionately,BEYOND
negatively,BEYOND
approve,B2
exhibition,B1
think,A1
girl,A1
mollycoddle,BEYOND
exclaim,BEYOND
gray,A1
newcomer,BEYOND
warningly,BEYOND
husband,A1
nod,C1
father,A1
unusually,BEYOND
wife,A1
lady,A2
positive,B2
manner,A2
morning,A1
excite,BEYOND
craving,BEYOND
inherit,B2
strong,A1
necessitate,BEYOND
stern,BEYOND
struggle,B2
resist,B2
insane,BEYOND
alluring,BEYOND
doubt,B1
danger,A2
taste,A2
conceive,C1
transmit,B2
solicitude,BEYOND
future,A2
bit,A2
restrictive,BEYOND
measure,B1
love,A1
example,A1
healthy,A1
normal,B1
wish,A2
marry,A2
shame,B2
laugh,A1
naturedly,BEYOND
upturned,BEYOND
continue,A2
early,A1
mistake,B2
glamour,BEYOND
romance,B2
naturally,B1
surround,B2
lust,BEYOND
guide,A2
impulse,BEYOND
powerful,B1
wrong,B1
past,A2
shall,A2
consent,C1
implant,BEYOND
suggestion,A2
preserve,B2
evening,A1
refer,A2
raise,A2
curl,BEYOND
chair,B2
suddenly,A2
address,B2
point,B1
evade,BEYOND
object,B2
announce,B1
thoughtful,C1
different,A1
disrespectful,BEYOND
defiant,BEYOND
tone,B2
dispassionate,BEYOND
statement,A1
scarce,BEYOND
repress,BEYOND
smile,A2
admiration,BEYOND
manly,BEYOND
admire,B1
candor,BEYOND
candid,BEYOND
permission,A2
punish,B1
inflict,C1
corporal,BEYOND
punishment,B1
warn,B1
disobey,BEYOND
yes,A1
sir,A2
youthful,BEYOND
retire,B1
careful,A2
neglect,C1
duty,B1
conference,A2
impress,B2
exercise,A1
care,A2
visit,A1
greatly,B2
excited,A1
entirely,B2
surprised,A2
fully,B2
dress,A1
street,A1
rapid,B2
spring,B1
waste,B1
unnecessary,B1
chamber,C1
realize,A2
relinquish,BEYOND
plan,A1
adventure,A2
pant,BEYOND
quietly,A2
astonish,BEYOND
later,A2
astonished,BEYOND
seize,C1
waist,BEYOND
downward,BEYOND
soft,A2
pillow,BEYOND
quiet,A1
admonish,BEYOND
victor,BEYOND
effort,B1
vain,BEYOND
bequeath,BEYOND
marvelous,BEYOND
putty,BEYOND
kneel,BEYOND
strip,C1
sheet,A2
stuff,B1
gag,BEYOND
material,B2
secure,B2
wind,B2
low,B2
conversational,BEYOND
arab,BEYOND
sheik,BEYOND
murder,B1
ivory,BEYOND
dexterously,BEYOND
truss,BEYOND
hobbled,BEYOND
ankle,A2
wrist,B2
villain,BEYOND
skip,C1
slip,B2
slide,B2
liberty,C1
way,B2
spout,BEYOND
eave,BEYOND
trough,BEYOND
wriggle,BEYOND
suffocate,BEYOND
aid,B2
frenzy,BEYOND
manage,A2
pain,A2
shock,B2
jolt,BEYOND
sane,BEYOND
consideration,B2
plight,BEYOND
intelligently,BEYOND
hysterical,BEYOND
dilemma,C1
elapse,BEYOND
stair,A2
eternity,BEYOND
failure,B2
position,B2
toe,B1
boot,A1
proceed,B2
interval,B2
reward,B2
footstep,BEYOND
ascend,BEYOND
vigorously,BEYOND
laboriously,BEYOND
succor,BEYOND
base,B1
surely,B1
knocking,BEYOND
louder,BEYOND
near,A1
burst,C1
endeavor,BEYOND
stifling,BEYOND
loudly,A2
receive,A2
knob,BEYOND
sudden,B1
recollection,BEYOND
numb,BEYOND
servant,B1
depart,B2
swoon,BEYOND
temple,B2
mirth,BEYOND
act,B1
commence,C1
purchase,B2
box,A1
seat,B2
lean,B2
breathlessly,BEYOND
rail,B2
watch,A1
wonder,B1
slow,B1
handsome,BEYOND
eager,C1
big,A1
hit,A2
consist,B1
entry,B1
performance,B1
ostensibly,BEYOND
lose,A1
effectiveness,C1
stricken,BEYOND
proximity,BEYOND
shaggy,BEYOND
wing,B1
encore,BEYOND
direct,B1
chance,A2
occupant,BEYOND
stage,B2
laughable,BEYOND
scene,A2
mistaken,BEYOND
light,A2
visitor,A1
stroke,B2
devote,B2
examination,B2
troubled,C1
caress,BEYOND
snuggle,BEYOND
delighted,B2
persuade,B1
budge,BEYOND
manager,A2
delay,B2
urge,B2
haste,BEYOND
drag,B2
reluctant,C1
