word,level
american,BEYOND
businessman,A2
buy,A1
house,B2
call,A1
people,A1
tell,A1
dangerous,A1
thing,A1
everybody,A1
know,A1
ghost,B1
like,B1
live,B1
say,C1
family,A1
see,A1
wife,A1
grandmother,A1
night,A1
dress,A1
dinner,A1
skeleton,BEYOND
hand,B1
shoulder,A2
ill,A2
year,A1
get,A1
sleep,A2
noise,A2
answer,A1
come,A1
modern,A1
country,A1
nearly,A2
send,A1
home,A2
pay,A2
afraid,A1
smile,A2
appear,A2
death,A2
doctor,A1
sir,A2
famous,A1
old,A1
british,BEYOND
happy,A1
right,A1
remember,A1
week,A1
later,A2
go,B1
train,A2
beautiful,A1
woman,A1
look,A2
english,BEYOND
different,A1
course,A1
speak,A1
language,A1
eld,BEYOND
son,A1
good,A2
looking,BEYOND
young,B1
man,A1
wonderful,A1
party,A1
fine,C1
dancing,A1
sweet,A2
little,A2
girl,A1
big,A1
blue,A1
eye,A1
love,A1
ride,A2
horse,A1
fast,A1
lot,A1
day,A1
horseback,BEYOND
immediately,A2
ask,A1
marry,A2
school,A1
twin,A2
noisy,A2
boy,A1
laugh,A1
play,A1
trick,B1
lovely,A2
evening,A1
field,A2
tree,A1
golden,B2
sunshine,BEYOND
bird,A1
singe,BEYOND
sweetly,BEYOND
sky,A2
bright,A2
arrive,A1
storm,A2
cloud,A2
suddenly,A2
large,A1
black,A1
fly,A2
head,B1
drop,B1
rain,A1
begin,A1
fall,A2
stand,B2
doorway,BEYOND
wait,A2
meet,A1
housekeeper,BEYOND
welcome,A2
follow,A1
library,A1
long,A1
dark,A2
room,A1
high,B2
window,A1
end,A1
tea,A1
ready,A1
take,A1
coat,A1
sit,A1
red,A1
stain,BEYOND
floor,A1
near,A1
fireplace,BEYOND
yes,A1
quietly,A2
bloodstain,BEYOND
terrible,A1
cry,B2
quiet,A1
voice,A2
blood,A2
husband,A1
murder,B1
place,B1
disappear,A2
strangely,BEYOND
find,A1
body,A1
rest,A2
visitor,A1
specially,BEYOND
try,B2
clean,A1
away,A1
second,A2
stop,A1
small,A1
stick,B1
minute,C1
word,A1
outside,A2
flash,B2
lightning,BEYOND
light,A2
great,A1
crash,B2
thunder,BEYOND
jump,A2
sound,C1
faint,BEYOND
weather,A1
cigarette,A2
lie,B1
close,B1
dear,A2
money,A1
break,A1
cup,A1
unhappy,A2
careful,A2
trouble,B2
shake,B1
describe,A1
give,A1
warm,B1
shakily,BEYOND
foot,A1
strong,A1
kind,B1
work,A1
thank,A1
morning,A1
breakfast,A1
strange,A2
usually,A1
lock,A2
door,A1
interesting,A1
decide,A1
question,A2
bed,A1
asleep,A2
wake,A1
metal,A2
move,B1
slowly,A2
passage,B2
bedroom,A1
listen,A1
carefully,A2
hear,A1
footstep,BEYOND
shoe,A1
bottle,A1
cupboard,A2
open,A1
moonlight,BEYOND
fire,B1
grey,A1
hair,A1
dirty,A1
clothe,BEYOND
hole,A2
heavy,A2
chain,B1
round,B2
arm,C1
leg,A1
oil,A2
bring,A1
use,A2
leave,B2
need,B1
table,A1
inside,A2
angry,A1
knock,B1
hurry,B1
green,A1
ring,B1
stair,A2
pillow,BEYOND
past,A2
quickly,A1
wall,A1
soon,A1
secret,A2
think,A1
ago,A1
die,A1
terror,B2
run,A2
scream,B2
shoot,C1
armchair,A1
cold,A1
finger,A2
hold,B2
white,A1
neck,A2
time,B2
throw,A2
bad,A1
sorry,A1
hard,A1
talk,A2
cross,A2
want,A1
hurt,B2
way,B2
nice,A1
funny,A1
possibly,B1
change,A1
colour,A1
purple,A1
downstairs,A2
new,A1
person,A1
explain,A1
suit,B1
armour,BEYOND
surely,B1
frighten,B1
loud,A2
softly,BEYOND
pain,A2
pea,A1
shooter,BEYOND
ball,A1
paper,A1
handgun,BEYOND
wild,A2
candle,B2
turn,A1
ghostly,BEYOND
single,A2
feel,B2
special,A1
stomach,A2
medicine,A2
have,A2
help,A1
well,C1
angrily,BEYOND
dog,A1
oooooooh,BEYOND
spend,A1
wear,A1
dead,A2
shroud,BEYOND
hat,A1
feather,B2
knife,A2
wind,B2
roof,A2
plan,A1
sure,A2
frightened,B1
push,B1
slow,B1
music,A1
ear,A1
face,B1
pretty,A1
soft,A2
ooooh,BEYOND
sheet,A2
horrible,B1
learn,A1
lesson,A1
tonight,A1
smell,A2
dance,A1
half,A2
shout,A2
quarter,A1
midnight,A1
moon,A2
hide,A2
silently,BEYOND
happily,A2
corner,A2
pull,B1
show,A1
walk,A1
clock,A1
fat,A2
deathly,BEYOND
mouth,A1
burn,B2
carry,A1
piece,A1
writing,A1
read,A1
catch,B2
watch,A1
fighter,BEYOND
friend,A1
early,A1
wrong,B1
sick,A1
forward,B2
brush,A2
turnip,BEYOND
happen,A1
understand,A1
finish,A2
stay,A2
tired,A1
put,A1
appearance,A2
job,A1
oooooh,BEYOND
aaaaagh,BEYOND
month,A1
usual,A2
anybody,A2
useful,A1
butter,A1
visit,A1
hour,A1
pleased,A2
jug,BEYOND
water,B1
wet,A2
gun,A2
favourite,A1
shape,B2
boo,BEYOND
garden,A1
syringe,BEYOND
enemy,B1
side,A2
aaaagh,BEYOND
luckily,BEYOND
terribly,B2
nutshell,BEYOND
difficult,A1
book,A2
number,A2
holiday,A1
write,A1
letter,A1
true,A1
