word,level
probably,A1
familiar,B1
dramatic,B2
age,B1
dinosaur,BEYOND
dominate,B2
follow,A1
contain,A2
intense,B2
increase,A2
biodiversity,BEYOND
history,A1
cambrian,BEYOND
explosion,B1
subsequent,B2
ordovician,BEYOND
radiation,B2
large,A1
extinction,BEYOND
event,A1
world,A1
know,A1
permian,BEYOND
wipe,C1
percent,BEYOND
marine,C1
specie,BEYOND
roughly,B2
land,A2
time,B2
great,A1
geological,BEYOND
change,A1
landmass,BEYOND
migrate,BEYOND
collide,BEYOND
eventually,B1
create,A1
supercontinent,BEYOND
call,A1
sea,A1
level,B1
rise,B1
drown,C1
continent,A2
fall,A2
old,A1
mountain,A1
range,B1
form,A1
life,A1
move,B1
ocean,A2
dry,A2
insect,A2
take,A1
wing,B1
evolutionary,C1
advance,B2
place,B1
set,B1
stage,B2
today,A1
include,A1
development,B1
plant,A2
seed,B1
shell,B1
egg,A1
organism,BEYOND
capable,B2
breathe,B1
air,A1
geologic,BEYOND
pretty,A1
page,A1
clue,B1
scientist,A1
decipher,BEYOND
explore,B1
span,C1
nearly,A2
million,A1
year,A1
ago,A1
cover,B1
half,A2
phanerozoic,BEYOND
human,A2
live,B1
divide,B1
number,A2
small,A1
period,A1
begin,A1
approximately,B1
silurian,BEYOND
devonian,BEYOND
carboniferous,BEYOND
name,A1
derive,B2
location,B1
rock,C1
fossil,B2
discover,A2
study,A1
exception,B2
coal,B1
bed,A1
provide,A2
significant,B2
portion,B2
energy,A2
need,B1
transition,B2
environment,A2
global,B1
temperature,A2
cool,B1
suddenly,A2
warm,B1
average,B1
polar,BEYOND
ice,A1
cap,B1
flood,B1
lead,B1
oxygen,B2
water,B1
turn,A1
sudden,B1
burst,C1
amazing,A1
diversification,BEYOND
primitive,BEYOND
exist,A2
prior,B2
leave,B2
little,A2
information,A1
record,A2
trilobite,BEYOND
hard,A1
skeleton,BEYOND
find,A1
present,A2
day,A1
famous,A1
field,A2
formation,B2
western,B1
area,A1
think,A1
beenforme,BEYOND
giant,B1
mudslide,BEYOND
roll,B1
bury,B1
huge,A2
floor,A1
instantly,B2
kill,A2
unlucky,BEYOND
beneath,C1
preserve,B2
remain,B1
mud,B1
harden,BEYOND
extremely,A2
detailed,B2
soft,A2
body,A1
part,A1
animal,A1
exoskeleton,BEYOND
normally,A2
decompose,BEYOND
fossilize,BEYOND
remarkable,B2
give,A1
complete,A1
picture,B2
afford,B1
typical,A2
specimen,C1
identify,A2
counterpart,C1
modern,A1
phylum,BEYOND
invertebrate,BEYOND
appear,A2
fish,A2
occur,B1
contend,C1
early,A1
terrestrial,BEYOND
arthropod,BEYOND
similar,A1
millipede,BEYOND
fossilized,BEYOND
burrow,BEYOND
evidence,A2
suggest,A2
creature,B2
characterize,C1
activity,A1
tectonic,BEYOND
shift,B1
cause,A2
extensive,B2
vast,B2
ridge,BEYOND
deep,B1
continental,BEYOND
motion,B2
position,B2
globe,B2
submerge,BEYOND
good,A2
high,B2
sedimentary,BEYOND
continue,A2
multitude,BEYOND
reveal,B2
earth,A2
layer,B1
attest,BEYOND
volcanic,BEYOND
eruption,BEYOND
comparison,B1
makeup,BEYOND
different,A1
region,A2
allow,A2
estimate,B2
incredible,A2
magnitude,C1
hurricane,B1
typhoon,BEYOND
end,A1
mass,B2
second,A2
later,A2
contrast,B1
relatively,B2
quiet,A1
shallow,B2
extend,B2
rebound,BEYOND
type,B1
thrive,C1
worldwide,B1
coral,BEYOND
reef,BEYOND
common,A1
widely,B2
distributed,BEYOND
extinct,BEYOND
scorpion,BEYOND
grow,A1
metre,A1
foot,A1
length,B1
grasp,C1
pincer,BEYOND
trap,B2
prey,C1
evolve,B2
inch,B2
height,A2
confine,C1
near,A1
coastline,BEYOND
consist,B1
smooth,B1
branched,BEYOND
stem,C1
spore,BEYOND
sac,BEYOND
reproduction,C1
source,A2
crystallize,BEYOND
dolomite,BEYOND
shale,BEYOND
rare,B1
observe,B2
natural,A1
feature,B1
erosion,BEYOND
wash,A2
away,A1
underlie,BEYOND
stone,A2
see,A1
emergence,C1
base,B1
vertebrate,BEYOND
indicate,B1
presence,B2
forest,A2
signify,BEYOND
rapid,B2
surge,C1
evolution,B2
saltwater,BEYOND
freshwater,BEYOND
external,B2
armor,BEYOND
scale,B2
excellent,A2
preservation,C1
armored,BEYOND
importance,B1
sharklike,BEYOND
lungfish,BEYOND
group,A1
rhipidistian,BEYOND
maintain,B2
likely,A2
branch,B1
amphibian,BEYOND
develop,A2
issue,B1
settle,B2
establish,B2
masse,BEYOND
margin,B2
leafless,BEYOND
wide,A2
variety,A2
fern,BEYOND
leafy,BEYOND
stemmed,BEYOND
true,A1
woody,BEYOND
tree,A1
trunk,BEYOND
diameter,BEYOND
frequently,B1
characteristic,B2
beautiful,A1
detail,B2
important,A1
understand,A1
anatomy,BEYOND
function,B1
sandstone,BEYOND
diverse,B2
help,A1
movement,A2
creation,B2
single,A2
comprise,B2
union,B1
deposit,C1
swamp,BEYOND
vegetation,BEYOND
gradually,B2
repeatedly,BEYOND
decay,BEYOND
join,A1
major,A2
point,B1
collision,C1
climate,A2
glacial,BEYOND
sheet,A2
emerge,B2
retreat,C1
flooding,BEYOND
intersperse,BEYOND
