word,level
introduction,A2
brilliant,A2
medieval,C1
civilization,B2
divide,B1
part,A1
western,B1
half,A2
rule,B1
fall,A2
tribal,C1
germanic,BEYOND
people,A1
know,A1
barbarian,BEYOND
fifth,A1
century,A1
eastern,B1
last,A2
thousand,A1
year,A1
fact,A1
maintain,B2
position,B2
lead,B1
world,A1
decline,B2
begin,A1
mid,BEYOND
eleventh,BEYOND
christian,BEYOND
emperor,BEYOND
sole,C1
ruler,A1
set,B1
headquarters,B2
ancient,A2
greek,BEYOND
colony,B2
city,A1
rename,BEYOND
honor,BEYOND
new,A1
formally,BEYOND
later,A2
capital,A1
locate,B1
shore,B2
midway,BEYOND
sea,A1
bring,A1
land,A2
conquer,C1
change,A1
colossal,BEYOND
marble,BEYOND
head,B1
foot,A1
meter,BEYOND
high,B2
originally,B1
giant,B1
statue,B1
time,B2
citizen,B2
romaioi,BEYOND
eye,A1
remain,B1
firmly,B2
despite,B1
early,A1
eighth,BEYOND
state,B1
society,A2
differ,B2
significantly,B2
roman,BEYOND
form,A1
byzantine,BEYOND
distinct,B2
key,B1
way,B2
speak,A1
primarily,B2
instead,A2
practice,A1
effort,B1
recognize,A2
distinction,C1
seventeenth,BEYOND
scholar,B2
empire,B2
boundary,C1
continually,C1
arabic,BEYOND
conqueror,BEYOND
capture,B2
territory,B2
retake,BEYOND
lose,A1
large,A1
include,A1
southern,B1
weak,A2
consist,B1
scatter,BEYOND
outpost,BEYOND
far,B1
comprise,B2
numerous,B2
ethnic,B2
group,A1
melting,BEYOND
pot,B1
characterize,C1
degree,A2
social,A2
mobility,C1
go,B1
oft,BEYOND
apply,A2
stereotype,C1
rigid,BEYOND
caste,BEYOND
base,B1
constantly,B2
flux,BEYOND
map,B2
show,A1
extent,B2
point,B1
history,A1
court,B1
dress,A1
picture,B2
mosaic,BEYOND
probably,A1
complete,A1
sixth,BEYOND
garment,BEYOND
traditionally,BEYOND
ornament,BEYOND
gem,BEYOND
precious,B2
metal,A2
frequently,B1
weave,C1
silk,B2
gold,A2
thread,C1
enjoy,A1
status,B2
powerful,B1
influential,C1
preserve,B2
literature,B1
dark,A2
statesman,BEYOND
develop,A2
pioneer,C1
legal,B1
code,A2
basis,B1
imperial,BEYOND
monarchy,BEYOND
artist,A1
create,A1
distinctive,C1
style,A1
work,A1
painting,A1
domed,BEYOND
architecture,A2
influence,B1
culture,A1
religion,B1
dominant,B2
balkan,BEYOND
russian,BEYOND
kingdom,C1
virtue,C1
philanthropy,BEYOND
prize,A2
commend,BEYOND
contribution,B2
era,B2
establish,B2
separate,B1
identity,B1
split,B2
follow,A1
death,A2
seventeen,A1
old,A1
son,A1
give,A1
division,B2
consider,A2
temporary,B2
actually,A2
permanent,B2
barbaric,BEYOND
religious,B1
dispute,C1
conflict,B2
home,A2
abroad,A2
plague,BEYOND
