word,level
woolly,BEYOND
mammoth,BEYOND
sabre,BEYOND
toothed,BEYOND
tiger,A1
ice,A1
age,B1
cover,B1
formation,B2
major,A2
era,B2
history,A1
know,A1
modern,A1
life,A1
begin,A1
great,A1
extinction,BEYOND
dinosaur,BEYOND
end,A1
continue,A2
today,A1
book,A2
provide,A2
lively,B2
journey,A1
late,A1
chapter,B1
planet,A2
story,A1
evolution,B2
change,A1
million,A1
year,A1
ago,A1
time,B2
climate,A2
warm,B1
sea,A1
level,B1
high,B2
reptile,BEYOND
dominant,B2
form,A1
ensue,C1
mammal,BEYOND
prominent,C1
human,A2
evolve,B2
plant,A2
diversify,BEYOND
sharply,BEYOND
differentiate,C1
zone,BEYOND
norm,B2
see,A1
mountain,A1
range,B1
include,A1
nineteenth,BEYOND
century,A1
geologist,BEYOND
divide,B1
subdivision,BEYOND
span,C1
interval,B2
beginning,A1
base,B1
quaternary,BEYOND
onset,BEYOND
present,A2
scientist,A1
agree,A1
period,A1
split,B2
traditional,A2
small,A1
encompass,C1
epoch,BEYOND
early,A1
tertiary,BEYOND
little,A2
temperature,A2
difference,A1
polar,BEYOND
region,A2
equator,BEYOND
ocean,A2
decimate,BEYOND
mass,B2
event,A1
cretaceous,BEYOND
accompany,B2
disappearance,BEYOND
land,A2
order,A1
rapidly,B2
fill,A1
gap,A2
variety,A2
large,A1
flightless,BEYOND
bird,A1
near,A1
replace,A2
mammalian,BEYOND
specie,BEYOND
ancestor,B2
animal,A1
primitive,BEYOND
horse,A1
deer,BEYOND
rodent,BEYOND
hare,BEYOND
primate,BEYOND
appear,A2
boundary,C1
mark,A2
short,A1
warming,B2
rapid,B2
drop,B1
average,B1
global,B1
long,A1
cool,B1
dramatic,B2
result,B1
movement,A2
continental,BEYOND
landmass,BEYOND
configuration,C1
close,B1
day,A1
location,B1
cause,A2
significant,B2
current,B1
weather,A1
pattern,A2
development,B1
separation,C1
collision,C1
southern,B1
affect,A2
spread,B1
continent,A2
bridge,A2
disappear,A2
accord,BEYOND
shift,B1
multiple,B2
emergence,C1
marine,C1
cetacean,BEYOND
whale,BEYOND
porpoise,BEYOND
