word,level
read,A1
newspaper,A1
know,A1
trouble,B2
come,A1
big,A1
dog,A1
man,A1
find,A1
gold,A2
want,A1
strong,A1
work,A1
cold,A1
snow,A1
north,A1
live,B1
house,B2
sunny,BEYOND
valley,A2
large,A1
garden,A1
field,A2
fruit,A1
tree,A1
river,A1
nearby,B2
place,B1
like,B1
course,A1
farm,A2
important,A1
chief,B2
bear,B2
year,A1
old,A1
weigh,B1
kilo,BEYOND
go,B1
swim,B1
son,A1
walk,A1
daughter,A1
carry,A1
grandchild,BEYOND
sit,A1
foot,A1
fire,B1
winter,A1
hurry,B1
west,A1
look,A2
gardener,BEYOND
need,B1
money,A1
family,A1
day,A1
leave,B2
evening,A1
think,A1
see,A1
arrive,A1
railway,A2
station,A1
talk,A2
give,A1
tie,A2
piece,A1
rope,B1
neck,A2
growl,BEYOND
surprised,A2
pull,B1
hard,A1
jump,A2
catch,B2
suddenly,A2
tongue,B1
mouth,A1
moment,A1
unable,B1
easy,A1
train,A2
wake,A1
move,B1
watch,A1
quick,A1
bite,B1
hand,B1
let,A1
take,A1
room,A1
bar,B2
barman,BEYOND
trouser,BEYOND
cover,B1
blood,A2
pay,A2
ask,A1
dollar,A1
steal,A2
make,B2
good,A2
price,B2
help,A1
push,B1
wooden,A2
box,A1
spend,A1
night,A1
ache,BEYOND
pain,A2
understand,A1
mean,A1
strange,A2
travel,A1
eat,A1
drink,A1
laugh,A1
stick,B1
hole,A2
get,A1
angry,A1
hungry,A1
thirsty,A1
eye,A1
grow,A1
red,A1
small,A1
high,B2
wall,A1
fat,A2
coat,A1
wait,A2
side,A2
smile,A2
axe,BEYOND
club,A1
answer,A1
begin,A1
break,A1
immediately,A2
climb,B1
safe,A2
hit,A2
tooth,A1
wood,A2
minute,C1
say,C1
drop,B1
right,A1
anger,B2
wide,A2
open,A1
ready,A1
touch,B1
skin,A2
fall,A2
ground,A2
time,B2
stand,B2
crash,B2
slowly,A2
able,A2
nose,A1
ear,A1
terrible,A1
knock,B1
teach,A1
lesson,A1
letter,A1
boy,A1
friendly,A1
voice,A2
argue,A2
little,A2
thing,A1
stop,A1
friend,A1
bad,A1
use,A2
speak,A1
head,B1
inside,A2
bring,A1
water,B1
meat,A1
beat,B2
learn,A1
obey,B2
short,A1
dark,A2
cry,B2
agree,A1
excellent,A2
thousand,A1
call,A1
away,A1
ship,B2
later,A2
coast,A2
warm,B1
south,A1
meet,A1
french,BEYOND
half,A2
indian,BEYOND
tall,A1
quickly,A1
fair,A2
calm,B1
honest,B1
white,A1
try,B2
food,A1
meal,A1
decide,A1
sleep,A2
interested,A1
notice,A2
weather,A1
morning,A1
engine,A2
feeling,A1
excitement,B1
leash,BEYOND
outside,A2
step,B2
soft,A2
surprise,A2
air,A1
smell,A2
disappear,A2
happen,A1
people,A1
feel,B2
ashamed,B2
hour,A1
new,A1
frightening,B1
peace,A2
rest,A2
continual,BEYOND
noise,A2
movement,A2
danger,A2
town,A1
law,A2
fight,A2
wolf,BEYOND
warning,B1
close,B1
face,B1
tear,B2
finish,A2
thirty,A1
run,A2
circle,A2
silently,BEYOND
curly,A2
attack,A2
second,A2
backwards,B1
crowd,A2
sudden,B1
chase,B2
lie,B1
dead,A2
body,A1
death,A2
dream,A2
remember,A1
hate,B1
harness,BEYOND
horse,A1
sledge,BEYOND
forest,A2
return,A1
turn,A1
shout,A2
tell,A1
official,B1
paper,A1
afternoon,A1
buy,A1
brother,A1
opposite,A1
discover,A2
problem,A1
tent,B1
angrily,BEYOND
throw,A2
windy,BEYOND
wonder,B1
hear,A1
bark,BEYOND
choose,A1
dig,B2
asleep,A2
thick,A2
heavy,A2
afraid,A1
fear,B1
wild,A2
animal,A1
escape,B1
upwards,B2
daylight,BEYOND
pleased,A2
quarter,A1
way,B2
sorry,A1
enjoy,A1
lek,BEYOND
long,A1
bored,A1
miserable,B2
job,A1
happy,A1
near,A1
leader,A2
teacher,A1
wrong,B1
leg,A1
lightly,BEYOND
start,A2
beating,BEYOND
mistake,B2
careful,A2
journey,A1
mountain,A1
camp,A2
miner,B2
build,A1
boat,A1
sail,B1
lake,A2
ice,A1
melt,B2
spring,B1
early,A1
harden,BEYOND
kilometre,A1
usually,A1
snowshoe,BEYOND
flatten,BEYOND
stay,A2
change,A1
well,C1
thin,A2
light,A2
fish,A2
gram,BEYOND
dry,A2
alive,A2
slow,B1
unseen,BEYOND
punish,B1
instead,A2
cleverly,BEYOND
secretly,BEYOND
pack,B1
kill,A2
point,B1
moon,A2
howl,BEYOND
loud,A2
show,A1
die,A1
frozen,B1
rock,C1
guess,A1
dirty,A1
thief,A2
chance,A2
eighty,A1
village,A1
search,A2
crazy,A2
bone,A2
hunger,B2
badly,A2
bravely,BEYOND
taste,A2
save,A2
hurt,B2
unhappy,A2
hide,A2
tired,A1
shoe,A1
unhappily,BEYOND
softly,BEYOND
ill,A2
hope,A2
rabies,BEYOND
damage,B1
painfully,BEYOND
difficult,A1
country,A1
fast,A1
freeze,B1
cross,A2
dangerous,A1
bridge,A2
carefully,A2
hold,B2
temperature,A2
zero,A2
metre,A1
late,A1
reach,B2
life,A1
comfortable,A2
forget,A1
refuse,A2
mad,B1
sure,A2
pass,B1
helpless,BEYOND
enemy,B1
twice,A1
reply,A2
win,B1
lead,B1
lazy,A2
soon,A1
grey,A1
seven,A1
possible,A1
hair,A1
clever,A2
actually,A2
rabbit,BEYOND
join,A1
shine,B1
brightly,BEYOND
leaf,B1
fighter,BEYOND
intelligent,A2
throat,B1
covered,B1
left,A1
repeat,B1
final,A2
end,A1
real,A1
frighten,B1
keep,A1
finally,A2
team,A1
difference,A1
continue,A2
worth,B1
fourteen,A1
arm,C1
goodbye,A1
load,B2
burn,B2
parent,A1
different,A1
cook,A2
deep,B1
frightened,B1
stone,A2
wear,A1
hairy,BEYOND
darkness,B2
hey,A1
world,A1
week,A1
care,A2
ate,BEYOND
check,A2
weak,A2
driver,A1
free,B2
order,A1
kind,B1
drive,A2
gun,A2
shot,B2
kilogram,BEYOND
one,A1
useless,B2
sell,A1
american,BEYOND
watery,BEYOND
blue,A1
young,B1
shiny,B1
knife,A2
belt,A2
clearly,A2
untidy,BEYOND
woman,A1
wife,A1
sister,A1
luggage,BEYOND
sensibly,BEYOND
bit,A2
pick,B2
whip,C1
poor,A1
promise,A2
nice,A1
everybody,A1
believe,A1
stupid,A2
listen,A1
dear,A2
street,A1
packet,B2
easily,A2
blanket,B2
plate,A2
clothe,BEYOND
lot,A1
road,A1
extra,B1
impossible,A2
shoot,C1
happily,A2
ride,A2
lift,A2
beautiful,A1
plant,A2
lovely,A2
mercede,BEYOND
mend,BEYOND
somebody,A1
warn,B1
scream,B2
cut,B1
nearly,A2
gentle,B1
broken,A2
middle,A2
lick,BEYOND
plenty,B1
sun,A1
bird,A1
welcome,A2
kilomere,BEYOND
peaceful,B1
wash,A2
play,A1
game,A1
love,A1
naturally,B1
sensible,B1
child,A1
shake,B1
lovingly,BEYOND
gently,BEYOND
happiness,B1
fill,A1
interest,A1
visitor,A1
accept,A2
wonderful,A1
yes,A1
autumn,A1
usual,A2
corner,A2
table,A1
fly,A2
put,A1
doctor,A1
famous,A1
rocky,BEYOND
bank,B1
follow,A1
worried,A2
swimmer,BEYOND
tail,B1
round,B2
past,A2
higher,BEYOND
bang,BEYOND
helpful,A2
east,A1
loudly,A2
bag,A1
lend,A2
shall,A2
add,A1
winning,BEYOND
question,A2
fine,C1
bright,A2
eyed,BEYOND
health,A1
low,B2
forward,B2
centimetre,BEYOND
hat,A1
lost,A2
summer,A1
back,B2
flat,A2
lose,A1
shallow,B2
yellow,A1
butter,A1
sound,C1
sky,A2
realize,A2
dinner,A1
golden,B2
brown,A1
secret,A2
shadow,B2
moose,BEYOND
group,A1
antler,BEYOND
patiently,BEYOND
fourth,A1
arrow,B2
singe,BEYOND
yeehat,BEYOND
dance,A1
growling,BEYOND
wind,B2
storm,A2
destroy,A2
madness,BEYOND
bed,A1
pool,A1
edge,B1
restlessly,BEYOND
moonlight,BEYOND
brave,B1
story,A1
song,A1
