word,level
begin,A1
story,A1
like,B1
tell,A1
little,A2
bear,B2
year,A1
city,A1
north,A1
father,A1
german,BEYOND
come,A1
live,B1
work,A1
soon,A1
marry,A2
mother,A1
english,BEYOND
family,A1
call,A1
business,A1
go,B1
good,A2
school,A1
want,A1
job,A1
quiet,A1
comfortable,A2
life,A1
adventure,A2
exciting,A1
sailor,B1
sea,A1
unhappy,A2
say,C1
happy,A1
know,A1
difficult,A1
dangerous,A1
love,A1
try,B2
forget,A1
later,A2
see,A1
friend,A1
town,A1
ship,B2
sail,B1
tomorrow,A1
day,A1
strong,A1
wind,B2
rough,B1
ill,A2
afraid,A1
die,A1
cry,B2
home,A2
drop,B1
beautiful,A1
laugh,A1
feel,B2
bad,A1
terrible,A1
storm,A2
answer,A1
drink,A1
well,C1
danger,A2
decide,A1
stay,A2
time,B2
captain,B1
ask,A1
agree,A1
second,A2
near,A1
turkish,BEYOND
pirate,C1
famous,A1
thief,A2
long,A1
hard,A1
fight,A2
finish,A2
prisoner,B1
man,A1
take,A1
sell,A1
slave,B2
market,B1
end,A1
sudden,B1
change,A1
master,B2
house,B2
garden,A1
plan,A1
escape,B1
possible,A1
think,A1
night,A1
fishing,A2
boat,A1
young,B1
boy,A1
ready,A1
lot,A1
food,A1
morning,A1
wait,A2
arrive,A1
today,A1
catch,B2
fish,A2
supper,BEYOND
tonight,A1
yes,A1
quietly,A2
inside,A2
excited,A1
move,B1
carefully,A2
knock,B1
water,B1
swim,B1
shore,B2
shoot,C1
seabird,BEYOND
gun,A2
quickly,A1
shout,A2
far,B1
hurt,B2
head,B1
turn,A1
help,A1
push,B1
world,A1
small,A1
south,A1
country,A1
wild,A2
animal,A1
meal,A1
coast,A2
people,A1
strange,A2
look,A2
friendly,A1
need,B1
white,A1
visit,A1
speak,A1
language,A1
course,A1
hand,B1
face,B1
hungry,A1
away,A1
carry,A1
watch,A1
thank,A1
big,A1
cat,A1
mountain,A1
leopard,BEYOND
woman,A1
run,A2
new,A1
african,BEYOND
loud,A2
noise,A2
smoke,A2
dead,A2
give,A1
meat,A1
suddenly,A2
right,A1
fast,A1
remember,A1
minute,C1
portuguese,BEYOND
listen,A1
pay,A2
money,A1
free,B2
week,A1
goodbye,A1
leave,B2
rich,A1
bored,A1
journey,A1
stupid,A2
easy,A1
rain,A1
stop,A1
lose,A1
hole,A2
side,A2
land,A2
hit,A2
sand,B1
break,A1
piece,A1
get,A1
half,A2
hour,A1
angry,A1
round,B2
lucky,A2
ground,A2
foot,A1
beach,A1
fall,A2
wet,A2
thankful,BEYOND
alive,A2
slowly,A2
higher,BEYOND
wreck,BEYOND
dark,A2
tired,A1
sleep,A2
tree,A1
surprise,A2
walk,A1
hold,B2
place,B1
high,B2
eat,A1
find,A1
wood,A2
tie,A2
rope,B1
thing,A1
box,A1
rice,A1
salt,A1
bread,A1
knife,A2
tool,A2
paper,A1
pen,A1
book,A2
seven,A1
hill,A2
build,A1
island,A1
mile,A1
cave,B2
fine,C1
tent,B1
kitchen,A1
fence,B1
cut,B1
circle,A2
stone,A2
wall,A1
make,B2
twelfth,BEYOND
happen,A1
word,A1
large,A1
table,A1
chair,B2
slow,B1
month,A1
learn,A1
clever,A2
hurry,B1
kill,A2
bed,A1
light,A2
read,A1
write,A1
use,A2
fat,A2
weather,A1
usually,A1
hot,A1
heavy,A2
turtle,BEYOND
part,A1
rest,A2
river,A1
open,A1
different,A1
fruit,A1
dry,A2
sun,A1
opening,B2
green,A1
flower,A1
bird,A1
trouble,B2
accident,A2
roof,A2
nearly,A2
cook,A2
fire,B1
rainy,BEYOND
pot,B1
colour,A1
cold,A1
luck,A2
bag,A1
chicken,A1
bright,A2
field,A2
corn,BEYOND
travel,A1
canoe,BEYOND
pull,B1
fourth,A1
sixth,BEYOND
prison,A2
busy,A1
clothe,BEYOND
skin,A2
true,A1
keep,A1
goat,A1
milk,A1
cornfield,BEYOND
footprint,BEYOND
hear,A1
west,A1
explain,A1
visitor,A1
freely,B2
secret,A2
arm,C1
body,A1
understand,A1
dance,A1
singe,BEYOND
blood,A2
angrily,BEYOND
lonely,B1
sleepless,BEYOND
sound,C1
lie,B1
spanish,BEYOND
gold,A2
silver,A2
buy,A1
somebody,A1
talk,A2
wake,A1
thirty,A1
jump,A2
wooden,A2
poor,A1
sword,C1
enemy,B1
hurriedly,BEYOND
hide,A2
old,A1
tall,A1
kind,B1
nice,A1
smile,A2
brown,A1
black,A1
hair,A1
eye,A1
tooth,A1
teach,A1
voice,A2
bone,A2
show,A1
trouser,BEYOND
coat,A1
hat,A1
quick,A1
learner,BEYOND
enjoy,A1
have,A2
happily,A2
clear,B1
way,B2
matter,A2
sky,A2
thin,A2
mouth,A1
send,A1
choose,A1
seventh,BEYOND
evening,A1
egg,A1
great,A1
let,A1
leg,A1
sit,A1
surprised,A2
homemade,BEYOND
beard,BEYOND
officer,A2
mutiny,BEYOND
seamen,BEYOND
mutineer,BEYOND
immediately,A2
warmly,BEYOND
reply,A2
death,A2
sure,A2
seaman,BEYOND
shouting,BEYOND
meet,A1
dear,A2
nineteenth,BEYOND
nineteen,A1
stranger,B1
brother,A1
son,A1
pleased,A2
ago,A1
cross,A2
winter,A1
snow,A1
deep,B1
nephew,BEYOND
child,A1
daughter,A1
wife,A1
uncle,A1
