word,level
approximately,B1
babylonian,BEYOND
king,A2
shiny,B1
black,A1
basalt,BEYOND
stela,BEYOND
pillar,BEYOND
place,B1
capital,A1
city,A1
astonishing,B2
object,B2
contain,A2
nearly,A2
law,A2
today,A1
standard,B1
shockingly,BEYOND
cruel,B1
number,A2
son,A1
strike,B2
father,A1
hand,B1
shall,A2
hew,BEYOND
man,A1
eye,A1
downright,BEYOND
unfair,B1
patient,B2
die,A1
surgery,B2
accord,BEYOND
doctor,A1
cut,B1
hard,A1
believe,A1
code,A2
great,A1
advance,B2
human,A2
civilization,B2
say,C1
effect,A2
hold,B2
power,B2
people,A1
right,A1
live,B1
society,A2
clear,B1
apply,A2
surprising,A2
innovation,B2
legal,B1
thought,A2
come,A1
land,A2
change,A1
locate,B1
home,A2
world,A1
greek,BEYOND
river,A1
overflow,BEYOND
year,A1
leave,B2
enrich,C1
soil,B1
start,A2
wander,B2
tribe,B2
begin,A1
grow,A1
crop,B2
fertile,BEYOND
gradually,B2
stay,A2
sow,BEYOND
seed,B1
domesticate,BEYOND
animal,A1
town,A1
crossroad,BEYOND
allow,A2
region,A2
trade,B1
grain,B1
good,A2
new,A1
idea,A1
group,A1
schoolchildren,BEYOND
visit,A1
site,A2
sense,B2
lively,B2
vivid,BEYOND
writing,A1
engrave,BEYOND
wedge,BEYOND
shaped,B2
letter,A1
small,A1
clay,BEYOND
tablet,A2
early,A1
know,A1
form,A1
cuneiform,BEYOND
write,A1
story,A1
strong,A1
private,B1
property,B1
hire,B1
scribe,BEYOND
contract,B2
document,B2
own,A2
include,A1
item,A2
shoe,A1
volume,B2
learn,A1
major,A2
mesopotamian,BEYOND
contribute,B2
development,B1
calendar,BEYOND
metalworking,BEYOND
wheeled,BEYOND
cart,BEYOND
potter,BEYOND
wheel,A2
create,A1
classic,B2
second,A2
empire,B2
add,A1
knowledge,A2
astronomy,BEYOND
mathematic,BEYOND
rule,B1
aside,B2
credit,B2
expand,B1
north,A1
free,B2
control,A2
fierce,C1
warlike,BEYOND
use,A2
horse,A1
cavalry,BEYOND
build,A1
road,A1
organize,A2
mail,A2
service,A2
communication,B1
despite,B1
ferocity,BEYOND
art,A1
architecture,A2
magnificent,B2
assyrian,BEYOND
room,A1
palace,A2
near,A1
huge,A2
head,B1
winged,BEYOND
bull,BEYOND
lion,A1
carve,C1
alabaster,BEYOND
guard,B1
gate,A2
temple,B2
preserve,B2
text,A2
library,A1
take,A1
rebuild,B2
rich,A1
gorgeous,B2
example,A1
beauty,B1
ancient,A2
wonder,B1
progress,B2
math,BEYOND
vital,B2
contribution,B2
broad,B2
range,B1
field,A2
government,A2
literature,B1
harsh,C1
share,B1
deeply,B2
ingrain,BEYOND
civilized,BEYOND
owe,B2
debt,B2
area,A1
birthplace,BEYOND
muddy,BEYOND
stream,B2
flood,B1
recede,BEYOND
silt,BEYOND
plain,B2
ideal,B2
agriculture,B2
tradition,A2
biblical,BEYOND
nomadic,BEYOND
west,A1
east,A1
covet,BEYOND
basin,BEYOND
time,B2
successive,C1
sweep,B2
fight,A2
possess,B2
found,B2
nation,B1
fall,A2
turn,A1
powerful,B1
foe,BEYOND
archaeologist,BEYOND
excavate,BEYOND
find,A1
sign,A2
primitive,BEYOND
settlement,C1
far,B1
non,BEYOND
semitic,BEYOND
abandon,B2
tent,B1
dwell,BEYOND
existence,B2
settle,B2
call,A1
till,B1
house,B2
construct,B2
irrigation,BEYOND
system,A2
drain,C1
marsh,BEYOND
dig,B2
canal,B2
dike,BEYOND
ditch,BEYOND
need,B1
cooperation,BEYOND
large,A1
project,B2
lead,B1
growth,B1
thousand,A1
iraqi,BEYOND
collect,A2
wheat,B2
harvest,C1
cross,A2
southern,B1
model,B2
represent,B1
brick,B2
dwelling,BEYOND
wall,A1
pack,B1
mud,B1
block,B1
fine,C1
mix,B1
straw,BEYOND
flat,A2
deposit,C1
twin,A2
mountain,A1
southeastward,BEYOND
hilly,BEYOND
grassland,BEYOND
finally,A2
reach,B2
join,A1
high,B2
rim,BEYOND
eastern,B1
touch,B1
northeastern,BEYOND
border,B1
flow,B1
tributary,BEYOND
principally,BEYOND
run,A2
general,A2
direction,A2
map,B2
show,A1
course,A1
separate,B1
mouth,A1
meet,A1
swamp,BEYOND
single,A2
mile,A1
kilometer,BEYOND
long,A1
short,A1
important,A1
commercially,BEYOND
channel,B1
deep,B1
kingdom,C1
give,A1
stand,B2
