word,level
bear,B2
city,A1
son,A1
family,A1
great,A1
hope,A2
inheritance,BEYOND
father,A1
plan,A1
study,A1
law,A2
want,A1
sea,A1
foolish,BEYOND
scold,BEYOND
bring,A1
subject,B2
wealthy,B2
poor,A1
need,B1
find,A1
fortune,B2
seek,B2
fame,B2
life,A1
comfortable,A2
steady,B2
like,B1
gloomy,BEYOND
dull,B2
believe,A1
happiness,B1
adventure,A2
suggest,A2
eye,A1
fill,A1
tear,B2
remember,A1
brother,A1
crave,BEYOND
go,B1
war,A2
way,B2
press,B1
case,A2
concern,B2
thought,A2
mind,A2
week,A1
settle,B2
finally,A2
speak,A1
mother,A1
convince,B1
short,A1
voyage,BEYOND
turn,A1
misery,C1
predict,A2
come,A1
home,A2
think,A1
thing,A1
demand,B2
talk,A2
foolishness,BEYOND
leave,B2
clearly,A2
option,A2
run,A2
away,A1
immediately,A2
course,A1
mope,BEYOND
complain,A2
nearly,A2
year,A1
friend,A1
travel,A1
word,A1
parent,A1
board,B1
boat,A1
set,B1
sail,B1
soon,A1
wind,B2
blow,B2
heavily,B1
drive,A2
wave,B1
ship,B2
leap,C1
buck,C1
angry,A1
horse,A1
stomach,A2
miserably,BEYOND
sick,A1
fall,A2
knee,A2
cabin,B2
pray,B1
die,A1
disobey,BEYOND
storm,A2
bargain,B2
beg,B2
promise,A2
good,A2
obedient,BEYOND
calm,B1
smooth,B1
sun,A1
delight,B2
gaze,C1
walk,A1
clap,A1
capful,BEYOND
frighten,B1
ask,A1
cry,B2
terrible,A1
squall,BEYOND
laugh,A1
notice,A2
doubtful,BEYOND
face,B1
add,A1
grin,C1
ti,BEYOND
charming,B2
weather,A1
let,A1
celebrate,A2
survival,B2
merriment,BEYOND
forget,A1
vow,C1
day,A1
commit,B1
completely,A2
certain,A2
regret,B2
choice,A2
later,A2
sky,A2
darken,BEYOND
hard,A1
hand,B1
gather,B1
deck,B2
snug,BEYOND
ride,A2
rough,B1
begin,A1
answer,A1
roll,B1
retire,B1
sure,A2
clear,B1
hear,A1
