word,level
know,A1
time,B2
tremendous,C1
artistic,B2
intellectual,C1
achievement,B1
accomplishment,C1
era,B2
solely,C1
triumph,C1
mind,A2
great,A1
physical,A2
courage,B2
stamina,BEYOND
need,B1
explorer,BEYOND
step,B2
sail,B1
unknown,B2
expand,B1
boundary,C1
world,A1
knowledge,A2
detail,B2
book,A2
tell,A1
story,A1
tale,B2
action,A1
adventure,A2
spirit,B1
play,A1
year,A1
ago,A1
element,B1
easily,A2
recognizable,BEYOND
today,A1
religious,B1
political,B1
tension,B2
technology,A2
commerce,C1
fuel,B1
progression,BEYOND
exploration,B2
age,B1
overland,BEYOND
route,A2
give,A1
way,B2
development,B1
seaborne,BEYOND
eastward,BEYOND
lead,B1
westward,BEYOND
sea,A1
attempt,B2
reach,B2
circle,A2
far,B1
conflict,B2
important,A1
spark,C1
emergence,C1
muslim,BEYOND
ottoman,BEYOND
empire,B2
court,B1
increasingly,B2
perilous,BEYOND
christian,BEYOND
european,BEYOND
traveler,BEYOND
trader,BEYOND
convert,B2
mongol,BEYOND
goal,A2
early,A1
expedition,B1
east,A1
politic,BEYOND
hand,B1
breakup,BEYOND
increase,A2
risk,B1
travel,A1
region,A2
later,A2
nation,B1
jostle,BEYOND
upper,B2
explore,B1
trade,B1
ultimately,B2
conquer,C1
new,A1
land,A2
role,A2
largely,B2
manifest,C1
navigational,BEYOND
shipbuilding,BEYOND
technique,B1
period,A1
navigation,B2
progress,B2
little,A2
second,A2
century,A1
ambitious,B1
take,A1
advantage,A2
accelerate,C1
advancement,BEYOND
basic,B1
think,A1
high,B2
modern,A1
standard,B1
consider,A2
comparable,C1
internet,A1
air,A1
facilitate,C1
movement,A2
space,A1
involve,A2
constant,B2
driver,A1
case,A2
wave,B1
include,A1
journey,A1
multitude,BEYOND
venture,C1
invasion,B2
pique,BEYOND
force,B1
curiosity,C1
prior,B2
send,A1
emissary,BEYOND
father,A1
uncle,A1
successful,A2
company,A1
trek,BEYOND
result,B1
live,B1
originally,B1
letter,A1
subsequently,B2
establish,B2
lasting,BEYOND
significance,B2
chronicle,BEYOND
vivid,BEYOND
popular,A1
manuscript,C1
production,B1
fluke,BEYOND
meet,A1
writer,A1
imprison,C1
rival,B2
