word,level
food,A1
provide,A2
energy,A2
need,B1
chemical,B1
body,A1
grow,A1
repair,B1
damage,B1
stay,A2
healthy,A1
mouthful,BEYOND
probably,A1
enjoy,A1
taste,A2
depend,A2
eat,A1
expect,A2
good,A2
actually,A2
make,B2
sick,A1
look,A2
smell,A2
bad,A1
chance,A2
hide,A2
danger,A2
detect,B2
generally,B1
grant,B2
safe,A2
million,A1
people,A1
suffer,B1
chronic,C1
hunger,B2
accord,BEYOND
child,A1
die,A1
day,A1
relate,B1
cause,A2
develop,A2
country,A1
plenty,B1
worry,B1
anxious,B2
problem,A1
happy,A1
accept,A2
assurance,C1
government,A2
producer,B1
perfectly,B1
strict,B2
regulation,B2
cover,B1
aspect,B2
production,B1
crop,B2
raise,A2
animal,A1
processing,C1
packaging,BEYOND
storage,C1
sale,A2
rigorous,BEYOND
standard,B1
official,B1
check,A2
maintain,B2
worker,A1
arrange,A2
fish,A2
stick,B1
row,B1
process,B2
factory,A2
today,A1
produce,B2
similar,A1
combine,B1
estimate,B2
major,A2
know,A1
pathogen,BEYOND
unspecified,BEYOND
agent,B1
conclude,B1
overall,B2
annual,B2
total,C1
burden,C1
disease,A2
contaminate,BEYOND
consume,B1
illness,A2
hospitalization,BEYOND
death,A2
website,A1
potential,B2
fall,A2
main,A1
category,B1
genetic,B2
modification,C1
scientific,B1
technique,B1
new,A1
despite,B1
reassurance,BEYOND
scientist,A1
everybody,A1
convince,B1
add,A1
stage,B2
microbe,BEYOND
ancient,A2
ancestor,B2
live,B1
find,A1
roam,BEYOND
hunt,B1
seek,B2
edible,BEYOND
plant,A2
part,A1
fruit,A1
berry,BEYOND
nut,A2
thousand,A1
year,A1
gradual,BEYOND
change,A1
take,A1
place,B1
sow,BEYOND
seed,B1
tend,B1
harvest,C1
domesticate,BEYOND
milk,A1
egg,A1
meat,A1
early,A1
farmer,A1
family,A1
social,A2
group,A1
rely,B2
native,B1
suited,BEYOND
environment,A2
gradually,B2
selection,B2
begin,A1
occur,B1
example,A1
choose,A1
strong,A1
ensure,B2
future,A2
generation,B1
way,B2
store,B1
winter,A1
fresh,A2
scarce,BEYOND
drying,BEYOND
smoking,A2
salting,BEYOND
pickling,BEYOND
help,A1
preserve,B2
photograph,A2
show,A1
woman,A1
sort,B1
pea,A1
storeroom,BEYOND
previous,B1
vegetable,A1
jar,BEYOND
can,A2
shelf,B1
floor,A1
society,A2
civilization,B2
farming,A2
method,A2
increasingly,B2
organized,B1
sophisticated,B2
explorer,BEYOND
trader,BEYOND
bring,A1
distant,B2
land,A2
expand,B1
range,B1
available,A2
nineteenth,BEYOND
twentieth,BEYOND
century,A1
period,A1
rapid,B2
progress,B2
electricity,A2
machinery,C1
speed,B2
previously,B1
hand,B1
steam,B2
ship,B2
train,A2
airplane,BEYOND
reduce,A2
journey,A1
time,B2
unravel,BEYOND
secret,A2
inheritance,BEYOND
investigate,B1
study,A1
combat,C1
material,B2
plastic,A2
invent,A2
household,B2
appliance,BEYOND
refrigerator,BEYOND
freezer,BEYOND
commonplace,BEYOND
everyday,A2
life,A1
transform,B2
hold,B2
different,A1
view,B1
merit,C1
traditional,A2
versus,C1
modern,A1
believe,A1
real,A1
prosperous,BEYOND
farm,A2
case,A2
diversified,BEYOND
basis,B1
step,B2
astonish,BEYOND
dismay,BEYOND
disappearance,BEYOND
secretary,A2
continue,A2
intensify,C1
organic,B2
feed,B2
population,A2
world,A1
head,B1
type,B1
think,A1
offer,A2
hope,A2
affect,A2
small,A1
field,A2
large,A1
suitable,B1
agricultural,C1
yield,C1
increase,A2
use,A2
condition,A2
specifically,B1
calculate,B2
allow,A2
quickly,A1
space,A1
improve,A1
long,A1
organism,BEYOND
laboratory,B1
selective,C1
breeding,BEYOND
global,B1
transportation,B2
mean,A1
thing,A1
tiny,B1
unit,A2
call,A1
cell,B2
contain,A2
set,B1
instruction,A2
code,A2
genome,BEYOND
control,A2
happen,A1
engineering,B1
diagram,B1
chromosome,BEYOND
human,A2
gene,B2
link,A2
base,B1
pair,A1
information,A1
double,B1
stranded,BEYOND
threadlike,BEYOND
structure,B2
inside,A2
nucleus,BEYOND
thread,C1
piece,A1
carry,A1
geneticist,BEYOND
visualize,BEYOND
line,B2
like,B1
bead,BEYOND
necklace,BEYOND
deoxyribonucleic,BEYOND
acid,C1
complicated,B2
helix,BEYOND
molecule,BEYOND
