word,level
live,B1
young,B1
father,A1
businessman,A2
mother,A1
work,A1
secretary,A2
seven,A1
year,A1
happy,A1
school,A1
lot,A1
friend,A1
good,A2
time,B2
like,B1
pop,C1
music,A1
favourite,A1
singer,A1
die,A1
car,A1
accident,A2
leave,B2
listen,A1
record,A2
hundred,A1
picture,B2
photo,A1
bedroom,A1
wall,A1
day,A1
winter,A1
seventeen,A1
thing,A1
begin,A1
wrong,B1
go,B1
business,A1
love,A1
away,A1
come,A1
home,A2
quickly,A1
say,C1
week,A1
journey,A1
aeroplane,BEYOND
crash,B2
sea,A1
south,A1
everybody,A1
plane,A1
hear,A1
television,A1
think,A1
remember,A1
fly,A2
cry,B2
telephone,A1
airport,A1
know,A1
name,A1
passenger,A2
call,A1
wait,A2
news,A1
later,A2
learn,A1
true,A1
shout,A2
spend,A1
room,A1
lonely,B1
sad,A1
want,A1
stop,A1
people,A1
take,A1
watch,A1
matter,A2
feel,B2
angry,A1
happen,A1
ask,A1
unhappy,A2
student,A1
college,A1
enjoy,A1
life,A1
death,A2
new,A1
different,A1
bad,A1
tell,A1
dangerous,A1
exciting,A1
care,A2
drug,A2
stupid,A2
police,A1
arrest,B1
sorry,A1
find,A1
right,A1
forget,A1
person,A1
month,A1
hotel,A1
strange,A2
red,A1
bus,A1
speak,A1
beginning,A1
summer,A1
autumn,A1
tourist,A1
look,A2
famous,A1
building,A1
restaurant,A1
theatre,A1
evening,A1
interesting,A1
pleased,A2
need,B1
study,A1
job,A1
newspaper,A1
show,A1
small,A1
private,B1
island,A1
family,A1
big,A1
house,B2
pay,A2
phone,A1
number,A2
sound,C1
beautiful,A1
country,A1
place,B1
expensive,A1
tomorrow,A1
centre,B1
mum,A1
nice,A1
woman,A1
desk,A1
thirty,A1
old,A1
wear,A1
dress,A1
hair,A1
long,A1
dark,A2
daughter,A1
hallo,BEYOND
eighteen,A1
help,A1
garden,A1
gardening,BEYOND
farming,A2
farm,A2
answer,A1
husband,A1
question,A2
outside,A2
hope,A2
get,A1
soon,A1
door,A1
open,A1
smile,A2
minute,C1
close,B1
sit,A1
chair,B2
near,A1
voice,A2
girl,A1
worry,B1
thank,A1
reply,A2
worried,A2
understand,A1
train,A2
travel,A1
window,A1
see,A1
field,A2
village,A1
mountain,A1
letter,A1
computer,A1
invest,B1
money,A1
company,A1
world,A1
meet,A1
man,A1
buy,A1
rich,A1
boat,A1
boatman,BEYOND
brown,A1
sun,A1
beach,A1
cliff,B2
slow,B1
rock,C1
explain,A1
water,B1
careful,A2
please,A2
visitor,A1
quiet,A1
hide,A2
arrive,A1
follow,A1
tree,A1
inside,A2
housekeeper,BEYOND
gardener,BEYOND
little,A2
short,A1
stair,A2
dinner,A1
eat,A1
kitchen,A1
hospital,A1
paint,A1
upstairs,A2
finish,A2
meal,A1
office,A1
surprised,A2
moustache,BEYOND
glass,A1
talk,A2
book,A2
paper,A1
carefully,A2
second,A2
late,A1
night,A1
difference,A1
yes,A1
use,A2
farmhouse,BEYOND
animal,A1
sheep,A1
cow,A1
chicken,A1
horse,A1
grey,A1
ride,A2
grow,A1
vegetable,A1
fruit,A1
weather,A1
hot,A1
sunny,BEYOND
farmer,A1
twice,A1
hill,A2
friendly,A1
dog,A1
afternoon,A1
lazy,A2
riding,BEYOND
way,B2
try,B2
suddenly,A2
face,B1
move,B1
write,A1
bed,A1
hard,A1
wife,A1
belong,A2
walk,A1
swim,B1
stay,A2
camera,A1
photograph,A2
bird,A1
keep,A1
run,A2
grass,A2
surprise,A2
give,A1
film,A2
hey,A1
spoil,B2
pocket,A2
turn,A1
early,A1
read,A1
half,A2
hour,A1
tired,A1
reading,A1
rain,A1
passage,B2
corner,A2
end,A1
large,A1
plant,A2
pot,B1
handle,B2
lock,A2
round,B2
secret,A2
somebody,A1
important,A1
laugh,A1
play,A1
detective,A2
storm,A2
middle,A2
sleep,A2
black,A1
cloud,A2
hurry,B1
sky,A2
wildly,BEYOND
wind,B2
loud,A2
noise,A2
head,B1
light,A2
dressing,BEYOND
gown,BEYOND
afraid,A1
lightning,BEYOND
key,B1
past,A2
shake,B1
morning,A1
egg,A1
box,A1
milk,A1
breakfast,A1
wake,A1
hand,B1
unlock,BEYOND
coloured,B1
shirt,A1
suit,B1
guitar,A1
poster,A2
dead,A2
stand,B2
doorway,BEYOND
believe,A1
brother,A1
thousand,A1
quietly,A2
star,A2
real,A1
sister,A1
drink,A1
alcohol,B1
drunk,B1
terrible,A1
crazy,A2
story,A1
drive,A2
hit,A2
kill,A2
plan,A1
alive,A2
fake,B2
clothe,BEYOND
push,B1
burn,B2
change,A1
sing,A1
anybody,A2
well,C1
