word,level
look,A2
far,B1
day,A1
encounter,B2
form,A1
electronic,A2
entertain,B1
operate,B2
machinery,C1
perform,A2
complex,B1
calculation,C1
play,A1
significant,B2
role,A2
life,A1
end,A1
sight,B1
fascinating,B1
new,A1
innovation,B2
book,A2
provide,A2
overview,BEYOND
different,A1
kind,B1
work,A1
use,A2
history,A1
development,B1
common,A1
rarely,B1
stop,A1
think,A1
branch,B1
physics,A2
know,A1
electronics,B2
deal,B1
production,B1
behavior,BEYOND
effect,A2
electron,BEYOND
device,A2
especially,A2
concern,B2
transistor,BEYOND
tube,B1
basic,B1
type,B1
signal,B1
analog,BEYOND
digital,A2
electric,A2
current,B1
indicate,B1
information,A1
commonly,B2
semiconductor,BEYOND
material,B2
conduct,B2
electricity,A2
certain,A2
condition,A2
manipulate,C1
invent,A2
replace,A2
vacuum,C1
operation,B1
computer,A1
equipment,A2
result,B1
combination,B2
circuit,B2
supply,B1
conduit,BEYOND
power,B2
today,A1
small,A1
make,B2
microprocessor,BEYOND
possible,A1
element,B1
vast,B2
variety,A2
function,B1
central,B1
resistor,BEYOND
slow,B1
flow,B1
control,A2
voltage,BEYOND
conductor,BEYOND
connector,BEYOND
capacitor,BEYOND
store,B1
electrical,A2
charge,B1
multiple,B2
individual,A2
part,A1
million,A1
tiny,B1
implant,BEYOND
integrate,B2
powerful,B1
little,A2
chip,A2
originate,C1
find,A1
video,A1
game,A1
security,B1
system,A2
calculator,BEYOND
improvement,B1
manufacture,B2
readily,C1
available,A2
modern,A1
consumer,B1
start,A2
phonograph,BEYOND
field,A2
expand,B1
satellite,B2
radio,A1
player,A1
tablet,A2
touch,B1
screen,B2
keyboard,B1
course,A1
home,A2
medicine,A2
take,A1
advantage,A2
time,B2
doctor,A1
detailed,B2
human,A2
body,A1
diagnostic,BEYOND
instrument,A2
compute,C1
tomography,BEYOND
nuclear,B1
magnetic,C1
resonance,BEYOND
scanner,BEYOND
transportation,B2
road,A1
air,A1
space,A1
rely,B2
heavily,B1
experiment,B1
late,A1
early,A1
century,A1
inventor,BEYOND
dramatic,B2
discovery,A2
thermionic,BEYOND
emission,B2
discharge,C1
heat,A2
eventually,B1
year,A1
later,A2
stumble,C1
photoelectric,BEYOND
charged,BEYOND
particle,BEYOND
release,B1
absorb,B2
radiant,BEYOND
energy,A2
lead,B1
cell,B2
valve,BEYOND
diode,BEYOND
triode,BEYOND
consist,B1
electrode,BEYOND
come,A1
adapt,B2
television,A1
deny,B2
reliance,BEYOND
light,A2
illuminate,BEYOND
house,B2
direct,B1
probe,C1
hurtle,BEYOND
highly,B1
develop,A2
show,A1
limit,B1
progress,B2
change,A1
stereophonic,BEYOND
recording,A2
playback,BEYOND
robot,B1
product,A1
generation,B1
communicate,A2
process,B2
cause,A2
great,A1
everyday,A2
technology,A2
introduce,A1
basis,B1
represent,B1
continuously,BEYOND
variable,C1
aspect,B2
amplitude,BEYOND
modulate,BEYOND
transmission,C1
example,A1
strength,B1
electromagnetic,BEYOND
wave,B1
proportional,BEYOND
volume,B2
sound,C1
carry,A1
loud,A2
radiate,BEYOND
speaker,A2
contrast,B1
standardized,BEYOND
pulse,C1
number,A2
audio,B2
set,B1
convert,B2
fix,B2
duration,B2
transmit,B2
series,A2
code,A2
laptop,A2
large,A1
smartphone,A2
binary,BEYOND
instead,A2
base,B1
write,A1
manual,BEYOND
arithmetic,BEYOND
absence,C1
similar,A1
arrangement,A2
recognize,A2
state,B1
switch,B1
high,B2
low,B2
assign,B2
link,A2
datum,BEYOND
letter,A1
musical,B1
note,B1
call,A1
digitization,BEYOND
predominantly,C1
insulator,BEYOND
poorly,BEYOND
generally,B1
silicon,BEYOND
compound,B2
dope,BEYOND
treat,B1
impurity,BEYOND
alter,B2
property,B1
wafer,BEYOND
instrumental,C1
scientist,A1
typical,A2
bond,B2
emitter,BEYOND
excess,C1
negative,B2
second,A2
positive,B2
collector,B2
american,BEYOND
apply,A2
fixed,B1
relatively,B2
incoming,BEYOND
resistance,C1
lower,B2
allow,A2
output,B2
act,B1
amplifier,BEYOND
vary,B2
amplify,BEYOND
copyright,C1
rendering,BEYOND
edition,B2
breakthrough,C1
invention,A2
solid,B1
primarily,B2
switching,BEYOND
amplification,BEYOND
revolutionize,BEYOND
communication,B1
computation,BEYOND
entirely,B2
reliable,B1
flexible,B2
size,A2
consume,B1
application,B1
range,B1
sophisticated,B2
connect,A2
suitable,B1
source,A2
battery,B1
appropriate,B2
usually,A1
section,A1
input,B2
microor,BEYOND
millivolt,BEYOND
receive,A2
antenna,BEYOND
volt,BEYOND
memory,A2
telecommunications,BEYOND
turn,A1
gate,A2
govern,B2
drain,C1
associate,B2
shut,A2
single,A2
extend,B2
compile,C1
permanently,B2
technological,B2
advance,B2
increasingly,B2
pack,B1
increase,A2
term,B2
scale,B2
integration,C1
thousand,A1
component,B2
ultra,BEYOND
cofounder,BEYOND
propose,B2
double,B1
follow,A1
prediction,B1
law,A2
hold,B2
true,A1
nearly,A2
involve,A2
level,B1
frequency,B2
partially,C1
wholly,C1
evacuate,C1
seal,C1
move,B1
contain,A2
cathode,BEYOND
emit,BEYOND
travel,A1
anode,BEYOND
magnetron,BEYOND
klystron,BEYOND
cylindrical,BEYOND
copper,C1
plate,A2
wire,B2
filament,BEYOND
run,A2
cylinder,BEYOND
axis,BEYOND
mount,B2
outside,A2
magnet,BEYOND
parallel,B2
bend,B1
curved,B2
path,B1
oscillation,BEYOND
radiation,B2
capable,B2
generate,B2
extremely,A2
short,A1
burst,C1
radar,C1
microwave,BEYOND
oven,A2
cavity,BEYOND
oscillate,BEYOND
produce,B2
gigahertz,BEYOND
billion,A2
cycle,A2
relay,BEYOND
important,A1
ray,C1
receiver,B2
focus,A2
lense,BEYOND
fine,C1
beam,C1
fall,A2
fluorescent,BEYOND
spot,B1
right,A1
angle,B2
direction,A2
straight,A2
line,B2
displacement,BEYOND
measure,B1
voltmeter,BEYOND
potential,B2
difference,A1
deflect,BEYOND
alternate,BEYOND
point,B1
constantly,B2
left,A1
appear,A2
horizontal,BEYOND
pull,B1
complicated,B2
figure,B2
see,A1
permit,B2
study,A1
detail,B2
relation,B1
phase,B2
oscilloscope,BEYOND
stream,B2
pass,B1
pair,A1
strike,B2
coat,A1
inside,A2
excite,BEYOND
response,A2
place,B1
slowly,A2
return,A1
fast,A1
viewer,B1
get,A1
simple,A2
picture,B2
ultimately,B2
pathway,C1
recent,A2
decade,B1
dramatically,B2
reduce,A2
give,A1
rise,B1
age,B1
feasible,BEYOND
wide,A2
impede,BEYOND
regulate,B2
like,B1
netbook,BEYOND
portable,BEYOND
personal,A1
significantly,B2
mechanism,B2
broad,B2
logic,C1
transform,B2
build,A1
identical,B2
elementary,B2
manipulation,C1
piece,A1
bit,A2
unit,A2
byte,BEYOND
combine,B1
nand,BEYOND
logical,B2
define,B1
finite,BEYOND
step,B2
array,C1
transient,BEYOND
impulse,BEYOND
particular,A2
address,B2
way,B2
stable,B2
obtain,B2
mean,A1
external,B2
nonconducting,BEYOND
random,B2
access,B1
order,A1
include,A1
read,A1
data,A2
content,C1
separate,B1
case,A2
embed,C1
primary,B1
board,B1
center,BEYOND
integrated,C1
key,B1
begin,A1
circular,BEYOND
inch,B2
designer,A2
drawing,A2
exactly,A2
photograph,A2
diagram,B1
photolithographic,BEYOND
mask,C1
disc,B2
photoresist,BEYOND
undergo,B2
chemical,B1
expose,B2
ultraviolet,BEYOND
shine,B1
create,A1
pattern,A2
solvent,BEYOND
etch,BEYOND
away,A1
resist,B2
leave,B2
intact,C1
layer,B1
lay,B1
technique,B1
hundred,A1
multilayered,BEYOND
break,A1
apart,B1
prestresse,BEYOND
square,A2
rectangular,BEYOND
finished,BEYOND
continually,C1
fit,C1
couple,A2
rapid,B2
simultaneous,BEYOND
speed,B2
heart,A2
computing,BEYOND
postage,BEYOND
stamp,A2
fill,A1
room,A1
cost,A1
dollar,A1
entire,B2
carrier,BEYOND
emerge,B2
solder,BEYOND
print,B2
rack,BEYOND
future,A2
major,A2
enable,B2
manufacturing,B2
cut,B1
attach,B1
edge,B1
promise,A2
eliminate,B2
transfer,B2
hundredfold,BEYOND
substantially,C1
hardware,C1
exotic,B2
research,A2
biological,B2
genetic,B2
regard,B2
entity,C1
resemble,C1
strand,C1
test,A1
solution,A2
problem,A1
method,A2
gradually,B2
winnow,BEYOND
false,A1
demonstration,B2
efficient,B2
routing,BEYOND
schedule,B2
laboratory,B1
need,B1
practical,B1
exciting,A1
dependent,B2
conceive,C1
software,B1
interface,C1
user,A2
friendly,A1
easy,A1
nonprofessional,BEYOND
intelligent,A2
able,A2
specific,A2
habit,A2
word,A1
processing,C1
program,B1
learn,A1
writing,A1
style,A1
offer,A2
suggestion,A2
experience,B1
difficult,A1
opponent,B2
personality,A2
meaning,A1
advanced,B1
nanometer,BEYOND
millionth,BEYOND
