word,level
family,A1
live,B1
country,A1
near,A1
half,A2
mile,A1
village,A1
river,A1
big,A1
old,A1
house,B2
beautiful,A1
garden,A1
lot,A1
flower,A1
tree,A1
morning,A1
come,A1
tall,A1
fat,A2
woman,A1
thirty,A1
year,A1
hot,A1
day,A1
wear,A1
warm,B1
brown,A1
skirt,A1
yellow,A1
shirt,A1
go,B1
kitchen,A1
drink,A1
water,B1
phone,A1
ring,B1
say,C1
hello,A1
want,A1
talk,A2
mother,A1
doctor,A1
wrong,B1
telephone,A1
weekend,A1
yes,A1
money,A1
train,A2
ticket,A1
give,A1
expensive,A1
coldly,BEYOND
tell,A1
need,B1
take,A1
cigarette,A2
bag,A1
begin,A1
smoke,A2
feel,B2
angry,A1
sister,A1
ask,A1
young,B1
room,A1
singer,A1
sing,A1
work,A1
sandwich,A1
door,A1
open,A1
hat,A1
table,A1
dark,A2
eye,A1
black,A1
dog,A1
run,A2
sit,A1
hand,B1
head,B1
close,B1
minute,C1
stand,B2
afternoon,A1
ready,A1
later,A2
tablet,A2
wait,A2
letter,A1
lose,A1
job,A1
know,A1
write,A1
office,A1
understand,A1
seventeen,A1
kill,A2
answer,A1
seven,A1
evening,A1
window,A1
car,A1
drive,A2
slowly,A2
stop,A1
man,A1
white,A1
hair,A1
get,A1
husband,A1
late,A1
dear,A2
sorry,A1
today,A1
wonderful,A1
dress,A1
smile,A2
thank,A1
tonight,A1
long,A1
foot,A1
let,A1
dinner,A1
look,A2
nice,A1
girl,A1
blue,A1
red,A1
son,A1
second,A2
child,A1
call,A1
road,A1
quickly,A1
week,A1
like,B1
eat,A1
bad,A1
stay,A2
bed,A1
time,B2
nurse,A1
hour,A1
difficult,A1
unhappy,A2
visit,A1
love,A1
little,A2
laugh,A1
tomorrow,A1
watch,A1
ill,A2
new,A1
thing,A1
remember,A1
cheap,B1
soon,A1
help,A1
matter,A2
well,C1
suddenly,A2
quick,A1
cold,A1
face,B1
afraid,A1
happy,A1
meat,A1
wine,A1
good,A2
father,A1
meet,A1
farm,A2
land,A2
dirty,A1
tooth,A1
excuse,B2
mouth,A1
right,A1
careful,A2
free,B2
die,A1
cry,B2
walk,A1
upstairs,A2
leave,B2
move,B1
quietly,A2
finish,A2
coffee,A1
early,A1
quiet,A1
clock,A1
nearly,A2
bring,A1
cup,A1
find,A1
dead,A2
arm,C1
downstairs,A2
true,A1
winter,A1
hit,A2
forget,A1
think,A1
rich,A1
easy,A1
arrive,A1
body,A1
carefully,A2
police,A1
see,A1
summer,A1
sky,A2
green,A1
sleep,A2
bottle,A1
sleeping,BEYOND
night,A1
angrily,BEYOND
question,A2
camera,A1
detective,A2
sitting,BEYOND
inspector,B2
suit,B1
coat,A1
milk,A1
everybody,A1
chair,B2
uncle,A1
course,A1
usually,A1
play,A1
tennis,A1
player,A1
wife,A1
happen,A1
tired,A1
hear,A1
noise,A2
midnight,A1
hungry,A1
learn,A1
shall,A2
change,A1
shop,A1
bicycle,A1
important,A1
listen,A1
warmly,BEYOND
friend,A1
build,A1
sell,A1
pencil,A1
goodnight,BEYOND
pocket,A2
sun,A1
month,A1
fast,A1
exciting,A1
break,A1
brother,A1
ago,A1
boy,A1
gardener,BEYOND
interesting,A1
trouser,BEYOND
orange,A1
trouble,B2
home,A2
away,A1
television,A1
book,A2
picture,B2
story,A1
accident,A2
end,A1
rain,A1
