word,level
thing,A1
certain,A2
white,A1
kitten,BEYOND
black,A1
fault,B2
entirely,B2
have,A2
face,B1
wash,A2
old,A1
cat,A1
quarter,A1
hour,A1
bear,B2
pretty,A1
consider,A2
hand,B1
mischief,BEYOND
way,B2
child,A1
hold,B2
poor,A1
ear,A1
paw,BEYOND
rub,B2
wrong,B1
begin,A1
nose,A1
say,C1
hard,A1
work,A1
lie,B1
try,B2
purr,BEYOND
doubt,B1
feel,B2
mean,A1
good,A2
finish,A2
early,A1
afternoon,A1
sit,A1
curl,BEYOND
corner,A2
great,A1
arm,C1
chair,B2
half,A2
talk,A2
asleep,A2
grand,B2
game,A1
romp,BEYOND
ball,A1
worsted,BEYOND
wind,B2
roll,B1
till,B1
come,A1
undone,BEYOND
spread,B1
hearth,BEYOND
rug,A1
knot,BEYOND
tangle,BEYOND
run,A2
tail,B1
middle,A2
wicked,BEYOND
little,A2
cry,B2
catch,B2
give,A1
kiss,B1
understand,A1
disgrace,BEYOND
ought,B1
teach,A1
well,C1
manner,A2
know,A1
add,A1
look,A2
reproachfully,BEYOND
speak,A1
cross,A2
voice,A2
manage,A2
scramble,BEYOND
take,A1
worst,B1
fast,A1
time,B2
demurely,BEYOND
knee,A2
pretend,B1
watch,A1
progress,B2
winding,BEYOND
put,A1
gently,BEYOND
touch,B1
glad,B1
help,A1
morrow,BEYOND
guess,A1
window,A1
make,B2
tidy,A2
boy,A1
get,A1
stick,B1
bonfire,BEYOND
want,A1
plenty,B1
cold,A1
snow,A1
leave,B2
mind,A2
wound,B2
turn,A1
round,B2
neck,A2
lead,B1
floor,A1
yard,B1
unwind,BEYOND
angry,A1
go,B1
soon,A1
comfortably,BEYOND
settle,B2
see,A1
nearly,A2
open,A1
deserve,B2
mischievous,BEYOND
darling,BEYOND
interrupt,B2
finger,A2
tell,A1
number,A2
squeak,BEYOND
twice,A1
morning,A1
deny,B2
hear,A1
eye,A1
keep,A1
shut,A2
tight,B1
happen,A1
excuse,B2
listen,A1
pull,B1
away,A1
saucer,BEYOND
milk,A1
thirsty,A1
unwound,BEYOND
bit,A2
punish,B1
save,A2
punishment,B1
week,A1
suppose,A2
end,A1
year,A1
send,A1
prison,A2
day,A1
let,A1
dinner,A1
miserable,B2
far,B1
eat,A1
pane,BEYOND
nice,A1
soft,A2
sound,C1
outside,A2
wonder,B1
