word,level
chance,A2
weather,A1
affect,A2
day,A1
wear,A1
short,A1
winter,A1
coat,A1
enjoy,A1
picnic,BEYOND
ski,A2
trip,B2
school,A1
try,B2
insulate,BEYOND
air,A1
conditioning,BEYOND
heater,BEYOND
ultimately,B2
escape,B1
quality,A2
life,A1
flash,B2
flood,B1
lightning,BEYOND
hurricane,B1
blizzard,BEYOND
cause,A2
danger,A2
death,A2
prolonged,BEYOND
heat,A2
wave,B1
cold,A1
snap,C1
fatal,C1
people,A1
crop,B2
rely,B2
wonder,B1
ancient,A2
time,B2
sailor,B1
farmer,A1
eager,C1
understand,A1
snapshot,BEYOND
atmosphere,B1
surround,B2
give,A1
place,B1
look,A2
window,A1
sunny,BEYOND
cloudy,BEYOND
snowing,BEYOND
term,B2
oppose,B2
long,A1
atmospheric,BEYOND
condition,A2
know,A1
climate,A2
imagine,A1
vast,B2
invisible,C1
ocean,A2
current,B1
swirl,BEYOND
eddy,BEYOND
constant,B2
movement,A2
create,A1
important,A1
factor,A2
drive,A2
radiation,B2
unevenly,BEYOND
rise,B1
warm,B1
masse,BEYOND
characteristic,B2
level,B1
temperature,A2
moisture,BEYOND
influence,B1
pass,B1
maritime,BEYOND
tropical,B2
example,A1
form,A1
water,B1
typically,B1
produce,B2
heavy,A2
rain,A1
land,A2
satellite,B2
image,A2
take,A1
show,A1
storm,A2
system,A2
left,A1
right,A1
front,A1
boundary,C1
unstable,BEYOND
common,A1
severe,B2
thunderstorm,BEYOND
ice,A1
tornado,BEYOND
meet,A1
violent,B1
flat,A2
plain,B2
instance,B2
mountain,A1
range,B1
clash,C1
spring,B1
summer,A1
collision,C1
spawn,BEYOND
dangerous,A1
fact,A1
region,A2
call,A1
volume,B2
learn,A1
powerful,B1
develop,A2
science,A1
prediction,B1
change,A1
year,A1
early,A1
forecast,B2
base,B1
careful,A2
observation,B2
invention,A2
thermometer,BEYOND
barometer,BEYOND
century,A1
provide,A2
accurate,B2
measurement,B2
pressure,B1
today,A1
scientist,A1
sophisticated,B2
tool,A2
detect,B2
pattern,A2
doppler,BEYOND
radar,C1
measure,B1
wind,B2
speed,B2
observe,B2
microwave,BEYOND
reflect,B1
raindrop,BEYOND
circle,A2
gather,B1
feed,B2
computer,A1
turn,A1
map,B2
information,A1
share,B1
member,A1
nation,B1
forecasting,BEYOND
improve,A1
recent,A2
difficult,A1
predict,A2
daily,B1
accurately,B2
week,A1
advance,B2
unpredictability,BEYOND
power,B2
awesome,BEYOND
force,B1
nature,A2
continue,A2
fascinating,B1
modern,A1
concern,B2
effect,A2
nearly,A2
human,A2
activity,A1
occur,B1
mixture,B1
gas,A2
completely,A2
envelop,BEYOND
define,B1
momentary,BEYOND
state,B1
surface,B1
hand,B1
refer,A2
average,B1
period,A1
basic,B1
include,A1
precipitation,BEYOND
humidity,BEYOND
cloudiness,BEYOND
constantly,B2
continuous,B1
exchange,B1
sea,A1
scientifically,BEYOND
analyze,BEYOND
meteorology,BEYOND
compress,BEYOND
weight,A2
half,A2
bulk,C1
squeeze,C1
mile,A1
kilometer,BEYOND
layer,B1
troposphere,BEYOND
site,A2
world,A1
turbulence,BEYOND
storminess,BEYOND
calm,B1
stratosphere,BEYOND
little,A2
cloud,A2
underlie,BEYOND
great,A1
variety,A2
motion,B2
large,A1
scale,B2
planetary,BEYOND
general,A2
circulation,C1
sun,A1
pole,C1
heated,BEYOND
equatorial,BEYOND
flow,B1
generally,B1
poleward,BEYOND
northern,B1
southern,B1
hemisphere,BEYOND
polar,BEYOND
cool,B1
sink,B1
upward,BEYOND
result,B1
belt,A2
low,B2
astride,BEYOND
latitude,BEYOND
high,B2
upper,B2
subtropical,BEYOND
blow,B2
outward,BEYOND
rotation,C1
deflect,BEYOND
direction,A2
easterly,BEYOND
east,A1
west,A1
midlatitude,BEYOND
westerly,BEYOND
path,B1
object,B2
move,B1
like,B1
trade,B1
girdle,BEYOND
arrangement,A2
vary,B2
somewhat,B2
shift,B1
northward,BEYOND
southward,BEYOND
continuity,BEYOND
prevail,C1
modify,B2
greatly,B2
differ,B2
rate,B2
last,A2
eastern,B1
near,A1
relatively,B2
western,B1
dry,A2
wet,A2
reverse,C1
phenomenon,B2
strongly,B1
part,A1
buildup,BEYOND
bring,A1
experience,B1
drought,B2
weaken,C1
strengthen,B2
onshore,BEYOND
southwestern,BEYOND
acquire,B2
fairly,B1
uniform,A2
area,A1
mass,B2
main,A1
type,B1
antarctic,BEYOND
depend,A2
originate,C1
continental,BEYOND
origin,B2
moist,BEYOND
moderate,C1
hot,A1
season,A2
immense,C1
accumulate,C1
sweep,B2
wake,A1
mild,B1
oil,A2
worker,A1
walk,A1
mobile,A2
unit,A2
blustery,BEYOND
snowy,BEYOND
similar,A1
different,A1
frequency,B2
combination,B2
help,A1
determine,B1
particular,A2
occasional,C1
invasion,B2
northeast,BEYOND
mainly,B1
interior,C1
feel,B2
true,A1
caa,BEYOND
leave,B2
source,A2
essentially,B2
convert,B2
sharp,B1
transition,B2
zone,BEYOND
lead,B1
edge,B1
quick,A1
drop,B1
rapid,B2
accompany,B2
snow,A1
flurry,BEYOND
follow,A1
clear,B1
sky,A2
tend,B1
override,BEYOND
rear,C1
portion,B2
ahead,B1
trail,C1
retreat,C1
ground,A2
thicken,BEYOND
lower,B2
precede,B2
arrival,B1
usually,A1
widespread,B2
stationary,BEYOND
appreciably,BEYOND
persist,C1
especially,A2
occlude,BEYOND
overtake,BEYOND
lift,A2
entirely,B2
aloft,BEYOND
superimpose,BEYOND
photograph,A2
outline,B2
longitude,BEYOND
line,B2
isobar,BEYOND
central,B1
outbreak,C1
depict,C1
cyclone,BEYOND
center,BEYOND
reveal,B2
broad,B2
lie,B1
extend,B2
band,A1
spiral,BEYOND
white,A1
eastward,BEYOND
frontal,BEYOND
rotate,C1
counterclockwise,BEYOND
clockwise,BEYOND
separate,B1
airflow,BEYOND
approach,B2
bend,B1
typical,A2
horizontal,BEYOND
consist,B1
swing,C1
slow,B1
south,A1
southwest,BEYOND
northwest,BEYOND
north,A1
stage,B2
ripple,BEYOND
point,B1
pivot,BEYOND
associate,B2
stormy,BEYOND
million,A1
square,A2
reach,B2
maximum,B2
intensity,C1
steer,C1
northeastward,BEYOND
respectively,C1
icelandic,BEYOND
aleutian,BEYOND
semipermanent,BEYOND
feature,B1
group,A1
mature,C1
new,A1
abundant,BEYOND
supply,B1
coast,A2
secondary,B1
exceed,B2
primary,B1
suddenness,BEYOND
velocity,BEYOND
enter,A2
body,A1
strong,A1
bitter,B2
anticyclone,BEYOND
taxi,A1
make,B2
way,B2
dead,A2
traffic,A1
accident,A2
southeastward,BEYOND
course,A1
extreme,B2
notably,C1
carry,A1
subfreezing,BEYOND
far,B1
oceanic,BEYOND
inland,BEYOND
cloudless,BEYOND
autumn,A1
stagnate,BEYOND
spell,C1
summerlike,BEYOND
indian,BEYOND
light,A2
accumulation,C1
pollutant,BEYOND
element,B1
parallel,B2
gradient,BEYOND
sort,B1
slope,B2
angle,B2
friction,BEYOND
balance,B1
allow,A2
geostrophic,BEYOND
opposite,A1
foot,A1
meter,BEYOND
altitude,BEYOND
hour,A1
narrow,B2
jet,B2
stream,B2
middle,A2
characterize,C1
think,A1
largely,B2
responsible,B1
aircraft,B2
position,B2
arrow,B2
indicate,B1
plane,A1
discover,A2
pilot,A2
second,A2
hundred,A1
sharply,BEYOND
away,A1
limit,B1
height,A2
pakistani,BEYOND
villager,C1
wade,BEYOND
village,A1
torrential,BEYOND
monsoon,BEYOND
unleash,BEYOND
bad,A1
meander,BEYOND
nearer,BEYOND
relate,B1
promote,B1
formation,B2
squall,BEYOND
fair,A2
length,B1
african,BEYOND
northerly,BEYOND
normally,A2
fall,A2
night,A1
vendor,BEYOND
case,A2
soda,BEYOND
advisory,BEYOND
combine,B1
street,A1
significance,B2
matter,A2
correction,C1
normal,B1
midday,BEYOND
continuation,BEYOND
exist,A2
gaseous,BEYOND
vapor,BEYOND
contain,A2
possible,A1
specific,A2
saturation,BEYOND
value,B1
relative,B1
proportion,B2
actually,A2
compare,A1
desert,B2
percent,BEYOND
thick,A2
fog,BEYOND
man,A1
net,C1
collect,A2
valuable,B1
receive,A2
useful,A1
dew,BEYOND
present,A2
correspond,C1
amount,B2
signal,B1
imminent,C1
signify,BEYOND
condense,BEYOND
tiny,B1
visible,B2
droplet,BEYOND
crystal,C1
wispy,BEYOND
cirrus,BEYOND
layered,BEYOND
stratus,BEYOND
massive,B2
billowy,BEYOND
cumulus,BEYOND
alto,BEYOND
mean,A1
nimbus,BEYOND
describe,A1
contact,B1
grass,A2
nighttime,BEYOND
freeze,B1
frost,BEYOND
instead,A2
liquid,B1
solid,B1
particle,BEYOND
sleet,BEYOND
hail,C1
disturb,B2
cycle,A2
creation,B2
condensation,BEYOND
dust,B1
salt,A1
serve,A2
nucleus,BEYOND
cooling,BEYOND
collide,BEYOND
coalesce,BEYOND
eventually,B1
rescue,B2
dig,B2
cab,BEYOND
hailstorm,BEYOND
cover,B1
kind,B1
extremely,A2
rare,B1
freezing,BEYOND
supercooled,BEYOND
temporary,B2
have,A2
join,A1
snowflake,BEYOND
collection,B1
appear,A2
infinite,BEYOND
beautifully,BEYOND
intricate,BEYOND
size,A2
shape,B2
crystallize,BEYOND
minute,C1
mineral,B2
float,B2
solidify,BEYOND
directly,B1
hexagonal,BEYOND
sided,BEYOND
structure,B2
natural,A1
oxygen,B2
hydrogen,C1
atom,BEYOND
humid,BEYOND
grow,A1
rapidly,B2
branch,B1
clump,BEYOND
remain,B1
small,A1
compact,BEYOND
capture,B2
plastic,A2
polyvinyl,BEYOND
resin,BEYOND
hailstone,BEYOND
updraft,BEYOND
repeatedly,BEYOND
frozen,B1
glaze,BEYOND
fail,A2
descent,C1
suddenly,A2
impact,B1
tree,A1
coating,BEYOND
live,B1
discharge,C1
electricity,A2
thunder,BEYOND
sound,C1
channel,B1
expand,B1
supersonic,BEYOND
gusty,BEYOND
tall,A1
dense,C1
cumulonimbus,BEYOND
set,B1
start,A2
intensely,BEYOND
bare,C1
rocky,BEYOND
paved,BEYOND
daytime,BEYOND
buoyant,BEYOND
pull,B1
draft,B2
downward,BEYOND
send,A1
churn,BEYOND
soon,A1
later,A2
resist,B2
downdraft,BEYOND
compose,B2
meteorologist,BEYOND
cell,B2
lightne,BEYOND
loud,A2
clap,A1
bright,A2
thing,A1
see,A1
probably,A1
frighten,B1
sudden,B1
jagged,BEYOND
estimate,B2
moment,A1
stroke,B2
harmless,BEYOND
number,A2
strike,B2
airplane,BEYOND
building,A1
ship,B2
direct,B1
fire,B1
damage,B1
person,A1
injury,A2
inside,A2
work,A1
electrical,A2
telephone,A1
wiring,BEYOND
house,B2
metal,A2
piping,BEYOND
local,B1
disturbance,BEYOND
duration,B2
additional,B2
one,A1
die,A1
spread,B1
push,B1
birth,A2
unusually,BEYOND
whirl,BEYOND
centrifugal,BEYOND
effectively,B1
throw,A2
core,B2
stir,C1
cup,A1
vortex,BEYOND
dip,C1
act,B1
partial,C1
vacuum,C1
roof,A2
funnel,BEYOND
whitish,BEYOND
gray,A1
touch,B1
dark,A2
debris,C1
pick,B2
soil,B1
limb,C1
automobile,BEYOND
horse,A1
slam,C1
circular,BEYOND
saw,BEYOND
rip,C1
injure,B1
approximately,B1
resident,B2
lose,A1
downtown,B2
southeast,BEYOND
cut,B1
swath,BEYOND
fortunately,A2
wide,A2
destroy,A2
unscathed,BEYOND
waterspout,BEYOND
exclusively,C1
degree,A2
well,C1
name,A1
typhoon,BEYOND
simply,B1
location,B1
likely,A2
late,A1
shear,BEYOND
tremendous,C1
strength,B1
destructive,C1
view,B1
huge,A2
doughnut,BEYOND
quiet,A1
eye,A1
diameter,BEYOND
cylindrical,BEYOND
wall,A1
energy,A2
island,A1
peninsula,BEYOND
frequently,B1
skirt,A1
coastline,BEYOND
quickly,A1
major,A2
track,B2
sustained,BEYOND
baquio,BEYOND
weak,A2
depression,B2
atlantic,BEYOND
counterpart,C1
bureau,BEYOND
employee,A2
check,A2
statistical,C1
display,B2
office,A1
embed,C1
roar,BEYOND
ashore,BEYOND
end,A1
overhead,BEYOND
clearing,BEYOND
eerie,BEYOND
hit,A2
flooding,BEYOND
instrument,A2
station,A1
transmit,B2
code,A2
datum,BEYOND
aviation,BEYOND
use,A2
climatological,BEYOND
record,A2
automate,BEYOND
addition,B1
volunteer,B1
observer,B2
thousand,A1
substation,BEYOND
network,A2
operate,B2
warn,B1
emergency,B1
further,B1
agricultural,C1
program,B1
anemometer,BEYOND
mount,B2
vertical,B2
axis,BEYOND
vane,BEYOND
pointer,BEYOND
attach,B1
compass,BEYOND
rose,B2
device,A2
pulse,C1
revolve,BEYOND
electric,A2
generator,BEYOND
aneroid,BEYOND
flexible,B2
box,A1
contract,B2
mercury,BEYOND
glass,A1
tube,B1
column,A2
past,A2
alcohol,B1
electronic,A2
thermistor,BEYOND
thermocouple,BEYOND
calibration,BEYOND
backup,C1
secure,B2
hygrometer,BEYOND
commonly,B2
government,A2
reporting,B2
polished,BEYOND
begin,A1
psychrometer,BEYOND
bulb,BEYOND
keep,A1
difference,A1
ceiling,B1
automatic,B2
ceilometer,BEYOND
shine,B1
beam,C1
laser,C1
photoelectric,BEYOND
telescope,BEYOND
reflection,C1
gauge,BEYOND
open,A1
mouthed,BEYOND
container,B1
catch,B2
variation,B2
tip,B1
bucket,BEYOND
automatically,B2
empty,B1
rainfall,BEYOND
snowfall,BEYOND
compile,C1
total,C1
sounding,BEYOND
radiosonde,BEYOND
balloon,B2
recorder,BEYOND
obtain,B2
radio,A1
finder,BEYOND
ascend,BEYOND
visually,BEYOND
survey,B2
commercial,B1
incorporate,B2
analysis,B1
hold,B2
stunt,BEYOND
grassland,BEYOND
sheep,A1
cattle,C1
graze,BEYOND
recently,A2
history,A1
credit,B2
italian,BEYOND
mathematician,BEYOND
physicist,BEYOND
build,A1
inverted,BEYOND
vessel,C1
expansion,B2
contraction,BEYOND
openmouthed,BEYOND
neck,A2
partially,C1
fill,A1
principle,B2
perfect,A1
experiment,B1
devise,C1
german,BEYOND
standard,B1
melting,BEYOND
centigrade,BEYOND
attribute,C1
swedish,BEYOND
astronomer,BEYOND
boiling,BEYOND
invert,BEYOND
gain,B2
young,B1
girl,A1
remotely,BEYOND
outside,A2
indoor,B1
outdoor,B1
digital,A2
continuously,BEYOND
profile,A2
apparent,B2
respect,B1
emit,BEYOND
related,B1
radiometric,BEYOND
profiler,BEYOND
data,A2
yield,C1
surveillance,C1
warning,B1
class,A1
orbit,BEYOND
launch,B2
operational,C1
globe,B2
roughly,B2
twice,A1
head,B1
geostationary,BEYOND
distance,A2
hover,BEYOND
fix,B2
generate,B2
european,BEYOND
country,A1
good,A2
geosynchronous,BEYOND
worldwide,B1
coverage,B2
series,A2
agency,B2
russian,BEYOND
chinese,BEYOND
orbiter,BEYOND
close,B1
detailed,B2
distant,B2
capable,B2
disadvantage,B1
lack,B1
service,A2
support,A2
search,A2
operation,B1
electromagnetic,BEYOND
infrared,BEYOND
imager,BEYOND
sounder,BEYOND
aboard,BEYOND
mirror,A2
detector,BEYOND
perpendicular,BEYOND
scan,B1
assemble,C1
picture,B2
dimension,C1
familiar,B1
television,A1
broadcast,B2
internet,A1
loop,C1
movie,A1
require,B1
sunlight,BEYOND
equally,B1
staff,B1
listen,A1
press,B1
conference,A2
resolution,B2
detail,B2
sacrifice,C1
extent,B2
favor,BEYOND
simultaneous,BEYOND
wavelength,BEYOND
carbon,B2
dioxide,BEYOND
ozone,BEYOND
remote,B1
handle,B2
organization,A2
model,B2
significantly,B2
concentration,B2
detection,C1
tracking,BEYOND
issue,B1
watch,A1
favorable,BEYOND
development,B1
sight,B1
employ,A2
identify,A2
age,B1
sense,B2
available,A2
comprehensive,B2
practical,B1
telegraph,BEYOND
invent,A2
widely,B2
systematic,C1
date,B2
draw,A1
establish,B2
telegraphic,BEYOND
preparation,B2
civilian,C1
transfer,B2
rename,BEYOND
span,C1
web,A2
page,A1
numerous,B2
privately,BEYOND
own,A2
company,A1
specialized,C1
coordinate,C1
basis,B1
method,A2
process,B2
future,A2
synoptic,BEYOND
summary,B1
synopsis,BEYOND
sequence,B2
chart,B2
project,B2
midnight,A1
noon,C1
racer,BEYOND
advantage,A2
win,B1
silver,A2
medal,B2
race,B1
mathematical,C1
equation,C1
behavior,BEYOND
numerical,BEYOND
physical,A2
law,A2
event,A1
plot,B1
calculate,B2
manually,BEYOND
successive,C1
probable,B2
minimum,B2
connect,A2
equal,B1
examine,B1
graphical,BEYOND
text,A2
product,A1
distribute,B2
electronically,BEYOND
public,A2
private,B1
university,A1
publish,A2
problem,A1
fluid,C1
dynamic,C1
complete,A1
precise,B2
initial,B2
plus,B1
understanding,A2
theoretically,BEYOND
fully,B2
express,A2
conservation,B2
solve,A2
instantaneous,BEYOND
regularly,B1
space,A1
grid,C1
dozen,B2
compute,C1
interval,B2
desire,B2
march,C1
forward,B2
essence,C1
run,A2
entire,B2
planet,A2
particularly,B1
notable,C1
collaboration,C1
forecaster,BEYOND
study,A1
output,B2
skill,A1
decide,A1
reliable,B1
situation,A1
final,A2
decision,A2
heavily,B1
modeling,BEYOND
decrease,B2
reliability,C1
increase,A2
error,A2
unreliability,BEYOND
spacing,BEYOND
insufficient,C1
computation,BEYOND
useless,B2
persistent,C1
reduce,A2
manual,BEYOND
fast,A1
fuel,B1
cross,A2
yellow,A1
orange,A1
red,A1
represent,B1
intensify,C1
account,B1
uncertainty,B2
probability,B2
percentage,B1
accuracy,B2
discontinuous,BEYOND
smooth,B1
departure,B1
deal,B1
bear,B2
unlike,B1
inference,BEYOND
evolution,B2
averaging,BEYOND
filter,C1
slowly,A2
prefer,A1
anomaly,BEYOND
monthly,B2
component,B2
extended,BEYOND
connection,B1
historical,B1
trend,B1
consider,A2
elderly,B2
woman,A1
scoop,BEYOND
unpolished,BEYOND
rice,A1
grain,B1
dramatize,BEYOND
plight,BEYOND
protest,B1
protester,B2
demand,B2
fund,B2
cope,B2
month,A1
