word,level
quick,A1
close,B1
door,A1
run,A2
dressing,BEYOND
room,A1
face,B1
white,A1
girl,A1
turn,A1
matter,A2
cry,B2
ghost,B1
say,C1
passage,B2
see,A1
come,A1
wall,A1
afraid,A1
tall,A1
black,A1
hair,A1
laugh,A1
pooh,BEYOND
everybody,A1
shadow,B2
open,A1
look,A2
lot,A1
people,A1
second,A2
day,A1
ago,A1
remember,A1
begin,A1
talk,A2
wear,A1
evening,A1
coat,A1
head,B1
dead,A2
man,A1
yellow,A1
nose,A1
eye,A1
hole,A2
little,A2
speak,A1
time,B2
like,B1
mother,A1
tell,A1
know,A1
fool,B2
go,B1
sorry,A1
dear,A2
word,A1
doorkeeper,BEYOND
box,A1
watch,A1
opera,B2
leave,B2
flower,A1
story,A1
true,A1
buy,A1
ticket,A1
night,A1
somebody,A1
dancer,A1
ask,A1
wrong,B1
hear,A1
stop,A1
quietly,A2
finish,A2
suddenly,A2
fat,A2
motherly,BEYOND
woman,A1
red,A1
happy,A1
tonight,A1
walk,A1
long,A1
way,B2
fourth,A1
floor,A1
stage,B2
worker,A1
find,A1
body,A1
hour,A1
rope,B1
neck,A2
kill,A2
famous,A1
director,A2
important,A1
week,A1
work,A1
new,A1
office,A1
accident,A2
angrily,BEYOND
want,A1
friend,A1
mad,B1
letter,A1
table,A1
course,A1
read,A1
write,A1
thing,A1
sell,A1
need,B1
money,A1
expensive,A1
franc,BEYOND
month,A1
good,A2
bad,A1
enemy,B1
angry,A1
right,A1
joke,A2
think,A1
usually,A1
sing,A1
spanish,BEYOND
singer,A1
today,A1
ill,A2
morning,A1
quickly,A1
young,B1
voice,A2
listen,A1
wait,A2
well,C1
beautiful,A1
angel,C1
love,A1
call,A1
wonderful,A1
world,A1
get,A1
music,A1
teacher,A1
noise,A2
brother,A1
smile,A2
year,A1
old,A1
blue,A1
family,A1
rich,A1
interested,A1
father,A1
understand,A1
visit,A1
holiday,A1
sea,A1
meet,A1
mmm,BEYOND
slowly,A2
doctor,A1
take,A1
hand,B1
chair,B2
away,A1
stand,B2
yes,A1
quiet,A1
tired,A1
move,B1
soon,A1
outside,A2
unhappy,A2
forget,A1
minute,C1
carefully,A2
give,A1
answer,A1
lover,BEYOND
near,A1
clothe,BEYOND
dark,A2
corner,A2
life,A1
singe,BEYOND
afternoon,A1
arrive,A1
free,B2
ugly,B1
toad,BEYOND
shout,A2
tiredly,BEYOND
let,A1
help,A1
helpful,A2
sit,A1
clever,A2
dangerous,A1
try,B2
strange,A2
happen,A1
learn,A1
stare,B2
nice,A1
pocket,A2
past,A2
feel,B2
half,A2
die,A1
garden,A1
arm,C1
poor,A1
wife,A1
shh,BEYOND
home,A2
later,A2
singing,A2
foot,A1
question,A2
whisper,B2
secret,A2
breakfast,A1
bed,A1
drink,A1
coffee,A1
short,A1
stay,A2
lose,A1
dress,A1
beginning,A1
twice,A1
cold,A1
song,A1
ack,BEYOND
bring,A1
chandelier,BEYOND
thousand,A1
light,A2
break,A1
crash,B2
terrible,A1
hurt,B2
meeting,A1
place,B1
tenth,BEYOND
hundred,A1
mask,C1
lake,A2
big,A1
water,B1
boat,A1
house,B2
live,B1
scream,B2
round,B2
stair,A2
hat,A1
marry,A2
kiss,B1
phantom,BEYOND
unhappily,BEYOND
interest,A1
police,A1
daughter,A1
miss,BEYOND
mirror,A2
careful,A2
small,A1
inside,A2
torture,C1
ceiling,B1
picture,B2
tree,A1
river,A1
dance,A1
hot,A1
thirsty,A1
lovingly,BEYOND
mouth,A1
freely,B2
alive,A2
window,A1
real,A1
bear,B2
builder,BEYOND
build,A1
underground,A2
end,A1
train,A2
north,A1
mountain,A1
