word,level
time,B2
huge,A2
thunder,BEYOND
lizard,A1
roam,BEYOND
steamy,BEYOND
fern,BEYOND
jungle,BEYOND
mammal,BEYOND
reptile,BEYOND
walk,A1
land,A2
continental,BEYOND
movement,A2
mountain,A1
building,A1
massive,B2
volcano,BEYOND
horrific,BEYOND
earth,A2
shatter,C1
extinction,BEYOND
occur,B1
planet,A2
middle,A2
call,A1
geologic,BEYOND
interval,B2
last,A2
half,A2
billion,A2
year,A1
dinosaur,BEYOND
word,A1
immediately,A2
mind,A2
large,A1
predatory,BEYOND
stalk,BEYOND
young,B1
old,A1
alike,C1
experience,B1
visual,B2
visceral,BEYOND
response,A2
difficult,A1
believe,A1
mere,C1
ago,A1
idea,A1
creature,B2
exist,A2
book,A2
take,A1
reader,A1
point,B1
discovery,A2
classification,C1
english,BEYOND
anatomist,BEYOND
attempt,B2
classify,B2
strange,A2
bone,A2
find,A1
country,A1
continue,A2
learn,A1
new,A1
contradictory,BEYOND
cold,A1
blooded,BEYOND
vanish,C1
answer,A1
surprise,A2
dominant,B2
life,A1
form,A1
period,A1
era,B2
different,A1
variety,A2
amazing,A1
generally,B1
assign,B2
major,A2
group,A1
hip,B2
bird,A1
belong,A2
subgroup,BEYOND
consist,B1
herbivore,BEYOND
carnivore,BEYOND
example,A1
include,A1
date,B2
term,B2
people,A1
identify,A2
long,A1
necked,BEYOND
leaf,B1
eater,BEYOND
cartoon,A2
animal,A1
reach,B2
metre,A1
foot,A1
length,B1
weigh,B1
excess,C1
metric,BEYOND
ton,B2
probably,A1
recognizable,BEYOND
theropod,BEYOND
mighty,BEYOND
rex,BEYOND
mean,A1
hungry,A1
machine,A1
ornithischia,BEYOND
flora,BEYOND
geology,BEYOND
imagine,A1
event,A1
place,B1
course,A1
million,A1
have,A2
luxury,B1
peer,B2
read,A1
condensed,BEYOND
thorough,B2
distillation,BEYOND
easily,A2
decipherable,BEYOND
segment,C1
provide,A2
opportunity,A2
review,A2
sequence,B2
overlay,BEYOND
sense,B2
modern,A1
greek,BEYOND
fact,A1
come,A1
ancient,A2
recent,A2
comprise,B2
great,A1
mass,B2
permian,BEYOND
approximately,B1
percent,BEYOND
marine,C1
invertebrate,BEYOND
vertebrate,BEYOND
inexplicably,BEYOND
disappear,A2
change,A1
result,B1
diversification,BEYOND
tremendous,C1
cause,A2
start,A2
ecosystem,BEYOND
resemble,C1
like,B1
realize,A2
speak,A1
circumstance,B2
thousand,A1
pass,B1
blink,BEYOND
eye,A1
know,A1
important,A1
actually,A2
timeframe,BEYOND
scientist,A1
subdivide,BEYOND
small,A1
perspective,B2
focus,A2
specific,A2
development,B1
case,A2
split,B2
cretaceous,BEYOND
refine,BEYOND
upper,B2
low,B2
big,A1
picture,B2
begin,A1
appear,A2
far,B1
today,A1
look,A2
world,A1
outer,B2
space,A1
surface,B1
blue,A1
liquid,B1
fast,A1
forward,B2
break,A1
equator,BEYOND
separate,B1
continent,A2
north,A1
south,A1
rift,BEYOND
numerous,B2
force,B1
importantly,BEYOND
shifting,BEYOND
subsurface,BEYOND
rock,C1
plate,A2
expand,B1
water,B1
eventually,B1
salt,A1
ocean,A2
flow,B1
east,A1
west,A1
plant,A2
dominate,B2
seed,B1
level,B1
forest,A2
gymnosperm,BEYOND
conifer,BEYOND
higher,BEYOND
present,A2
day,A1
warm,B1
relatively,B2
dry,A2
climate,A2
allow,A2
growth,B1
triassic,BEYOND
swim,B1
crawl,C1
previously,B1
mention,B1
extinct,BEYOND
ammonoid,BEYOND
early,A1
mollusk,BEYOND
predecessor,C1
octopus,BEYOND
squid,BEYOND
die,A1
revitalize,BEYOND
later,A2
specie,BEYOND
fish,A2
fade,C1
away,A1
replace,A2
thrive,C1
fill,A1
sea,A1
shellfish,BEYOND
eat,A1
hybodont,BEYOND
shark,BEYOND
ray,C1
finned,BEYOND
represent,B1
nothosaur,BEYOND
plesiosaur,BEYOND
ichthyosaur,BEYOND
streamlined,BEYOND
dolphin,BEYOND
prey,C1
belemnite,BEYOND
home,A2
ancestor,B2
turtle,BEYOND
crocodile,A1
area,A1
efficient,B2
predator,C1
consistently,B2
win,B1
good,A2
food,A1
shelter,B2
thecodont,BEYOND
swift,BEYOND
bipedal,BEYOND
glide,BEYOND
somewhat,B2
true,A1
pterosaur,BEYOND
fly,A2
stage,B2
niche,C1
assume,B2
caption,BEYOND
source,A2
type,B1
light,A2
normally,A2
pound,A1
respectively,C1
follow,A1
real,A1
herbivorous,BEYOND
wolf,BEYOND
sized,BEYOND
forerunner,BEYOND
herring,BEYOND
progenitor,BEYOND
entrance,B1
geologically,BEYOND
active,A2
tame,BEYOND
increased,BEYOND
tectonic,BEYOND
apart,B1
create,A1
produce,B2
extreme,B2
volcanic,BEYOND
activity,A1
collide,BEYOND
upthrust,BEYOND
responsible,B1
range,B1
assortment,BEYOND
grouping,BEYOND
geologist,BEYOND
ascertain,BEYOND
compare,A1
formation,B2
see,A1
fossil,B2
