word,level
uncle,A1
ghost,B1
late,A1
king,A2
father,A1
mother,A1
wife,A1
son,A1
daughter,A1
friend,A1
courtier,BEYOND
officer,A2
soldier,A2
servant,B1
player,A1
gentleman,B1
priest,B1
clown,BEYOND
grave,BEYOND
digger,BEYOND
captain,B1
ambassador,C1
lord,B2
lady,A2
sailor,B1
messenger,BEYOND
attendant,BEYOND
enter,A2
sentinel,BEYOND
answer,A1
stand,B2
unfold,B2
long,A1
live,B1
come,A1
carefully,A2
hour,A1
tis,BEYOND
strike,B2
thee,BEYOND
bed,A1
relief,B2
thank,A1
ti,BEYOND
bitter,B2
cold,A1
sick,A1
heart,A2
quiet,A1
guard,B1
mouse,A1
stir,C1
good,A2
night,A1
meet,A1
rival,B2
watch,A1
bid,B2
haste,BEYOND
think,A1
hear,A1
ground,A2
liegeman,BEYOND
farewell,BEYOND
honest,B1
hath,BEYOND
place,B1
exit,C1
holla,BEYOND
piece,A1
welcome,A2
thing,A1
tonight,A1
see,A1
say,C1
fantasy,B2
let,A1
belief,B1
hold,B2
touch,B1
dread,BEYOND
sight,B1
twice,A1
entreat,BEYOND
minute,C1
apparition,BEYOND
approve,B2
eye,A1
speak,A1
tush,BEYOND
twill,BEYOND
appear,A2
sit,A1
awhile,BEYOND
assail,BEYOND
ear,A1
fortified,BEYOND
story,A1
yond,BEYOND
star,A2
westward,BEYOND
pole,C1
course,A1
burn,B2
bell,B1
beat,B2
peace,A2
break,A1
look,A2
figure,B2
like,B1
dead,A2
thou,BEYOND
art,A1
scholar,B2
mark,A2
harrow,BEYOND
fear,B1
wonder,B1
question,A2
time,B2
fair,A2
warlike,BEYOND
form,A1
majesty,BEYOND
bury,B1
march,C1
charge,B1
offend,B2
stalk,BEYOND
away,A1
stay,A2
go,B1
tremble,BEYOND
pale,B1
believe,A1
sensible,B1
true,A1
avouch,BEYOND
thyself,BEYOND
armour,BEYOND
combat,C1
angry,A1
parle,BEYOND
smite,BEYOND
sledde,BEYOND
ice,A1
strange,A2
jump,A2
martial,B2
particular,A2
thought,A2
work,A1
know,A1
gross,C1
scope,C1
opinion,A1
bode,BEYOND
eruption,BEYOND
state,B1
tell,A1
strict,B2
observant,BEYOND
nightly,BEYOND
toil,BEYOND
subject,B2
land,A2
daily,B1
cast,B2
brazen,BEYOND
cannon,BEYOND
foreign,A2
mart,BEYOND
implement,B2
war,A2
impress,B2
shipwright,BEYOND
sore,BEYOND
task,A2
divide,B1
week,A1
sweaty,BEYOND
doth,BEYOND
joint,B2
labourer,BEYOND
day,A1
inform,B2
horatio,BEYOND
whisper,B2
image,A2
emulate,BEYOND
pride,B2
valiant,BEYOND
known,BEYOND
world,A1
slay,BEYOND
compact,BEYOND
ratify,BEYOND
law,A2
heraldry,BEYOND
forfeit,BEYOND
life,A1
conqueror,BEYOND
moiety,BEYOND
competent,C1
gage,BEYOND
inheritance,BEYOND
vanquisher,BEYOND
carriage,C1
article,A1
fall,A2
sir,A2
young,B1
unimproved,BEYOND
mettle,BEYOND
hot,A1
skirt,A1
list,A1
lawless,BEYOND
resolute,BEYOND
food,A1
diet,A1
enterprise,C1
stomach,A2
unto,BEYOND
recover,B2
strong,A1
hand,B1
term,B2
compulsatory,BEYOND
foresaid,BEYOND
lose,A1
main,A1
motive,C1
preparation,B2
source,A2
chief,B2
head,B1
post,A1
rummage,BEYOND
sort,B1
portentous,BEYOND
armed,B2
mote,BEYOND
trouble,B2
mind,A2
high,B2
palmy,BEYOND
little,A2
ere,BEYOND
mighty,BEYOND
tenantless,BEYOND
sheet,A2
squeak,BEYOND
gibber,BEYOND
roman,BEYOND
street,A1
train,A2
fire,B1
dew,BEYOND
blood,A2
disaster,A2
sun,A1
moist,BEYOND
influence,B1
empire,B2
doomsday,BEYOND
eclipse,BEYOND
precurse,BEYOND
fierce,C1
event,A1
harbinger,BEYOND
precede,B2
fate,C1
prologue,BEYOND
omen,BEYOND
earth,A2
demonstrate,B2
climature,BEYOND
countryman,BEYOND
soft,A2
behold,BEYOND
cross,A2
blast,C1
illusion,B2
hast,BEYOND
sound,C1
use,A2
voice,A2
ease,C1
grace,C1
privy,BEYOND
thy,BEYOND
country,A1
happily,A2
foreknow,BEYOND
avoid,A2
uphoarde,BEYOND
extort,BEYOND
treasure,B2
womb,BEYOND
spirit,B1
oft,BEYOND
walk,A1
death,A2
cock,BEYOND
crow,BEYOND
stop,A1
shall,A2
partisan,BEYOND
wrong,B1
majestical,BEYOND
offer,A2
violence,B2
air,A1
invulnerable,BEYOND
vain,BEYOND
blow,B2
malicious,BEYOND
mockery,BEYOND
crew,B2
start,A2
guilty,B1
fearful,BEYOND
summon,BEYOND
trumpet,BEYOND
morn,BEYOND
lofty,BEYOND
shrill,BEYOND
sounding,BEYOND
throat,B1
awake,BEYOND
god,A2
warning,B1
sea,A1
erring,BEYOND
hie,BEYOND
confine,C1
truth,B1
present,A2
object,B2
probation,BEYOND
fade,C1
crowing,BEYOND
gainst,BEYOND
season,A2
birth,A2
celebrate,A2
bird,A1
dawning,BEYOND
singeth,BEYOND
dare,B2
abroad,A2
wholesome,BEYOND
planet,A2
fairy,BEYOND
take,A1
witch,BEYOND
power,B2
charm,C1
gracious,BEYOND
russet,BEYOND
mantle,BEYOND
clothe,BEYOND
yon,BEYOND
eastward,BEYOND
hill,A2
advice,A1
impart,BEYOND
dumb,C1
consent,C1
acquaint,BEYOND
needful,BEYOND
love,A1
fit,C1
duty,B1
pray,B1
morning,A1
find,A1
conveniently,BEYOND
dear,A2
brother,A1
memory,A2
green,A1
befit,BEYOND
bear,B2
grief,C1
kingdom,C1
contract,B2
brow,BEYOND
woe,BEYOND
far,B1
discretion,C1
fight,A2
nature,A2
wise,B2
sorrow,BEYOND
remembrance,BEYOND
sister,A1
queen,A2
jointress,BEYOND
twere,BEYOND
defeated,BEYOND
joy,B2
auspicious,BEYOND
drop,B1
mirth,BEYOND
funeral,C1
dirge,BEYOND
marriage,B1
equal,B1
scale,B2
weigh,B1
delight,B2
dole,BEYOND
well,C1
wisdom,B2
freely,B2
affair,B2
follow,A1
weak,A2
supposal,BEYOND
worth,B1
disjoint,BEYOND
frame,B1
colleague,A2
dream,A2
advantage,A2
pester,BEYOND
message,A1
import,B1
surrender,C1
bond,B2
ourself,BEYOND
meeting,A1
business,A1
writ,BEYOND
impotent,BEYOND
rid,B2
scarcely,BEYOND
nephew,BEYOND
purpose,A2
suppress,C1
gait,BEYOND
levy,BEYOND
proportion,B2
dispatch,BEYOND
bearer,BEYOND
greeting,BEYOND
old,A1
give,A1
personal,A1
dilated,BEYOND
allow,A2
commend,BEYOND
doubt,B1
heartily,BEYOND
news,A1
suit,B1
reason,A1
wouldst,BEYOND
beg,B2
ask,A1
native,B1
instrumental,C1
mouth,A1
throne,BEYOND
leave,B2
favour,B1
return,A1
willingly,BEYOND
coronation,BEYOND
confess,B2
wish,A2
bend,B1
bow,C1
pardon,A1
wring,BEYOND
slow,B1
laboursome,BEYOND
petition,C1
hard,A1
beseech,BEYOND
thine,BEYOND
spend,A1
cousin,A1
aside,B2
kin,BEYOND
kind,B1
cloud,A2
hang,B1
nighted,BEYOND
colour,A1
vailed,BEYOND
lid,BEYOND
seek,B2
noble,C1
dust,B1
common,A1
die,A1
pass,B1
eternity,BEYOND
madam,BEYOND
nay,BEYOND
inky,BEYOND
cloak,BEYOND
customary,BEYOND
solemn,BEYOND
black,A1
windy,BEYOND
suspiration,BEYOND
breath,B1
fruitful,BEYOND
river,A1
dejected,BEYOND
haviour,BEYOND
visage,BEYOND
mood,B1
show,A1
denote,BEYOND
truly,B2
action,A1
man,A1
play,A1
passeth,BEYOND
trapping,BEYOND
sweet,A2
commendable,BEYOND
mourning,BEYOND
survivor,B2
bind,C1
filial,BEYOND
obligation,B2
obsequious,BEYOND
persevere,BEYOND
obstinate,BEYOND
condolement,BEYOND
impious,BEYOND
stubbornness,BEYOND
unmanly,BEYOND
incorrect,B2
heaven,B2
unfortified,BEYOND
impatient,B2
understanding,A2
simple,A2
vulgar,BEYOND
sense,B2
peevish,BEYOND
opposition,B2
fie,BEYOND
fault,B2
absurd,C1
theme,B1
cry,B2
corse,BEYOND
till,B1
today,A1
throw,A2
unprevailing,BEYOND
note,B1
immediate,B1
nobility,BEYOND
intent,C1
school,A1
retrograde,BEYOND
desire,B2
remain,B1
cheer,B2
comfort,B2
prayer,B1
obey,B2
loving,BEYOND
reply,A2
gentle,B1
accord,BEYOND
smile,A2
whereof,BEYOND
jocund,BEYOND
health,A1
drink,A1
great,A1
rouse,BEYOND
bruit,BEYOND
earthly,BEYOND
thunder,BEYOND
exeunt,BEYOND
solid,B1
flesh,C1
melt,B2
thaw,BEYOND
resolve,B2
canon,BEYOND
self,B2
slaughter,BEYOND
weary,BEYOND
stale,BEYOND
flat,A2
unprofitable,BEYOND
unweeded,BEYOND
garden,A1
grow,A1
seed,B1
rank,B2
possess,B2
merely,C1
month,A1
excellent,A2
satyr,BEYOND
beteem,BEYOND
wind,B2
visit,A1
face,B1
roughly,B2
remember,A1
increase,A2
appetite,C1
feed,B2
frailty,BEYOND
woman,A1
shoe,A1
poor,A1
body,A1
tear,B2
beast,C1
want,A1
discourse,C1
marry,A2
salt,A1
unrighteous,BEYOND
flush,BEYOND
galled,BEYOND
wicked,BEYOND
