word,level
sunny,BEYOND
morning,A1
early,A1
leave,B2
school,A1
carriage,C1
take,A1
away,A1
young,B1
lady,A2
fill,A1
gift,A2
flower,A1
love,A1
cry,B2
go,B1
great,A1
deal,B1
harm,B2
say,C1
straight,A2
dear,A2
little,A2
creature,B2
heroine,BEYOND
nose,A1
short,A1
face,B1
round,B2
shine,B1
rosy,BEYOND
health,A1
lovely,A2
smile,A2
eye,A1
bright,A2
good,A2
humour,B2
tear,B2
happen,A1
kind,B1
heart,A2
world,A1
know,A1
glad,B1
home,A2
sad,A1
friend,A1
goodbye,A1
drive,A2
hand,B1
hold,B2
letter,A1
headmistress,BEYOND
praise,B2
educational,B1
achievement,B1
sweetness,BEYOND
nature,A2
companion,C1
delighted,B2
hate,B1
place,B1
want,A1
wish,A2
river,A1
shock,B2
wicked,BEYOND
thought,A2
guess,A1
forgiving,BEYOND
person,A1
treat,B1
badly,A2
possible,A1
deserve,B2
treatment,B1
get,A1
father,A1
artist,A1
give,A1
drawing,A2
lesson,A1
clever,A2
man,A1
pleasant,B1
debt,B2
fondness,BEYOND
bottle,A1
drunk,B1
beat,B2
wife,A1
daughter,A1
marry,A2
french,BEYOND
dancer,A1
teach,A1
speak,A1
perfect,A1
die,A1
care,A2
seventeen,A1
deathbed,BEYOND
write,A1
beg,B2
look,A2
orphan,BEYOND
employ,A2
return,A1
live,B1
pay,A2
pound,A1
year,A1
allow,A2
attend,A2
class,A1
free,B2
call,A1
small,A1
thin,A2
pale,B1
light,A2
red,A1
hair,A1
usually,A1
keep,A1
head,B1
green,A1
large,A1
attractive,A2
especially,A2
tall,A1
healthy,A1
like,B1
child,A1
poor,A1
adult,A2
angry,A1
shopkeeper,BEYOND
demand,B2
money,A1
charm,C1
provide,A2
meal,A1
proud,B1
lively,B2
mind,A2
drinking,BEYOND
party,A1
conversation,A1
wild,A2
hardly,B1
suitable,B1
girl,A1
woman,A1
old,A1
argue,A2
fight,A2
jealous,BEYOND
freedom,B2
house,B2
feel,B2
prison,A2
soon,A1
make,B2
plan,A1
escape,B1
age,B1
aged,B1
nineteen,A1
obtain,B2
post,A1
governess,BEYOND
spend,A1
week,A1
family,A1
time,B2
arrive,A1
forget,A1
sadness,BEYOND
happy,A1
pleasure,B1
show,A1
room,A1
piano,A1
book,A2
dress,A1
jewellery,A2
wonderful,A1
present,A2
brother,A1
bring,A1
delightful,BEYOND
rich,A1
expect,A2
pretty,A1
yes,A1
wealthy,B2
married,A1
pity,B2
sure,A2
hope,A2
meet,A1
niece,BEYOND
nephew,BEYOND
unmarried,BEYOND
try,B2
blame,B2
marriage,B1
ambition,B1
remember,A1
mother,A1
arrange,A2
delicate,C1
business,A1
husband,A1
affectionate,BEYOND
thank,A1
dinner,A1
bell,B1
ring,B1
downstairs,A2
arm,C1
waist,BEYOND
habit,A2
dearly,BEYOND
find,A1
fat,A2
fashionably,BEYOND
colour,A1
sit,A1
fire,B1
read,A1
newspaper,A1
enter,A2
stand,B2
quickly,A1
alarm,B1
embarrassment,C1
sister,A1
laugh,A1
finish,A2
hear,A1
talk,A2
confusion,B2
cold,A1
weather,A1
have,A2
begin,A1
stir,C1
middle,A2
handsome,BEYOND
whisper,B2
loudly,A2
think,A1
tell,A1
step,B2
fix,B2
modestly,BEYOND
carpet,A2
work,A1
isolated,B2
ill,A2
send,A1
decide,A1
enjoy,A1
miss,BEYOND
apartment,A1
horse,A1
park,A1
eat,A1
fashionable,B1
restaurant,A1
theatre,A1
lazy,A2
vain,BEYOND
sight,B1
frighten,B1
tremendously,BEYOND
catch,B2
move,B1
considerable,B2
skill,A1
quiet,A1
interested,A1
attention,A2
son,A1
nonsense,C1
reply,A2
help,A1
way,B2
beautiful,A1
pick,B2
handkerchief,BEYOND
drop,B1
twice,A1
singing,A2
shall,A2
shyness,BEYOND
overcome,B2
quietly,A2
slip,B2
window,A1
see,A1
remark,B2
day,A1
mention,B1
grateful,B1
respect,B1
joke,A2
delight,B2
excursion,BEYOND
headache,A2
happiness,B1
life,A1
fact,A1
win,B1
reappear,BEYOND
remind,B1
promise,A2
popular,A1
entertainment,B1
gentleman,B1
ask,A1
come,A1
exchange,B1
blush,BEYOND
night,A1
rain,A1
heavily,B1
people,A1
postpone,C1
comfortable,A2
evening,A1
instead,A2
accept,A2
settlement,C1
agree,A1
informal,A2
surprised,A2
easily,A2
question,A2
listen,A1
admiringly,BEYOND
story,A1
dreadful,BEYOND
tiger,A1
hunt,B1
fear,B1
bravely,BEYOND
danger,A2
exciting,A1
nearly,A2
terror,B2
later,A2
excellent,A2
sing,A1
song,A1
voice,A2
tremble,BEYOND
ending,A2
state,B1
uncertain,BEYOND
future,A2
soft,A2
accompany,B2
glance,C1
effort,B1
waste,B1
fine,C1
lunch,A1
tonight,A1
modest,B2
boy,A1
save,A2
beating,BEYOND
regiment,BEYOND
army,A2
long,A1
service,A2
course,A1
awkward,B2
plain,B2
reason,A1
fellow,B2
looking,BEYOND
mirror,A2
admire,B1
curly,A2
black,A1
watch,A1
certainly,A2
sitting,BEYOND
singe,BEYOND
happily,A2
fresh,A2
rose,B2
white,A1
uniform,A2
forward,B2
foot,A1
bow,C1
clumsily,BEYOND
upstairs,A2
stay,A2
lucky,A2
everybody,A1
propose,B2
walk,A1
content,C1
generous,B1
unselfish,BEYOND
minute,C1
separate,B1
moment,A1
somebody,A1
rudely,BEYOND
push,B1
past,A2
fall,A2
loving,BEYOND
indian,BEYOND
sixth,BEYOND
breathe,B1
eagerly,BEYOND
important,A1
lip,B1
wildly,BEYOND
interesting,A1
start,A2
firework,B2
lover,BEYOND
surround,B2
crowd,A2
hurry,B1
force,B1
join,A1
supper,BEYOND
pass,B1
table,A1
prepare,A1
realize,A2
drink,A1
attract,B1
gather,B1
hit,A2
wait,A2
add,A1
useful,A1
bed,A1
tomorrow,A1
darling,BEYOND
wine,A1
ruin,B2
terrible,A1
condition,A2
improve,A1
visit,A1
unkindly,BEYOND
fool,B2
law,A2
social,A2
position,B2
continue,A2
cruel,B1
result,B1
recover,B2
month,A1
death,A2
hearted,BEYOND
clear,B1
rest,A2
preparation,B2
parting,BEYOND
right,A1
hesitation,BEYOND
unkind,BEYOND
prevent,A2
imagine,A1
final,A2
undying,BEYOND
friendship,B1
sincere,B2
insincere,BEYOND
travel,A1
baronet,BEYOND
landowne,BEYOND
high,B2
commerce,C1
comfort,B2
reflect,B1
fail,A2
adventure,A2
receive,A2
dearest,BEYOND
sweetest,BEYOND
change,A1
kindness,BEYOND
silly,B1
dirty,A1
clothe,BEYOND
smoke,A2
horrible,B1
pipe,B1
rough,B1
uneducated,BEYOND
accent,B2
swear,B2
servant,B1
learn,A1
ugly,B1
religious,B1
ride,A2
countryside,B1
lead,B1
second,A2
faded,BEYOND
unhappy,A2
sew,BEYOND
trouble,B2
nearby,B2
quarrel,BEYOND
believe,A1
mean,A1
candle,B2
complain,A2
cunning,BEYOND
title,B2
foolish,BEYOND
sort,B1
falseness,BEYOND
pretence,BEYOND
true,A1
selfish,BEYOND
rude,A2
penny,A2
action,A1
company,A1
amusing,B2
difficulty,B1
agreeable,BEYOND
employer,A2
play,A1
card,A1
management,B1
farm,A2
garden,A1
mistress,BEYOND
careful,A2
appear,A2
respectful,BEYOND
include,A1
member,A1
describe,A1
forgive,B2
silence,B2
usual,A2
different,A1
yearly,BEYOND
dancing,A1
half,A2
fortune,B2
seventy,A1
thousand,A1
intend,B1
divide,B1
captain,B1
favourite,A1
aunt,A1
suppose,A2
loud,A2
order,A1
spite,B2
gambling,C1
worth,B1
far,B1
boring,A1
compliment,BEYOND
dance,A1
neat,B2
stare,B2
strange,A2
altogether,B2
accurate,B2
report,A2
corridor,B2
passage,B2
lean,B2
nod,C1
sleepily,BEYOND
chair,B2
ignore,B1
liking,BEYOND
satisfy,B2
entertain,B1
brain,A2
finger,A2
truth,B1
stop,A1
carry,A1
inside,A2
doctor,A1
sickroom,BEYOND
naturally,B1
upsetting,BEYOND
devoted,BEYOND
mysterious,B2
nurse,A1
persuade,B1
friendly,A1
feeling,A1
rapidly,B2
illness,A2
cause,A2
hot,A1
fish,A2
wealth,B2
relation,B1
anxious,B2
case,A2
unnoticed,BEYOND
greatly,B2
offend,B2
let,A1
command,B2
education,A2
refuse,A2
message,A1
visitor,A1
account,B1
confuse,B1
sir,A2
upset,B1
run,A2
real,A1
sorrow,BEYOND
knee,A2
goodness,B2
damn,BEYOND
shout,A2
door,A1
open,A1
accidentally,B2
proposal,B2
rush,B2
offer,A2
horrified,BEYOND
actually,A2
tearful,BEYOND
amazed,B1
penniless,BEYOND
miserable,B2
please,A2
sense,B2
remain,B1
relief,B2
reveal,B2
secret,A2
certain,A2
crisis,B2
today,A1
gamble,BEYOND
big,A1
soldier,A2
solution,A2
thing,A1
alive,A2
rent,B1
new,A1
obey,B2
charming,B2
wake,A1
excitement,B1
sleep,A2
duty,B1
news,A1
hurt,B2
affection,C1
strong,A1
determined,B1
lie,B1
share,B1
shocking,B2
seat,B2
comfortably,BEYOND
armchair,A1
answer,A1
gasp,BEYOND
secretive,BEYOND
dare,B2
gently,BEYOND
nervous,A2
fury,BEYOND
mad,B1
stupid,A2
scream,B2
faint,BEYOND
bedside,BEYOND
