word,level
hard,A1
imagine,A1
world,A1
computer,A1
home,A2
car,A1
store,B1
people,A1
carry,A1
way,B2
year,A1
ago,A1
big,A1
complicated,B2
create,A1
later,A2
young,B1
man,A1
friend,A1
show,A1
invention,A2
call,A1
company,A1
use,A2
found,B2
successful,A2
head,B1
help,A1
invent,A2
change,A1
learn,A1
thing,A1
communicate,A2
easy,A1
important,A1
inventor,BEYOND
time,B2
success,A1
result,B1
lot,A1
work,A1
think,A1
well,C1
movie,A1
product,A1
vocabulary,BEYOND
understand,A1
thought,A2
feeling,A1
bear,B2
adopt,B2
give,A1
sister,A1
name,A1
family,A1
move,B1
kid,A2
like,B1
reading,A1
swimming,A1
music,A1
play,A1
joke,A2
fool,B2
class,A1
drive,A2
teacher,A1
crazy,A2
school,A1
smart,B1
father,A1
apart,B1
radio,A1
television,A1
hobby,A1
electronic,A2
teach,A1
importance,B1
know,A1
inside,A2
quick,A1
old,A1
writer,A1
teenager,A1
get,A1
summer,A1
job,A1
high,B2
join,A1
club,A1
member,A1
wirehead,BEYOND
meet,A1
day,A1
business,A1
partner,A1
good,A2
love,A1
project,B2
left,A1
right,A1
blue,A1
box,A1
let,A1
free,B2
phone,A1
go,B1
leave,B2
stay,A2
area,A1
take,A1
briefly,B2
video,A1
game,A1
travel,A1
return,A1
build,A1
garage,B1
want,A1
sell,A1
money,A1
prize,A2
scientific,B1
calculator,BEYOND
building,A1
design,A1
great,A1
team,A1
grow,A1
small,A1
fast,A1
start,A2
revolution,B2
sound,C1
picture,B2
color,BEYOND
come,A1
new,A1
trip,B2
apple,A1
orchard,BEYOND
suggest,A2
try,B2
technical,B1
stick,B1
million,A1
dollar,A1
buy,A1
problem,A1
make,B2
brand,B1
hope,A2
situation,A1
symbol,A2
release,B1
following,B1
introduce,A1
feature,B1
mouse,A1
base,B1
screen,B2
mean,A1
person,A1
pointer,BEYOND
click,B1
tell,A1
today,A1
common,A1
major,A2
memory,A2
sit,A1
daughter,A1
expensive,A1
powerful,B1
run,A2
software,B1
able,A2
program,B1
improved,BEYOND
technology,A2
popular,A1
instruction,A2
revolutionary,C1
customer,A1
reluctant,C1
special,A1
fail,A2
leader,A2
blame,B2
huge,A2
charge,B1
poor,A1
sale,A2
quit,B1
teen,BEYOND
interested,A1
religion,B1
study,A1
failure,B2
dream,A2
believe,A1
one,A1
decide,A1
director,A2
producer,B1
graphic,B2
illustration,B2
film,A2
deal,B1
animate,BEYOND
hit,A2
produce,B2
include,A1
operate,B2
system,A2
compete,A2
convince,B1
employee,A2
dozen,B2
brightly,BEYOND
portable,BEYOND
version,B1
main,A1
control,A2
begin,A1
save,A2
different,A1
bright,A2
say,C1
look,A2
sure,A2
integrate,B2
hardware,C1
part,A1
confusing,B2
month,A1
chest,B1
drawer,BEYOND
beautiful,A1
quality,A2
creativity,B2
stop,A1
player,A1
device,A2
available,A2
quickly,A1
fact,A1
unit,A2
cell,B2
internet,A1
button,A2
touch,B1
letter,A1
number,A2
see,A1
wave,B1
future,A2
useful,A1
ready,A1
tablet,A2
gaming,B2
connect,A2
smartphone,A2
minicomputer,BEYOND
piece,A1
equipment,A2
purpose,A2
list,A1
magazine,A1
admire,B1
wait,A2
hour,A1
care,A2
detail,B2
outside,A2
artist,A1
screw,C1
favorite,BEYOND
clothe,BEYOND
wear,A1
black,A1
turtleneck,BEYOND
jean,BEYOND
own,A2
pair,A1
motherboard,BEYOND
perfectionist,BEYOND
spend,A1
test,A1
reteste,BEYOND
simple,A2
difficult,A1
worker,A1
loyal,B2
sick,A1
tumor,BEYOND
pancreas,BEYOND
need,B1
operation,B1
remove,A2
turn,A1
cancer,B2
ill,A2
anymore,BEYOND
die,A1
visionary,BEYOND
force,B1
idea,A1
thinking,A2
plan,A1
imagination,B2
knowledge,A2
bed,A1
night,A1
wonderful,A1
matter,A2
attend,A2
form,A1
online,A1
open,A1
pancreatic,BEYOND
bad,A1
health,A1
step,B2
animation,B2
art,A1
science,A1
image,A2
appear,A2
specific,A2
function,B1
end,A1
map,B2
graph,BEYOND
physical,A2
component,B2
have,A2
gland,BEYOND
body,A1
near,A1
stomach,A2
digest,BEYOND
food,A1
sudden,B1
extreme,B2
complete,A1
place,B1
solve,A2
