word,level
highway,B2
run,A2
east,A1
come,A1
west,A1
border,B1
small,A1
town,A1
hill,A2
nearby,B2
stream,B2
flow,B1
past,A2
pagoda,BEYOND
foot,A1
live,B1
solitary,BEYOND
household,B2
old,A1
man,A1
girl,A1
dog,A1
wind,B2
rock,C1
join,A1
big,A1
river,A1
cross,A2
water,B1
channel,B1
curve,B2
like,B1
bow,C1
path,B1
string,B1
slightly,B1
short,A1
bed,A1
wide,A2
boulder,BEYOND
place,B1
quiet,A1
deep,B1
pole,C1
reach,B2
clear,B1
count,B1
fish,A2
swim,B1
level,B1
fluctuate,BEYOND
considerably,B2
money,A1
build,A1
bridge,A2
ferry,BEYOND
provide,A2
barge,BEYOND
hold,B2
horse,A1
second,A2
trip,B2
movable,BEYOND
iron,B1
hoop,BEYOND
attach,B1
bamboo,BEYOND
post,A1
hawser,BEYOND
span,C1
need,B1
slip,B2
pull,B1
slowly,A2
boat,A1
near,A1
bank,B1
ferryman,BEYOND
shout,A2
steady,B2
leap,C1
ashore,BEYOND
passenger,A2
disembark,BEYOND
disappear,A2
public,A2
property,B1
toll,C1
pay,A2
mean,A1
toss,C1
coin,B1
pick,B2
thrust,BEYOND
hand,B1
protest,B1
truculently,BEYOND
job,A1
peck,BEYOND
rice,A1
seven,A1
want,A1
insist,B2
unable,B1
look,A2
easy,A1
conscience,C1
hard,A1
work,A1
go,B1
unrewarded,BEYOND
upset,B1
ease,C1
get,A1
buy,A1
tea,A1
tobacco,C1
leave,B2
keep,A1
bundle,BEYOND
good,A2
hang,B1
girdle,BEYOND
offer,A2
cheerfully,BEYOND
sundry,BEYOND
sense,B2
traveller,A2
interest,A1
stick,B1
baggage,BEYOND
roll,B1
say,C1
care,A2
smoke,A2
brother,A1
rate,B2
broad,B2
palm,B2
mighty,BEYOND
fine,C1
flavour,B2
make,B2
present,A2
brew,BEYOND
summer,A1
large,A1
pitcher,BEYOND
thirsty,A1
passer,BEYOND
fellow,B2
seventy,A1
stay,A2
age,B1
countless,C1
year,A1
high,B2
time,B2
sturdy,BEYOND
retire,B1
evidently,BEYOND
fate,C1
throw,A2
reflect,B1
carry,A1
quietly,A2
faithfully,BEYOND
case,A2
feel,B2
lure,BEYOND
life,A1
sunrise,BEYOND
stop,A1
brood,BEYOND
death,A2
sunset,BEYOND
sole,C1
companion,C1
relation,B1
mother,A1
daughter,A1
ago,A1
love,A1
affair,B2
father,A1
soldier,A2
serenade,BEYOND
family,A1
way,B2
marry,A2
elope,BEYOND
desert,B2
lover,BEYOND
know,A1
dread,BEYOND
thought,A2
shrink,C1
spoil,B2
record,A2
prevent,A2
die,A1
severe,B2
bout,BEYOND
illness,A2
sweetheart,BEYOND
hesitate,B2
follow,A1
unborn,BEYOND
child,A1
knowledge,A2
utter,BEYOND
word,A1
reproach,BEYOND
matter,A2
shame,B2
pity,B2
soon,A1
bear,B2
kill,A2
drink,A1
cold,A1
miraculously,BEYOND
orphan,BEYOND
survive,B1
thirteen,A1
home,A2
glorious,C1
emerald,BEYOND
green,A1
boatman,BEYOND
give,A1
poor,A1
mite,BEYOND
sun,A1
tan,BEYOND
grow,A1
skin,A2
eye,A1
rest,A2
crystal,C1
nature,A2
teacher,A1
innocent,B1
lively,B2
untamed,BEYOND
wild,A2
creature,B2
gentleness,BEYOND
fawn,BEYOND
meaning,A1
cruelty,BEYOND
anxiety,B2
anger,B2
stranger,B1
stare,B2
fix,B2
brilliant,A2
ready,A1
fly,A2
instant,B2
mountain,A1
harm,B2
finish,A2
task,A2
calmly,BEYOND
rain,A1
grasp,C1
strain,C1
forward,B2
haul,BEYOND
tired,A1
lie,B1
sleep,A2
hail,C1
shore,B2
let,A1
grandfather,A1
jump,A2
aboard,BEYOND
nimbly,BEYOND
wish,A2
accompany,B2
call,A1
bound,B2
rope,B1
mouth,A1
tug,BEYOND
proud,B1
play,A1
granddaughter,BEYOND
familiar,B1
figure,B2
villager,C1
round,B2
favourite,A1
day,A1
disturb,B2
sit,A1
door,A1
cliff,B2
watch,A1
plunge,C1
retrieve,C1
listen,A1
intently,BEYOND
tale,B2
fight,A2
long,A1
wedding,A2
tune,B2
flute,BEYOND
arrival,B1
lay,B1
aside,B2
hurry,B1
grandad,BEYOND
sing,A1
midstream,BEYOND
break,A1
cheerful,B1
song,A1
hoarse,BEYOND
voice,A2
mingle,BEYOND
float,B2
stillness,BEYOND
bring,A1
new,A1
echo,C1
music,A1
accentuate,BEYOND
calf,BEYOND
flock,BEYOND
sheep,A1
decorate,B1
bridal,BEYOND
sedan,BEYOND
chair,B2
take,A1
charge,B1
stand,B2
stern,BEYOND
lazily,BEYOND
inch,B2
see,A1
vanish,C1
distance,A2
turn,A1
imitate,BEYOND
bleating,BEYOND
lamb,BEYOND
lowing,BEYOND
cow,A1
flower,A1
hair,A1
bride,B1
bare,C1
separate,B1
oil,A2
salt,A1
festival,A1
grocery,B2
impress,B2
stack,BEYOND
