word,level
visitor,A1
come,A1
surprising,A2
thing,A1
head,B1
hand,B1
cry,B2
talk,A2
stop,A1
sit,A1
word,A1
large,A1
man,A1
tall,A1
dress,A1
important,A1
looking,BEYOND
room,A1
walk,A1
big,A1
chair,B2
suddenly,A2
fall,A2
eye,A1
close,B1
look,A2
white,A1
ill,A2
run,A2
water,B1
get,A1
doctor,A1
bag,A1
carefully,A2
say,C1
right,A1
think,A1
tired,A1
probably,A1
hungry,A1
pocket,A2
find,A1
train,A2
ticket,A1
north,A1
long,A1
way,B2
leave,B2
home,A2
morning,A1
minute,C1
begin,A1
open,A1
second,A2
later,A2
quickly,A1
foot,A1
face,B1
red,A1
unhappy,A2
sorry,A1
forgot,BEYOND
eat,A1
drink,A1
feel,B2
well,C1
thank,A1
want,A1
ask,A1
possible,A1
work,A1
case,A2
moment,A1
know,A1
kidnapping,BEYOND
son,A1
day,A1
ago,A1
yes,A1
newspaper,A1
true,A1
hear,A1
news,A1
people,A1
go,B1
book,A2
read,A1
page,A1
sixth,BEYOND
wife,A1
daughter,A1
child,A1
house,B2
government,A2
minister,B2
great,A1
country,A1
rich,A1
money,A1
tell,A1
offer,A2
thousand,A1
pound,A1
kidnapper,BEYOND
interesting,A1
afternoon,A1
sir,A2
happen,A1
help,A1
story,A1
school,A1
near,A1
good,A2
young,B1
boy,A1
week,A1
secretary,A2
send,A1
year,A1
old,A1
arrive,A1
nice,A1
soon,A1
like,B1
life,A1
friend,A1
happy,A1
duke,BEYOND
course,A1
live,B1
south,A1
month,A1
love,A1
mother,A1
night,A1
disappear,A2
bedroom,A1
sleep,A2
see,A1
window,A1
ivy,BEYOND
wall,A1
easy,A1
ground,A2
usual,A2
short,A1
black,A1
coat,A1
dark,A2
blue,A1
trouser,BEYOND
strange,A2
unusual,A2
learn,A1
seven,A1
call,A1
everybody,A1
schoolroom,BEYOND
bad,A1
german,BEYOND
teacher,A1
miss,BEYOND
far,B1
footprint,BEYOND
shoe,A1
shirt,A1
sock,A2
floor,A1
take,A1
bicycle,A1
friendly,A1
little,A2
notebook,B2
write,A1
afraid,A1
famous,A1
detective,A2
difficult,A1
mark,A2
family,A1
police,A1
station,A1
early,A1
visit,A1
lose,A1
question,A2
lesson,A1
speak,A1
mmm,BEYOND
ride,A2
away,A1
letter,A1
father,A1
handwriting,BEYOND
understand,A1
freely,B2
lot,A1
half,A2
hour,A1
let,A1
ready,A1
answer,A1
mystery,B1
northern,B1
hill,A2
building,A1
cold,A1
surprised,A2
office,A1
meet,A1
thin,A2
hair,A1
beard,BEYOND
smile,A2
stand,B2
small,A1
watchful,BEYOND
need,B1
stay,A2
post,A1
angrily,BEYOND
postbag,BEYOND
new,A1
map,B2
bring,A1
bed,A1
road,A1
policeman,A1
midnight,A1
evening,A1
end,A1
woman,A1
watch,A1
wait,A2
remember,A1
river,A1
tree,A1
moor,BEYOND
sixteen,A1
kilometre,A1
excitedly,BEYOND
hat,A1
gardener,BEYOND
aha,BEYOND
tomorrow,A1
hot,A1
coffee,A1
middle,A2
wet,A2
easily,A2
track,B2
move,B1
slowly,A2
centimetre,BEYOND
mud,B1
hundred,A1
sheep,A1
cow,A1
hurrah,BEYOND
different,A1
tyre,B1
kind,B1
english,BEYOND
dear,A2
make,B2
deep,B1
wheel,A2
rider,BEYOND
follow,A1
nearly,A2
give,A1
bush,B2
yellow,A1
flower,A1
quietly,A2
browny,BEYOND
blood,A2
hit,A2
body,A1
dead,A2
poor,A1
shall,A2
time,B2
workman,BEYOND
note,B1
fast,A1
die,A1
hard,A1
round,B2
wrong,B1
thinking,A2
break,A1
left,A1
inn,BEYOND
aaah,BEYOND
arm,C1
door,A1
smoke,A2
unfriendly,BEYOND
use,A2
laugh,A1
muddy,BEYOND
pleased,A2
table,A1
horse,A1
hungrily,BEYOND
stable,B2
surprisingly,BEYOND
today,A1
mean,A1
nail,B1
angry,A1
mouth,A1
metre,A1
quick,A1
past,A2
somebody,A1
light,A2
upstairs,A2
start,A2
coldly,BEYOND
tiredly,BEYOND
shut,A2
cheque,BEYOND
pen,A1
killing,B1
murder,B1
murderer,BEYOND
surprise,A2
world,A1
hate,B1
kidnap,C1
change,A1
number,A2
cycle,A2
kill,A2
dirty,A1
usually,A1
glass,A1
box,A1
garden,A1
cloven,BEYOND
finger,A2
lovingly,BEYOND
