word,level
winter,A1
explorer,BEYOND
lock,A2
race,B1
reach,B2
norwegian,BEYOND
beat,B2
british,BEYOND
month,A1
way,B2
man,A1
trap,B2
blizzard,BEYOND
die,A1
mile,A1
kilometer,BEYOND
away,A1
spot,B1
leave,B2
pile,B2
supply,B1
save,A2
life,A1
journal,B1
entry,B1
pen,A1
shall,A2
stick,B1
end,A1
get,A1
weak,A2
course,A1
far,B1
pity,B2
think,A1
write,A1
ironically,C1
year,A1
later,A2
lose,A1
plane,A1
crash,B2
face,B1
frostbite,BEYOND
cruel,B1
whipping,BEYOND
wind,B2
danger,A2
death,A2
learn,A1
forbidding,BEYOND
region,A2
volume,B2
polar,BEYOND
biome,BEYOND
trouble,B2
put,A1
snowshoe,BEYOND
warm,B1
jacket,A1
major,A2
ecological,C1
community,A2
type,B1
forest,A2
grassland,BEYOND
desert,B2
define,B1
area,A1
extend,B2
geographic,BEYOND
northern,B1
mean,A1
temperature,A2
pole,C1
cover,B1
ice,A1
land,A2
thickness,BEYOND
vary,B2
season,A2
ecotourist,BEYOND
maneuver,BEYOND
iceberg,BEYOND
boat,A1
consider,A2
special,A1
kind,B1
cold,A1
weather,A1
ecosystem,BEYOND
boreal,BEYOND
large,A1
permafrost,BEYOND
permanently,B2
frozen,B1
ground,A2
home,A2
number,A2
native,B1
people,A1
right,A1
traditionally,BEYOND
hunt,B1
fish,A2
continue,A2
herd,BEYOND
reindeer,BEYOND
frigid,BEYOND
part,A1
unlike,B1
explore,B1
continent,A2
percent,BEYOND
see,A1
naked,B2
eye,A1
rest,A2
thick,A2
sheet,A2
point,B1
deep,B1
contain,A2
world,A1
fresh,A2
water,B1
record,A2
low,B2
coast,A2
extremely,A2
windy,BEYOND
gust,BEYOND
nearly,A2
hour,A1
interior,C1
precipitation,BEYOND
average,B1
inch,B2
centimeter,BEYOND
little,A2
survive,B1
tiny,B1
creature,B2
mite,BEYOND
ocean,A2
surround,B2
teem,BEYOND
include,A1
krill,BEYOND
feed,B2
whale,BEYOND
seal,C1
penguin,BEYOND
antarctic,BEYOND
cod,BEYOND
blood,A2
let,A1
live,B1
seawater,BEYOND
desire,B2
conquer,C1
understand,A1
new,A1
frontier,BEYOND
summer,A1
nation,B1
send,A1
approximately,B1
thousand,A1
scientist,A1
conduct,B2
research,A2
study,A1
climate,A2
mineral,B2
resource,B1
read,A1
come,A1
fascinate,BEYOND
icy,BEYOND
vital,B2
zone,BEYOND
northernmost,BEYOND
consist,B1
trader,BEYOND
hunter,BEYOND
interested,A1
vast,B2
today,A1
strategic,C1
location,B1
value,B1
scene,A2
activity,A1
round,B2
scientific,B1
station,A1
maintain,B2
addition,B1
stud,BEYOND
air,A1
basis,B1
constant,B2
reminder,C1
short,A1
route,A2
narrow,B2
channel,B1
separate,B1
russian,BEYOND
territory,B2
technological,B2
advance,B2
icebreaker,BEYOND
ship,B2
nuclear,B1
power,B2
submarine,BEYOND
distance,A2
country,A1
isotherm,BEYOND
climatological,BEYOND
limit,B1
line,B2
draw,A1
map,B2
chart,B2
join,A1
lie,B1
parallel,B2
latitude,BEYOND
axis,BEYOND
actually,A2
enclose,BEYOND
arctic,BEYOND
true,A1
segment,C1
freezing,BEYOND
subarctic,BEYOND
boundary,C1
say,C1
tree,A1
grow,A1
base,B1
theory,B1
exist,A2
great,A1
million,A1
square,A2
occupy,B2
foot,A1
meter,BEYOND
island,A1
dot,B2
southern,B1
third,A2
rim,BEYOND
provide,A2
colorful,BEYOND
house,B2
landscape,B2
important,A1
north,A1
belong,A2
group,A1
near,A1
form,A1
east,A1
danish,BEYOND
kingdom,C1
highlight,B1
human,A2
settlement,C1
western,B1
jut,BEYOND
eastward,BEYOND
stretch,B2
earth,A2
rock,C1
freeze,B1
solid,B1
mass,B2
call,A1
layer,B1
snow,A1
melt,B2
crust,BEYOND
place,B1
warming,B2
recent,A2
cause,A2
upper,B2
result,B1
swampy,BEYOND
building,A1
sink,B1
store,B1
carbon,B2
gas,A2
release,B1
soil,B1
contribute,B2
global,B1
drunken,BEYOND
black,A1
spruce,BEYOND
originally,B1
straight,A2
tall,A1
start,A2
tilt,BEYOND
loose,B2
hold,B2
root,B2
firmly,B2
extreme,B2
heat,A2
prevent,A2
absorb,B2
give,A1
occur,B1
effective,B1
bearable,BEYOND
gale,BEYOND
flow,B1
strongly,B1
outward,BEYOND
break,A1
level,B1
disturb,B2
circulation,C1
dry,A2
moisture,BEYOND
determine,B1
light,A2
receive,A2
sun,A1
slant,BEYOND
relation,B1
ray,C1
direct,B1
sunlight,BEYOND
long,A1
strike,B2
south,A1
floe,BEYOND
half,A2
time,B2
stay,A2
jumbled,BEYOND
pack,B1
drastic,BEYOND
thinning,BEYOND
reduction,B2
cite,B2
factor,A2
lead,B1
international,A2
organization,A2
project,B2
virtually,BEYOND
free,B2
sea,A1
decade,B1
soon,A1
thing,A1
numerous,B2
countless,C1
microscopic,BEYOND
plant,A2
diatom,BEYOND
furnish,BEYOND
food,A1
shrimp,BEYOND
crustacean,BEYOND
turn,A1
eat,A1
walrus,BEYOND
treeless,BEYOND
grassy,BEYOND
carpet,A2
tundra,BEYOND
flower,A1
grass,A2
spring,B1
musk,BEYOND
oxen,BEYOND
paw,BEYOND
moss,BEYOND
lichen,BEYOND
environmental,B1
threat,B2
increased,BEYOND
economic,B1
considerable,B2
concern,B2
habitat,B2
living,B1
pattern,A2
wildlife,B2
potential,B2
oil,A2
spill,B2
pollution,A2
immense,C1
harsh,C1
border,B1
open,A1
shipping,C1
construction,B2
drilling,BEYOND
platform,A2
week,A1
impassable,BEYOND
raise,A2
leak,C1
stop,A1
clean,A1
rate,B2
crude,C1
petroleum,BEYOND
pollutant,BEYOND
decompose,BEYOND
environmentally,BEYOND
harmless,BEYOND
component,B2
slow,B1
reduce,A2
accord,BEYOND
animal,A1
slowly,A2
dwindle,BEYOND
loss,B1
threaten,B2
traditional,A2
lifestyle,A2
indigenous,C1
increase,A2
interference,C1
seek,B2
exploit,B2
abundant,BEYOND
damage,B1
fragile,C1
environment,A2
bear,B2
wolf,BEYOND
prey,C1
small,A1
meat,A1
eater,BEYOND
mainly,B1
fox,BEYOND
ermine,BEYOND
muskrat,BEYOND
beaver,BEYOND
marten,BEYOND
mink,BEYOND
rich,A1
fur,B1
lengthy,C1
day,A1
specie,BEYOND
migrate,BEYOND
bird,A1
redpoll,BEYOND
snowbird,BEYOND
pipit,BEYOND
ptarmigan,BEYOND
fatten,BEYOND
swarm,BEYOND
insect,A2
seabird,BEYOND
snowy,BEYOND
owl,BEYOND
raven,BEYOND
graze,BEYOND
potentially,B2
dangerous,A1
stocky,BEYOND
neck,A2
relatively,B2
head,B1
rounded,BEYOND
ear,A1
tail,B1
male,A2
female,A2
weigh,B1
pound,A1
kilogram,BEYOND
shoulder,A2
length,B1
pass,B1
skin,A2
insulate,BEYOND
fat,A2
broad,B2
hairy,BEYOND
sol,BEYOND
protect,A2
facilitate,C1
movement,A2
uneven,BEYOND
help,A1
slip,B2
strong,A1
sharp,B1
claw,BEYOND
gain,B2
traction,BEYOND
dig,B2
kill,A2
carnivorous,BEYOND
coastal,C1
adult,A2
natural,A1
predator,C1
longevity,BEYOND
wild,A2
captivity,BEYOND
old,A1
probably,A1
destruction,B2
problem,A1
know,A1
especially,A2
hide,A2
tendon,BEYOND
flesh,C1
consume,B1
aboriginal,BEYOND
liver,C1
inedible,BEYOND
poisonous,B1
high,B2
vitamin,B2
content,C1
