word,level
seafaring,BEYOND
warrior,C1
raid,C1
colonize,BEYOND
wide,A2
area,A1
ninth,BEYOND
eleventh,BEYOND
century,A1
burn,B2
plunder,BEYOND
kill,A2
go,B1
marauder,BEYOND
come,A1
landowne,BEYOND
chieftain,BEYOND
clan,BEYOND
head,B1
follower,BEYOND
freeman,BEYOND
energetic,BEYOND
young,B1
member,A1
seek,B2
adventure,A2
booty,BEYOND
overseas,B2
time,B2
raider,BEYOND
pillager,BEYOND
spend,A1
year,A1
farm,A2
fish,A2
home,A2
unify,C1
group,A1
trait,B2
rich,A1
outside,A2
homeland,C1
share,B1
people,A1
dwell,BEYOND
exact,A2
ethnic,B2
composition,C1
army,A2
unknown,B2
particular,A2
case,A2
expansion,B2
baltic,BEYOND
land,A2
probably,A1
attribute,C1
nonmilitary,BEYOND
colonization,BEYOND
clearly,A2
accomplish,B2
disruptive,BEYOND
influence,B1
profoundly,BEYOND
affect,A2
european,BEYOND
history,A1
give,A1
era,B2
date,B2
scandinavian,BEYOND
country,A1
possess,B2
practically,BEYOND
inexhaustible,BEYOND
surplus,C1
manpower,BEYOND
leader,A2
ability,A2
organize,A2
conquer,C1
band,A1
seldom,C1
lack,B1
negotiate,B2
sea,A1
longship,BEYOND
mount,B2
hit,A2
run,A2
city,A1
town,A1
coast,A2
burning,BEYOND
plundering,BEYOND
killing,B1
earn,A2
vikingr,BEYOND
mean,A1
pirate,C1
early,A1
language,A1
expression,A2
campaign,B1
swift,BEYOND
cruel,B1
attack,A2
viking,BEYOND
tenth,BEYOND
illustration,B2
depict,C1
leave,B2
ship,B2
explore,B1
fortune,B2
image,A2
create,A1
vellum,BEYOND
parchment,BEYOND
calfskin,BEYOND
fierce,C1
reputation,B2
survive,B1
myth,B2
nonexistent,BEYOND
horned,BEYOND
helmet,B2
truth,B1
bizarre,C1
fabricate,BEYOND
berserker,BEYOND
trance,BEYOND
rage,C1
battle,B1
bite,B1
shield,BEYOND
howl,BEYOND
like,B1
animal,A1
artisan,BEYOND
craftsman,BEYOND
trader,BEYOND
pioneer,C1
trek,BEYOND
travel,A1
far,B1
east,A1
exchange,B1
good,A2
honey,BEYOND
tin,B1
wheat,B2
wool,B1
wood,A2
iron,B1
fur,B1
walrus,BEYOND
ivory,BEYOND
silver,A2
silk,B2
spice,B2
glass,A1
jewelry,BEYOND
slave,B2
trade,B1
understanding,A2
account,B1
culture,A1
biased,BEYOND
report,A2
understandably,BEYOND
paint,A1
violent,B1
brutal,C1
aggressor,BEYOND
english,BEYOND
cleric,BEYOND
scholar,B2
write,A1
late,A1
terror,B2
appear,A2
suffer,B1
pagan,BEYOND
race,B1
formidable,BEYOND
know,A1
complex,B1
civilization,B2
contribute,B2
society,A2
spread,B1
chaos,C1
help,A1
connect,A2
distant,B2
idea,A1
word,A1
label,B1
apply,A2
look,A2
today,A1
bit,A2
short,A1
poor,A1
nutrition,B2
beauty,B1
fashion,A2
standard,B1
different,A1
blonde,A1
hair,A1
prefer,A1
men,BEYOND
woman,A1
strong,A1
soap,A2
contain,A2
lye,BEYOND
bleach,BEYOND
include,A1
man,A1
beard,BEYOND
arab,BEYOND
traveler,BEYOND
call,A1
filthy,BEYOND
creature,B2
wealthy,B2
cleanliness,BEYOND
tweezer,BEYOND
razor,BEYOND
comb,BEYOND
ear,A1
clean,A1
tool,A2
bone,A2
antler,BEYOND
find,A1
excavation,BEYOND
site,A2
wear,A1
jacket,A1
pant,BEYOND
dress,A1
long,A1
cloak,BEYOND
fasten,B1
shoulder,A2
clothe,BEYOND
easy,A1
carry,A1
use,A2
weapon,B1
gold,A2
brooch,BEYOND
shoe,A1
calfor,BEYOND
goatskin,BEYOND
skate,BEYOND
spike,BEYOND
foot,A1
cross,A2
ice,A1
cover,B1
surface,B1
winter,A1
show,A1
artist,A1
imagining,BEYOND
story,A1
aid,B2
old,A1
irish,BEYOND
marry,A2
hold,B2
right,A1
inherit,B2
property,B1
request,B1
divorce,B2
dowry,BEYOND
historian,B2
generally,B1
believe,A1
soldier,A2
legend,B2
relate,B1
maiden,BEYOND
family,A1
live,B1
village,A1
wooden,A2
house,B2
thatched,BEYOND
roof,A2
work,A1
accumulate,C1
wealth,B2
protect,A2
interest,A1
choose,A1
powerful,B1
rule,B1
remnant,BEYOND
article,A1
clothing,A2
grave,BEYOND
model,B2
authentically,BEYOND
rigid,BEYOND
class,A1
system,A2
thrall,BEYOND
low,B2
capture,B2
sentence,B2
slavery,C1
crime,A2
pay,A2
debt,B2
enjoy,A1
free,B2
tale,B2
mythology,BEYOND
heaven,B2
norse,BEYOND
god,A2
allow,A2
die,A1
bravely,BEYOND
vast,B2
banquet,BEYOND
hall,A2
female,A2
spirit,B1
valkyrie,BEYOND
watch,A1
battlefield,C1
bring,A1
dead,A2
hero,A2
say,C1
end,A1
world,A1
rise,B1
fight,A2
evil,B2
giant,B1
demon,C1
final,A2
fourteenth,BEYOND
manuscript,C1
display,B2
swedish,BEYOND
king,A2
disguise,BEYOND
speak,A1
beginning,A1
drawing,A2
farmhouse,BEYOND
base,B1
archaeological,BEYOND
building,A1
turf,BEYOND
dense,C1
layer,B1
grass,A2
karl,BEYOND
middle,A2
farmer,A1
unlike,B1
mark,A2
true,A1
attain,C1
status,B2
jarl,BEYOND
demand,B2
tribute,C1
region,A2
support,A2
willingly,BEYOND
war,A2
foreign,A2
expedition,B1
one,A1
provide,A2
party,A1
able,A2
defeat,B2
rival,B2
achieve,A2
highly,B1
develop,A2
legal,B1
democratic,B2
assembly,C1
thing,A1
community,A2
reach,B2
decision,A2
matter,A2
vote,B1
participate,B1
place,B1
settle,B2
dispute,C1
try,B2
odd,B1
death,A2
guilty,B1
banish,BEYOND
exile,C1
law,A2
sight,B1
correlate,C1
savage,BEYOND
barbarian,BEYOND
stereotype,C1
turn,A1
pillaging,BEYOND
arbitrary,C1
reason,A1
danish,BEYOND
norwegian,BEYOND
prompt,B2
undertake,B2
combination,B2
factor,A2
overpopulation,BEYOND
shortage,B2
helplessness,BEYOND
victim,B1
abroad,A2
train,A2
childhood,B1
self,B2
reliant,BEYOND
running,A2
jump,A2
wrestling,BEYOND
take,A1
reading,A1
writing,A1
math,BEYOND
soon,A1
boy,A1
teach,A1
thrust,BEYOND
sword,C1
swing,C1
throw,A2
spear,BEYOND
fact,A1
saying,BEYOND
field,A2
need,B1
knife,A2
axis,BEYOND
bow,C1
arrow,B2
important,A1
possession,A2
doubled,BEYOND
edged,BEYOND
name,A1
decorate,B1
importance,B1
pass,B1
line,B2
bury,B1
double,B1
full,A1
groove,BEYOND
flat,A2
blade,C1
contrary,C1
popular,A1
belief,B1
horn,C1
remain,B1
carving,BEYOND
tapestry,BEYOND
object,B2
age,B1
armor,BEYOND
don,BEYOND
chainmail,BEYOND
coat,A1
expensive,A1
heavy,A2
rely,B2
round,B2
protection,B2
rivet,BEYOND
strength,B1
design,A1
temporarily,B2
attach,B1
extra,B1
defense,BEYOND
heed,BEYOND
basis,B1
hird,BEYOND
personal,A1
retinue,BEYOND
force,B1
feed,B2
retain,B2
loyalty,C1
usually,A1
large,A1
rarely,B1
join,A1
advantage,A2
way,B2
gain,B2
power,B2
opportunity,A2
especially,A2
consist,B1
combine,B1
boat,A1
period,A1
precede,B2
similar,A1
discipline,B2
honor,BEYOND
bind,C1
pledge,C1
follow,A1
certain,A2
promise,A2
switch,B1
allegiance,BEYOND
swear,B2
punishment,B1
offence,B2
lose,A1
seat,B2
great,A1
feast,BEYOND
rank,B2
determine,B1
close,B1
sit,A1
occasion,B1
festival,A1
reenactor,BEYOND
form,A1
wall,A1
military,B2
tactic,C1
wield,BEYOND
successfully,B1
device,A2
ancient,A2
maneuver,BEYOND
stand,B2
body,A1
overhead,BEYOND
move,B1
forward,B2
enemy,B1
wedge,BEYOND
counteract,BEYOND
march,C1
shape,B2
hole,A2
adversary,BEYOND
put,A1
pressure,B1
point,B1
burg,BEYOND
small,A1
number,A2
sort,B1
fortress,BEYOND
effective,B1
deflect,BEYOND
overall,B2
employ,A2
instead,A2
heroics,BEYOND
ferocity,BEYOND
individual,A2
special,A1
berserk,BEYOND
savagery,BEYOND
skin,A2
attire,BEYOND
development,B1
werewolf,BEYOND
habit,A2
murder,B1
think,A1
little,A2
entrance,B1
afterlife,BEYOND
shipbuilding,BEYOND
fierceness,BEYOND
talented,B1
shipbuilder,BEYOND
navigate,BEYOND
exceptional,C1
vessel,C1
famous,A1
