word,level
introduction,A2
chapter,B1
ice,A1
planet,A2
water,B1
molecule,BEYOND
crystal,C1
hoarfrost,BEYOND
rime,BEYOND
mechanical,B2
property,B1
thermal,BEYOND
optical,C1
electromagnetic,BEYOND
age,B1
permafrost,BEYOND
origin,B2
stability,C1
temperature,A2
ground,A2
climatic,BEYOND
change,A1
distribution,B2
northern,B1
hemisphere,BEYOND
local,B1
thickness,BEYOND
effect,A2
climate,A2
body,A1
solar,B2
radiation,B2
vegetation,BEYOND
snow,A1
cover,B1
type,B1
wedge,BEYOND
active,A2
inactive,BEYOND
cast,B2
surface,B1
manifestation,BEYOND
seasonally,BEYOND
freeze,B1
polygonal,BEYOND
thermokarst,BEYOND
formation,B2
pattern,A2
soil,B1
flow,B1
study,A1
problem,A1
pose,B2
engineering,B1
development,B1
area,A1
river,A1
seasonal,BEYOND
cycle,A2
lake,A2
nucleation,BEYOND
wind,B2
mixing,BEYOND
rate,B2
growth,B1
variation,B2
structure,B2
decay,BEYOND
thinning,BEYOND
rotting,BEYOND
melting,BEYOND
geographic,BEYOND
accumulate,C1
fix,B2
buildup,BEYOND
jam,A2
modification,C1
glacier,BEYOND
sheet,A2
characteristic,B2
mass,B2
balance,B1
heat,A2
energy,A2
glaci,BEYOND
mountain,A1
small,A1
masse,BEYOND
classification,C1
feature,B1
hydrology,BEYOND
flood,B1
surge,C1
accumulation,C1
ablation,BEYOND
information,A1
deep,B1
core,B2
response,A2
sea,A1
level,B1
glacial,BEYOND
landform,BEYOND
general,A2
consideration,B2
topography,BEYOND
erosion,BEYOND
deposition,BEYOND
erosional,BEYOND
scale,B2
striation,BEYOND
form,A1
groove,BEYOND
valley,A2
shaped,B2
horn,C1
hanging,BEYOND
drumlin,BEYOND
continental,BEYOND
depositional,BEYOND
moraine,BEYOND
flute,BEYOND
meltwater,BEYOND
deposit,C1
glaciofluvial,BEYOND
glaciolacustrine,BEYOND
periglacial,BEYOND
iceberg,BEYOND
antarctic,BEYOND
arctic,BEYOND
size,A2
shape,B2
drift,C1
trajectory,BEYOND
scour,BEYOND
sediment,BEYOND
transport,B1
impact,B1
ocean,A2
detection,C1
tracking,BEYOND
management,B1
salinity,BEYOND
ecological,C1
interaction,B2
pack,B1
atmosphere,B1
emerge,B2
recent,A2
past,A2
terrain,C1
drainage,BEYOND
present,A2
day,A1
physical,A2
surround,B2
power,B2
appendix,BEYOND
significant,B2
shelf,B1
simple,A2
complex,B1
begin,A1
single,A2
consist,B1
hydrogen,C1
atom,BEYOND
oxygen,B2
note,B1
chemical,B1
formula,C1
gaseous,BEYOND
state,B1
enable,B2
float,B2
freely,B2
independently,BEYOND
liquid,B1
constantly,B2
break,A1
bond,B2
exhibit,B2
fluidity,BEYOND
solid,B1
phase,B2
molecular,BEYOND
dictate,C1
crystalline,BEYOND
appear,A2
imbed,BEYOND
nature,A2
tower,A2
majesty,BEYOND
mountainous,BEYOND
varied,C1
examine,B1
thoroughly,B2
