word,level
friend,A1
child,A1
responsible,B1
new,A1
call,A1
sweet,A2
little,A2
letter,A1
plead,C1
know,A1
ask,A1
afterward,BEYOND
mean,A1
course,A1
ruler,A1
suggest,A2
plot,B1
say,C1
meet,A1
good,A2
time,B2
oblige,C1
write,A1
dozen,B2
book,A2
satisfy,B2
demand,B2
wish,A2
enjoy,A1
story,A1
read,A1
old,A1
cowardly,BEYOND
rest,A2
likewise,B2
deal,B1
folk,B1
queer,BEYOND
unusual,A2
print,B2
real,A1
judgment,BEYOND
unbiased,BEYOND
correct,A1
find,A1
shall,A2
glad,B1
welcome,A2
reader,A1
tell,A1
like,B1
hope,A2
wind,B2
blow,B2
hard,A1
joggle,BEYOND
water,B1
ocean,A2
send,A1
ripple,BEYOND
surface,B1
push,B1
edge,B1
wave,B1
shove,BEYOND
billow,BEYOND
roll,B1
dreadfully,BEYOND
high,B2
higher,BEYOND
top,C1
house,B2
tall,A1
tree,A1
mountain,A1
gulf,BEYOND
great,A1
deep,B1
valley,A2
mad,B1
dashing,BEYOND
splashing,BEYOND
big,A1
mischievous,BEYOND
cause,A2
reason,A1
result,B1
terrible,A1
storm,A2
liable,C1
cut,B1
prank,BEYOND
lot,A1
damage,B1
begin,A1
ship,B2
sail,B1
far,B1
tumble,BEYOND
toss,C1
grow,A1
tip,B1
sidewise,BEYOND
way,B2
jostle,BEYOND
roughly,B2
sailor,B1
man,A1
hold,B2
fast,A1
rope,B1
railing,BEYOND
sweep,B2
away,A1
pitch,B2
headlong,BEYOND
sea,A1
cloud,A2
thick,A2
sky,A2
sunlight,BEYOND
day,A1
dark,A2
night,A1
add,A1
terror,B2
captain,B1
afraid,A1
see,A1
safety,B1
passenger,A2
danger,A2
try,B2
stay,A2
deck,B2
cabin,B2
brave,B1
heart,A2
scared,A2
girl,A1
name,A1
go,B1
visit,A1
relative,B1
work,A1
farm,A2
health,A1
give,A1
leave,B2
weak,A2
nervous,A2
home,A2
watch,A1
hire,B1
care,A2
travel,A1
cousin,A1
eager,C1
journey,A1
think,A1
company,A1
help,A1
cheer,B2
decide,A1
experienced,B1
traveller,A2
carry,A1
cyclone,BEYOND
marvelous,BEYOND
adventure,A2
strange,A2
country,A1
manage,A2
easily,A2
frightened,B1
happen,A1
howl,BEYOND
whistle,BEYOND
mind,A2
uproar,BEYOND
bit,A2
quiet,A1
possible,A1
overboard,BEYOND
want,A1
risk,B1
accident,A2
sure,A2
huddle,BEYOND
listen,A1
shrieking,BEYOND
creaking,BEYOND
mast,BEYOND
rigging,BEYOND
bump,BEYOND
fall,A2
asleep,A2
arouse,BEYOND
start,A2
miss,BEYOND
imagine,A1
strong,A1
worry,B1
fear,B1
careless,B1
case,A2
instantly,B2
come,A1
fact,A1
lie,B1
sleeping,BEYOND
berth,BEYOND
remember,A1
caution,C1
uncle,A1
spite,B2
tempest,BEYOND
bad,A1
plunge,C1
dreadful,BEYOND
manner,A2
mount,B2
stair,A2
soon,A1
get,A1
strike,B2
fiercely,BEYOND
tear,B2
skirt,A1
dress,A1
feel,B2
sort,B1
joyous,BEYOND
excitement,B1
defy,C1
peer,B2
gloom,BEYOND
dim,BEYOND
form,A1
cling,C1
loudly,A2
screech,BEYOND
madly,BEYOND
scarce,BEYOND
hear,A1
voice,A2
certainly,A2
fail,A2
dash,BEYOND
forward,B2
lull,BEYOND
square,A2
chicken,A1
coop,BEYOND
lash,BEYOND
reach,B2
place,B1
seize,C1
slat,BEYOND
box,A1
keep,A1
enraged,BEYOND
dare,B2
resist,B2
power,B2
suddenly,A2
redouble,BEYOND
fury,BEYOND
scream,B2
angry,A1
giant,B1
lift,A2
air,A1
whirl,BEYOND
moment,A1
later,A2
drop,B1
catch,B2
slide,B2
hill,A2
foaming,BEYOND
