word,level
dutch,BEYOND
draper,BEYOND
startling,BEYOND
discovery,A2
passion,B1
grind,C1
glass,A1
precise,B2
magnify,BEYOND
lense,BEYOND
look,A2
close,B1
thing,A1
scraping,BEYOND
tooth,A1
write,A1
see,A1
great,A1
wonder,B1
say,C1
matter,A2
little,A2
live,B1
animalcule,BEYOND
tiny,B1
animal,A1
prettily,BEYOND
move,B1
person,A1
describe,A1
bacteria,B2
time,B2
scientist,A1
identify,A2
classify,B2
thousand,A1
minuscule,BEYOND
creature,B2
important,A1
category,B1
microorganism,BEYOND
algae,BEYOND
protozoan,BEYOND
explore,B1
book,A2
prokaryote,BEYOND
real,A1
nucleus,BEYOND
brain,A2
cell,B2
way,B2
eukaryotic,BEYOND
primitive,BEYOND
design,A1
simplicity,BEYOND
allow,A2
survive,B1
different,A1
environment,A2
instance,B2
need,B1
oxygen,B2
kill,A2
call,A1
facultative,BEYOND
anaerobe,BEYOND
salmonella,BEYOND
cause,A2
food,A1
poisoning,BEYOND
vitally,BEYOND
life,A1
saprophytic,BEYOND
help,A1
organic,B2
rot,BEYOND
turn,A1
rich,A1
fertile,BEYOND
soil,B1
grow,A1
new,A1
crop,B2
milk,A1
cheese,A1
yogurt,BEYOND
dangerous,A1
disease,A2
create,A1
toxin,BEYOND
poison,B1
victim,B1
clostridium,BEYOND
tetani,BEYOND
produce,B2
tetanus,BEYOND
bacterial,BEYOND
antibody,BEYOND
develop,A2
vaccine,BEYOND
fight,A2
eukaryote,BEYOND
complex,B1
contain,A2
chlorophyll,BEYOND
let,A1
photosynthesis,BEYOND
simple,A2
plant,A2
unlike,B1
single,A2
celled,BEYOND
range,B1
size,A2
dinoflagellate,BEYOND
gigantic,BEYOND
luetkeana,BEYOND
kelp,BEYOND
foot,A1
meter,BEYOND
tall,A1
word,A1
come,A1
greek,BEYOND
mean,A1
seaweed,BEYOND
find,A1
freshwater,BEYOND
rock,C1
beneficial,B2
example,A1
carrageenan,BEYOND
red,A1
thicken,BEYOND
ice,A1
cream,B1
pfiesteria,BEYOND
hand,B1
bloom,BEYOND
