word,level
come,A1
world,A1
popular,A1
team,A1
sport,A1
designation,BEYOND
use,A2
generally,B1
signify,BEYOND
refer,A2
soccer,A2
speak,A1
country,A1
fútbol,BEYOND
rest,A2
call,A1
football,A1
technically,BEYOND
official,B1
title,B2
association,B2
clearly,A2
linguistic,BEYOND
piece,A1
word,A1
actually,A2
originate,C1
year,A1
ago,A1
slang,BEYOND
abbreviation,BEYOND
base,B1
soc,BEYOND
wordplay,BEYOND
game,A1
take,A1
step,B2
national,B2
nickname,BEYOND
melding,BEYOND
kangaroo,BEYOND
follow,A1
premier,C1
international,A2
tournament,B2
play,A1
sporting,B2
event,A1
distinction,C1
include,A1
honor,BEYOND
gain,B2
reader,A1
book,A2
learn,A1
early,A1
root,B2
modern,A1
emergence,C1
century,A1
group,A1
european,BEYOND
attempt,B2
bring,A1
order,A1
turn,A1
form,A1
course,A1
rule,B1
evolve,B2
governing,BEYOND
body,A1
responsive,BEYOND
hundred,A1
worldwide,B1
occasionally,B2
release,B1
modification,C1
clarification,BEYOND
concert,A1
score,A2
opening,B2
goal,A2
celebrate,A2
left,A1
teammate,BEYOND
match,A1
fan,A2
know,A1
clear,B1
diligent,BEYOND
officiating,BEYOND
referee,B2
notwithstanding,BEYOND
pitch,B2
aka,BEYOND
field,A2
host,B1
good,A2
deal,B1
theatric,BEYOND
player,A1
try,B2
incur,C1
penalty,B2
oppose,B2
language,A1
convince,B1
grievous,BEYOND
wrong,B1
lie,B1
flat,A2
ground,A2
writhe,BEYOND
pain,A2
option,A2
desire,B2
outcome,B2
vigorously,BEYOND
object,B2
yellow,A1
red,A1
card,A1
prime,B2
opportunity,A2
drama,A2
theatrical,C1
embellishment,BEYOND
aside,B2
physical,A2
aggressive,B2
demanding,BEYOND
true,A1
injury,A2
real,A1
possibility,A2
protect,A2
equipment,A2
minimum,B2
care,A2
guard,B1
shape,B2
physically,BEYOND
taxing,BEYOND
consist,B1
minute,C1
half,A2
straight,A2
break,A1
spawn,BEYOND
dazzlingly,BEYOND
athletic,BEYOND
star,A2
profile,A2
time,B2
legend,B2
current,B1
showcase,BEYOND
happen,A1
paraphrase,BEYOND
legendary,C1
beautiful,A1
properly,B1
virtually,BEYOND
estimate,B2
million,A1
globe,B2
billion,A2
reason,A1
appealing,C1
simplicity,BEYOND
ball,A1
bit,A2
open,A1
space,A1
require,B1
essential,B1
touch,B1
hand,B1
people,A1
draw,A1
skill,A1
quick,A1
thinking,A2
great,A1
establish,B2
govern,B2
rectangular,BEYOND
yard,B1
meter,BEYOND
long,A1
wide,A2
foot,A1
high,B2
place,B1
end,A1
line,B2
mark,A2
side,A2
touchline,BEYOND
distinctive,C1
marking,BEYOND
halfway,C1
area,A1
corner,A2
center,BEYOND
circle,A2
standard,B1
formation,B2
variation,B2
increase,A2
offense,BEYOND
defense,BEYOND
renowne,BEYOND
goalkeeper,BEYOND
slide,B2
action,A1
qualifier,BEYOND
have,A2
sustain,C1
near,A1
fatal,C1
head,B1
wear,A1
goalie,BEYOND
garb,BEYOND
protective,C1
headgear,BEYOND
uniform,A2
usually,A1
short,A1
shirt,A1
number,A2
sock,A2
shoe,A1
cleat,BEYOND
shin,BEYOND
typically,B1
padded,BEYOND
glove,B1
noticeably,BEYOND
different,A1
round,B2
inflated,BEYOND
rubber,B2
bladder,BEYOND
cover,B1
leather,B1
approve,B2
material,B2
measure,B1
inch,B2
centimeter,BEYOND
circumference,BEYOND
weigh,B1
ounce,BEYOND
gram,BEYOND
purpose,A2
propel,BEYOND
opponent,B2
win,B1
divide,B1
defender,B2
fullback,BEYOND
midfielder,BEYOND
halfback,BEYOND
forward,B2
advance,B2
pass,B1
kick,B1
dribble,BEYOND
downfield,BEYOND
dribbling,BEYOND
control,A2
keep,A1
move,B1
juggle,BEYOND
thigh,BEYOND
chest,B1
shoulder,A2
defensive,C1
stop,A1
opposition,B2
intercept,BEYOND
tackle,C1
occur,B1
steal,A2
club,A1
stand,B2
run,A2
mile,A1
kilometer,BEYOND
officiate,BEYOND
enforce,C1
track,B2
linesman,BEYOND
patrol,C1
determine,B1
possession,A2
last,A2
halftime,BEYOND
interval,B2
change,A1
additional,B2
add,A1
compensate,C1
stoppage,BEYOND
example,A1
victor,BEYOND
extra,B1
series,A2
offside,BEYOND
fouling,BEYOND
common,A1
important,A1
offensive,B2
close,B1
prevent,A2
lurk,BEYOND
difficult,A1
judge,B1
free,B2
award,B1
simply,B1
position,B2
attacker,BEYOND
opposing,BEYOND
violation,C1
attacking,BEYOND
instance,B2
obstruct,BEYOND
sight,B1
way,B2
indirectly,BEYOND
benefit,B1
offsides,BEYOND
receive,A2
rebound,BEYOND
hit,A2
goalpost,BEYOND
crossbar,BEYOND
foul,BEYOND
rough,B1
result,B1
particularly,B1
warning,B1
offend,B2
automatically,B2
give,A1
eject,BEYOND
violent,B1
behavior,BEYOND
fighting,B1
lead,B1
immediate,B1
basic,B1
leg,A1
aerial,BEYOND
display,B2
individual,A2
go,B1
solo,C1
past,A2
essentially,B2
member,A1
credit,B2
assist,B1
style,A1
reflect,B1
respective,C1
need,B1
agility,BEYOND
height,A2
reach,B2
block,B1
shoot,C1
central,B1
away,A1
danger,A2
defend,B2
big,A1
strong,A1
small,A1
trait,B2
necessary,A2
speedy,BEYOND
midfield,BEYOND
range,B1
quality,A2
powerful,B1
winner,A2
term,B2
creative,A2
playmaker,BEYOND
develop,A2
scoring,BEYOND
chance,A2
talent,B1
hold,B2
accurate,B2
passing,C1
winger,BEYOND
set,B1
speed,B2
ability,A2
crossing,BEYOND
air,A1
penetrative,BEYOND
footwork,BEYOND
adept,BEYOND
angle,B2
spot,B1
allow,A2
surprisingly,BEYOND
history,A1
stretch,B2
say,C1
part,A1
establishment,C1
poise,BEYOND
expand,B1
civilization,B2
lay,B1
claim,B1
invent,A2
record,A2
soccerlike,BEYOND
ancient,A2
folk,B1
compete,A2
final,A2
destination,B1
provide,A2
origin,B2
vast,B2
pit,C1
village,A1
local,B1
government,A2
ban,B1
starting,BEYOND
variant,BEYOND
type,B1
english,BEYOND
school,A1
rugby,B1
alike,C1
find,A1
create,A1
maintain,B2
professionalism,BEYOND
legalize,BEYOND
agent,B1
help,A1
spread,B1
model,B2
league,B2
typical,A2
feature,B1
division,B2
low,B2
finish,A2
promote,B1
level,B1
demote,BEYOND
nationwide,C1
prevalent,BEYOND
passion,B1
rivalry,BEYOND
hooliganism,BEYOND
advent,BEYOND
television,A1
internet,A1
fuel,B1
rise,B1
popularity,B2
passionate,B2
regional,B2
ethnic,B2
identity,B1
intense,B2
roman,BEYOND
identify,A2
enjoy,A1
old,A1
unfortunately,A2
cross,A2
antisocial,BEYOND
explode,B1
major,A2
problem,A1
certain,A2
hooligan,BEYOND
organize,A2
primary,B1
stir,C1
racial,B2
intolerance,BEYOND
violence,B2
rival,B2
improvement,B1
security,B1
facility,B2
active,A2
campaign,B1
tolerance,C1
sportsmanship,BEYOND
combat,C1
friendly,A1
connote,BEYOND
consequence,B1
relative,B1
ranking,C1
german,BEYOND
