word,level
thing,A1
certain,A2
black,A1
kitten,BEYOND
begin,A1
white,A1
unable,B1
quarter,A1
hour,A1
old,A1
cat,A1
wash,A2
face,B1
slowly,A2
carefully,A2
free,B2
want,A1
sit,A1
corner,A2
great,A1
armchair,A1
half,A2
talk,A2
asleep,A2
play,A1
grand,B2
game,A1
ball,A1
wool,B1
soon,A1
lie,B1
terrible,A1
tangle,BEYOND
carpet,A2
run,A2
tail,B1
middle,A2
bad,A1
little,A2
cry,B2
see,A1
pick,B2
climb,B1
know,A1
long,A1
roll,B1
chess,BEYOND
instead,A2
ago,A1
watch,A1
fact,A1
look,A2
like,B1
chessman,BEYOND
table,A1
hold,B2
try,B2
escape,B1
punish,B1
lift,A2
looking,BEYOND
glass,A1
fireplace,BEYOND
good,A2
say,C1
house,B2
wonder,B1
go,B1
room,A1
book,A2
word,A1
wrong,B1
way,B2
rest,A2
different,A1
interesting,A1
wish,A2
let,A1
pretend,B1
soft,A2
believe,A1
turn,A1
kind,B1
cloud,A2
happen,A1
speak,A1
find,A1
disappear,A2
bright,A2
silvery,BEYOND
moment,A1
jump,A2
notice,A2
picture,B2
wall,A1
alive,A2
clock,A1
man,A1
smile,A2
tidy,A2
think,A1
floor,A1
surprise,A2
walk,A1
arm,C1
whisper,B2
order,A1
frighten,B1
read,A1
newspaper,A1
hear,A1
noise,A2
fall,A2
interest,A1
voice,A2
child,A1
dear,A2
sweet,A2
wildly,BEYOND
leg,A1
poor,A1
scream,B2
loudly,A2
helpful,A2
noisy,A2
daughter,A1
queen,A2
mouth,A1
open,A1
minute,C1
call,A1
careful,A2
storm,A2
round,B2
worriedly,BEYOND
wind,B2
blow,B2
second,A2
come,A1
usual,A2
help,A1
gently,BEYOND
move,B1
upwards,B2
king,A2
surprised,A2
eye,A1
get,A1
large,A1
nearly,A2
drop,B1
laugh,A1
immediately,A2
flat,A2
frightened,B1
tell,A1
cold,A1
end,A1
hair,A1
shall,A2
forget,A1
write,A1
take,A1
notebook,B2
near,A1
page,A1
language,A1
puzzled,BEYOND
time,B2
suddenly,A2
understand,A1
course,A1
right,A1
poem,B1
twa,BEYOND
slithy,BEYOND
tove,BEYOND
gyre,BEYOND
gimble,BEYOND
wabe,BEYOND
borogove,BEYOND
mome,BEYOND
rath,BEYOND
outgrabe,BEYOND
pretty,A1
hard,A1
actually,A2
