word,level
bear,B2
workhouse,BEYOND
arrive,A1
hard,A1
world,A1
doubtful,BEYOND
live,B1
minute,C1
lie,B1
little,A2
bed,A1
struggle,B2
start,A2
breathe,B1
fight,A2
battle,B1
assistance,B2
people,A1
present,A2
birth,A2
old,A1
woman,A1
nearly,A2
drunk,B1
busy,A1
local,B1
doctor,A1
pay,A2
interested,A1
survival,B2
death,A2
common,A1
event,A1
poor,A1
homeless,B2
manage,A2
draw,A1
breath,B1
announce,B1
arrival,B1
rest,A2
cry,B2
loudly,A2
mother,A1
raise,A2
pale,B1
young,B1
face,B1
pillow,BEYOND
whisper,B2
let,A1
child,A1
die,A1
turn,A1
away,A1
fire,B1
warm,B1
hand,B1
talk,A2
say,C1
kindly,BEYOND
give,A1
hold,B2
lovingly,BEYOND
kiss,B1
baby,A1
forehead,BEYOND
cold,A1
white,A1
lip,B1
stare,B2
wildly,BEYOND
room,A1
fall,A2
dear,A2
nurse,A1
hurriedly,BEYOND
put,A1
green,A1
glass,A1
bottle,A1
pocket,A2
long,A1
skirt,A1
begin,A1
coat,A1
weak,A2
probably,A1
difficulty,B1
milk,A1
quiet,A1
look,A2
dead,A2
good,A2
looking,BEYOND
girl,A1
come,A1
bring,A1
night,A1
reply,A2
find,A1
street,A1
walk,A1
distance,A2
judge,B1
shoe,A1
wear,A1
piece,A1
go,B1
know,A1
lift,A2
left,A1
story,A1
sadly,A2
shake,B1
head,B1
wedding,A2
ring,B1
leave,B2
drunken,BEYOND
clothe,BEYOND
blanket,B2
king,A2
beggar,BEYOND
dress,A1
later,A2
rough,B1
cotton,B1
yellow,A1
age,B1
exactly,A2
orphan,BEYOND
ready,A1
life,A1
misery,C1
hunger,B2
neglect,C1
send,A1
special,A1
farm,A2
nearby,B2
thirty,A1
roll,B1
floor,A1
day,A1
inconvenience,BEYOND
food,A1
clothing,A2
experienced,B1
stomach,A2
dangerous,A1
health,A1
keep,A1
use,A2
money,A1
board,B1
responsible,B1
check,A2
beadle,BEYOND
kind,B1
policeman,A1
visit,A1
course,A1
neat,B2
clean,A1
way,B2
consequently,B2
thin,A2
short,A1
despite,B1
frequent,B2
beating,BEYOND
spirit,B1
strong,A1
reason,A1
reach,B2
ninth,BEYOND
birthday,A1
house,B2
window,A1
see,A1
gate,A2
quickly,A1
work,A1
quick,A1
upstairs,A2
wash,A2
run,A2
unlock,BEYOND
lock,A2
prevent,A2
official,B1
visitor,A1
unexpectedly,BEYOND
business,A1
tell,A1
enter,A2
big,A1
fat,A2
man,A1
bad,A1
tempered,BEYOND
self,B2
importance,B1
like,B1
wait,A2
take,A1
hat,A1
place,B1
chair,B2
express,A2
great,A1
concern,B2
comfort,B2
thirsty,A1
cupboard,A2
