word,level
year,A1
ago,A1
excessively,BEYOND
fond,B2
new,A1
clothe,BEYOND
spend,A1
money,A1
dress,A1
trouble,B2
soldier,A2
care,A2
theatre,A1
chase,B2
opportunity,A2
afford,B1
display,B2
different,A1
suit,B1
hour,A1
day,A1
king,A2
emperor,BEYOND
accustom,BEYOND
sit,A1
council,B2
say,C1
wardrobe,BEYOND
time,B2
pass,B1
merrily,BEYOND
large,A1
town,A1
capital,A1
stranger,B1
arrive,A1
court,B1
rogue,BEYOND
call,A1
weaver,BEYOND
appearance,A2
give,A1
know,A1
weave,C1
stuff,B1
beautiful,A1
color,BEYOND
elaborate,C1
pattern,A2
manufacture,B2
wonderful,A1
property,B1
remain,B1
invisible,C1
unfit,BEYOND
office,A1
hold,B2
extraordinarily,BEYOND
simple,A2
character,A2
splendid,BEYOND
think,A1
find,A1
man,A1
realm,C1
able,A2
distinguish,B2
wise,B2
foolish,BEYOND
immediately,A2
cause,A2
sum,B2
order,A1
begin,A1
work,A1
directly,B1
pretend,B1
set,B1
loom,C1
affect,A2
busily,BEYOND
reality,B1
ask,A1
delicate,C1
silk,B2
pure,B2
gold,A2
thread,C1
knapsack,BEYOND
continue,A2
pretended,BEYOND
late,A1
night,A1
like,B1
get,A1
cloth,B1
little,A2
elapse,BEYOND
embarrassed,B1
remember,A1
simpleton,BEYOND
unable,B1
sure,A2
risk,B1
person,A1
prefer,A1
send,A1
somebody,A1
bring,A1
intelligence,B1
affair,B2
people,A1
city,A1
hear,A1
possess,B2
anxious,B2
learn,A1
ignorant,BEYOND
neighbor,BEYOND
prove,B1
faithful,BEYOND
old,A1
minister,B2
deliberation,BEYOND
well,C1
look,A2
sense,B2
suitable,B1
go,B1
hall,A2
knave,BEYOND
meaning,A1
open,A1
eye,A1
wide,A2
discover,A2
bit,A2
express,A2
thought,A2
aloud,BEYOND
impostor,BEYOND
request,B1
courteously,BEYOND
good,A2
come,A1
nearer,BEYOND
design,A1
please,A2
point,B1
frame,B1
poor,A1
reason,A1
viz,BEYOND
possible,A1
confess,B2
excellent,A2
reply,A2
spectacle,C1
yes,A1
tell,A1
delay,B2
shall,A2
obliged,BEYOND
name,A1
describe,A1
listen,A1
attentively,BEYOND
word,A1
repeat,B1
necessary,A2
complete,A1
apparent,B2
diligence,BEYOND
officer,A2
ascertain,BEYOND
soon,A1
ready,A1
gentleman,B1
survey,B2
side,A2
appear,A2
lord,B2
second,A2
ambassador,C1
make,B2
gesture,B2
talk,A2
certainly,A2
stupid,A2
messenger,BEYOND
fit,C1
profitable,C1
odd,B1
accordingly,C1
praise,B2
declare,B2
delight,B2
sovereign,BEYOND
return,A1
prepare,A1
magnificent,B2
expense,B2
wish,A2
costly,C1
accompany,B2
select,B2
number,A2
honest,B1
admire,B1
crafty,BEYOND
aware,B1
approach,B2
diligently,BEYOND
single,A2
absolutely,B1
crown,C1
mention,B1
majesty,BEYOND
pleased,A2
glorious,C1
imagine,A1
exquisite,BEYOND
piece,A1
workmanship,BEYOND
terrible,A1
bad,A1
thing,A1
charming,B2
approbation,BEYOND
smile,A2
graciously,BEYOND
closely,B2
account,B1
retinue,BEYOND
strain,C1
hope,A2
exclaim,BEYOND
advise,B1
material,B2
procession,BEYOND
resound,BEYOND
uncommonly,BEYOND
gay,B2
share,B1
general,A2
satisfaction,B2
present,A2
riband,BEYOND
knighthood,BEYOND
wear,A1
button,A2
hole,A2
title,B2
place,B1
sixteen,A1
light,A2
burn,B2
finish,A2
roll,B1
cut,B1
air,A1
scissor,BEYOND
sew,BEYOND
needle,B1
cry,B2
grandee,BEYOND
raise,A2
arm,C1
act,B1
trouser,BEYOND
scarf,BEYOND
mantle,BEYOND
cobweb,BEYOND
fancy,B1
great,A1
virtue,C1
courtier,BEYOND
glass,A1
undressed,BEYOND
array,C1
turn,A1
round,B2
royal,B1
robe,BEYOND
canopy,BEYOND
bear,B2
wait,A2
announce,B1
chief,B2
master,B2
ceremony,B1
answer,A1
examine,B1
handsome,BEYOND
bedchamber,BEYOND
carry,A1
train,A2
feel,B2
ground,A2
lift,A2
end,A1
mean,A1
betray,C1
simplicity,BEYOND
unfitness,BEYOND
walk,A1
high,B2
midst,C1
street,A1
stand,B2
window,A1
gracefully,BEYOND
hang,B1
short,A1
allow,A2
impression,B1
one,A1
child,A1
voice,A2
innocence,BEYOND
father,A1
whisper,B2
vex,BEYOND
right,A1
take,A1
pain,A2
terribly,B2
cold,A1
snow,A1
nearly,A2
dark,A2
evening,A1
darkness,B2
girl,A1
bareheaded,BEYOND
naked,B2
foot,A1
leave,B2
home,A2
slipper,BEYOND
true,A1
mother,A1
hitherto,BEYOND
lose,A1
scuffle,BEYOND
away,A1
carriage,C1
dreadfully,BEYOND
fast,A1
lay,B1
urchin,BEYOND
run,A2
capitally,BEYOND
cradle,BEYOND
maiden,BEYOND
tiny,B1
red,A1
blue,A1
quantity,A2
match,A1
apron,BEYOND
bundle,BEYOND
hand,B1
buy,A1
livelong,BEYOND
farthing,BEYOND
creep,C1
tremble,BEYOND
hunger,B2
picture,B2
sorrow,BEYOND
flake,BEYOND
cover,B1
long,A1
fair,A2
hair,A1
fall,A2
curl,BEYOND
neck,A2
course,A1
candle,B2
gleam,BEYOND
smell,A2
deliciously,BEYOND
roast,BEYOND
goose,BEYOND
corner,A2
form,A1
house,B2
advance,B2
seat,B2
cower,BEYOND
draw,A1
close,B1
grow,A1
venture,C1
sell,A1
blow,B2
roof,A2
wind,B2
whistle,BEYOND
crack,B2
stop,A1
straw,BEYOND
rag,BEYOND
numbed,BEYOND
world,A1
comfort,B2
dare,B2
wall,A1
warm,B1
finger,A2
rischt,BEYOND
blaze,BEYOND
bright,A2
flame,B2
iron,B1
stove,BEYOND
burnished,BEYOND
brass,BEYOND
ornament,BEYOND
fire,B1
blessed,BEYOND
influence,B1
delightfully,BEYOND
stretch,B2
small,A1
vanish,C1
rub,B2
brightly,BEYOND
transparent,C1
veil,BEYOND
room,A1
table,A1
spread,B1
white,A1
tablecloth,BEYOND
porcelain,BEYOND
service,A2
steam,B2
famously,BEYOND
stuffing,BEYOND
apple,A1
dry,A2
plum,BEYOND
behold,BEYOND
hop,BEYOND
dish,A1
reel,BEYOND
floor,A1
knife,A2
fork,A2
breast,B2
till,B1
thick,A2
damp,BEYOND
tree,A1
decorated,BEYOND
see,A1
door,A1
rich,A1
merchant,C1
thousand,A1
green,A1
branch,B1
gaily,BEYOND
shop,A1
rise,B1
higher,BEYOND
star,A2
trail,C1
dead,A2
grandmother,A1
love,A1
soul,B2
ascend,BEYOND
lustre,BEYOND
radiant,BEYOND
mild,B1
expression,A2
delicious,A1
quickly,A1
want,A1
keep,A1
near,A1
brilliant,A2
noon,C1
tall,A1
fly,A2
brightness,BEYOND
joy,B2
anxiety,B2
dawn,C1
rosy,BEYOND
cheek,B2
mouth,A1
lean,B2
frozen,B1
death,A2
stiff,B2
stark,C1
slight,B2
suspicion,C1
dream,A2
splendor,BEYOND
enter,A2
pretty,A1
summer,A1
force,B1
bare,C1
winter,A1
wooden,A2
shoe,A1
instep,BEYOND
dangerous,A1
middle,A2
village,A1
live,B1
pair,A1
strip,C1
clumsy,BEYOND
kind,B1
bury,B1
receive,A2
intend,B1
mourning,BEYOND
stockingless,BEYOND
follow,A1
coffin,BEYOND
suddenly,A2
drive,A2
lady,A2
compassion,C1
clergyman,BEYOND
adopt,B2
believe,A1
happen,A1
horrible,B1
cleanly,BEYOND
nicely,BEYOND
read,A1
nice,A1
looking,BEYOND
thou,BEYOND
art,A1
queen,A2
travel,A1
land,A2
daughter,A1
princess,B1
stream,B2
castle,A2
fine,C1
let,A1
stare,B2
golden,B2
morocco,BEYOND
far,B1
compare,A1
confirm,B1
shoemaker,BEYOND
measure,B1
case,A2
fill,A1
elegant,B2
boot,A1
pleasure,B1
count,B1
patent,C1
leather,B1
shine,B1
everybody,A1
step,B2
chancel,BEYOND
church,A2
pavement,BEYOND
figure,B2
tomb,BEYOND
portrait,B1
preacher,BEYOND
wife,A1
ruff,BEYOND
black,A1
fix,B2
head,B1
speak,A1
holy,B2
baptism,BEYOND
covenant,BEYOND
matured,BEYOND
organ,B2
peal,BEYOND
