word,level
observe,B2
personage,BEYOND
concern,B2
notwithstanding,BEYOND
precarious,BEYOND
position,B2
appear,A2
little,A2
notice,A2
respectable,BEYOND
martyr,BEYOND
political,B1
amorous,BEYOND
intrigue,BEYOND
entangle,BEYOND
nicely,BEYOND
gallant,BEYOND
chivalric,BEYOND
period,A1
fortunately,A2
reader,A1
remember,A1
promise,A2
lose,A1
sight,B1
officer,A2
arrest,B1
conduct,B2
straight,A2
pass,B1
tremble,BEYOND
party,A1
soldier,A2
load,B2
musket,BEYOND
introduce,A1
half,A2
subterranean,BEYOND
gallery,A2
bring,A1
object,B2
gross,C1
insult,C1
harsh,C1
treatment,B1
perceive,B2
deal,B1
gentleman,B1
treat,B1
like,B1
peasant,C1
end,A1
hour,A1
thereabouts,BEYOND
clerk,B2
come,A1
torture,C1
anxiety,B2
give,A1
order,A1
ordinarily,BEYOND
prisoner,B1
interrogate,BEYOND
cell,B2
guard,B1
attend,A2
mercer,BEYOND
traverse,BEYOND
court,B1
enter,A2
corridor,B2
sentinel,BEYOND
open,A1
door,A1
push,B1
unceremoniously,BEYOND
low,B2
room,A1
furniture,A2
table,A1
chair,B2
commissary,BEYOND
seat,B2
write,A1
lead,B1
sign,A2
draw,A1
far,B1
unable,B1
hear,A1
till,B1
time,B2
hold,B2
head,B1
paper,A1
look,A2
sort,B1
person,A1
man,A1
repulsive,BEYOND
mien,BEYOND
pointed,B2
nose,A1
yellow,A1
salient,BEYOND
cheek,B2
bone,A2
eye,A1
small,A1
keen,B1
penetrating,BEYOND
expression,A2
countenance,BEYOND
resemble,C1
polecat,BEYOND
fox,BEYOND
support,A2
long,A1
flexible,B2
neck,A2
issue,B1
large,A1
black,A1
robe,BEYOND
balance,B1
motion,B2
tortoise,BEYOND
thrust,BEYOND
shell,B1
begin,A1
ask,A1
age,B1
condition,A2
abode,BEYOND
accuse,B2
reply,A2
year,A1
old,A1
retired,B1
live,B1
des,BEYOND
instead,A2
continue,A2
speech,A2
danger,A2
obscure,BEYOND
citizen,B2
meddle,BEYOND
public,A2
matter,A2
complicate,BEYOND
exordium,BEYOND
exposition,BEYOND
paint,A1
power,B2
deed,C1
cardinal,BEYOND
incomparable,BEYOND
minister,B2
conqueror,BEYOND
past,A2
example,A1
thwart,BEYOND
impunity,BEYOND
second,A2
discourse,C1
fix,B2
hawk,BEYOND
poor,A1
bid,B2
reflect,B1
gravity,C1
situation,A1
reflection,C1
curse,BEYOND
instant,B2
form,A1
idea,A1
marry,A2
goddaughter,BEYOND
particularly,B1
moment,A1
receive,A2
character,A2
profound,C1
selfishness,BEYOND
mix,B1
sordid,BEYOND
avarice,BEYOND
season,A2
extreme,B2
cowardice,BEYOND
love,A1
young,B1
wife,A1
inspire,B2
secondary,B1
sentiment,C1
strong,A1
contend,C1
primitive,BEYOND
feeling,A1
enumerate,BEYOND
say,C1
calmly,BEYOND
believe,A1
know,A1
appreciate,B1
anybody,A2
merit,C1
eminence,BEYOND
honor,BEYOND
govern,B2
air,A1
doubt,B1
entirely,B2
impossible,A2
tell,A1
certainty,B2
have,A2
knowingly,BEYOND
disoblige,BEYOND
commit,B1
crime,A2
high,B2
treason,BEYOND
cry,B2
terrified,BEYOND
possible,A1
detest,BEYOND
abhor,BEYOND
consider,A2
monsieur,BEYOND
thing,A1
absolutely,B1
faculty,C1
read,A1
depth,B2
heart,A2
yes,A1
point,B1
affair,B2
likely,A2
perplexing,BEYOND
abduct,BEYOND
infer,B2
grow,A1
intricate,BEYOND
add,A1
think,A1
affirm,BEYOND
suspect,B2
answer,A1
freely,B2
great,A1
perplexity,BEYOND
well,C1
deny,B2
avow,BEYOND
confess,B2
prove,B1
good,A2
decide,A1
tall,A1
dark,A2
lofty,BEYOND
carriage,C1
lord,B2
follow,A1
wait,A2
wicket,BEYOND
escort,BEYOND
home,A2
experience,B1
uneasiness,BEYOND
meet,A1
recognize,A2
thousand,A1
face,B1
see,A1
take,A1
false,A1
step,B2
today,A1
proceed,B2
inform,B2
ravisher,BEYOND
despair,BEYOND
contrary,C1
away,A1
place,B1
demand,B2
chief,B2
dungeon,BEYOND
handy,C1
provide,A2
safe,A2
indifference,BEYOND
penetrate,BEYOND
horror,B1
alas,BEYOND
misfortune,BEYOND
frightful,BEYOND
accomplice,BEYOND
punish,B1
speak,A1
woman,A1
weak,A2
night,A1
soon,A1
tomorrow,A1
wheel,A2
gallow,BEYOND
pity,B2
listen,A1
world,A1
lamentation,BEYOND
pretty,A1
accustom,BEYOND
arm,C1
letter,A1
haste,BEYOND
dispatch,BEYOND
waiting,BEYOND
close,B1
disagreeable,BEYOND
sit,A1
stool,BEYOND
start,A2
noise,A2
ray,C1
sun,A1
chamber,C1
dawn,C1
funereal,BEYOND
tint,BEYOND
bolt,BEYOND
bound,B2
scaffold,BEYOND
merely,C1
simply,B1
executioner,BEYOND
expect,A2
precede,B2
evening,A1
ready,A1
embrace,B2
complicated,B2
yesterday,A1
advise,B1
truth,B1
repentance,BEYOND
remove,A2
anger,B2
entreat,BEYOND
steal,A2
afternoon,A1
thank,A1
escape,B1
unfortunate,B2
creature,B2
fault,B2
swear,B2
business,A1
neighbor,BEYOND
conference,A2
day,A1
true,A1
wrong,B1
aim,B1
visit,A1
beg,B2
assist,B1
find,A1
right,A1
endeavor,BEYOND
deceive,BEYOND
pardon,A1
assistance,B2
betray,C1
impose,B2
justice,B2
compact,BEYOND
virtue,C1
flight,A1
police,A1
reach,B2
hand,B1
shall,A2
confront,C1
faith,B2
sorry,A1
acquaintance,BEYOND
address,B2
declare,B2
exclaim,BEYOND
call,A1
mountain,A1
questioner,BEYOND
quietly,A2
somebody,A1
sure,A2
wish,A2
contradict,BEYOND
