word,level
good,A2
time,B2
bad,A1
season,A2
light,A2
darkness,B2
spring,B1
hope,A2
winter,A1
despair,BEYOND
horse,A1
mash,BEYOND
way,B2
thick,A2
mud,B1
droop,BEYOND
head,B1
pull,B1
mail,A2
coach,B1
late,A1
night,A1
hill,A2
harness,BEYOND
heavy,A2
stop,A1
cold,A1
mist,BEYOND
roam,BEYOND
like,B1
evil,B2
spirit,B1
passenger,A2
plod,BEYOND
yard,B1
road,A1
lamp,A2
day,A1
traveler,BEYOND
keep,A1
robber,BEYOND
guard,B1
stand,B2
watch,A1
load,B2
blunderbuss,BEYOND
pistol,BEYOND
pile,B2
sword,C1
hand,B1
say,C1
coachman,BEYOND
minute,C1
past,A2
blood,A2
exclaim,BEYOND
atop,BEYOND
add,A1
whip,C1
emphasize,B2
command,B2
lead,B1
determined,B1
scramble,BEYOND
follow,A1
burst,C1
carry,A1
summit,C1
breathe,B1
get,A1
open,A1
door,A1
let,A1
cry,B2
warning,B1
voice,A2
perch,BEYOND
box,A1
man,A1
listen,A1
sound,C1
gallop,BEYOND
come,A1
fast,A1
furious,B2
sing,A1
loud,A2
roar,BEYOND
shall,A2
fire,B1
quickly,A1
slow,B1
call,A1
mind,A2
retort,BEYOND
want,A1
know,A1
show,A1
moment,A1
look,A2
distrust,BEYOND
gentleman,B1
name,A1
answer,A1
straight,A2
matter,A2
ask,A1
yes,A1
bulletin,BEYOND
send,A1
yonder,BEYOND
messenger,BEYOND
climb,B1
close,B1
wrong,B1
hello,A1
slowly,A2
rider,BEYOND
carefully,A2
stoop,BEYOND
small,A1
fold,B1
paper,A1
read,A1
aloud,BEYOND
wait,A2
recall,B2
life,A1
start,A2
saddle,BEYOND
blaze,BEYOND
strange,A2
message,A1
understand,A1
lumber,BEYOND
wreath,BEYOND
begin,A1
downhill,BEYOND
dismount,BEYOND
spent,BEYOND
turn,A1
walk,A1
mutter,BEYOND
blazing,BEYOND
fashion,A2
jolt,BEYOND
rattle,BEYOND
bump,BEYOND
shadow,B2
give,A1
dozing,BEYOND
bank,B1
dream,A2
dig,B2
grave,BEYOND
doze,BEYOND
bury,B1
long,A1
eighteen,A1
year,A1
tell,A1
word,A1
speak,A1
wretched,BEYOND
suddenly,A2
fall,A2
away,A1
dust,B1
weary,BEYOND
finally,A2
awake,BEYOND
find,A1
go,B1
successfully,B1
waiter,A1
flourish,C1
shake,B1
straw,BEYOND
coat,A1
large,A1
dog,A1
awhile,BEYOND
later,A2
sit,A1
coffee,A1
room,A1
dress,A1
formal,A2
brown,A1
suit,B1
wear,A1
odd,B1
little,A2
flaxen,BEYOND
wig,BEYOND
bring,A1
breakfast,A1
wish,A2
prepare,A1
young,B1
lady,A2
today,A1
sir,A2
confirm,B1
decline,B2
dark,A2
announce,B1
arrive,A1
happy,A1
adjust,B2
see,A1
seventeen,A1
table,A1
eye,A1
rest,A2
blond,BEYOND
hair,A1
blue,A1
slight,B2
pretty,A1
figure,B2
bow,C1
pray,B1
seat,B2
clear,B1
pleasant,B1
foreign,A2
accent,B2
take,A1
receive,A2
letter,A1
yesterday,A1
inform,B2
discovery,A2
poor,A1
father,A1
dead,A2
explain,A1
detail,B2
surprising,A2
nature,A2
naturally,B1
eager,C1
difficult,A1
pause,B2
business,A1
relate,B1
story,A1
customer,A1
french,BEYOND
scientific,B1
great,A1
accomplishment,C1
doctor,A1
ago,A1
miss,BEYOND
marry,A2
english,BEYOND
care,A2
affair,B2
silently,BEYOND
disappear,A2
enemy,B1
countryman,BEYOND
power,B2
prison,A2
length,B1
wife,A1
beg,B2
king,A2
queen,A2
court,B1
tiding,BEYOND
vain,BEYOND
courage,B2
suffer,B1
intensely,BEYOND
determine,B1
spare,C1
child,A1
girl,A1
raise,A2
daughter,A1
belief,B1
mother,A1
course,A1
cloud,A2
worry,B1
die,A1
expression,A2
face,B1
deepen,BEYOND
pain,A2
horror,B1
alive,A2
greatly,B2
change,A1
likely,A2
house,B2
old,A1
servant,B1
identify,A2
restore,B2
love,A1
comfort,B2
shiver,BEYOND
run,A2
frame,B1
low,B2
ghost,B1
rub,B2
fair,A2
sea,A1
voyage,BEYOND
land,A2
journey,A1
soon,A1
fixed,B1
tight,B1
grip,C1
arm,C1
fear,B1
hurt,B2
loudly,A2
assistance,B2
wild,A2
looking,BEYOND
woman,A1
red,A1
wonderful,A1
bonnet,BEYOND
lay,B1
brawny,BEYOND
chest,B1
fly,A2
near,A1
wall,A1
yell,C1
inn,BEYOND
fetch,BEYOND
thing,A1
instead,A2
stare,B2
smell,A2
salt,A1
water,B1
vinegar,BEYOND
quick,A1
softly,BEYOND
settle,B2
patient,B2
sofa,A1
tend,B1
skill,A1
gentleness,BEYOND
frighten,B1
death,A2
bewildered,BEYOND
question,A2
distance,A2
strong,A1
nurse,A1
mistress,BEYOND
thank,A1
accompany,B2
feebly,BEYOND
reply,A2
suburb,B2
cask,BEYOND
wine,A1
tumble,BEYOND
cart,BEYOND
lie,B1
narrow,B2
stone,A2
street,A1
shop,A1
shatter,C1
walnut,BEYOND
shell,B1
people,A1
sight,B1
drink,A1
rough,B1
create,A1
pool,A1
scoop,BEYOND
dip,C1
sip,BEYOND
