word,level
imagine,A1
morning,A1
late,A1
come,A1
winter,A1
year,A1
ago,A1
consider,A2
kitchen,A1
spread,B1
old,A1
house,B2
country,A1
town,A1
great,A1
black,A1
stove,BEYOND
main,A1
feature,B1
big,A1
round,B2
table,A1
fireplace,BEYOND
rocking,BEYOND
chair,B2
place,B1
today,A1
commence,C1
seasonal,BEYOND
roar,BEYOND
woman,A1
shorn,BEYOND
white,A1
hair,A1
stand,B2
window,A1
wear,A1
tennis,A1
shoe,A1
shapeless,BEYOND
gray,A1
sweater,A1
summery,BEYOND
calico,BEYOND
dress,A1
small,A1
sprightly,BEYOND
like,B1
bantam,BEYOND
hen,BEYOND
long,A1
youthful,BEYOND
illness,A2
shoulder,A2
pitifully,BEYOND
hunch,BEYOND
face,B1
remarkable,B2
unlike,B1
craggy,BEYOND
tint,BEYOND
sun,A1
wind,B2
delicate,C1
finely,BEYOND
boned,BEYOND
eye,A1
sherry,BEYOND
colored,BEYOND
timid,BEYOND
exclaim,BEYOND
breath,B1
smoke,A2
windowpane,BEYOND
fruitcake,BEYOND
weather,A1
person,A1
speak,A1
seven,A1
cousin,A1
distant,B2
one,A1
live,B1
remember,A1
people,A1
inhabit,BEYOND
relative,B1
power,B2
frequently,B1
cry,B2
aware,B1
good,A2
friend,A1
call,A1
memory,A2
boy,A1
die,A1
child,A1
know,A1
get,A1
bed,A1
say,C1
turn,A1
away,A1
purposeful,BEYOND
excitement,B1
courthouse,BEYOND
bell,B1
sound,C1
cold,A1
clear,B1
bird,A1
singe,BEYOND
go,B1
warm,B1
yes,A1
stop,A1
stuff,B1
biscuit,A2
fetch,BEYOND
buggy,BEYOND
help,A1
find,A1
hat,A1
thirty,A1
cake,A1
bake,B1
arrive,A1
officially,BEYOND
inaugurate,BEYOND
time,B2
exhilarate,BEYOND
imagination,B2
fuel,B1
blaze,BEYOND
heart,A2
straw,BEYOND
cartwheel,BEYOND
corsage,BEYOND
velvet,BEYOND
rose,B2
door,A1
fade,C1
belong,A2
fashionable,B1
guide,A2
dilapidated,BEYOND
baby,A1
carriage,C1
garden,A1
grove,BEYOND
pecan,BEYOND
tree,A1
buy,A1
bear,B2
wicker,BEYOND
unraveled,BEYOND
wheel,A2
wobble,BEYOND
drunkard,BEYOND
leg,A1
faithful,BEYOND
object,B2
springtime,BEYOND
wood,A2
fill,A1
flower,A1
herb,B2
wild,A2
fern,BEYOND
porch,BEYOND
pot,B1
summer,A1
pile,B2
picnic,BEYOND
paraphernalia,BEYOND
sugar,A1
cane,BEYOND
fishing,A2
pole,C1
roll,B1
edge,B1
creek,BEYOND
use,A2
truck,A2
haul,BEYOND
firewood,BEYOND
yard,B1
tough,B2
little,A2
orange,A1
rat,B2
terrier,BEYOND
survive,B1
distemper,BEYOND
rattlesnake,BEYOND
bite,B1
trot,BEYOND
hour,A1
later,A2
hull,BEYOND
heap,BEYOND
load,B2
windfall,BEYOND
back,B2
hurt,B2
gather,B1
hard,A1
crop,B2
have,A2
shake,B1
sell,A1
orchard,BEYOND
owner,A2
conceal,C1
leave,B2
frosted,BEYOND
deceive,BEYOND
grass,A2
caarackle,BEYOND
cheery,BEYOND
crunch,BEYOND
scrap,BEYOND
miniature,BEYOND
thunder,BEYOND
shell,B1
collapse,B2
golden,B2
mound,BEYOND
sweet,A2
oily,BEYOND
ivory,BEYOND
meat,A1
mount,B2
milk,A1
glass,A1
bowl,A2
queenie,BEYOND
beg,B2
taste,A2
sneak,BEYOND
mite,BEYOND
insist,B2
deprive,C1
start,A2
scarcely,BEYOND
grow,A1
dark,A2
dusk,BEYOND
mirror,A2
reflection,C1
mingle,BEYOND
rise,B1
moon,A2
work,A1
fireside,BEYOND
firelight,BEYOND
high,B2
toss,C1
final,A2
fire,B1
join,A1
sigh,C1
watch,A1
catch,B2
flame,B2
brimful,BEYOND
eat,A1
supper,BEYOND
bacon,BEYOND
blackberry,BEYOND
jam,A2
discuss,A1
tomorrow,A1
kind,B1
well,C1
begin,A1
cherry,BEYOND
citron,BEYOND
ginger,BEYOND
vanilla,BEYOND
can,A2
hawaiian,BEYOND
pineapple,A1
rind,BEYOND
raisin,BEYOND
walnut,BEYOND
whiskey,BEYOND
flour,B1
butter,A1
egg,A1
spice,B2
flavoring,BEYOND
need,B1
pony,BEYOND
pull,B1
home,A2
purchase,B2
question,A2
money,A1
skinflint,BEYOND
sum,B2
occasionally,B2
provide,A2
dime,BEYOND
earn,A2
activity,A1
hold,B2
rummage,BEYOND
sale,A2
bucket,BEYOND
handpicked,BEYOND
jar,BEYOND
homemade,BEYOND
apple,A1
jelly,BEYOND
peach,BEYOND
preserve,B2
funeral,C1
wedding,A2
win,B1
seventy,A1
