word,level
moment,A1
joy,B2
reunion,BEYOND
completely,A2
fill,A1
heart,A2
take,A1
care,A2
ill,A2
success,A1
expedition,B1
throw,A2
gloom,BEYOND
pleasure,B1
meet,A1
word,A1
cheer,B2
friend,A1
certainty,B2
find,A1
assurance,C1
restore,B2
hope,A2
board,B1
sorely,BEYOND
try,B2
suspense,BEYOND
stand,B2
poop,BEYOND
wait,A2
arrival,B1
boat,A1
count,B1
number,A2
passenger,A2
alternate,BEYOND
fear,B1
agitate,BEYOND
bosom,BEYOND
poor,A1
fancy,B1
father,A1
give,A1
way,B2
despair,BEYOND
throb,BEYOND
violently,BEYOND
speak,A1
scarcely,BEYOND
arm,C1
round,B2
waist,BEYOND
support,A2
captain,B1
close,B1
encouraging,C1
practiced,BEYOND
eye,A1
see,A1
plainly,BEYOND
come,A1
exclaim,BEYOND
young,B1
girl,A1
near,A1
illusion,B2
dispel,BEYOND
forsake,BEYOND
sink,B1
reassuring,BEYOND
voice,A2
mutual,C1
embrace,B2
inform,B2
principal,C1
incident,B2
especially,A2
new,A1
interpretation,B2
document,B2
sagacity,BEYOND
lordship,BEYOND
eulogistic,BEYOND
term,B2
proud,B1
courage,B2
devotion,BEYOND
danger,A2
run,A2
show,A1
strong,A1
relief,B2
patron,C1
till,B1
modest,B2
boy,A1
know,A1
look,A2
oblige,C1
hide,A2
burn,B2
cheek,B2
sister,A1
need,B1
blush,BEYOND
say,C1
conduct,B2
worthy,C1
lean,B2
press,B1
lip,B1
wet,A2
tear,B2
hardly,B1
share,B1
welcome,A2
regret,B2
shake,B1
hand,B1
brave,B1
generous,B1
soon,A1
slip,B2
away,A1
cabin,B2
begin,A1
shave,BEYOND
coolly,BEYOND
composedly,BEYOND
possible,A1
fly,A2
like,B1
bee,B1
sip,BEYOND
sweet,A2
compliment,BEYOND
smile,A2
want,A1
yacht,BEYOND
wind,B2
steward,BEYOND
acknowledge,B2
polite,A2
attention,A2
announce,B1
breakfast,A1
ready,A1
yes,A1
real,A1
table,A1
cloth,B1
napkin,BEYOND
certainly,A2
shall,A2
hard,A1
egg,A1
fillet,BEYOND
ostrich,BEYOND
aggrieved,BEYOND
tone,B2
hurt,B2
feeling,A1
geographer,BEYOND
month,A1
usual,A2
bill,B2
fare,B2
dine,BEYOND
stretch,B2
length,B1
ground,A2
sit,A1
astride,BEYOND
tree,A1
consequently,B2
meal,A1
dream,A2
fiction,A2
chimera,BEYOND
let,A1
prove,B1
reality,B1
help,A1
laugh,A1
reply,A2
gallant,BEYOND
order,A1
ask,A1
discuss,A1
program,B1
famille,BEYOND
fete,BEYOND
hungry,A1
guest,A2
pronounce,A2
excellent,A2
superior,C1
festivity,BEYOND
twice,A1
dish,A1
absence,C1
mind,A2
unlucky,BEYOND
remind,B1
amiable,BEYOND
propensity,BEYOND
fall,A2
old,A1
habit,A2
exchange,B1
glance,C1
burst,C1
protest,B1
honor,BEYOND
catch,B2
trip,B2
voyage,BEYOND
prelude,BEYOND
amusing,B2
recital,BEYOND
disastrous,C1
mistake,B2
learn,A1
profound,C1
study,A1
add,A1
blow,B2
good,A2
language,A1
instead,A2
think,A1
sincere,B2
busily,BEYOND
engage,B2
knife,A2
fork,A2
lose,A1
single,A2
mouthful,BEYOND
eat,A1
talk,A2
time,B2
plate,A2
little,A2
fact,A1
escape,B1
observation,B2
notice,A2
grow,A1
particularly,B1
attentive,BEYOND
significant,B2
tell,A1
affair,B2
inspire,B2
affectionate,BEYOND
sympathy,B2
lover,BEYOND
apparent,B2
manner,A2
question,A2
sort,B1
well,C1
apprise,BEYOND
double,B1
hang,B1
selfish,BEYOND
fellow,B2
advise,B1
rope,B1
retort,BEYOND
dear,A2
gift,A2
ubiquity,BEYOND
place,B1
scour,BEYOND
pampa,BEYOND
prevent,A2
subject,B2
drop,B1
continue,A2
account,B1
arrive,A1
dead,A2
south,A1
coast,A2
go,B1
far,B1
seventh,BEYOND
degree,A2
southern,B1
latitude,BEYOND
pass,B1
keep,A1
patagonian,BEYOND
shore,B2
encounter,B2
terrible,A1
storm,A2
handle,B2
traveler,BEYOND
roughly,B2
bear,B2
bravely,BEYOND
day,A1
right,A1
sea,A1
signal,B1
gun,A2
hear,A1
anxiously,BEYOND
party,A1
justice,B2
mention,B1
intrepid,BEYOND
bearing,BEYOND
hurricane,B1
possibly,B1
expose,B2
fury,BEYOND
tempest,BEYOND
finish,A2
narrative,B1
turn,A1
homage,BEYOND
noble,C1
quality,A2
glad,B1
unhappy,A2
ship,B2
naively,BEYOND
likely,A2
fond,B2
return,A1
abashed,BEYOND
innocent,B1
avowal,BEYOND
kindle,BEYOND
faint,BEYOND
manage,A2
conversation,A1
safe,A2
topic,A1
doing,BEYOND
duncan,BEYOND
detail,B2
journey,A1
exploit,B2
hero,A2
agreeable,BEYOND
accordingly,C1
hasten,BEYOND
satisfy,B2
curiosity,C1
entire,B2
march,C1
ocean,A2
earthquake,B1
disappearance,BEYOND
capture,B2
condor,BEYOND
providential,BEYOND
shot,B2
episode,B1
red,A1
wolf,BEYOND
lad,C1
inundation,BEYOND
caiman,BEYOND
waterspout,BEYOND
night,A1
excite,BEYOND
laughter,A2
horror,B1
listener,A2
caress,BEYOND
enthusiastic,B2
present,A2
past,A2
future,A2
private,B1
seat,B2
cover,B1
chart,B2
plan,A1
matter,A2
fully,B2
ago,A1
bring,A1
result,B1
reach,B2
conviction,C1
absolute,B2
shipwreck,BEYOND
occur,B1
natural,A1
inference,BEYOND
regard,B2
erroneous,BEYOND
fortunately,A2
happy,A1
inspiration,C1
discover,A2
clearly,A2
wrong,B1
track,B2
explain,A1
doubt,B1
remove,A2
benefit,B1
learned,BEYOND
call,A1
execute,C1
task,A2
convincing,B2
descant,BEYOND
syllable,BEYOND
gonie,BEYOND
extract,C1
point,B1
leave,B2
carry,A1
disabled,B2
current,B1
hypothesis,B2
ingenious,BEYOND
deduction,BEYOND
subtle,C1
difficult,A1
judge,B1
unlikely,B1
lead,B1
flight,A1
imagination,B2
satisfied,B2
conclusion,B1
dissertation,BEYOND
sail,B1
immediately,A2
decisive,C1
minute,C1
hearing,B2
intention,B1
weaken,C1
argument,A2
refute,BEYOND
consider,A2
wise,B2
weighty,BEYOND
deserve,B2
justly,BEYOND
entitled,BEYOND
form,A1
basis,B1
research,A2
submit,B2
final,A2
examination,B2
worth,B1
incontestable,BEYOND
uncontested,BEYOND
answer,A1
simple,A2
appear,A2
plain,B2
western,B1
scene,A2
shadow,B2
true,A1
later,A2
fit,C1
approve,B2
search,A2
unreservedly,BEYOND
deny,B2
mistaken,BEYOND
resume,C1
human,A2
persist,C1
man,A1
fool,B2
stop,A1
mean,A1
prolong,BEYOND
confession,C1
evidently,BEYOND
theater,BEYOND
confess,B2
willingly,BEYOND
case,A2
advice,A1
rely,B2
successive,C1
contradictory,BEYOND
evidence,A2
country,A1
equal,B1
recommence,BEYOND
silently,BEYOND
strike,B2
remark,B2
actually,A2
start,A2
succession,C1
parallel,B2
agree,A1
precise,B2
indication,B2
easily,A2
quickly,A1
numerous,B2
happily,A2
display,B2
english,BEYOND
planisphere,BEYOND
appearance,A2
terrestrial,BEYOND
globe,B2
able,A2
follow,A1
have,A2
cross,A2
cut,B1
island,A1
maintain,B2
relate,B1
examine,B1
unanimously,BEYOND
entirely,B2
group,A1
route,A2
survey,B2
reject,B1
french,BEYOND
apply,A2
touch,B1
continent,A2
strain,C1
text,A2
thing,A1
proof,B2
unanimous,BEYOND
approval,B2
probability,B2
favor,BEYOND
extend,B2
contin,BEYOND
irrefragably,BEYOND
refuge,C1
compare,A1
possibility,A2
investigation,B2
chime,BEYOND
rest,A2
immense,C1
space,A1
large,A1
american,BEYOND
solitary,BEYOND
barren,BEYOND
mark,A2
map,B2
trace,C1
slight,B2
decide,A1
australian,BEYOND
provision,C1
coal,B1
ample,BEYOND
store,B1
replenish,BEYOND
stock,B2
interrupt,B2
likelihood,C1
offer,A2
advisable,BEYOND
lie,B1
ascertain,BEYOND
incredulous,BEYOND
stick,B1
idea,A1
retrace,BEYOND
step,B2
suppose,A2
disappoint,B2
sanguine,BEYOND
precaution,BEYOND
dissuade,BEYOND
contrary,C1
steer,C1
straight,A2
deck,B2
overwhelm,C1
grateful,B1
thank,A1
shortly,B2
eastward,BEYOND
sharp,B1
keel,BEYOND
rapidly,B2
wave,B1
line,B2
equator,BEYOND
separate,B1
correctly,A2
geographical,BEYOND
mile,A1
owe,B2
earth,A2
represent,B1
reckon,B2
distance,A2
clear,B1
east,A1
retard,BEYOND
motion,B2
long,A1
uneasy,BEYOND
score,A2
evening,A1
breeze,BEYOND
sensibly,BEYOND
lull,BEYOND
change,A1
altogether,B2
fair,A2
field,A2
calm,B1
incomparable,BEYOND
sailor,B1
ordinary,A2
life,A1
absent,C1
shade,B2
difference,A1
element,B1
dispose,C1
utmost,BEYOND
tranquil,BEYOND
quarter,A1
spread,B1
canvas,C1
lend,A2
aid,B2
indefatigable,BEYOND
steam,B2
boiler,BEYOND
condition,A2
safely,BEYOND
accomplish,B2
confidence,B2
increase,A2
nearer,BEYOND
port,B1
get,A1
berth,BEYOND
famous,A1
possession,A2
book,A2
occupy,B2
vacate,BEYOND
expect,A2
great,A1
delight,B2
arrange,A2
adorn,BEYOND
reception,A2
love,A1
inmate,C1
closely,B2
shut,A2
work,A1
morning,A1
entitle,C1
sublime,BEYOND
argentine,BEYOND
repeat,B1
elegant,B2
period,A1
aloud,BEYOND
commit,B1
white,A1
page,A1
unfaithful,BEYOND
muse,BEYOND
history,A1
invoke,C1
transport,B1
divine,C1
epic,BEYOND
poetry,B1
secret,A2
chaste,BEYOND
daughter,A1
slope,B2
pay,A2
mythological,BEYOND
visitant,BEYOND
forbear,BEYOND
chinese,BEYOND
grammar,BEYOND
perfectly,B1
smoothly,BEYOND
leisure,B1
watch,A1
attachment,B2
remain,B1
silent,B1
wife,A1
make,B2
rapid,B2
progress,B2
sight,B1
fine,C1
westerly,BEYOND
dispense,BEYOND
screw,C1
water,B1
bird,A1
race,B1
seaweed,BEYOND
pond,C1
choke,BEYOND
debri,BEYOND
plant,A2
neighbor,BEYOND
specially,BEYOND
navigator,BEYOND
glide,BEYOND
prairie,BEYOND
speed,B2
slacken,BEYOND
hour,A1
break,A1
land,A2
ahead,B1
direction,A2
leeward,BEYOND
exciting,A1
cry,B2
speedily,BEYOND
telescope,BEYOND
instrument,A2
indicate,B1
resemble,C1
cloud,A2
peak,C1
indistinctly,BEYOND
memory,A2
serve,A2
eighty,A1
seven,A1
thousand,A1
foot,A1
high,B2
visible,B2
precisely,B2
lofty,BEYOND
crag,BEYOND
horizon,C1
conical,BEYOND
black,A1
bright,A2
sky,A2
ablaze,BEYOND
splendor,BEYOND
rise,B1
sun,A1
rocky,BEYOND
mass,B2
summit,C1
triangle,BEYOND
incline,BEYOND
northeast,BEYOND
situate,BEYOND
longitude,BEYOND
west,A1
meridian,BEYOND
eighteen,A1
southwest,BEYOND
southeast,BEYOND
complete,A1
islet,BEYOND
noon,C1
landmark,C1
recognize,A2
enter,A2
whaling,BEYOND
vessel,C1
quietly,A2
anchor,C1
abound,BEYOND
seal,C1
marine,C1
animal,A1
anchorage,BEYOND
lady,A2
gentleman,B1
row,B1
ashore,BEYOND
beach,A1
sand,B1
impalpable,BEYOND
calcined,BEYOND
rock,C1
capital,A1
consist,B1
village,A1
bay,C1
noisy,A2
stream,B2
contain,A2
house,B2
tolerably,BEYOND
clean,A1
geometrical,BEYOND
regularity,BEYOND
miniature,BEYOND
town,A1
hectare,BEYOND
meadow,BEYOND
bound,B2
embankment,BEYOND
lava,BEYOND
receive,A2
governor,B2
supply,B1
colony,B2
inquire,BEYOND
respect,B1
name,A1
unknown,B2
frequent,B2
wreck,BEYOND
strand,C1
chief,B2
mast,BEYOND
event,A1
comprise,B2
catalogue,C1
maritime,BEYOND
disaster,A2
annal,BEYOND
glean,BEYOND
information,A1
duty,B1
send,A1
circuit,B2
extent,B2
seventeen,A1
interim,C1
walk,A1
population,A2
exceed,B2
inhabitant,B2
marry,A2
negro,BEYOND
palm,B2
ugliness,BEYOND
child,A1
heterogeneous,BEYOND
household,B2
disagreeable,BEYOND
compound,B2
saxon,BEYOND
stiffness,BEYOND
african,BEYOND
blackness,BEYOND
nearly,A2
nightfall,BEYOND
