word,level
triumphant,BEYOND
quote,B1
veni,BEYOND
vidi,BEYOND
vici,BEYOND
come,A1
see,A1
conquer,C1
ancient,A2
rallying,BEYOND
cry,B2
excel,BEYOND
warfare,C1
engineering,B1
government,A2
trio,C1
strength,B1
help,A1
world,A1
power,B2
period,A1
know,A1
unite,B2
roman,BEYOND
rule,B1
volume,B2
provide,A2
lively,B2
overview,BEYOND
history,A1
highlight,B1
literary,B2
architectural,C1
achievement,B1
early,A1
shroud,BEYOND
myth,B2
legend,B2
accord,BEYOND
tradition,A2
city,A1
found,B2
twin,A2
brother,A1
serve,A2
king,A2
mythical,BEYOND
figure,B2
follow,A1
likely,A2
exist,A2
century,A1
improvement,B1
build,A1
temple,B2
public,A2
work,A1
remarkable,B2
sewer,BEYOND
prosper,BEYOND
wealthy,B2
etruscan,BEYOND
universally,BEYOND
appreciate,B1
revolt,BEYOND
tyrannical,BEYOND
expel,BEYOND
make,B2
republic,C1
initially,B2
aristocracy,BEYOND
call,A1
patrician,BEYOND
run,A2
common,A1
people,A1
plebeian,BEYOND
little,A2
long,A1
struggle,B2
declare,B2
leader,A2
consul,BEYOND
include,A1
dictatorship,BEYOND
rise,B1
inclusion,C1
addition,B1
new,A1
assembly,C1
comitia,BEYOND
tributa,BEYOND
sway,BEYOND
body,A1
man,A1
vote,B1
equal,B1
military,B2
neighbor,BEYOND
battle,B1
intimidating,BEYOND
final,A2
defeat,B2
northern,B1
central,B1
ensue,C1
conquest,BEYOND
greek,BEYOND
state,B1
occupy,B2
south,A1
master,B2
skillfully,BEYOND
grant,B2
status,B2
ally,C1
enjoy,A1
self,B2
degree,A2
citizenship,C1
god,A2
target,B2
begin,A1
fight,A2
war,A2
triumph,C1
time,B2
finally,A2
unfortunately,A2
young,B1
ruler,A1
share,B1
sage,BEYOND
police,A1
cause,A2
ruin,B2
country,A1
win,B1
murder,B1
politician,B1
trigger,C1
political,B1
strife,BEYOND
civil,B2
emerge,B2
great,A1
powerful,B1
senator,C1
assassinate,BEYOND
soldier,A2
adopt,B2
son,A1
potent,BEYOND
right,A1
present,A2
historian,B2
agree,A1
commence,C1
year,A1
relative,B1
peace,A2
prosperity,C1
free,B2
consider,A2
citizen,B2
law,A2
apply,A2
court,B1
slowly,A2
spread,B1
official,B1
faith,B2
end,A1
line,B2
emperor,BEYOND
bring,A1
height,A2
fortify,BEYOND
frontier,BEYOND
wall,A1
stand,B2
part,A1
death,A2
succession,C1
short,A1
live,B1
transfer,B2
capital,A1
east,A1
irreparably,BEYOND
divide,B1
barbarian,BEYOND
uprising,BEYOND
topple,BEYOND
far,B1
imperial,BEYOND
superiority,BEYOND
trade,B1
big,A1
feature,B1
theater,BEYOND
huge,A2
arena,C1
bath,A1
boast,C1
impressive,B1
road,A1
system,A2
bridge,A2
latin,BEYOND
language,A1
laud,BEYOND
beauty,B1
type,B1
literature,B1
author,A2
study,A1
today,A1
fascinating,B1
art,A1
offer,A2
intriguing,C1
look,A2
accomplishment,C1
layer,B1
fertile,BEYOND
culture,A1
reach,B2
glory,C1
west,A1
genius,B2
lie,B1
science,A1
philosophy,B2
good,A2
gradually,B2
set,B1
plan,A1
enslave,BEYOND
reign,C1
unify,C1
halfway,C1
italian,BEYOND
peninsula,BEYOND
coast,A2
small,A1
river,A1
coastal,C1
plain,B2
shepherd,BEYOND
farmer,A1
hill,A2
distant,B2
kinsman,BEYOND
move,B1
vanquish,BEYOND
original,B1
inhabitant,B2
probably,A1
turn,A1
desert,B2
left,A1
bank,B1
seven,A1
low,B2
point,B1
shallow,B2
easy,A1
cross,A2
merchant,C1
village,A1
north,A1
settlement,C1
later,A2
town,A1
join,A1
keep,A1
write,A1
record,A2
mix,B1
fable,BEYOND
difficulty,B1
distinguish,B2
truth,B1
fiction,A2
continuous,B1
event,A1
depict,C1
complete,A1
inaccurate,BEYOND
information,A1
old,A1
date,B2
late,A1
actual,B2
founding,BEYOND
person,A1
evidence,A2
say,C1
actually,A2
succeed,A2
describe,A1
wise,B2
pious,BEYOND
suppose,A2
adding,BEYOND
month,A1
calendar,BEYOND
successor,C1
religious,B1
center,BEYOND
kill,A2
lightning,BEYOND
meddle,BEYOND
weather,A1
number,A2
troublesome,BEYOND
seaport,BEYOND
mouth,A1
legendary,C1
founder,B2
daughter,A1
force,B1
vestal,BEYOND
virgin,BEYOND
uncle,A1
depose,BEYOND
give,A1
birth,A2
imprison,C1
order,A1
servant,B1
cast,B2
infant,C1
adrift,BEYOND
flood,B1
high,B2
water,B1
safely,BEYOND
carry,A1
basket,B2
riverbank,BEYOND
deposit,C1
fig,BEYOND
tree,A1
wolf,BEYOND
woodpecker,BEYOND
animal,A1
sacred,C1
find,A1
boy,A1
nurse,A1
feed,B2
care,A2
herdsman,BEYOND
wife,A1
rear,C1
rescue,B2
go,B1
grow,A1
manhood,BEYOND
restore,B2
determine,B1
select,B2
site,A2
insist,B2
quarrel,BEYOND
hasten,BEYOND
growth,B1
refuge,C1
outcast,BEYOND
fugitive,BEYOND
woman,A1
persuade,B1
lure,BEYOND
festival,A1
kidnap,C1
avert,BEYOND
stay,A2
miraculously,BEYOND
take,A1
dwell,BEYOND
father,A1
worship,C1
shortly,B2
prince,B1
slightly,B1
reliable,B1
proud,B1
drain,C1
marsh,BEYOND
improve,A1
commercial,B1
second,A2
treaty,C1
acknowledge,B2
head,B1
enlarge,BEYOND
tyrant,BEYOND
use,A2
importance,B1
construct,B2
notable,C1
large,A1
rich,A1
spite,B2
progress,B2
development,B1
resent,BEYOND
lead,B1
rebellion,C1
soon,A1
afterward,BEYOND
drive,A2
rest,A2
title,B2
hateful,BEYOND
despotic,BEYOND
day,A1
dare,B2
career,A1
constant,B2
destine,BEYOND
western,B1
tiny,B1
like,B1
flourish,C1
area,A1
square,A2
mile,A1
kilometer,BEYOND
population,A2
hand,B1
aristocratic,BEYOND
descendant,BEYOND
tribe,B2
pleb,BEYOND
govern,B2
bit,A2
tear,B2
barrier,B2
separate,B1
internal,B2
largely,B2
story,A1
wrest,BEYOND
reform,C1
magistrate,C1
elect,B2
choose,A1
centuriata,BEYOND
division,B2
apportion,BEYOND
way,B2
count,B1
numerous,B2
important,A1
consist,B1
shut,A2
office,A1
grievously,BEYOND
oppress,BEYOND
fellow,B2
true,A1
protect,A2
bad,A1
danger,A2
arbitrary,C1
lex,BEYOND
valerian,BEYOND
pass,B1
life,A1
stake,C1
appeal,B2
suffer,B1
unjust,BEYOND
debt,B2
unfair,B1
distribution,B2
territory,B2
wrong,B1
general,A2
strike,B2
march,C1
threaten,B2
terrify,B2
cancel,B2
release,B1
prison,A2
furthermore,B2
represent,B1
tribune,BEYOND
veto,BEYOND
act,B1
beginning,A1
gain,B2
recognition,B2
concilium,BEYOND
plebis,BEYOND
appointment,B1
commission,B2
decemvirs,BEYOND
writing,A1
engrave,BEYOND
bronze,BEYOND
tablet,A2
place,B1
marry,A2
election,B1
chief,B2
establish,B2
relieve,B2
burden,C1
administration,B2
quaestor,BEYOND
treasurer,BEYOND
censor,BEYOND
list,A1
assess,B2
taxis,BEYOND
supervise,C1
moral,B2
praetor,BEYOND
judge,B1
decide,A1
admit,B1
extraordinary,B2
magistracy,BEYOND
supreme,C1
critical,B2
admission,C1
vacancy,BEYOND
fill,A1
republican,BEYOND
distinguished,BEYOND
member,A1
appoint,C1
executive,B2
bind,C1
submit,B2
measure,B1
theory,B1
purely,B2
advisory,BEYOND
advice,A1
certain,A2
accept,A2
challenge,B1
prepare,A1
arm,C1
mark,A2
gradual,BEYOND
develop,A2
continue,A2
meet,A1
allow,A2
participate,B1
passage,B2
economic,B1
poor,A1
landowner,BEYOND
increase,A2
estate,B2
land,A2
herd,BEYOND
monopolize,BEYOND
pasture,BEYOND
practice,A1
lend,A2
money,A1
ruinous,BEYOND
interest,A1
proprietor,BEYOND
reduce,A2
slavery,C1
pay,A2
fast,A1
soil,B1
primitive,BEYOND
farming,A2
method,A2
fall,A2
