word,level
sting,BEYOND
feel,B2
touch,B1
hot,A1
pan,B1
welcome,A2
relief,B2
cold,A1
drink,A1
warm,B1
day,A1
comfort,B2
heater,BEYOND
thaw,BEYOND
frozen,B1
limb,C1
sensation,C1
familiar,B1
hotness,BEYOND
coldness,BEYOND
texture,C1
number,A2
everyday,A2
experience,B1
throw,A2
term,B2
heat,A2
temperature,A2
casually,BEYOND
conversation,A1
describe,A1
perceive,B2
situation,A1
physics,A2
show,A1
interchangeable,BEYOND
discover,A2
page,A1
begin,A1
atomic,BEYOND
level,B1
matter,A2
understand,A1
relate,B1
concept,B2
thermal,BEYOND
energy,A2
relationship,A2
physic,BEYOND
refer,A2
transfer,B2
object,B2
course,A1
come,A1
fact,A1
start,A2
atom,BEYOND
molecule,BEYOND
compose,B2
particle,BEYOND
constantly,B2
move,B1
generate,B2
motion,B2
call,A1
kinetic,BEYOND
total,C1
equal,B1
store,B1
result,B1
illustrate,B2
let,A1
consider,A2
pot,B1
soup,A1
cup,A1
ladle,BEYOND
great,A1
create,A1
represent,B1
average,B1
speed,B2
fast,A1
high,B2
unlike,B1
depend,A2
quantity,A2
substance,B1
case,A2
give,A1
differ,B2
size,A2
instance,B2
decrease,B2
increase,A2
continue,A2
time,B2
cause,A2
change,A1
absorb,B2
rearrange,BEYOND
phase,B2
example,A1
water,B1
vapor,BEYOND
measure,B1
scale,B2
name,A1
respectively,C1
commonly,B2
know,A1
frequently,B1
instrument,A2
thermometer,BEYOND
physical,A2
chemical,B1
reaction,B1
device,A2
calorimeter,BEYOND
science,A1
source,A2
process,B2
occur,B1
different,A1
method,A2
conduction,BEYOND
adjacent,C1
part,A1
body,A1
direct,B1
contact,B1
convection,BEYOND
movement,A2
fluid,C1
air,A1
contrast,B1
radiation,B2
require,B1
medium,B1
carry,A1
emit,BEYOND
radiate,BEYOND
heated,BEYOND
surface,B1
travel,A1
usually,A1
involve,A2
combination,B2
form,A1
work,A1
basis,B1
thermodynamic,BEYOND
basic,B1
law,A2
nature,A2
hold,B2
true,A1
biological,B2
system,A2
understanding,A2
universe,B2
inform,B2
think,A1
incidentally,BEYOND
critical,B2
life,A1
ability,A2
tackle,C1
issue,B1
area,A1
climate,A2
biology,A2
technology,A2
rest,A2
application,B1
fundamental,B2
encounter,B2
book,A2
early,A1
childhood,B1
hardly,B1
steam,B2
bowl,A2
active,A2
radiator,BEYOND
sauna,BEYOND
chocolate,A1
bar,B2
room,A1
ice,A1
cube,BEYOND
speech,A2
common,A1
people,A1
use,A2
word,A1
mean,A1
type,B1
specifically,B1
thing,A1
difference,A1
bring,A1
flow,B1
cool,B1
person,A1
unwrap,BEYOND
hand,B1
transmit,B2
eventually,B1
melt,B2
incorrect,B2
speak,A1
restrict,B2
difficult,A1
well,C1
helpful,A2
actually,A2
make,B2
concern,B2
microscopic,BEYOND
explain,A1
theory,B1
woman,A1
low,B2
solid,B1
liquid,B1
gas,A2
tiny,B1
vibrate,BEYOND
rotate,C1
randomly,BEYOND
direction,A2
measurement,B2
microwave,BEYOND
raise,A2
overall,B2
slowly,A2
intensity,C1
chip,A2
brick,B2
diagram,B1
electron,BEYOND
orbit,BEYOND
nucleus,BEYOND
invisible,C1
human,A2
eye,A1
possess,B2
likewise,B2
iceberg,BEYOND
far,B1
pipe,B1
large,A1
sum,B2
antarctic,BEYOND
deal,B1
combine,B1
potential,B2
small,A1
piping,BEYOND
potentially,B2
poker,BEYOND
plunge,C1
gain,B2
slow,B1
lose,A1
exchange,B1
balance,B1
equilibrium,BEYOND
metal,A2
spoon,A2
tea,A1
determine,B1
expansion,B2
contraction,BEYOND
nearly,A2
volume,B2
spread,B1
pressure,B1
weight,A2
remain,B1
proportion,B2
expand,B1
degree,A2
rod,C1
unit,A2
length,B1
long,A1
general,A2
behave,A2
like,B1
slightly,B1
reverse,C1
drop,B1
contract,B2
naturally,B1
spontaneously,BEYOND
film,A2
glass,A1
float,B2
immediately,A2
obvious,B1
run,A2
backward,BEYOND
effect,A2
state,B1
transform,B2
directly,B1
sublimation,BEYOND
boil,A2
overcome,B2
force,B1
material,B2
bind,C1
tightly,BEYOND
place,B1
countertop,BEYOND
surround,B2
instead,A2
rise,B1
release,B1
latent,BEYOND
sensible,B1
stove,BEYOND
undergo,B2
express,A2
arbitrary,C1
fahrenheit,BEYOND
kelvin,BEYOND
exactly,A2
necessary,A2
design,A1
construct,B2
base,B1
fix,B2
point,B1
absolute,B2
natural,A1
event,A1
select,B2
freezing,BEYOND
boiling,BEYOND
reproduce,C1
easily,A2
indicate,B1
arbitrarily,BEYOND
assign,B2
finally,A2
interval,B2
divide,B1
zero,A2
mark,A2
negative,B2
freeze,B1
country,A1
devise,C1
century,A1
german,BEYOND
physicist,BEYOND
widely,B2
scientific,B1
world,A1
metric,BEYOND
adopt,B2
invent,A2
swedish,BEYOND
astronomer,BEYOND
centigrade,BEYOND
correspond,C1
formula,C1
simply,B1
theoretically,BEYOND
possible,A1
set,B1
value,B1
british,BEYOND
international,A2
standard,B1
essentially,B2
shift,B1
symbol,A2
later,A2
certain,A2
engineering,B1
field,A2
convert,B2
conversion,C1
factor,A2
follow,A1
celsius,BEYOND
invention,A2
generally,B1
credit,B2
italian,BEYOND
mathematician,BEYOND
build,A1
inverted,BEYOND
vessel,C1
produce,B2
turn,A1
inside,A2
open,A1
mouthed,BEYOND
neck,A2
minimum,B2
stop,A1
extremely,A2
completely,A2
minimal,C1
able,A2
reach,B2
maintain,B2
cryostat,BEYOND
satellite,B2
function,B1
exist,A2
reality,B1
approach,B2
closely,B2
scientist,A1
billionth,BEYOND
electric,A2
magnetic,C1
property,B1
behavior,BEYOND
extent,B2
strange,A2
compare,A1
resistance,C1
whatsoever,C1
electricity,A2
helium,BEYOND
hole,A2
impervious,BEYOND
alteration,BEYOND
component,B2
simple,A2
inexpensive,BEYOND
last,A2
wide,A2
span,C1
mercury,BEYOND
seal,C1
tube,B1
nitrogen,BEYOND
noticeable,BEYOND
fall,A2
marking,BEYOND
outside,A2
accord,BEYOND
electronic,A2
digital,A2
operate,B2
principle,B2
electrical,A2
platinum,BEYOND
vary,B2
wire,B2
voltage,BEYOND
apply,A2
current,B1
indication,B2
computer,A1
calculate,B2
display,B2
screen,B2
replica,BEYOND
thermocouple,BEYOND
industrial,B2
join,A1
end,A1
connect,A2
keep,A1
constant,B2
translate,B1
include,A1
reason,A1
amount,B2
calorie,BEYOND
joule,BEYOND
equipment,A2
laboratory,B1
take,A1
scottish,BEYOND
notice,A2
masse,BEYOND
need,B1
gram,BEYOND
observation,B2
found,B2
specific,A2
mass,B2
specify,B2
define,B1
nutrition,B2
food,A1
kilocalorie,BEYOND
english,BEYOND
pound,A1
content,C1
fuel,B1
surrounding,B2
positive,B2
exothermic,BEYOND
endothermic,BEYOND
basically,B2
consist,B1
fill,A1
chemist,BEYOND
contribution,B2
study,A1
develop,A2
melting,BEYOND
addition,B1
important,A1
distinction,C1
chemistry,A2
bicarbonate,BEYOND
soda,BEYOND
experiment,B1
identify,A2
carbon,B2
dioxide,BEYOND
previously,B1
atmospheric,BEYOND
purity,BEYOND
live,B1
context,A2
remarkable,B2
flourishing,BEYOND
intellectual,C1
second,A2
half,A2
count,B1
friend,A1
philosopher,C1
economist,B2
geologist,BEYOND
befriend,BEYOND
inventor,BEYOND
employ,A2
maker,BEYOND
university,A1
improvement,B1
engine,A2
double,B1
cylinder,BEYOND
recognize,A2
phenomenon,B2
visit,A1
workshop,B2
die,A1
celebrated,BEYOND
death,A2
find,A1
servant,B1
milk,A1
knee,A2
have,A2
spill,B2
comment,B1
reflect,B1
perfection,BEYOND
experimental,C1
procedure,B2
test,A1
burn,B2
sensitive,B2
building,A1
kettle,BEYOND
condition,A2
thunderstorm,BEYOND
neighbor,BEYOND
successively,BEYOND
burner,BEYOND
pass,B1
distance,A2
flame,B2
proportional,BEYOND
left,A1
descend,C1
home,A2
heating,B1
lamp,A2
right,A1
radiant,BEYOND
account,B1
pour,B1
vigorously,BEYOND
likely,A2
collide,BEYOND
collision,C1
knock,B1
bump,BEYOND
way,B2
line,B2
rapidly,B2
quickly,A1
fairly,B1
rapid,B2
density,C1
accompany,B2
rate,B2
relatively,B2
affect,A2
shape,B2
short,A1
thin,A2
thick,A2
halfway,C1
entire,B2
structure,B2
conductor,BEYOND
especially,A2
good,A2
wooden,A2
tomato,A1
sauce,A2
handle,B2
poor,A1
conductivity,BEYOND
conduct,B2
buoyant,BEYOND
compacted,BEYOND
play,A1
role,A2
push,B1
energetic,BEYOND
dense,C1
aside,B2
sink,B1
repeat,B1
circulation,C1
ceiling,B1
fan,A2
furnace,BEYOND
mechanical,B2
carrier,BEYOND
outward,BEYOND
solar,B2
electromagnetic,BEYOND
light,A2
wave,B1
space,A1
strike,B2
ground,A2
halogen,BEYOND
furthermore,B2
receive,A2
go,B1
continuously,BEYOND
fourth,A1
power,B2
enormously,BEYOND
effective,B1
graphite,BEYOND
emitter,BEYOND
absorber,BEYOND
blacken,BEYOND
excellent,A2
silver,A2
branch,B1
key,B1
definite,B1
order,A1
sense,B2
distinct,B2
sample,B1
movable,BEYOND
piston,BEYOND
marathon,B2
runner,A2
planet,A2
black,A1
free,B2
separate,B1
isolated,B2
closed,A2
internal,B2
consequence,B1
assert,C1
plus,B1
conserve,C1
stay,A2
conservation,B2
destroy,A2
demonstrate,B2
add,A1
enable,B2
provide,A2
kind,B1
