word,level
wild,A2
sound,C1
ancient,A2
predator,C1
echo,C1
large,A1
barn,BEYOND
young,B1
bunny,BEYOND
name,A1
appear,A2
makeshift,BEYOND
stage,B2
try,B2
find,A1
way,B2
papier,BEYOND
mâché,BEYOND
cardboard,BEYOND
jungle,BEYOND
voice,A2
ring,B1
loud,A2
clear,B1
fear,B1
treachery,BEYOND
bloodlust,BEYOND
thousand,A1
year,A1
ago,A1
force,B1
rule,B1
world,A1
prey,C1
scare,B2
uncontrollable,BEYOND
desire,B2
maim,BEYOND
maul,BEYOND
suddenly,A2
jaguar,BEYOND
leap,C1
shadow,B2
blood,A2
scream,B2
crumple,BEYOND
attack,A2
death,A2
long,A1
draw,A1
moment,A1
terrible,A1
silence,B2
sit,A1
face,B1
confused,B1
audience,A2
smile,A2
continue,A2
monologue,BEYOND
banner,C1
read,A1
hang,B1
stun,C1
crowd,A2
divide,B1
vicious,C1
meek,BEYOND
box,A1
drop,B1
ceiling,B1
label,B1
crayon,A1
land,A2
second,A2
settle,B2
shoulder,A2
head,B1
arm,C1
leg,A1
stick,B1
time,B2
evolve,B2
move,B1
primitive,BEYOND
savage,BEYOND
sheep,A1
wear,A1
white,A1
robe,BEYOND
rainbow,BEYOND
improvisational,BEYOND
dance,A1
burst,C1
live,B1
harmony,C1
reveal,B2
friendly,A1
youngster,C1
shake,B1
hand,B1
sprinkle,BEYOND
glitter,BEYOND
mammal,BEYOND
multitudinous,BEYOND
opportunity,A2
say,C1
yeah,A1
cower,BEYOND
herd,BEYOND
anymore,BEYOND
rip,C1
homemade,BEYOND
astronaut,BEYOND
costume,B1
instead,A2
grow,A1
lonely,B1
hunter,BEYOND
show,A1
business,A1
suit,B1
today,A1
hunt,B1
tax,B1
exemption,BEYOND
go,B1
actuary,BEYOND
blindly,BEYOND
serve,A2
almighty,BEYOND
carrot,A1
well,C1
place,B1
save,A2
life,A1
defend,B2
defenseless,BEYOND
stand,B2
blue,A1
uniform,A2
police,A1
officer,A2
nasty,B2
fox,BEYOND
kid,A2
snicker,BEYOND
friend,A1
cop,C1
stupid,A2
thing,A1
hear,A1
onstage,BEYOND
remark,B2
impossible,A2
small,A1
mind,A2
point,B1
look,A2
snap,C1
finger,A2
backdrop,C1
bright,A2
city,A1
skyline,BEYOND
unroll,BEYOND
mile,A1
away,A1
great,A1
ancestor,B2
join,A1
peace,A2
declare,B2
thank,A1
good,A2
night,A1
proudly,BEYOND
bow,C1
give,A1
performance,B1
dutiful,BEYOND
applause,BEYOND
come,A1
include,A1
parent,A1
later,A2
