word,level
baseball,A2
long,A1
consider,A2
american,BEYOND
national,B2
pastime,BEYOND
football,A1
watch,A1
televise,BEYOND
sport,A1
country,A1
basketball,A2
conceive,C1
entirely,B2
physical,A2
education,A2
instructor,A2
truly,B2
institution,B2
casual,B2
game,A1
gym,A1
international,A2
olympic,BEYOND
level,B1
competition,A2
shoot,C1
hoop,BEYOND
come,A1
occupy,B2
unique,B2
place,B1
cultural,B1
landscape,B2
volume,B2
examine,B1
history,A1
love,A1
form,A1
recreation,BEYOND
introduce,A1
change,A1
professional,B2
player,A1
ability,A2
elevate,C1
artistry,BEYOND
glance,C1
complicated,B2
suggest,A2
key,B1
component,B2
ball,A1
basket,B2
throw,A2
order,A1
score,A2
point,B1
actual,B2
peach,BEYOND
early,A1
later,A2
replace,A2
open,A1
use,A2
today,A1
number,A2
element,B1
add,A1
certain,A2
drama,A2
short,A1
time,B2
gain,B2
possession,A2
team,A1
attempt,B2
sink,B1
shot,B2
opposing,BEYOND
defend,B2
offensive,B2
defensive,C1
strategy,A2
employ,A2
course,A1
press,B1
example,A1
force,B1
opposition,B2
hurry,B1
movement,A2
commit,B1
error,A2
result,B1
turnover,C1
originally,B1
design,A1
indoor,B1
student,A1
play,A1
winter,A1
evolve,B2
respect,B1
enjoy,A1
athlete,A2
indoors,B1
appeal,B2
escalate,C1
dramatically,B2
credit,B2
compete,A2
league,B2
year,A1
eventually,B1
emerge,B2
primary,B1
male,A2
transform,B2
increase,A2
visibility,BEYOND
popularity,B2
home,A2
abroad,A2
sell,A1
arena,C1
attract,B1
new,A1
generation,B1
fan,A2
quickly,A1
traction,BEYOND
introduction,A2
matter,A2
woman,A1
take,A1
court,B1
soon,A1
man,A1
retain,B2
nearly,A2
like,B1
undergo,B2
modification,C1
establishment,C1
female,A2
cement,BEYOND
presence,B2
television,A1
accessible,C1
wide,A2
audience,A2
similarly,B1
adopt,B2
help,A1
global,B1
phenomenon,B2
set,B1
gymnasium,BEYOND
way,B2
demand,B2
great,A1
sum,B2
part,A1
individual,A2
critical,B2
advance,B2
move,B1
dynamic,C1
hardly,B1
mention,B1
recall,B2
acrobatic,BEYOND
aptly,BEYOND
know,A1
icon,B2
owe,B2
precede,B2
continue,A2
legacy,C1
innovation,B2
exciting,A1
fashion,A2
humble,C1
beginning,A1
school,A1
endure,C1
immensely,BEYOND
invention,A2
original,B1
character,A2
stand,B2
testament,BEYOND
imagination,B2
teacher,A1
dedication,C1
remarkable,B2
reinvent,BEYOND
idea,A1
skill,A1
call,A1
boxball,BEYOND
training,A2
ask,A1
janitor,BEYOND
hang,B1
couple,A2
box,A1
balcony,BEYOND
experimental,C1
unable,B1
find,A1
elevated,BEYOND
goal,A2
nail,B1
half,A2
bushel,BEYOND
hope,A2
cure,B2
doldrum,BEYOND
grow,A1
bored,A1
routine,B2
gymnastic,BEYOND
calisthenic,BEYOND
experiment,B1
version,B1
rugby,B1
lacrosse,BEYOND
prove,B1
violent,B1
strike,B2
upright,BEYOND
minimize,C1
distance,A2
scoring,BEYOND
internationally,BEYOND
popular,A1
bear,B2
creator,C1
soccer,A2
range,B1
rule,B1
vary,B2
irregularly,BEYOND
shape,B2
attach,B1
allow,A2
swat,BEYOND
decade,B1
familiar,B1
equipment,A2
modern,A1
establish,B2
modify,B2
enhance,B2
excitement,B1
dimension,C1
floor,A1
foot,A1
meter,BEYOND
college,A1
high,B2
small,A1
include,A1
line,B2
divide,B1
midpoint,BEYOND
center,BEYOND
circle,A2
marking,BEYOND
free,B2
lane,B2
inch,B2
end,A1
