word,level
funny,A1
sight,B1
brood,BEYOND
duckling,BEYOND
hen,BEYOND
listen,A1
story,A1
annoy,B1
farmer,A1
wife,A1
let,A1
hatch,BEYOND
egg,A1
sister,A1
law,A2
perfectly,B1
willing,B2
leave,B2
hatching,BEYOND
patience,B2
sit,A1
nest,C1
day,A1
cold,A1
know,A1
wish,A2
quack,BEYOND
try,B2
hide,A2
find,A1
carry,A1
desperate,B2
determine,B1
right,A1
away,A1
farm,A2
set,B1
fine,C1
spring,B1
afternoon,A1
cart,BEYOND
road,A1
lead,B1
hill,A2
wear,A1
shawl,BEYOND
poke,BEYOND
bonnet,BEYOND
reach,B2
see,A1
wood,A2
distance,A2
think,A1
look,A2
safe,A2
quiet,A1
spot,B1
habit,A2
flying,A2
run,A2
downhill,BEYOND
yard,B1
flap,BEYOND
jump,A2
air,A1
fly,A2
beautifully,BEYOND
get,A1
good,A2
start,A2
skim,BEYOND
tree,A1
top,C1
open,A1
place,B1
middle,A2
brushwood,BEYOND
clear,B1
alight,BEYOND
heavily,B1
begin,A1
waddle,BEYOND
search,A2
convenient,B1
dry,A2
nesting,BEYOND
fancy,B1
stump,BEYOND
tall,A1
fox,BEYOND
glove,B1
seat,B2
startled,BEYOND
elegantly,BEYOND
dress,A1
gentleman,B1
read,A1
newspaper,A1
black,A1
prick,BEYOND
ear,A1
sandy,BEYOND
coloured,B1
whisker,BEYOND
say,C1
head,B1
raise,A2
eye,A1
curiously,BEYOND
lose,A1
way,B2
long,A1
bushy,BEYOND
tail,B1
somewhat,B2
damp,BEYOND
mighty,BEYOND
civil,B2
handsome,BEYOND
explain,A1
fold,B1
coat,A1
pocket,A2
complain,A2
superfluous,BEYOND
interesting,A1
meet,A1
fowl,BEYOND
teach,A1
mind,A2
business,A1
difficulty,B1
sackful,BEYOND
feather,B2
shed,C1
dear,A2
madam,BEYOND
like,B1
tailed,BEYOND
retired,B1
dismal,BEYOND
looking,BEYOND
house,B2
build,A1
fagot,BEYOND
turf,BEYOND
broken,A2
pail,BEYOND
chimney,BEYOND
summer,A1
residence,C1
earth,A2
winter,A1
hospitable,BEYOND
tumble,BEYOND
old,A1
soap,A2
box,A1
door,A1
show,A1
suffocating,BEYOND
comfortable,A2
soft,A2
surprised,A2
vast,B2
quantity,A2
trouble,B2
come,A1
whiskered,BEYOND
log,C1
spread,B1
polite,A2
sorry,A1
home,A2
night,A1
promise,A2
great,A1
care,A2
love,A1
proud,B1
nestful,BEYOND
lay,B1
greeny,BEYOND
white,A1
large,A1
foxy,BEYOND
admire,B1
immensely,BEYOND
turn,A1
count,B1
tell,A1
intend,B1
bring,A1
bag,A1
corn,BEYOND
need,B1
catch,B2
conscientious,BEYOND
beg,B2
provide,A2
oat,BEYOND
commence,C1
tedious,BEYOND
sitting,BEYOND
treat,B1
dinner,A1
party,A1
ask,A1
herb,B2
garden,A1
savoury,BEYOND
omelette,BEYOND
sage,BEYOND
thyme,BEYOND
mint,BEYOND
onion,A1
parsley,BEYOND
lard,BEYOND
stuff,B1
simpleton,BEYOND
mention,B1
suspicious,C1
go,B1
round,B2
nibble,BEYOND
snippet,BEYOND
different,A1
sort,B1
roast,BEYOND
duck,A1
kitchen,A1
basket,B2
collie,BEYOND
dog,A1
awe,BEYOND
wise,B2
grin,C1
describe,A1
question,A2
exact,A2
position,B2
trot,BEYOND
village,A1
hound,BEYOND
puppy,BEYOND
walk,A1
butcher,BEYOND
time,B2
sunny,BEYOND
burden,C1
bunche,BEYOND
opposite,A1
sniff,BEYOND
keep,A1
glance,C1
uneasily,BEYOND
soon,A1
sharp,B1
abrupt,BEYOND
hear,A1
speak,A1
feel,B2
uncomfortable,B1
inside,A2
patter,BEYOND
foot,A1
nose,A1
lock,A2
alarmed,BEYOND
moment,A1
awful,A2
noise,A2
barking,BEYOND
baying,BEYOND
growl,BEYOND
howl,BEYOND
squeal,BEYOND
groan,BEYOND
presently,C1
unfortunately,A2
rush,B2
gobble,BEYOND
stop,A1
bite,B1
limp,BEYOND
escort,BEYOND
tear,B2
account,B1
permit,B2
nerve,B2
bad,A1
sitter,BEYOND
cat,A1
call,A1
anxious,B2
parent,A1
kitten,BEYOND
continually,C1
mischief,BEYOND
baking,BEYOND
shut,A2
cupboard,A2
mew,BEYOND
pantry,BEYOND
staircase,BEYOND
spare,C1
bedroom,A1
cover,B1
dust,B1
sheet,A2
upstairs,A2
attic,BEYOND
passage,B2
wall,A1
thick,A2
queer,BEYOND
little,A2
secret,A2
certainly,A2
odd,B1
