word,level
snow,A1
mile,A1
reach,B2
horizon,C1
degree,A2
far,B1
way,B2
landmark,C1
help,A1
go,B1
sun,A1
need,B1
extra,B1
eye,A1
protection,B2
avoid,A2
blindness,BEYOND
trouble,B2
blizzard,BEYOND
blow,B2
warning,B1
hungry,A1
choice,A2
food,A1
hunter,BEYOND
lucky,A2
meat,A1
little,A2
vegetable,A1
people,A1
consider,A2
plus,B1
pretty,A1
mercy,C1
family,A1
tailor,BEYOND
clothe,BEYOND
recommend,A2
alternative,B1
outfit,B2
imagine,A1
like,B1
live,B1
visual,B2
example,A1
look,A2
film,A2
set,B1
give,A1
great,A1
sense,B2
challenge,B1
life,A1
idea,A1
belief,B1
practice,A1
area,A1
aboriginal,BEYOND
authentic,C1
story,A1
find,A1
director,A2
actor,A1
crew,B2
offer,A2
wealth,B2
information,A1
material,B2
social,A2
culture,A1
clear,B1
choose,A1
stay,A2
brutal,C1
terrifyingly,BEYOND
gorgeous,B2
region,A2
movie,A1
poetic,BEYOND
book,A2
answer,A1
question,A2
examine,B1
history,A1
economic,B1
strategy,A2
north,A1
american,BEYOND
coastal,C1
arctic,BEYOND
climatic,BEYOND
limit,B1
agriculture,B2
draw,A1
subsistence,BEYOND
hunting,B2
trapping,BEYOND
fishing,A2
herd,BEYOND
change,A1
climate,A2
simple,A2
latitude,BEYOND
determine,B1
effective,B1
boundary,C1
circumpolar,BEYOND
gradient,BEYOND
counterpart,C1
major,A2
environmental,B1
transition,B2
important,A1
tree,A1
line,B2
mark,A2
northern,B1
margin,B2
coniferous,BEYOND
forest,A2
taiga,BEYOND
coast,A2
land,A2
consist,B1
open,A1
tundra,BEYOND
high,B2
altitude,BEYOND
pocket,A2
lie,B1
enclose,BEYOND
zone,BEYOND
southern,B1
environment,A2
commonly,B2
think,A1
barren,BEYOND
inhospitable,BEYOND
habitable,BEYOND
virtue,C1
extreme,B2
physical,A2
endurance,BEYOND
technical,B1
virtuosity,BEYOND
dwell,BEYOND
doubt,B1
possess,B2
quality,A2
view,B1
rest,A2
misconception,BEYOND
image,A2
remote,B1
wilderness,BEYOND
conquer,C1
struggle,B2
survival,B2
belong,A2
language,A1
alien,C1
explorer,BEYOND
native,B1
indigenous,C1
hostile,C1
forbidding,BEYOND
familiar,B1
generous,B1
gift,A2
