word,level
live,B1
house,B2
die,A1
noticeable,BEYOND
member,A1
avoid,A2
attract,B1
attention,A2
enigmatical,BEYOND
personage,BEYOND
little,A2
know,A1
polished,BEYOND
man,A1
world,A1
people,A1
say,C1
resemble,C1
head,B1
byronic,BEYOND
bearded,BEYOND
tranquil,BEYOND
thousand,A1
year,A1
grow,A1
old,A1
certainly,A2
doubtful,BEYOND
see,A1
counting,BEYOND
room,A1
city,A1
ship,B2
come,A1
dock,BEYOND
owner,A2
public,A2
employment,B1
enter,A2
voice,A2
resound,BEYOND
manufacturer,BEYOND
merchant,C1
gentleman,B1
farmer,A1
strange,A2
scientific,B1
learned,BEYOND
society,A2
sage,BEYOND
deliberation,BEYOND
belong,A2
fact,A1
numerous,B2
swarm,BEYOND
english,BEYOND
capital,A1
found,B2
mainly,B1
purpose,A2
abolish,C1
pernicious,BEYOND
insect,A2
way,B2
get,A1
admission,C1
exclusive,C1
club,A1
simple,A2
recommend,A2
open,A1
credit,B2
cheque,BEYOND
regularly,B1
pay,A2
sight,B1
account,B1
current,B1
flush,BEYOND
rich,A1
undoubtedly,C1
well,C1
imagine,A1
fortune,B2
person,A1
apply,A2
information,A1
lavish,BEYOND
contrary,C1
avaricious,BEYOND
money,A1
need,B1
noble,C1
useful,A1
benevolent,BEYOND
supply,B1
quietly,A2
anonymously,BEYOND
short,A1
communicative,BEYOND
talk,A2
mysterious,B2
taciturn,BEYOND
manner,A2
daily,B1
habit,A2
observation,B2
exactly,A2
thing,A1
wit,C1
curious,B2
fairly,B1
puzzled,BEYOND
travel,A1
likely,A2
familiarly,BEYOND
spot,B1
secluded,BEYOND
appear,A2
intimate,C1
acquaintance,BEYOND
correct,A1
clear,B1
word,A1
conjecture,BEYOND
advance,B2
lost,A2
unheard,BEYOND
traveller,A2
point,B1
true,A1
probability,B2
gift,A2
sort,B1
second,A2
event,A1
justify,B2
prediction,B1
spirit,B1
certain,A2
absent,C1
honour,B2
rest,A2
declare,B2
pretend,B1
sole,C1
pastime,BEYOND
read,A1
paper,A1
play,A1
whist,BEYOND
win,B1
game,A1
silent,B1
harmonise,BEYOND
nature,A2
winning,BEYOND
go,B1
purse,BEYOND
reserve,B2
fund,B2
charity,A2
sake,C1
eye,A1
contest,B2
struggle,B2
difficulty,B1
motionless,BEYOND
unwearying,BEYOND
congenial,BEYOND
taste,A2
wife,A1
child,A1
happen,A1
honest,B1
relative,B1
near,A1
friend,A1
unusual,A2
penetrate,BEYOND
single,A2
domestic,B2
suffice,BEYOND
serve,A2
breakfast,A1
dine,BEYOND
hour,A1
mathematically,BEYOND
fix,B2
table,A1
take,A1
meal,A1
bring,A1
guest,A2
home,A2
midnight,A1
retire,B1
bed,A1
cosy,BEYOND
chamber,C1
provide,A2
favour,B1
pass,B1
sleep,A2
make,B2
toilet,A1
choose,A1
walk,A1
regular,A2
step,B2
entrance,B1
hall,A2
mosaic,BEYOND
flooring,BEYOND
circular,BEYOND
gallery,A2
dome,BEYOND
support,A2
red,A1
porphyry,BEYOND
ionic,BEYOND
column,A2
illumine,BEYOND
blue,A1
paint,A1
window,A1
resource,B1
kitchen,A1
pantry,BEYOND
buttery,BEYOND
dairy,B2
aid,B2
crowd,A2
succulent,BEYOND
store,B1
grave,BEYOND
waiter,A1
dress,A1
coat,A1
shoe,A1
swan,BEYOND
skin,A2
sol,BEYOND
proffer,BEYOND
viand,BEYOND
special,A1
porcelain,BEYOND
fine,C1
linen,BEYOND
decanter,BEYOND
mould,BEYOND
contain,A2
sherry,BEYOND
port,B1
cinnamon,BEYOND
spiced,BEYOND
claret,BEYOND
beverage,BEYOND
refreshingly,BEYOND
cool,B1
ice,A1
great,A1
cost,A1
american,BEYOND
lake,A2
style,A1
eccentric,BEYOND
confess,B2
good,A2
eccentricity,BEYOND
mansion,BEYOND
sumptuous,BEYOND
exceedingly,BEYOND
comfortable,A2
occupant,BEYOND
demand,B2
require,B1
superhumanly,BEYOND
prompt,B2
dismiss,B2
luckless,BEYOND
youth,B1
shaving,BEYOND
water,B1
eighty,A1
degree,A2
fahrenheit,BEYOND
instead,A2
await,C1
successor,C1
half,A2
past,A2
seat,B2
squarely,BEYOND
armchair,A1
foot,A1
close,B1
like,B1
grenadier,BEYOND
parade,B2
hand,B1
knee,A2
