word,level
introduction,A2
flash,B2
light,A2
streak,BEYOND
night,A1
sky,A2
disappear,A2
commonly,B2
call,A1
shooti,BEYOND
star,A2
small,A1
chunk,C1
stone,A2
metal,A2
material,B2
orbit,BEYOND
enter,A2
atmosphere,B1
friction,BEYOND
generate,B2
great,A1
speed,B2
cause,A2
burn,B2
fragment,B2
vaporize,BEYOND
travel,A1
far,B1
actually,A2
hit,A2
ground,A2
object,B2
different,A1
name,A1
depend,A2
location,B1
meteoroid,BEYOND
meteor,BEYOND
land,A2
surface,B1
meteorite,BEYOND
sturdy,BEYOND
reach,B2
piece,A1
asteroid,BEYOND
huge,A2
rock,C1
comet,BEYOND
hand,B1
flimsy,BEYOND
frozen,B1
water,B1
gas,A2
gritty,BEYOND
vary,B2
boulder,BEYOND
weigh,B1
ton,B2
relative,B1
bring,A1
collect,A2
probably,A1
identify,A2
caption,BEYOND
appear,A2
like,B1
superhero,BEYOND
infrared,BEYOND
image,A2
heat,A2
sufficiently,B2
glow,BEYOND
majority,B2
completely,A2
break,A1
contain,A2
microscopic,BEYOND
crystal,C1
isotopic,BEYOND
proportion,B2
unique,B2
dust,B1
grain,B1
form,A1
tiny,B1
dustlike,BEYOND
particle,BEYOND
remain,B1
disintegrate,BEYOND
swarm,BEYOND
shower,A1
ten,A1
hundred,A1
shoot,C1
hour,A1
virtually,BEYOND
upper,B2
establish,B2
know,A1
thousand,A1
additional,B2
discover,A2
year,A1
see,A1
determine,B1
estimate,B2
million,A1
exist,A2
combine,B1
mass,B2
thousandth,BEYOND
observe,B2
century,A1
consider,A2
come,A1
vast,B2
reservoir,BEYOND
cloud,A2
trillion,B2
icy,BEYOND
potential,B2
active,A2
single,A2
pass,B1
inner,B2
solar,B2
system,A2
deflect,BEYOND
allow,A2
return,A1
predictable,B2
time,B2
well,C1
periodic,BEYOND
predict,A2
short,A1
period,A1
think,A1
belt,A2
region,A2
lie,B1
include,A1
house,B2
nucleus,BEYOND
masse,BEYOND
billionth,BEYOND
scientist,A1
develop,A2
new,A1
technology,A2
closely,B2
study,A1
celestial,BEYOND
body,A1
gain,B2
insight,B2
formation,B2
understand,A1
compose,B2
researcher,BEYOND
originate,C1
evolve,B2
amazing,A1
steroid,BEYOND
rocky,BEYOND
general,A2
leave,B2
planet,A2
create,A1
space,A1
collide,BEYOND
apart,B1
elliptical,BEYOND
direction,A2
rotation,C1
motion,B2
term,B2
prograde,BEYOND
look,A2
vantage,BEYOND
point,B1
observer,B2
find,A1
counterclockwise,BEYOND
clockwise,BEYOND
retrograde,BEYOND
host,B1
mile,A1
diameter,BEYOND
nearby,B2
ring,B1
astronomer,BEYOND
demarcation,BEYOND
consist,B1
mainly,B1
terrestrial,BEYOND
outer,B2
size,A2
large,A1
number,A2
major,A2
minor,B2
designation,BEYOND
interchangeably,BEYOND
widely,B2
recognize,A2
public,A2
individual,A2
dynamically,BEYOND
interesting,A1
group,A1
similar,A1
orbital,BEYOND
characteristic,B2
generally,B1
use,A2
physical,A2
property,B1
usually,A1
refer,A2
early,A1
element,B1
compute,C1
clear,B1
move,B1
planetlike,BEYOND
owe,B2
illness,A2
able,A2
discovery,A2
report,A2
press,B1
share,B1
detail,B2
observation,B2
publish,A2
complete,A1
set,B1
month,A1
later,A2
arc,BEYOND
computation,BEYOND
sufficient,B2
accuracy,B2
reappear,BEYOND
matter,A2
stand,B2
search,A2
miss,BEYOND
astronomical,BEYOND
conference,A2
unfortunately,A2
party,A1
attempt,B2
locate,B1
german,BEYOND
mathematician,BEYOND
method,A2
prediction,B1
hungarian,BEYOND
rediscover,BEYOND
lost,A2
ancient,A2
roman,BEYOND
goddess,BEYOND
patron,C1
initiate,C1
tradition,A2
continue,A2
present,A2
day,A1
discoverer,BEYOND
faint,BEYOND
compare,A1
complicate,BEYOND
elegant,B2
solution,A2
problem,A1
give,A1
rise,B1
surprisingly,BEYOND
long,A1
live,B1
accept,A2
idea,A1
remnant,BEYOND
explode,B1
follow,A1
flurry,BEYOND
activity,A1
abandon,B2
renew,C1
fifth,A1
american,BEYOND
note,B1
gap,A2
distribution,B2
distance,A2
photography,B1
accelerate,C1
rate,B2
designate,C1
detect,B2
mean,A1
end,A1
grow,A1
seven,A1
explosive,C1
growth,B1
spin,C1
survey,B2
design,A1
percent,BEYOND
cross,A2
late,A1
advance,B2
concern,B2
base,B1
knowledge,A2
example,A1
shape,B2
composition,C1
density,C1
learn,A1
begin,A1
particular,A2
result,B1
go,B1
merely,C1
world,A1
right,A1
artist,A1
concept,B2
illustrate,B2
catastrophic,BEYOND
collision,C1
family,A1
japanese,BEYOND
clustering,BEYOND
semimajor,BEYOND
axis,BEYOND
eccentricity,BEYOND
inclination,BEYOND
speculate,B2
explosion,B1
parent,A1
calculation,C1
lifetime,B2
close,B1
show,A1
destine,BEYOND
eject,BEYOND
timescale,BEYOND
age,B1
approximately,B1
billion,A2
today,A1
recently,A2
imply,B2
source,A2
capture,B2
lose,A1
volatile,BEYOND
repeat,B1
passage,B2
inside,A2
main,A1
near,A1
resonance,BEYOND
widespread,B2
occurrence,C1
assign,B2
consecutively,BEYOND
accurate,B2
officially,BEYOND
