word,level
hurricane,B1
furious,B2
spiral,BEYOND
tropical,B2
storm,A2
system,A2
smash,C1
building,A1
apart,B1
hurl,BEYOND
tree,A1
car,A1
massive,B2
chunk,C1
debris,C1
far,B1
air,A1
wind,B2
speed,B2
reach,B2
mile,A1
kilometer,BEYOND
hour,A1
bring,A1
torrential,BEYOND
rain,A1
thunderstorm,BEYOND
roar,BEYOND
ocean,A2
lash,BEYOND
coast,A2
cause,A2
terrible,A1
damage,B1
die,A1
quickly,A1
move,B1
inland,BEYOND
angry,A1
god,A2
big,A1
call,A1
know,A1
different,A1
name,A1
world,A1
people,A1
ancient,A2
mayan,BEYOND
destruction,B2
southeast,BEYOND
come,A1
typhoon,BEYOND
japanese,BEYOND
tai,BEYOND
foon,BEYOND
mean,A1
great,A1
cyclone,BEYOND
sand,B1
whip,C1
parking,A2
lot,A1
hit,A2
officially,BEYOND
class,A1
blow,B2
fast,A1
history,A1
happen,A1
strike,B2
area,A1
write,A1
record,A2
detailed,B2
account,B1
go,B1
time,B2
soon,A1
begin,A1
visit,A1
encounter,B2
ship,B2
shelter,B2
bay,C1
sink,B1
way,B2
result,B1
sea,A1
flood,B1
destroy,A2
town,A1
kill,A2
bad,A1
day,A1
make,B2
deadly,B2
nearly,A2
flatten,BEYOND
demolish,BEYOND
capital,A1
send,A1
surge,C1
foot,A1
meter,BEYOND
high,B2
wash,A2
village,A1
british,BEYOND
fleet,C1
dutch,BEYOND
year,A1
claim,B1
life,A1
occur,B1
region,A2
atlantic,BEYOND
indian,BEYOND
pacific,BEYOND
water,B1
temperature,A2
able,A2
gather,B1
strength,B1
form,A1
west,A1
drift,C1
westward,BEYOND
land,A2
landfall,BEYOND
wreak,BEYOND
continue,A2
path,B1
rapidly,B2
lose,A1
power,B2
long,A1
heat,A2
beneath,C1
force,B1
spend,A1
travel,A1
depend,A2
rainstorm,BEYOND
disruptive,BEYOND
zone,BEYOND
destructive,C1
plague,BEYOND
part,A1
east,A1
common,A1
eastern,B1
impact,B1
live,B1
island,A1
chain,B1
north,A1
large,A1
number,A2
boost,B2
supply,B1
country,A1
frequently,B1
red,A1
spot,B1
giant,B1
solar,B2
planet,A2
actually,A2
like,B1
consist,B1
whirl,BEYOND
circle,A2
gas,A2
entirely,B2
rage,C1
cover,B1
half,A2
surface,B1
build,A1
equatorial,BEYOND
direction,A2
meet,A1
warm,B1
upward,BEYOND
take,A1
moisture,BEYOND
grow,A1
increasingly,B2
strong,A1
draw,A1
depression,B2
swirl,BEYOND
cloud,A2
carry,A1
evaporate,BEYOND
rise,B1
cool,B1
vapor,BEYOND
condense,BEYOND
add,A1
escape,B1
higher,BEYOND
turn,A1
set,B1
cycle,A2
suck,C1
column,A2
pull,B1
satellite,B2
image,A2
collide,BEYOND
circular,BEYOND
pattern,A2
single,A2
away,A1
pressure,B1
help,A1
low,B2
increase,A2
finally,A2
tornado,BEYOND
house,B2
small,A1
whirlwind,BEYOND
ahead,B1
ground,A2
wide,A2
appear,A2
jump,A2
vortex,BEYOND
center,BEYOND
disturb,B2
stop,A1
briefly,B2
slightly,B1
place,B1
anatomy,BEYOND
clear,B1
structure,B2
share,B1
characteristic,B2
band,A1
eye,A1
thick,A2
bank,B1
eyewall,BEYOND
contain,A2
outside,A2
moat,BEYOND
reduce,A2
thin,A2
veil,BEYOND
tiny,B1
ice,A1
crystal,C1
cirrus,BEYOND
extend,B2
width,C1
vary,B2
measure,B1
see,A1
continually,C1
feed,B2
scale,B2
report,A2
size,A2
base,B1
little,A2
coastal,C1
flooding,BEYOND
roof,A2
door,A1
window,A1
pier,BEYOND
structural,C1
erosion,BEYOND
beach,A1
near,A1
severe,B2
counterclockwise,BEYOND
clockwise,BEYOND
effect,A2
spinning,BEYOND
earth,A2
movement,A2
predictable,B2
normal,B1
weather,A1
season,A2
last,A2
hot,A1
cold,A1
certain,A2
global,B1
regular,A2
violent,B1
batter,BEYOND
shore,B2
meteorologist,BEYOND
study,A1
track,B2
photograph,A2
brew,BEYOND
use,A2
computer,A1
modeling,BEYOND
technique,B1
predict,A2
likely,A2
safety,B1
expect,A2
government,A2
warn,B1
safe,A2
immensely,BEYOND
complex,B1
change,A1
prediction,B1
